© 2000-2021 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cell Cycle	Mitosis of cervical cancer cell lines	9.68E-10	 	-0.000	BIRC5,CCNB1,CCNB2,CDC20,CDC25B,DLGAP5,MAD2L1,NEK2,NUF2,PLK1,PLK4,PTTG1,UBA7	13
Cell Cycle	M phase of tumor cell lines	1.44E-09	 	-1.744	AURKB,BIRC5,CDC25B,FOXM1,KIF20A,KIFC1,MAD2L1,MCM7,NEK2,NUF2,PLK1,PTTG1,SIAH1	13
Cell Cycle	Mitosis of tumor cell lines	1.69E-09	 	-0.219	BIRC5,CCNB1,CCNB2,CDC20,CDC25B,DLGAP5,FOXM1,MAD2L1,NEK2,NUF2,PLK1,PLK4,PTTG1,SIAH1,UBA7	15
Cell Cycle	Delay in mitosis	7.75E-09	 	 	CCNB1,CDC20,CDC25B,DLGAP5,FOXM1,MAD2L1,PLK1,PTTG1	8
Cell Cycle	Arrest in mitosis	1.29E-08	 	 	AURKB,BIRC5,CCNB1,CCNB2,CDC20,MAD2L1,MYBL2,NUF2,PLK1,PLK4,UBA7	11
Cell Cycle	Cell cycle progression	1.82E-08	 	-1.582	ANGPTL2,AURKB,BIRC5,CCNB1,CCNB2,CDC20,CDC25B,CDKN2C,CDKN3,CENPH,DDIT4,DLGAP5,FOXM1,GBP2,HAUS1,HAUS4,HMGB1,ID3,ITGB4,KIF2C,KIFC1,LGALS3,MAD2L1,MCM7,MSLN,MYBL2,NEK2,NFKBIA,NUF2,NUPR1,PCLAF,PIM1,PLK1,PLK4,PPARG,PTN,PTTG1,RASSF3,RPS15A,SIAH1,SOCS3,STMN1,TYMS,UBA7	44
Cell Cycle	Delay in mitosis of tumor cell lines	2.63E-08	 	 	CCNB1,CDC20,CDC25B,DLGAP5,MAD2L1,PLK1,PTTG1	7
Cell Cycle	Interphase	3.64E-08	 	-0.856	APOBEC3A,BIRC5,CBX2,CCNB1,CCNB2,CDC20,CDC25B,CDKN2C,CDKN3,FOXM1,H2AX,HAUS1,HAUS4,ID3,LGALS3,LMNB1,MAD2L1,MCM2,MCM7,MSLN,MYBL2,NDRG1,NEK2,NFKBIA,NOX4,PCLAF,PIM1,PLK1,PLK4,POLE4,PPARG,PTTG1,RASSF3,TUBB4B,TYMS	35
Cell Cycle	G2/M phase transition	8.12E-08	 	 	CCNB1,CCNB2,CDC25B,FOXM1,HAUS1,HAUS4,MAD2L1,MYBL2,NEK2,NFKBIA,PLK1,PLK4,PTTG1,TUBB4B	14
Cell Cycle,Cellular Assembly and Organization,DNA Replication, Recombination, and Repair	Segregation of chromosomes	1.06E-07	 	-0.581	AURKB,CCNB1,CCNB2,CENPH,KIF2C,MAD2L1,NCAPH,NEK2,NUF2,PLK1,PRC1,PTTG1	12
Cell Cycle	M phase	1.06E-07	 	-0.900	AURKB,BIRC5,CCNB1,CDC20,CDC25B,FOXM1,KIF20A,KIFC1,MAD2L1,MCM7,NEK2,NUF2,PIM1,PLK1,PRC1,PTTG1,SIAH1	17
