© 2000-2021 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cell Cycle	Interphase	1.30E-11	 	0.599	AKAP12,APOBEC3A,ATF3,BIRC5,BMP2,CBX2,CCNB1,CCNB2,CCND2,CDC20,CDC25B,CDK6,CDKN2C,CDKN3,DAB2,EGR1,FGF2,FN1,FOS,FOXM1,H2AX,HAS2,HAUS1,HAUS4,HBEGF,ID3,IL1B,ITGA2,KITLG,LGALS3,LMNB1,MAD2L1,MCM2,MCM7,MSLN,MXD1,MYBL1,MYBL2,NDRG1,NEK2,NFKBIA,NOX4,PAPPA,PCLAF,PIM1,PLA2G4A,PLK1,PLK4,POLE4,PPARG,PTTG1,RASSF3,SPP1,STAT1,SULF1,TUBB4B,TXNIP,TYMS	58
Cell Cycle	Cell cycle progression	1.19E-10	 	-0.310	ADAM12,ANGPTL2,ATF3,AURKB,BIRC5,BMP2,CCNB1,CCNB2,CCND2,CD274,CDC20,CDC25B,CDK6,CDKN2C,CDKN3,CENPH,CXCL8,DDIT4,DLGAP5,DNAJB4,EGR1,ERN1,FGF2,FOS,FOXM1,GBP2,GLIPR1,HAS2,HAUS1,HAUS4,HBEGF,HMGB1,ID3,IGFBP2,IL1B,ITGA2,ITGB4,KIF2C,KIFC1,KITLG,LGALS3,MAD2L1,MCM7,MSLN,MXD1,MYBL2,NEK2,NFATC2,NFKBIA,NUF2,NUPR1,PCLAF,PDCD1LG2,PIM1,PLK1,PLK4,PPARG,PTN,PTTG1,RASSF3,RPS15A,SIAH1,SOCS3,SPP1,STAT1,STMN1,SULF1,TYMS,UBA7,ZBTB20	70
Cell Cycle	Entry into interphase	3.80E-10	 	1.303	CBX2,CDC20,CDK6,CDKN2C,EGR1,FGF2,FN1,FOS,FOXM1,HBEGF,ID3,IL1B,ITGA2,KITLG,MAD2L1,MCM7,MSLN,MYBL1,MYBL2,PPARG	20
Cell Cycle	Interphase of tumor cell lines	1.30E-08	 	-0.397	APOBEC3A,BIRC5,BMP2,CCNB1,CCND2,CDC25B,CDK6,CDKN3,DAB2,EGR1,FGF2,FOXM1,HAS2,ID3,IL1B,KITLG,LGALS3,LMNB1,MAD2L1,MCM7,MSLN,MXD1,MYBL2,NDRG1,NFKBIA,NOX4,PAPPA,PCLAF,PLK1,PPARG,RASSF3,SPP1,STAT1,SULF1,TYMS	35
Cell Cycle	Entry into S phase	1.80E-08	 	1.348	CBX2,CDK6,CDKN2C,FGF2,FN1,FOS,FOXM1,HBEGF,ID3,IL1B,ITGA2,KITLG,MCM7,MSLN,MYBL1,MYBL2,PPARG	17
Cell Cycle	S phase	1.90E-08	 	0.331	BIRC5,CBX2,CCND2,CDK6,CDKN2C,FGF2,FN1,FOS,FOXM1,HBEGF,ID3,IL1B,ITGA2,KITLG,LMNB1,MCM7,MSLN,MXD1,MYBL1,MYBL2,PCLAF,PLK1,PPARG,SULF1,TYMS	25
Cell Cycle	G1 phase	5.05E-08	 	-0.124	AKAP12,APOBEC3A,ATF3,BIRC5,BMP2,CCND2,CDC25B,CDK6,CDKN2C,CDKN3,DAB2,EGR1,FGF2,FN1,FOXM1,HAS2,ID3,IL1B,KITLG,LGALS3,LMNB1,MCM2,MCM7,MXD1,MYBL2,NFKBIA,PAPPA,PIM1,PLA2G4A,POLE4,PPARG,RASSF3,SPP1,TXNIP,TYMS	35
Cell Cycle	Arrest in M phase	1.06E-07	 	 	AKAP12,CCNB1,CDC20,CDC25B,CYP26B1,KIFC1,MAD2L1,NUF2,PLK1,PTTG1	10
Cell Cycle	M phase of tumor cell lines	1.55E-07	 	-1.744	AKAP12,AURKB,BIRC5,CDC25B,FOXM1,KIF20A,KIFC1,MAD2L1,MCM7,NEK2,NUF2,PLK1,PTTG1,SIAH1	14
Cell Cycle,Reproductive System Development and Function	Meiosis I of germ cells	1.74E-07	 	 	CDC20,CDC25B,CYP26B1,HSPA2,MAD2L1,MYBL1,PTTG1,REC8,SIAH1	9
