Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0005694~chromosome	98	49.0	7.402636374181645E-74	ENSG00000072501, ENSG00000077514, ENSG00000111875, ENSG00000113810, ENSG00000135446, ENSG00000076382, ENSG00000062822, ENSG00000083642, ENSG00000142945, ENSG00000177084, ENSG00000012048, ENSG00000091651, ENSG00000132341, ENSG00000115942, ENSG00000082898, ENSG00000113522, ENSG00000111581, ENSG00000101945, ENSG00000120802, ENSG00000108055, ENSG00000164109, ENSG00000100297, ENSG00000164104, ENSG00000183765, ENSG00000106399, ENSG00000164985, ENSG00000131747, ENSG00000076003, ENSG00000138778, ENSG00000106628, ENSG00000020922, ENSG00000076242, ENSG00000131462, ENSG00000100916, ENSG00000178999, ENSG00000118655, ENSG00000134690, ENSG00000163029, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000147536, ENSG00000106462, ENSG00000105011, ENSG00000101057, ENSG00000104320, ENSG00000071243, ENSG00000010292, ENSG00000117748, ENSG00000111247, ENSG00000253729, ENSG00000147889, ENSG00000130816, ENSG00000014138, ENSG00000073111, ENSG00000146263, ENSG00000137309, ENSG00000075131, ENSG00000113456, ENSG00000086827, ENSG00000115350, ENSG00000029993, ENSG00000119969, ENSG00000146143, ENSG00000108384, ENSG00000149136, ENSG00000090889, ENSG00000152253, ENSG00000133119, ENSG00000112118, ENSG00000156970, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000104738, ENSG00000132780, ENSG00000118007, ENSG00000079616, ENSG00000142731, ENSG00000100162, ENSG00000095002, ENSG00000049541, ENSG00000170312, ENSG00000196419, ENSG00000166851, ENSG00000136273, ENSG00000188486, ENSG00000164032, ENSG00000087586, ENSG00000141510, ENSG00000132646, ENSG00000035928, ENSG00000111602, ENSG00000143401, ENSG00000102974, ENSG00000166508, ENSG00000101003, ENSG00000148773	191	937	18224	9.979225220292008	3.2275494591431975E-71	3.2275494591431975E-71	2.4502726398541246E-69
GOTERM_BP_ALL	GO:0022402~cell cycle process	113	56.49999999999999	1.1111515790752093E-73	ENSG00000072501, ENSG00000108106, ENSG00000113810, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000013810, ENSG00000166197, ENSG00000083642, ENSG00000142945, ENSG00000177084, ENSG00000164611, ENSG00000012048, ENSG00000165304, ENSG00000091651, ENSG00000155561, ENSG00000129173, ENSG00000132341, ENSG00000115942, ENSG00000082898, ENSG00000113522, ENSG00000111581, ENSG00000166483, ENSG00000071539, ENSG00000108055, ENSG00000164109, ENSG00000100297, ENSG00000183765, ENSG00000106399, ENSG00000131747, ENSG00000076003, ENSG00000138778, ENSG00000020922, ENSG00000076242, ENSG00000136997, ENSG00000131462, ENSG00000157456, ENSG00000178999, ENSG00000118655, ENSG00000138376, ENSG00000134690, ENSG00000100526, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000161800, ENSG00000106462, ENSG00000101057, ENSG00000104320, ENSG00000010292, ENSG00000117748, ENSG00000072571, ENSG00000253729, ENSG00000147889, ENSG00000170515, ENSG00000123975, ENSG00000124789, ENSG00000171848, ENSG00000163950, ENSG00000014138, ENSG00000103342, ENSG00000105486, ENSG00000099901, ENSG00000073111, ENSG00000075131, ENSG00000113456, ENSG00000111276, ENSG00000086827, ENSG00000119969, ENSG00000146143, ENSG00000108384, ENSG00000161547, ENSG00000090889, ENSG00000152253, ENSG00000196230, ENSG00000112118, ENSG00000156970, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000111665, ENSG00000104738, ENSG00000118007, ENSG00000126787, ENSG00000101224, ENSG00000079616, ENSG00000142731, ENSG00000124762, ENSG00000100162, ENSG00000095002, ENSG00000123080, ENSG00000144580, ENSG00000170312, ENSG00000117399, ENSG00000186185, ENSG00000136270, ENSG00000166851, ENSG00000136273, ENSG00000188486, ENSG00000105173, ENSG00000087586, ENSG00000141510, ENSG00000132646, ENSG00000111602, ENSG00000135476, ENSG00000159147, ENSG00000164045, ENSG00000170836, ENSG00000102974, ENSG00000166508, ENSG00000101003, ENSG00000148773, ENSG00000103540	189	1357	16792	7.398424005645818	3.079001025617405E-70	3.079001025617405E-70	2.5578709350311317E-68
GOTERM_CC_ALL	GO:0044427~chromosomal part	92	46.0	5.458945679338483E-71	ENSG00000072501, ENSG00000077514, ENSG00000073111, ENSG00000111875, ENSG00000146263, ENSG00000137309, ENSG00000113810, ENSG00000075131, ENSG00000113456, ENSG00000135446, ENSG00000076382, ENSG00000086827, ENSG00000062822, ENSG00000115350, ENSG00000119969, ENSG00000083642, ENSG00000146143, ENSG00000142945, ENSG00000177084, ENSG00000108384, ENSG00000012048, ENSG00000152253, ENSG00000133119, ENSG00000091651, ENSG00000156970, ENSG00000112118, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000115942, ENSG00000132341, ENSG00000104738, ENSG00000132780, ENSG00000082898, ENSG00000113522, ENSG00000111581, ENSG00000118007, ENSG00000101945, ENSG00000120802, ENSG00000108055, ENSG00000164109, ENSG00000100297, ENSG00000079616, ENSG00000183765, ENSG00000164104, ENSG00000106399, ENSG00000164985, ENSG00000100162, ENSG00000095002, ENSG00000049541, ENSG00000076003, ENSG00000138778, ENSG00000106628, ENSG00000020922, ENSG00000076242, ENSG00000170312, ENSG00000100916, ENSG00000178999, ENSG00000118655, ENSG00000196419, ENSG00000166851, ENSG00000134690, ENSG00000136273, ENSG00000188486, ENSG00000164032, ENSG00000163029, ENSG00000087586, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000105011, ENSG00000147536, ENSG00000106462, ENSG00000101057, ENSG00000141510, ENSG00000104320, ENSG00000132646, ENSG00000071243, ENSG00000035928, ENSG00000111602, ENSG00000010292, ENSG00000117748, ENSG00000111247, ENSG00000253729, ENSG00000143401, ENSG00000147889, ENSG00000102974, ENSG00000166508, ENSG00000101003, ENSG00000130816, ENSG00000148773, ENSG00000014138	191	827	18224	10.614331748513836	2.3801003161915787E-68	1.1900501580957893E-68	9.034555099305189E-67
GOTERM_BP_ALL	GO:0000278~mitotic cell cycle	97	48.5	1.6825675342548888E-68	ENSG00000072501, ENSG00000108106, ENSG00000113810, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000013810, ENSG00000166197, ENSG00000083642, ENSG00000142945, ENSG00000177084, ENSG00000164611, ENSG00000165304, ENSG00000091651, ENSG00000155561, ENSG00000129173, ENSG00000132341, ENSG00000115942, ENSG00000111581, ENSG00000166483, ENSG00000108055, ENSG00000164109, ENSG00000100297, ENSG00000183765, ENSG00000106399, ENSG00000131747, ENSG00000076003, ENSG00000138778, ENSG00000020922, ENSG00000131462, ENSG00000157456, ENSG00000178999, ENSG00000134690, ENSG00000100526, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000161800, ENSG00000106462, ENSG00000101057, ENSG00000104320, ENSG00000010292, ENSG00000117748, ENSG00000072571, ENSG00000253729, ENSG00000147889, ENSG00000123975, ENSG00000124789, ENSG00000171848, ENSG00000014138, ENSG00000103342, ENSG00000105486, ENSG00000099901, ENSG00000073111, ENSG00000075131, ENSG00000111276, ENSG00000086827, ENSG00000119969, ENSG00000146143, ENSG00000108384, ENSG00000161547, ENSG00000090889, ENSG00000152253, ENSG00000196230, ENSG00000112118, ENSG00000156970, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000111665, ENSG00000104738, ENSG00000118007, ENSG00000126787, ENSG00000101224, ENSG00000079616, ENSG00000142731, ENSG00000124762, ENSG00000095002, ENSG00000123080, ENSG00000144580, ENSG00000170312, ENSG00000117399, ENSG00000186185, ENSG00000166851, ENSG00000136273, ENSG00000105173, ENSG00000087586, ENSG00000141510, ENSG00000132646, ENSG00000111602, ENSG00000135476, ENSG00000164045, ENSG00000170836, ENSG00000166508, ENSG00000101003, ENSG00000148773, ENSG00000103540	189	968	16792	8.903012812103722	4.662394637420297E-65	2.3311973187101483E-65	1.936635231927377E-63
GOTERM_BP_ALL	GO:1903047~mitotic cell cycle process	94	47.0	4.3204137780246085E-68	ENSG00000099901, ENSG00000072501, ENSG00000108106, ENSG00000073111, ENSG00000113810, ENSG00000075131, ENSG00000173207, ENSG00000135446, ENSG00000111276, ENSG00000076382, ENSG00000086827, ENSG00000013810, ENSG00000166197, ENSG00000119969, ENSG00000083642, ENSG00000146143, ENSG00000142945, ENSG00000177084, ENSG00000108384, ENSG00000161547, ENSG00000090889, ENSG00000164611, ENSG00000165304, ENSG00000152253, ENSG00000091651, ENSG00000156970, ENSG00000196230, ENSG00000112118, ENSG00000155561, ENSG00000132383, ENSG00000136982, ENSG00000111665, ENSG00000115942, ENSG00000132341, ENSG00000104738, ENSG00000111581, ENSG00000118007, ENSG00000166483, ENSG00000108055, ENSG00000126787, ENSG00000101224, ENSG00000164109, ENSG00000100297, ENSG00000079616, ENSG00000183765, ENSG00000106399, ENSG00000142731, ENSG00000124762, ENSG00000095002, ENSG00000123080, ENSG00000144580, ENSG00000131747, ENSG00000076003, ENSG00000138778, ENSG00000020922, ENSG00000170312, ENSG00000157456, ENSG00000131462, ENSG00000178999, ENSG00000117399, ENSG00000186185, ENSG00000166851, ENSG00000134690, ENSG00000100526, ENSG00000136273, ENSG00000105173, ENSG00000087586, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000161800, ENSG00000106462, ENSG00000101057, ENSG00000141510, ENSG00000104320, ENSG00000132646, ENSG00000111602, ENSG00000010292, ENSG00000135476, ENSG00000117748, ENSG00000253729, ENSG00000072571, ENSG00000164045, ENSG00000147889, ENSG00000123975, ENSG00000124789, ENSG00000170836, ENSG00000171848, ENSG00000166508, ENSG00000101003, ENSG00000103540, ENSG00000105486, ENSG00000014138, ENSG00000103342	189	890	16792	9.383794066940133	1.1971866578906191E-64	3.99062219296873E-65	3.315197505670883E-63
GOTERM_BP_ALL	GO:0007049~cell cycle	116	57.99999999999999	2.5837199085264872E-67	ENSG00000072501, ENSG00000108106, ENSG00000113810, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000013810, ENSG00000166197, ENSG00000083642, ENSG00000142945, ENSG00000177084, ENSG00000164611, ENSG00000012048, ENSG00000165304, ENSG00000091651, ENSG00000155561, ENSG00000129173, ENSG00000132341, ENSG00000115942, ENSG00000082898, ENSG00000113522, ENSG00000111581, ENSG00000166483, ENSG00000101945, ENSG00000071539, ENSG00000108055, ENSG00000164109, ENSG00000100297, ENSG00000183765, ENSG00000106399, ENSG00000131747, ENSG00000076003, ENSG00000138778, ENSG00000020922, ENSG00000076242, ENSG00000136997, ENSG00000131462, ENSG00000157456, ENSG00000178999, ENSG00000118655, ENSG00000138376, ENSG00000134690, ENSG00000100526, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000161800, ENSG00000106462, ENSG00000101057, ENSG00000104320, ENSG00000010292, ENSG00000131470, ENSG00000117748, ENSG00000072571, ENSG00000253729, ENSG00000147889, ENSG00000170515, ENSG00000123975, ENSG00000124789, ENSG00000171848, ENSG00000163950, ENSG00000014138, ENSG00000103342, ENSG00000105486, ENSG00000099901, ENSG00000073111, ENSG00000075131, ENSG00000113456, ENSG00000111276, ENSG00000086827, ENSG00000119969, ENSG00000146143, ENSG00000108384, ENSG00000161547, ENSG00000090889, ENSG00000152253, ENSG00000196230, ENSG00000112118, ENSG00000156970, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000111665, ENSG00000104738, ENSG00000132780, ENSG00000118007, ENSG00000126787, ENSG00000101224, ENSG00000079616, ENSG00000142731, ENSG00000124762, ENSG00000100162, ENSG00000095002, ENSG00000123080, ENSG00000144580, ENSG00000170312, ENSG00000117399, ENSG00000186185, ENSG00000136270, ENSG00000166851, ENSG00000136273, ENSG00000188486, ENSG00000105173, ENSG00000087586, ENSG00000141510, ENSG00000132646, ENSG00000111602, ENSG00000135476, ENSG00000159147, ENSG00000164045, ENSG00000170836, ENSG00000102974, ENSG00000166508, ENSG00000101003, ENSG00000148773, ENSG00000103540	189	1672	16792	6.1639958482063735	7.159487866526896E-64	1.789871966631724E-64	1.4869308073569932E-62
GOTERM_BP_ALL	GO:0006259~DNA metabolic process	94	47.0	1.2634913584213834E-63	ENSG00000072501, ENSG00000077514, ENSG00000073111, ENSG00000111875, ENSG00000146263, ENSG00000137309, ENSG00000075131, ENSG00000113456, ENSG00000077152, ENSG00000062822, ENSG00000115350, ENSG00000029993, ENSG00000182481, ENSG00000119969, ENSG00000083642, ENSG00000181938, ENSG00000146143, ENSG00000177084, ENSG00000108384, ENSG00000149136, ENSG00000164611, ENSG00000012048, ENSG00000128951, ENSG00000124795, ENSG00000133119, ENSG00000091651, ENSG00000112118, ENSG00000139618, ENSG00000129173, ENSG00000132383, ENSG00000136982, ENSG00000115942, ENSG00000132341, ENSG00000104738, ENSG00000072274, ENSG00000132780, ENSG00000113522, ENSG00000108055, ENSG00000071539, ENSG00000100297, ENSG00000079616, ENSG00000183765, ENSG00000164104, ENSG00000106399, ENSG00000124762, ENSG00000095002, ENSG00000076248, ENSG00000049541, ENSG00000104889, ENSG00000162607, ENSG00000131747, ENSG00000076003, ENSG00000106628, ENSG00000020922, ENSG00000076242, ENSG00000170312, ENSG00000136997, ENSG00000178999, ENSG00000118655, ENSG00000196419, ENSG00000122512, ENSG00000138376, ENSG00000136273, ENSG00000188486, ENSG00000163029, ENSG00000105173, ENSG00000149554, ENSG00000167900, ENSG00000147536, ENSG00000239672, ENSG00000106462, ENSG00000141510, ENSG00000104320, ENSG00000102054, ENSG00000132646, ENSG00000035928, ENSG00000111602, ENSG00000131470, ENSG00000117748, ENSG00000111247, ENSG00000253729, ENSG00000159147, ENSG00000164045, ENSG00000147889, ENSG00000171848, ENSG00000102974, ENSG00000166508, ENSG00000101003, ENSG00000130816, ENSG00000148773, ENSG00000163950, ENSG00000105486, ENSG00000187109, ENSG00000014138	189	995	16792	8.393544441785647	3.501134554185653E-60	7.002269108371308E-61	5.8171142141720485E-59
GOTERM_CC_ALL	GO:0044428~nuclear part	146	73.0	4.3373475434076975E-58	ENSG00000072501, ENSG00000108106, ENSG00000077514, ENSG00000111875, ENSG00000113810, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000062822, ENSG00000166197, ENSG00000083642, ENSG00000177084, ENSG00000012048, ENSG00000124795, ENSG00000091651, ENSG00000155561, ENSG00000132341, ENSG00000115942, ENSG00000082898, ENSG00000113522, ENSG00000113368, ENSG00000111581, ENSG00000166483, ENSG00000101945, ENSG00000120802, ENSG00000124207, ENSG00000108055, ENSG00000164109, ENSG00000100297, ENSG00000164104, ENSG00000183765, ENSG00000106399, ENSG00000164985, ENSG00000076248, ENSG00000162607, ENSG00000131747, ENSG00000076003, ENSG00000106628, ENSG00000020922, ENSG00000076242, ENSG00000156802, ENSG00000136997, ENSG00000131462, ENSG00000157456, ENSG00000100916, ENSG00000178999, ENSG00000120699, ENSG00000117751, ENSG00000118655, ENSG00000122512, ENSG00000138376, ENSG00000134690, ENSG00000163029, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000161800, ENSG00000147536, ENSG00000106462, ENSG00000105011, ENSG00000101057, ENSG00000104320, ENSG00000136527, ENSG00000135316, ENSG00000071243, ENSG00000010292, ENSG00000117748, ENSG00000138668, ENSG00000111247, ENSG00000253729, ENSG00000205339, ENSG00000147889, ENSG00000170515, ENSG00000124789, ENSG00000171848, ENSG00000145220, ENSG00000130816, ENSG00000163950, ENSG00000014138, ENSG00000105486, ENSG00000099901, ENSG00000073111, ENSG00000146263, ENSG00000137309, ENSG00000075131, ENSG00000113456, ENSG00000111276, ENSG00000077152, ENSG00000167005, ENSG00000115350, ENSG00000136450, ENSG00000189159, ENSG00000182481, ENSG00000100941, ENSG00000181938, ENSG00000146143, ENSG00000108384, ENSG00000149136, ENSG00000161547, ENSG00000090889, ENSG00000128951, ENSG00000133119, ENSG00000196230, ENSG00000112118, ENSG00000156970, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000104738, ENSG00000132780, ENSG00000118007, ENSG00000101224, ENSG00000100410, ENSG00000142731, ENSG00000124762, ENSG00000100162, ENSG00000095002, ENSG00000108848, ENSG00000049541, ENSG00000104889, ENSG00000170312, ENSG00000024526, ENSG00000172336, ENSG00000117399, ENSG00000196419, ENSG00000166851, ENSG00000136273, ENSG00000188486, ENSG00000143815, ENSG00000164032, ENSG00000105173, ENSG00000087586, ENSG00000141510, ENSG00000102054, ENSG00000132646, ENSG00000129351, ENSG00000035928, ENSG00000111602, ENSG00000143401, ENSG00000164045, ENSG00000125835, ENSG00000102974, ENSG00000123136, ENSG00000166508, ENSG00000101003, ENSG00000148773	191	3981	18224	3.49921814482667	1.891083528925756E-55	6.303611763085854E-56	4.78554012289316E-54
GOTERM_BP_ALL	GO:0051276~chromosome organization	95	47.5	6.2456522922342896E-58	ENSG00000072501, ENSG00000077514, ENSG00000073111, ENSG00000111875, ENSG00000137309, ENSG00000113810, ENSG00000076382, ENSG00000086827, ENSG00000062822, ENSG00000013810, ENSG00000115350, ENSG00000029993, ENSG00000119969, ENSG00000083642, ENSG00000146143, ENSG00000142945, ENSG00000177084, ENSG00000108384, ENSG00000090889, ENSG00000164611, ENSG00000012048, ENSG00000124795, ENSG00000152253, ENSG00000133119, ENSG00000156970, ENSG00000112118, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000104738, ENSG00000132780, ENSG00000082898, ENSG00000113522, ENSG00000111581, ENSG00000118007, ENSG00000101945, ENSG00000108055, ENSG00000071539, ENSG00000126787, ENSG00000164109, ENSG00000100297, ENSG00000079616, ENSG00000164104, ENSG00000106399, ENSG00000100162, ENSG00000095002, ENSG00000049541, ENSG00000131747, ENSG00000076003, ENSG00000138778, ENSG00000106628, ENSG00000020922, ENSG00000076242, ENSG00000170312, ENSG00000156802, ENSG00000136997, ENSG00000100916, ENSG00000178999, ENSG00000117399, ENSG00000186185, ENSG00000118655, ENSG00000196419, ENSG00000166851, ENSG00000134690, ENSG00000188486, ENSG00000164032, ENSG00000163029, ENSG00000087586, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000161800, ENSG00000105011, ENSG00000147536, ENSG00000106462, ENSG00000141510, ENSG00000104320, ENSG00000102054, ENSG00000132646, ENSG00000071243, ENSG00000035928, ENSG00000010292, ENSG00000135476, ENSG00000117748, ENSG00000253729, ENSG00000143401, ENSG00000147889, ENSG00000102974, ENSG00000166508, ENSG00000101003, ENSG00000130816, ENSG00000148773, ENSG00000105486, ENSG00000187109, ENSG00000014138	189	1184	16792	7.128735878735879	1.7306702501781216E-54	2.884450416963536E-55	2.396248596120556E-53
GOTERM_CC_ALL	GO:0031981~nuclear lumen	140	70.0	1.345476845978152E-57	ENSG00000072501, ENSG00000077514, ENSG00000111875, ENSG00000113810, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000062822, ENSG00000166197, ENSG00000083642, ENSG00000177084, ENSG00000012048, ENSG00000124795, ENSG00000091651, ENSG00000155561, ENSG00000132341, ENSG00000115942, ENSG00000082898, ENSG00000113522, ENSG00000113368, ENSG00000111581, ENSG00000166483, ENSG00000101945, ENSG00000124207, ENSG00000108055, ENSG00000100297, ENSG00000164104, ENSG00000183765, ENSG00000106399, ENSG00000164985, ENSG00000076248, ENSG00000162607, ENSG00000131747, ENSG00000076003, ENSG00000106628, ENSG00000020922, ENSG00000076242, ENSG00000156802, ENSG00000136997, ENSG00000131462, ENSG00000157456, ENSG00000100916, ENSG00000178999, ENSG00000120699, ENSG00000117751, ENSG00000118655, ENSG00000122512, ENSG00000138376, ENSG00000134690, ENSG00000163029, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000161800, ENSG00000147536, ENSG00000106462, ENSG00000105011, ENSG00000101057, ENSG00000104320, ENSG00000136527, ENSG00000135316, ENSG00000071243, ENSG00000010292, ENSG00000117748, ENSG00000138668, ENSG00000111247, ENSG00000253729, ENSG00000205339, ENSG00000147889, ENSG00000170515, ENSG00000124789, ENSG00000171848, ENSG00000145220, ENSG00000130816, ENSG00000163950, ENSG00000014138, ENSG00000105486, ENSG00000073111, ENSG00000146263, ENSG00000137309, ENSG00000075131, ENSG00000113456, ENSG00000111276, ENSG00000077152, ENSG00000167005, ENSG00000115350, ENSG00000136450, ENSG00000189159, ENSG00000182481, ENSG00000100941, ENSG00000181938, ENSG00000146143, ENSG00000108384, ENSG00000149136, ENSG00000161547, ENSG00000090889, ENSG00000128951, ENSG00000133119, ENSG00000112118, ENSG00000156970, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000104738, ENSG00000132780, ENSG00000118007, ENSG00000101224, ENSG00000100410, ENSG00000142731, ENSG00000124762, ENSG00000100162, ENSG00000095002, ENSG00000108848, ENSG00000049541, ENSG00000104889, ENSG00000170312, ENSG00000024526, ENSG00000172336, ENSG00000117399, ENSG00000196419, ENSG00000166851, ENSG00000136273, ENSG00000188486, ENSG00000164032, ENSG00000105173, ENSG00000087586, ENSG00000141510, ENSG00000102054, ENSG00000132646, ENSG00000129351, ENSG00000035928, ENSG00000111602, ENSG00000143401, ENSG00000164045, ENSG00000125835, ENSG00000102974, ENSG00000123136, ENSG00000166508, ENSG00000101003, ENSG00000148773	191	3592	18224	3.7187933627957412	5.866279048464742E-55	1.4665697621161856E-55	1.1133820900469207E-53
