Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	128	64.0	1.4192628552503851E-58	ENSG00000072501, ENSG00000077514, ENSG00000111875, ENSG00000113810, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000062822, ENSG00000166197, ENSG00000083642, ENSG00000177084, ENSG00000012048, ENSG00000124795, ENSG00000091651, ENSG00000155561, ENSG00000132341, ENSG00000115942, ENSG00000082898, ENSG00000113522, ENSG00000113368, ENSG00000111581, ENSG00000166483, ENSG00000101945, ENSG00000124207, ENSG00000108055, ENSG00000100297, ENSG00000164104, ENSG00000183765, ENSG00000106399, ENSG00000164985, ENSG00000076248, ENSG00000162607, ENSG00000131747, ENSG00000076003, ENSG00000106628, ENSG00000020922, ENSG00000076242, ENSG00000156802, ENSG00000136997, ENSG00000157456, ENSG00000178999, ENSG00000120699, ENSG00000117751, ENSG00000122512, ENSG00000138376, ENSG00000134690, ENSG00000163029, ENSG00000149554, ENSG00000089685, ENSG00000161800, ENSG00000147536, ENSG00000106462, ENSG00000105011, ENSG00000101057, ENSG00000104320, ENSG00000136527, ENSG00000135316, ENSG00000071243, ENSG00000010292, ENSG00000117748, ENSG00000138668, ENSG00000111247, ENSG00000253729, ENSG00000205339, ENSG00000147889, ENSG00000170515, ENSG00000124789, ENSG00000171848, ENSG00000130816, ENSG00000163950, ENSG00000014138, ENSG00000105486, ENSG00000073111, ENSG00000146263, ENSG00000137309, ENSG00000075131, ENSG00000113456, ENSG00000111276, ENSG00000077152, ENSG00000167005, ENSG00000136450, ENSG00000182481, ENSG00000100941, ENSG00000181938, ENSG00000146143, ENSG00000108384, ENSG00000149136, ENSG00000161547, ENSG00000090889, ENSG00000128951, ENSG00000133119, ENSG00000112118, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000104738, ENSG00000132780, ENSG00000118007, ENSG00000101224, ENSG00000100410, ENSG00000124762, ENSG00000100162, ENSG00000095002, ENSG00000108848, ENSG00000049541, ENSG00000104889, ENSG00000170312, ENSG00000024526, ENSG00000172336, ENSG00000117399, ENSG00000196419, ENSG00000166851, ENSG00000136273, ENSG00000188486, ENSG00000105173, ENSG00000087586, ENSG00000141510, ENSG00000102054, ENSG00000132646, ENSG00000129351, ENSG00000035928, ENSG00000111602, ENSG00000164045, ENSG00000125835, ENSG00000102974, ENSG00000123136, ENSG00000166508, ENSG00000101003	191	2784	18224	4.386832761629656	3.8462023377285438E-56	3.8462023377285438E-56	3.1223782815508475E-54
GOTERM_BP_DIRECT	GO:0006260~DNA replication	43	21.5	4.803742959379138E-47	ENSG00000077514, ENSG00000073111, ENSG00000049541, ENSG00000104889, ENSG00000076003, ENSG00000106628, ENSG00000075131, ENSG00000020922, ENSG00000113456, ENSG00000170312, ENSG00000062822, ENSG00000138376, ENSG00000136273, ENSG00000181938, ENSG00000149554, ENSG00000177084, ENSG00000149136, ENSG00000147536, ENSG00000012048, ENSG00000104320, ENSG00000128951, ENSG00000102054, ENSG00000133119, ENSG00000132646, ENSG00000112118, ENSG00000091651, ENSG00000035928, ENSG00000111602, ENSG00000132383, ENSG00000117748, ENSG00000136982, ENSG00000115942, ENSG00000104738, ENSG00000132780, ENSG00000113522, ENSG00000164045, ENSG00000171848, ENSG00000166508, ENSG00000100297, ENSG00000106399, ENSG00000187109, ENSG00000105486, ENSG00000014138	189	155	16792	24.647755589691073	4.837369160094792E-44	4.837369160094792E-44	4.3185649204818456E-42
GOTERM_CC_DIRECT	GO:0005634~nucleus	145	72.5	1.3294320457973577E-39	ENSG00000072501, ENSG00000077514, ENSG00000111875, ENSG00000113810, ENSG00000135446, ENSG00000076382, ENSG00000062822, ENSG00000083642, ENSG00000183011, ENSG00000142945, ENSG00000177084, ENSG00000164611, ENSG00000012048, ENSG00000165304, ENSG00000124795, ENSG00000156136, ENSG00000091651, ENSG00000129173, ENSG00000134001, ENSG00000132341, ENSG00000115942, ENSG00000082898, ENSG00000166483, ENSG00000101945, ENSG00000120802, ENSG00000124207, ENSG00000071539, ENSG00000108055, ENSG00000164109, ENSG00000100297, ENSG00000164104, ENSG00000106399, ENSG00000164985, ENSG00000076248, ENSG00000162607, ENSG00000131747, ENSG00000076003, ENSG00000138778, ENSG00000106628, ENSG00000020922, ENSG00000076242, ENSG00000156802, ENSG00000136997, ENSG00000157456, ENSG00000178999, ENSG00000120699, ENSG00000117751, ENSG00000122512, ENSG00000138376, ENSG00000134690, ENSG00000100526, ENSG00000163029, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000161800, ENSG00000147536, ENSG00000106462, ENSG00000105011, ENSG00000239672, ENSG00000104320, ENSG00000136527, ENSG00000135316, ENSG00000071243, ENSG00000010292, ENSG00000131470, ENSG00000117748, ENSG00000138668, ENSG00000111247, ENSG00000147889, ENSG00000170515, ENSG00000171848, ENSG00000145220, ENSG00000130816, ENSG00000163950, ENSG00000187109, ENSG00000105486, ENSG00000099901, ENSG00000073111, ENSG00000137309, ENSG00000213347, ENSG00000075131, ENSG00000113456, ENSG00000111276, ENSG00000077152, ENSG00000086827, ENSG00000167005, ENSG00000115350, ENSG00000136450, ENSG00000029993, ENSG00000189159, ENSG00000182481, ENSG00000119969, ENSG00000181938, ENSG00000108384, ENSG00000149136, ENSG00000161547, ENSG00000128951, ENSG00000152253, ENSG00000196230, ENSG00000112118, ENSG00000139618, ENSG00000139734, ENSG00000132383, ENSG00000104738, ENSG00000132780, ENSG00000137310, ENSG00000118007, ENSG00000126787, ENSG00000079616, ENSG00000124762, ENSG00000108848, ENSG00000123080, ENSG00000144580, ENSG00000170312, ENSG00000024526, ENSG00000172336, ENSG00000117399, ENSG00000186185, ENSG00000196419, ENSG00000166851, ENSG00000136273, ENSG00000188486, ENSG00000164032, ENSG00000105173, ENSG00000087586, ENSG00000141510, ENSG00000102054, ENSG00000132646, ENSG00000129351, ENSG00000035928, ENSG00000111602, ENSG00000135476, ENSG00000159147, ENSG00000135473, ENSG00000143401, ENSG00000164045, ENSG00000125835, ENSG00000170836, ENSG00000102974, ENSG00000123136, ENSG00000166508, ENSG00000101003, ENSG00000148773, ENSG00000123131	191	5415	18224	2.554935147181815	3.6027608441108393E-37	1.8013804220554197E-37	1.4623752503770935E-35
KEGG_PATHWAY	hsa04110:Cell cycle	34	17.0	8.774522809640205E-33	ENSG00000072501, ENSG00000123080, ENSG00000073111, ENSG00000076003, ENSG00000170312, ENSG00000136997, ENSG00000157456, ENSG00000135446, ENSG00000111276, ENSG00000117399, ENSG00000166851, ENSG00000105173, ENSG00000149554, ENSG00000164611, ENSG00000141510, ENSG00000132646, ENSG00000112118, ENSG00000091651, ENSG00000156970, ENSG00000135476, ENSG00000115942, ENSG00000104738, ENSG00000253729, ENSG00000164045, ENSG00000147889, ENSG00000118007, ENSG00000166483, ENSG00000108055, ENSG00000166508, ENSG00000101224, ENSG00000164109, ENSG00000100297, ENSG00000183765, ENSG00000124762	110	124	6879	17.14706744868035	7.5460896162905765E-31	7.5460896162905765E-31	6.054420738651741E-29
KEGG_PATHWAY	hsa03030:DNA replication	22	11.0	9.504609460671803E-30	ENSG00000133119, ENSG00000132646, ENSG00000112118, ENSG00000077514, ENSG00000073111, ENSG00000035928, ENSG00000049541, ENSG00000104889, ENSG00000132383, ENSG00000117748, ENSG00000076003, ENSG00000106628, ENSG00000104738, ENSG00000062822, ENSG00000115350, ENSG00000146143, ENSG00000166508, ENSG00000177084, ENSG00000100297, ENSG00000106399, ENSG00000014138, ENSG00000105486	110	36	6879	38.21666666666667	8.17396413617775E-28	4.086982068088875E-28	3.279090263931772E-26
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	27	13.5	1.893696595279752E-28	ENSG00000099901, ENSG00000123080, ENSG00000073111, ENSG00000076003, ENSG00000170312, ENSG00000135446, ENSG00000111276, ENSG00000100526, ENSG00000146143, ENSG00000105173, ENSG00000177084, ENSG00000132646, ENSG00000112118, ENSG00000091651, ENSG00000132383, ENSG00000117748, ENSG00000115942, ENSG00000104738, ENSG00000164045, ENSG00000147889, ENSG00000171848, ENSG00000166508, ENSG00000100297, ENSG00000106399, ENSG00000124762, ENSG00000014138, ENSG00000103342	189	102	16792	23.518207282913163	1.9069524714467104E-25	9.534762357233552E-26	8.512166195782487E-24
GOTERM_BP_DIRECT	GO:0051301~cell division	40	20.0	6.698379878512745E-28	ENSG00000108106, ENSG00000072501, ENSG00000113810, ENSG00000138778, ENSG00000075131, ENSG00000170312, ENSG00000173207, ENSG00000157456, ENSG00000135446, ENSG00000076382, ENSG00000086827, ENSG00000117399, ENSG00000186185, ENSG00000013810, ENSG00000134690, ENSG00000119969, ENSG00000083642, ENSG00000142945, ENSG00000105173, ENSG00000087586, ENSG00000089685, ENSG00000161888, ENSG00000164611, ENSG00000152253, ENSG00000156970, ENSG00000196230, ENSG00000111602, ENSG00000010292, ENSG00000111665, ENSG00000132341, ENSG00000164045, ENSG00000118007, ENSG00000123975, ENSG00000166483, ENSG00000108055, ENSG00000101224, ENSG00000164109, ENSG00000100297, ENSG00000183765, ENSG00000105486	189	350	16792	10.153892668178383	6.745268537662335E-25	2.248422845887445E-25	2.007281170260986E-23
GOTERM_BP_DIRECT	GO:0000722~telomere maintenance via recombination	18	9.0	1.5830775142504976E-25	ENSG00000133119, ENSG00000132646, ENSG00000077514, ENSG00000139618, ENSG00000035928, ENSG00000049541, ENSG00000132383, ENSG00000117748, ENSG00000106628, ENSG00000113522, ENSG00000062822, ENSG00000163029, ENSG00000146143, ENSG00000177084, ENSG00000108384, ENSG00000106399, ENSG00000014138, ENSG00000105486	189	32	16792	49.976190476190474	1.594159056850251E-22	3.9853976421256276E-23	3.557966713277994E-21
GOTERM_MF_DIRECT	GO:0005515~protein binding	165	82.5	5.207359628030173E-25	ENSG00000072501, ENSG00000077514, ENSG00000111875, ENSG00000113810, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000062822, ENSG00000013810, ENSG00000166197, ENSG00000083642, ENSG00000183011, ENSG00000142945, ENSG00000164611, ENSG00000012048, ENSG00000165304, ENSG00000091651, ENSG00000155561, ENSG00000129173, ENSG00000134001, ENSG00000179958, ENSG00000132341, ENSG00000115942, ENSG00000082898, ENSG00000113522, ENSG00000113368, ENSG00000111581, ENSG00000166483, ENSG00000101945, ENSG00000124207, ENSG00000071539, ENSG00000108055, ENSG00000164109, ENSG00000100297, ENSG00000164104, ENSG00000183765, ENSG00000161996, ENSG00000106399, ENSG00000164985, ENSG00000076248, ENSG00000162607, ENSG00000131747, ENSG00000076003, ENSG00000138778, ENSG00000106628, ENSG00000128050, ENSG00000020922, ENSG00000076242, ENSG00000136997, ENSG00000131462, ENSG00000157456, ENSG00000100916, ENSG00000178999, ENSG00000120699, ENSG00000117751, ENSG00000118655, ENSG00000122512, ENSG00000138376, ENSG00000134690, ENSG00000100526, ENSG00000163029, ENSG00000149554, ENSG00000089685, ENSG00000161888, ENSG00000167900, ENSG00000161800, ENSG00000147536, ENSG00000106462, ENSG00000105011, ENSG00000239672, ENSG00000101057, ENSG00000104320, ENSG00000136527, ENSG00000135316, ENSG00000010292, ENSG00000117748, ENSG00000138668, ENSG00000072571, ENSG00000111247, ENSG00000253729, ENSG00000205339, ENSG00000147889, ENSG00000170515, ENSG00000123975, ENSG00000124789, ENSG00000171848, ENSG00000145220, ENSG00000130816, ENSG00000163950, ENSG00000187109, ENSG00000103342, ENSG00000073111, ENSG00000146263, ENSG00000137309, ENSG00000213347, ENSG00000075131, ENSG00000113456, ENSG00000111276, ENSG00000086827, ENSG00000167005, ENSG00000115350, ENSG00000136450, ENSG00000029993, ENSG00000182481, ENSG00000119969, ENSG00000108384, ENSG00000149136, ENSG00000161547, ENSG00000090889, ENSG00000128951, ENSG00000152253, ENSG00000133119, ENSG00000196230, ENSG00000112118, ENSG00000156970, ENSG00000139618, ENSG00000132383, ENSG00000136982, ENSG00000111665, ENSG00000104738, ENSG00000072274, ENSG00000132780, ENSG00000118007, ENSG00000126787, ENSG00000147224, ENSG00000101224, ENSG00000079616, ENSG00000142731, ENSG00000124762, ENSG00000095002, ENSG00000108848, ENSG00000123080, ENSG00000049541, ENSG00000144580, ENSG00000170312, ENSG00000024526, ENSG00000172336, ENSG00000117399, ENSG00000186185, ENSG00000136270, ENSG00000196419, ENSG00000166851, ENSG00000136273, ENSG00000188486, ENSG00000143815, ENSG00000164032, ENSG00000105173, ENSG00000087586, ENSG00000141510, ENSG00000102054, ENSG00000132646, ENSG00000129351, ENSG00000035928, ENSG00000111602, ENSG00000135476, ENSG00000135473, ENSG00000164045, ENSG00000125835, ENSG00000170836, ENSG00000102974, ENSG00000123136, ENSG00000166508, ENSG00000148773, ENSG00000123131, ENSG00000103540	189	8785	16881	1.6775618613979457	1.6455256424575348E-22	1.6455256424575348E-22	1.4788901343605692E-20
REACTOME_PATHWAY	R-HSA-5685942:R-HSA-5685942	20	10.0	3.284757859187078E-22	ENSG00000133119, ENSG00000132646, ENSG00000077514, ENSG00000139618, ENSG00000035928, ENSG00000049541, ENSG00000132383, ENSG00000117748, ENSG00000106628, ENSG00000111247, ENSG00000020922, ENSG00000113522, ENSG00000062822, ENSG00000115350, ENSG00000138376, ENSG00000177084, ENSG00000108384, ENSG00000012048, ENSG00000106399, ENSG00000104320	151	48	9075	25.04139072847682	7.850571283457116E-20	7.883418862048987E-20	4.8285940530050045E-18
