Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0003009~skeletal muscle contraction	21	48.837209302325576	2.7513834412324048E-52	ENSG00000092054, ENSG00000135902, ENSG00000130598, ENSG00000105048, ENSG00000101470, ENSG00000129991, ENSG00000105357, ENSG00000173991, ENSG00000198771, ENSG00000114854, ENSG00000170175, ENSG00000133020, ENSG00000130595, ENSG00000152413, ENSG00000138435, ENSG00000185482, ENSG00000159173, ENSG00000109063, ENSG00000162004, ENSG00000167658, ENSG00000213341	39	24	16792	376.7435897435897	9.960008057261305E-50	9.960008057261305E-50	9.052051521654612E-48
GOTERM_BP_DIRECT	GO:0030049~muscle filament sliding	13	30.23255813953488	6.73630166755477E-24	ENSG00000092054, ENSG00000130598, ENSG00000105048, ENSG00000101470, ENSG00000129991, ENSG00000173991, ENSG00000114854, ENSG00000248746, ENSG00000133020, ENSG00000130595, ENSG00000198947, ENSG00000159173, ENSG00000109063	39	38	16792	147.2982456140351	2.438541203654827E-21	1.2192706018274135E-21	1.1081216243127597E-19
REACTOME_PATHWAY	R-HSA-390522:R-HSA-390522	12	27.906976744186046	2.310150078706874E-20	ENSG00000130598, ENSG00000105048, ENSG00000101470, ENSG00000129991, ENSG00000159173, ENSG00000109063, ENSG00000173991, ENSG00000114854, ENSG00000248746, ENSG00000133020, ENSG00000130595, ENSG00000198947	30	36	9075	100.83333333333334	1.3167855448629181E-18	1.3398870456499869E-18	1.3167855448629182E-16
GOTERM_CC_DIRECT	GO:0005861~troponin complex	7	16.27906976744186	1.790514541432234E-15	ENSG00000130598, ENSG00000105048, ENSG00000101470, ENSG00000129991, ENSG00000159173, ENSG00000114854, ENSG00000130595	40	8	18224	398.65	1.936228954946273E-13	1.9516608501611352E-13	1.7009888143606223E-11
GOTERM_BP_DIRECT	GO:0014883~transition between fast and slow fiber	6	13.953488372093023	9.449257036690301E-13	ENSG00000092054, ENSG00000105048, ENSG00000159173, ENSG00000114854, ENSG00000248746, ENSG00000174437	39	7	16792	369.0549450549451	3.420577154855664E-10	1.140210349093963E-10	1.0362685216903698E-8
GOTERM_BP_DIRECT	GO:0060048~cardiac muscle contraction	8	18.6046511627907	7.219076780399223E-12	ENSG00000092054, ENSG00000130598, ENSG00000129991, ENSG00000159173, ENSG00000173991, ENSG00000171298, ENSG00000114854, ENSG00000198947	39	45	16792	76.54472934472935	2.6133193387067877E-9	6.533264486261297E-10	5.937690651878361E-8
GOTERM_BP_DIRECT	GO:0006936~muscle contraction	8	18.6046511627907	3.751731206388805E-9	ENSG00000092054, ENSG00000135902, ENSG00000144681, ENSG00000170175, ENSG00000248746, ENSG00000133020, ENSG00000182533, ENSG00000007314	39	107	16792	32.191708602923555	1.358125796047105E-6	2.7162533934254953E-7	2.4686391338038337E-5
GOTERM_BP_DIRECT	GO:0006937~regulation of muscle contraction	5	11.627906976744185	2.1952998021694903E-8	ENSG00000130598, ENSG00000105048, ENSG00000101470, ENSG00000114854, ENSG00000130595	39	14	16792	153.77289377289375	7.946953777038246E-6	1.324497547308926E-6	1.203756058189604E-4
GOTERM_MF_DIRECT	GO:0031014~troponin T binding	4	9.30232558139535	3.871313017860512E-8	ENSG00000130598, ENSG00000105048, ENSG00000129991, ENSG00000114854	38	4	16881	444.2368421052631	3.94873155507014E-6	3.9487392782177226E-6	3.2519029350028305E-4
GOTERM_BP_DIRECT	GO:1903779~regulation of cardiac conduction	6	13.953488372093023	1.586012643502191E-7	ENSG00000129991, ENSG00000196296, ENSG00000143318, ENSG00000100678, ENSG00000104936, ENSG00000174437	39	56	16792	46.13186813186814	5.7412014112689924E-5	8.201951099254187E-6	7.454259424460297E-4
