Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu03320:PPAR signaling pathway	74	97.36842105263158	1.1664939724333573E-165	ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000030382, ENSMUSG00000050195, ENSMUSG00000024981, ENSMUSG00000032083, ENSMUSG00000027533, ENSMUSG00000023057, ENSMUSG00000032081, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000028427, ENSMUSG00000024665, ENSMUSG00000024900, ENSMUSG00000050553, ENSMUSG00000030546, ENSMUSG00000031710, ENSMUSG00000010651, ENSMUSG00000032079, ENSMUSG00000030890, ENSMUSG00000028773, ENSMUSG00000078597, ENSMUSG00000062908, ENSMUSG00000040618, ENSMUSG00000041620, ENSMUSG00000008348, ENSMUSG00000002289, ENSMUSG00000020333, ENSMUSG00000043089, ENSMUSG00000019874, ENSMUSG00000022878, ENSMUSG00000020777, ENSMUSG00000050445, ENSMUSG00000028240, ENSMUSG00000002250, ENSMUSG00000005681, ENSMUSG00000007783, ENSMUSG00000030162, ENSMUSG00000015846, ENSMUSG00000026385, ENSMUSG00000029098, ENSMUSG00000063929, ENSMUSG00000022383, ENSMUSG00000025059, ENSMUSG00000024122, ENSMUSG00000024600, ENSMUSG00000028603, ENSMUSG00000062515, ENSMUSG00000027359, ENSMUSG00000027513, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000028607, ENSMUSG00000020405, ENSMUSG00000015568, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000066072, ENSMUSG00000066071, ENSMUSG00000059316, ENSMUSG00000026170, ENSMUSG00000054422, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000000440, ENSMUSG00000028712, ENSMUSG00000025006, ENSMUSG00000022853, ENSMUSG00000031808, ENSMUSG00000002944, ENSMUSG00000002108, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000017754	76	80	7691	93.60756578947368	8.865354190493516E-164	8.865354190493516E-164	6.765665040113472E-162
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	33	43.42105263157895	6.469132425110391E-48	ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000005681, ENSMUSG00000007783, ENSMUSG00000030382, ENSMUSG00000029098, ENSMUSG00000050195, ENSMUSG00000024981, ENSMUSG00000022383, ENSMUSG00000023057, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000062515, ENSMUSG00000024665, ENSMUSG00000027359, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000028607, ENSMUSG00000024900, ENSMUSG00000066072, ENSMUSG00000010651, ENSMUSG00000066071, ENSMUSG00000059316, ENSMUSG00000062908, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000022853, ENSMUSG00000031808, ENSMUSG00000020777, ENSMUSG00000002944, ENSMUSG00000036138, ENSMUSG00000078937	73	156	18082	52.39778714436248	4.030269500843773E-45	4.030269500843773E-45	3.622714158061819E-43
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	37	48.68421052631579	1.7464858349443814E-38	ENSMUSG00000028240, ENSMUSG00000002250, ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000007783, ENSMUSG00000030382, ENSMUSG00000029098, ENSMUSG00000050195, ENSMUSG00000027875, ENSMUSG00000024981, ENSMUSG00000022383, ENSMUSG00000027533, ENSMUSG00000032083, ENSMUSG00000026003, ENSMUSG00000032081, ENSMUSG00000021751, ENSMUSG00000024665, ENSMUSG00000027359, ENSMUSG00000027513, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000028607, ENSMUSG00000024900, ENSMUSG00000015568, ENSMUSG00000030546, ENSMUSG00000010651, ENSMUSG00000059316, ENSMUSG00000062908, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000022853, ENSMUSG00000031808, ENSMUSG00000020777, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000017754	73	459	18082	19.966991971826783	1.0880606751703496E-35	5.440303375851748E-36	4.890160337844268E-34
KEGG_PATHWAY	mmu00071:Fatty acid degradation	21	27.631578947368425	8.76317352121367E-29	ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000007783, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000024981, ENSMUSG00000026003, ENSMUSG00000020333, ENSMUSG00000028712, ENSMUSG00000022853, ENSMUSG00000028607, ENSMUSG00000018796, ENSMUSG00000020777, ENSMUSG00000024900, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000066072, ENSMUSG00000010651, ENSMUSG00000066071	76	49	7691	43.370300751879704	6.66001187612239E-27	3.330005938061195E-27	2.541320321151964E-25
KEGG_PATHWAY	mmu01212:Fatty acid metabolism	21	27.631578947368425	2.368341540896434E-28	ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000007783, ENSMUSG00000062908, ENSMUSG00000050195, ENSMUSG00000029098, ENSMUSG00000024981, ENSMUSG00000025202, ENSMUSG00000026003, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000024665, ENSMUSG00000022853, ENSMUSG00000037071, ENSMUSG00000028607, ENSMUSG00000018796, ENSMUSG00000020777, ENSMUSG00000024900, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000010651	76	51	7691	41.66950464396285	1.79993957108129E-26	5.9997985702709664E-27	4.578793645733106E-25
GOTERM_BP_DIRECT	GO:0015908~fatty acid transport	11	14.473684210526317	2.222444712326775E-20	ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000002250, ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000002944, ENSMUSG00000030382, ENSMUSG00000024981, ENSMUSG00000024600, ENSMUSG00000020333, ENSMUSG00000027359	73	18	18082	151.37138508371385	1.3845830557795808E-17	4.615276852598603E-18	4.14856346300998E-16
GOTERM_BP_DIRECT	GO:0006635~fatty acid beta-oxidation	13	17.105263157894736	1.1462458713216417E-19	ENSMUSG00000002250, ENSMUSG00000007783, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000021751, ENSMUSG00000027359, ENSMUSG00000022853, ENSMUSG00000022878, ENSMUSG00000020777, ENSMUSG00000024900, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000010651	73	44	18082	73.18368617683686	7.141111778333827E-17	1.7852779445834568E-17	1.6047442198502984E-15
GOTERM_MF_DIRECT	GO:0004467~long-chain fatty acid-CoA ligase activity	10	13.157894736842104	2.1482693034051538E-19	ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000030382, ENSMUSG00000024981, ENSMUSG00000024600, ENSMUSG00000020333, ENSMUSG00000027359	76	13	17446	176.57894736842104	4.704709774457287E-17	4.704709774457287E-17	3.5446443506185036E-15
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	27	35.526315789473685	1.4213251623007053E-18	ENSMUSG00000028240, ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000030382, ENSMUSG00000030162, ENSMUSG00000050195, ENSMUSG00000063929, ENSMUSG00000021751, ENSMUSG00000028603, ENSMUSG00000027359, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000024900, ENSMUSG00000066072, ENSMUSG00000066071, ENSMUSG00000078597, ENSMUSG00000025202, ENSMUSG00000000440, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000028712, ENSMUSG00000031808, ENSMUSG00000020777, ENSMUSG00000002944, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000050445	76	751	19662	9.301177377531712	1.4071119106776983E-16	1.4071119106776983E-16	1.1228468782175572E-14
GOTERM_MF_DIRECT	GO:0005504~fatty acid binding	11	14.473684210526317	5.7771783399859156E-18	ENSMUSG00000002250, ENSMUSG00000019874, ENSMUSG00000054422, ENSMUSG00000020777, ENSMUSG00000028773, ENSMUSG00000020405, ENSMUSG00000029098, ENSMUSG00000027533, ENSMUSG00000023057, ENSMUSG00000021751, ENSMUSG00000062515	76	26	17446	97.11842105263159	1.2652020564569156E-15	6.326010282284578E-16	4.76617213048838E-14
