Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Hit
"m_pparPathway:Basic mechanism of action of PPARa, PPARb(d) and PPARg and effects on gene expression"	BIOCARTA	4	5.128205128	5.07E-06	"ENSMUSG00000002250, ENSMUSG00000015846, ENSMUSG00000022383, ENSMUSG00000000440"	16	4	1289	80.5625	1.27E-04	1.22E-04	0.01167221	Hit
m_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity	BIOCARTA	6	7.692307692	1.72E-05	"ENSMUSG00000002250, ENSMUSG00000002108, ENSMUSG00000078597, ENSMUSG00000022383, ENSMUSG00000050445, ENSMUSG00000000440"	16	32	1289	15.10546875	4.30E-04	2.07E-04	0.019802552	Hit
m_vobesityPathway:Visceral Fat Deposits and the Metabolic Syndrome	BIOCARTA	4	5.128205128	6.91E-05	"ENSMUSG00000022878, ENSMUSG00000015846, ENSMUSG00000015568, ENSMUSG00000000440"	16	8	1289	40.28125	0.001725554	5.53E-04	0.052960855	Hit
m_fxrPathway:FXR and LXR Regulation of Cholesterol Metabolism	BIOCARTA	3	3.846153846	0.002568062	"ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000020405"	16	7	1289	34.52678571	0.062261484	0.015408374	1.476635851	Hit
m_PPARgPathway:Role of PPAR-gamma Coactivators in Obesity and Thermogenesis	BIOCARTA	3	3.846153846	0.005392746	"ENSMUSG00000015846, ENSMUSG00000015568, ENSMUSG00000000440"	16	10	1289	24.16875	0.126444388	0.025885181	2.480663203	Low
m_cptPathway:Mitochondrial Carnitine Palmitoyltransferase (CPT) System	BIOCARTA	2	2.564102564	0.034532596	"ENSMUSG00000028607, ENSMUSG00000024900"	16	3	1289	53.70833333	0.584624964	0.138130385	13.2374952	Low
GO:0006631~fatty acid metabolic process	GOTERM_BP_DIRECT	35	44.87179487	1.46E-51	"ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000005681, ENSMUSG00000007783, ENSMUSG00000030382, ENSMUSG00000029098, ENSMUSG00000050195, ENSMUSG00000024981, ENSMUSG00000022383, ENSMUSG00000032281, ENSMUSG00000023057, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000062515, ENSMUSG00000024665, ENSMUSG00000027359, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000028607, ENSMUSG00000024207, ENSMUSG00000024900, ENSMUSG00000066072, ENSMUSG00000010651, ENSMUSG00000066071, ENSMUSG00000059316, ENSMUSG00000062908, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000022853, ENSMUSG00000031808, ENSMUSG00000020777, ENSMUSG00000002944, ENSMUSG00000036138, ENSMUSG00000078937"	75	156	18082	54.09145299	9.14E-49	9.14E-49	8.20E-47	Hit
GO:0006629~lipid metabolic process	GOTERM_BP_DIRECT	39	50	3.69E-41	"ENSMUSG00000028240, ENSMUSG00000002250, ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000007783, ENSMUSG00000030382, ENSMUSG00000029098, ENSMUSG00000050195, ENSMUSG00000027875, ENSMUSG00000024981, ENSMUSG00000022383, ENSMUSG00000027533, ENSMUSG00000032083, ENSMUSG00000032281, ENSMUSG00000026003, ENSMUSG00000032081, ENSMUSG00000021751, ENSMUSG00000024665, ENSMUSG00000027359, ENSMUSG00000027513, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000028607, ENSMUSG00000024207, ENSMUSG00000024900, ENSMUSG00000015568, ENSMUSG00000030546, ENSMUSG00000010651, ENSMUSG00000059316, ENSMUSG00000062908, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000022853, ENSMUSG00000031808, ENSMUSG00000020777, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000017754"	75	459	18082	20.48505447	2.30E-38	1.15E-38	1.03E-36	Hit
GO:0006635~fatty acid beta-oxidation	GOTERM_BP_DIRECT	14	17.94871795	1.38E-21	"ENSMUSG00000002250, ENSMUSG00000007783, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000021751, ENSMUSG00000027359, ENSMUSG00000022853, ENSMUSG00000022878, ENSMUSG00000020777, ENSMUSG00000024207, ENSMUSG00000024900, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000010651"	75	44	18082	76.71151515	8.64E-19	2.88E-19	2.59E-17	Hit
GO:0015908~fatty acid transport	GOTERM_BP_DIRECT	11	14.1025641	2.97E-20	"ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000002250, ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000002944, ENSMUSG00000030382, ENSMUSG00000024981, ENSMUSG00000024600, ENSMUSG00000020333, ENSMUSG00000027359"	75	18	18082	147.3348148	1.86E-17	4.64E-18	4.16E-16	Hit
