Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04668:TNF signaling pathway	32	16.0	1.984340467139996E-28	ENSG00000073756, ENSG00000163739, ENSG00000177606, ENSG00000171223, ENSG00000172216, ENSG00000003402, ENSG00000034152, ENSG00000169245, ENSG00000081041, ENSG00000023445, ENSG00000128342, ENSG00000107968, ENSG00000115009, ENSG00000136244, ENSG00000170345, ENSG00000173039, ENSG00000110330, ENSG00000100906, ENSG00000184371, ENSG00000118503, ENSG00000125538, ENSG00000232810, ENSG00000078401, ENSG00000056558, ENSG00000109320, ENSG00000271503, ENSG00000163734, ENSG00000108691, ENSG00000164400, ENSG00000184557, ENSG00000090339, ENSG00000101384	140	107	6879	14.69479305740988	3.432909008152193E-26	3.432909008152193E-26	2.401051965239395E-24
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	40	20.0	3.1422607687308654E-26	ENSG00000113916, ENSG00000110944, ENSG00000073756, ENSG00000049249, ENSG00000162924, ENSG00000163739, ENSG00000172216, ENSG00000150782, ENSG00000077150, ENSG00000169248, ENSG00000116044, ENSG00000163661, ENSG00000137462, ENSG00000125845, ENSG00000169245, ENSG00000164251, ENSG00000124875, ENSG00000081041, ENSG00000176170, ENSG00000104312, ENSG00000173391, ENSG00000104856, ENSG00000115008, ENSG00000115009, ENSG00000136244, ENSG00000170345, ENSG00000173039, ENSG00000275302, ENSG00000145901, ENSG00000184371, ENSG00000168884, ENSG00000121797, ENSG00000118503, ENSG00000125538, ENSG00000232810, ENSG00000109320, ENSG00000271503, ENSG00000163734, ENSG00000108691, ENSG00000123610	193	379	16792	9.182604891519816	6.155688845943765E-23	6.155688845943765E-23	5.750337206777484E-21
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	55	27.500000000000004	5.059015347221672E-23	ENSG00000110944, ENSG00000153234, ENSG00000166949, ENSG00000105835, ENSG00000177606, ENSG00000171223, ENSG00000157557, ENSG00000077150, ENSG00000116044, ENSG00000137462, ENSG00000125845, ENSG00000164251, ENSG00000106366, ENSG00000136826, ENSG00000175592, ENSG00000112715, ENSG00000075426, ENSG00000104856, ENSG00000170345, ENSG00000102908, ENSG00000185022, ENSG00000125538, ENSG00000078401, ENSG00000123358, ENSG00000221869, ENSG00000107201, ENSG00000101384, ENSG00000162924, ENSG00000172216, ENSG00000136997, ENSG00000150782, ENSG00000132510, ENSG00000122877, ENSG00000163660, ENSG00000169245, ENSG00000127528, ENSG00000119508, ENSG00000125347, ENSG00000162772, ENSG00000125740, ENSG00000104312, ENSG00000128342, ENSG00000114315, ENSG00000115008, ENSG00000120738, ENSG00000136244, ENSG00000173039, ENSG00000100906, ENSG00000142871, ENSG00000168884, ENSG00000145901, ENSG00000161011, ENSG00000232810, ENSG00000109320, ENSG00000122641	193	981	16792	4.877966334447772	9.910611065207255E-20	4.9553055326036274E-20	4.6289990427078296E-18
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	19	9.5	6.181662813395608E-16	ENSG00000115009, ENSG00000136244, ENSG00000113302, ENSG00000172216, ENSG00000173039, ENSG00000189067, ENSG00000168884, ENSG00000118503, ENSG00000169245, ENSG00000232810, ENSG00000121594, ENSG00000109320, ENSG00000108691, ENSG00000184588, ENSG00000164400, ENSG00000090339, ENSG00000106366, ENSG00000128016, ENSG00000165029	193	113	16792	14.629189784034114	1.304956143144409E-12	4.036625817147332E-13	3.770814316171321E-11
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	30	15.0	3.402914475394173E-15	ENSG00000110944, ENSG00000049249, ENSG00000163739, ENSG00000134352, ENSG00000150782, ENSG00000175505, ENSG00000169248, ENSG00000134470, ENSG00000125845, ENSG00000169245, ENSG00000124875, ENSG00000081041, ENSG00000128342, ENSG00000115008, ENSG00000115009, ENSG00000136244, ENSG00000113302, ENSG00000159128, ENSG00000275302, ENSG00000184371, ENSG00000125538, ENSG00000168685, ENSG00000232810, ENSG00000271503, ENSG00000163734, ENSG00000108691, ENSG00000125657, ENSG00000164400, ENSG00000144476, ENSG00000122641	140	243	6879	6.066137566137566	5.954126081064715E-13	2.94352102121596E-13	2.0587632576134747E-11
GOTERM_MF_DIRECT	GO:0005515~protein binding	151	75.5	4.453992980678335E-15	ENSG00000110944, ENSG00000070961, ENSG00000154640, ENSG00000115956, ENSG00000134352, ENSG00000175505, ENSG00000132334, ENSG00000137462, ENSG00000119922, ENSG00000102804, ENSG00000145779, ENSG00000134470, ENSG00000143878, ENSG00000185950, ENSG00000165029, ENSG00000136826, ENSG00000175592, ENSG00000112715, ENSG00000173334, ENSG00000116514, ENSG00000170345, ENSG00000102908, ENSG00000115267, ENSG00000110092, ENSG00000189067, ENSG00000138166, ENSG00000166401, ENSG00000165030, ENSG00000120129, ENSG00000056558, ENSG00000123358, ENSG00000221869, ENSG00000101384, ENSG00000110848, ENSG00000115738, ENSG00000026508, ENSG00000169242, ENSG00000168394, ENSG00000110047, ENSG00000205189, ENSG00000136997, ENSG00000150782, ENSG00000177426, ENSG00000122877, ENSG00000163660, ENSG00000163661, ENSG00000169248, ENSG00000123689, ENSG00000169245, ENSG00000127528, ENSG00000119508, ENSG00000125347, ENSG00000081041, ENSG00000176170, ENSG00000145632, ENSG00000104312, ENSG00000134107, ENSG00000126561, ENSG00000128342, ENSG00000162616, ENSG00000120738, ENSG00000136244, ENSG00000113302, ENSG00000100906, ENSG00000145901, ENSG00000137331, ENSG00000161011, ENSG00000168685, ENSG00000232810, ENSG00000109320, ENSG00000109321, ENSG00000146278, ENSG00000123610, ENSG00000164400, ENSG00000122641, ENSG00000124145, ENSG00000011422, ENSG00000153234, ENSG00000073756, ENSG00000166949, ENSG00000105835, ENSG00000099860, ENSG00000177606, ENSG00000171223, ENSG00000171621, ENSG00000137267, ENSG00000003402, ENSG00000157557, ENSG00000077150, ENSG00000116044, ENSG00000139289, ENSG00000118515, ENSG00000125845, ENSG00000034152, ENSG00000164251, ENSG00000155090, ENSG00000106366, ENSG00000075426, ENSG00000133639, ENSG00000116717, ENSG00000131459, ENSG00000131979, ENSG00000107968, ENSG00000104856, ENSG00000117525, ENSG00000110330, ENSG00000142178, ENSG00000184371, ENSG00000078401, ENSG00000143384, ENSG00000125733, ENSG00000087074, ENSG00000067082, ENSG00000144476, ENSG00000122861, ENSG00000124762, ENSG00000107201, ENSG00000113916, ENSG00000131669, ENSG00000162924, ENSG00000162407, ENSG00000164949, ENSG00000172216, ENSG00000171522, ENSG00000132510, ENSG00000162772, ENSG00000128016, ENSG00000023445, ENSG00000173391, ENSG00000136048, ENSG00000159388, ENSG00000114315, ENSG00000115008, ENSG00000115009, ENSG00000130066, ENSG00000173039, ENSG00000275302, ENSG00000163110, ENSG00000168884, ENSG00000158050, ENSG00000118503, ENSG00000136560, ENSG00000121594, ENSG00000146232, ENSG00000059728, ENSG00000124225, ENSG00000271503, ENSG00000184557, ENSG00000162783, ENSG00000090339, ENSG00000140379	190	8785	16881	1.5271431566965221	1.758593271006248E-12	1.7637812203486207E-12	1.634615423908949E-10
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	18	9.0	8.652729541027926E-13	ENSG00000023445, ENSG00000073756, ENSG00000104856, ENSG00000003402, ENSG00000173039, ENSG00000110330, ENSG00000100906, ENSG00000275302, ENSG00000077150, ENSG00000118503, ENSG00000125538, ENSG00000232810, ENSG00000056558, ENSG00000109320, ENSG00000140379, ENSG00000090339, ENSG00000122861, ENSG00000107201	140	87	6879	10.166009852216748	1.4969825379296253E-10	4.559998759740269E-11	3.189363294384812E-9
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	18	9.0	1.054334973350351E-12	ENSG00000110944, ENSG00000112715, ENSG00000115008, ENSG00000115009, ENSG00000177606, ENSG00000136244, ENSG00000170345, ENSG00000150782, ENSG00000137462, ENSG00000184371, ENSG00000125538, ENSG00000232810, ENSG00000121594, ENSG00000271503, ENSG00000124875, ENSG00000108691, ENSG00000164400, ENSG00000090339	140	88	6879	10.050487012987013	1.8240753352216643E-10	4.559998759740269E-11	3.189363294384812E-9
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	19	9.5	1.2091459928876994E-12	ENSG00000110944, ENSG00000112715, ENSG00000128342, ENSG00000105835, ENSG00000115008, ENSG00000136244, ENSG00000113302, ENSG00000175505, ENSG00000150782, ENSG00000275302, ENSG00000184371, ENSG00000125538, ENSG00000125845, ENSG00000078401, ENSG00000232810, ENSG00000109321, ENSG00000125657, ENSG00000164400, ENSG00000122641	190	176	16881	9.591477272727273	4.788209828632262E-10	2.394109065917645E-10	2.2187828969489286E-8
GOTERM_BP_DIRECT	GO:0006955~immune response	27	13.5	2.3799776704966466E-12	ENSG00000049249, ENSG00000166949, ENSG00000163739, ENSG00000164949, ENSG00000172216, ENSG00000171522, ENSG00000150782, ENSG00000169248, ENSG00000137462, ENSG00000169245, ENSG00000124875, ENSG00000169508, ENSG00000081041, ENSG00000128342, ENSG00000115008, ENSG00000115009, ENSG00000136244, ENSG00000275302, ENSG00000125538, ENSG00000165030, ENSG00000168685, ENSG00000232810, ENSG00000271503, ENSG00000163734, ENSG00000108691, ENSG00000125657, ENSG00000164400	193	421	16792	5.5799047419787575	4.662390806764449E-9	1.1655940641257327E-9	1.0888397842522159E-7
