Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	365	40.691192865105904	4.1462088123415205E-7	ENSMUSG00000035954, ENSMUSG00000032322, ENSMUSG00000056413, ENSMUSG00000007122, ENSMUSG00000019907, ENSMUSG00000025351, ENSMUSG00000024383, ENSMUSG00000025473, ENSMUSG00000001025, ENSMUSG00000005625, ENSMUSG00000027533, ENSMUSG00000023057, ENSMUSG00000022641, ENSMUSG00000022883, ENSMUSG00000021795, ENSMUSG00000022521, ENSMUSG00000052738, ENSMUSG00000044783, ENSMUSG00000069601, ENSMUSG00000030946, ENSMUSG00000005506, ENSMUSG00000005628, ENSMUSG00000039879, ENSMUSG00000055204, ENSMUSG00000005871, ENSMUSG00000028053, ENSMUSG00000033400, ENSMUSG00000059810, ENSMUSG00000022193, ENSMUSG00000079523, ENSMUSG00000026313, ENSMUSG00000040855, ENSMUSG00000025226, ENSMUSG00000025347, ENSMUSG00000007817, ENSMUSG00000038894, ENSMUSG00000031229, ENSMUSG00000038774, ENSMUSG00000030137, ENSMUSG00000006134, ENSMUSG00000035933, ENSMUSG00000034724, ENSMUSG00000032420, ENSMUSG00000024483, ENSMUSG00000034848, ENSMUSG00000058056, ENSMUSG00000060012, ENSMUSG00000023277, ENSMUSG00000048379, ENSMUSG00000027993, ENSMUSG00000027878, ENSMUSG00000026667, ENSMUSG00000023830, ENSMUSG00000066232, ENSMUSG00000069744, ENSMUSG00000064294, ENSMUSG00000035133, ENSMUSG00000052632, ENSMUSG00000029381, ENSMUSG00000050335, ENSMUSG00000062209, ENSMUSG00000033863, ENSMUSG00000034832, ENSMUSG00000032410, ENSMUSG00000006262, ENSMUSG00000033066, ENSMUSG00000041801, ENSMUSG00000069515, ENSMUSG00000069516, ENSMUSG00000028712, ENSMUSG00000024236, ENSMUSG00000042699, ENSMUSG00000053617, ENSMUSG00000067336, ENSMUSG00000040270, ENSMUSG00000037541, ENSMUSG00000038872, ENSMUSG00000044072, ENSMUSG00000055116, ENSMUSG00000033624, ENSMUSG00000035247, ENSMUSG00000032776, ENSMUSG00000003484, ENSMUSG00000023092, ENSMUSG00000040549, ENSMUSG00000025153, ENSMUSG00000026365, ENSMUSG00000044469, ENSMUSG00000020027, ENSMUSG00000046402, ENSMUSG00000009470, ENSMUSG00000006519, ENSMUSG00000056737, ENSMUSG00000035078, ENSMUSG00000032009, ENSMUSG00000020709, ENSMUSG00000034422, ENSMUSG00000019820, ENSMUSG00000033458, ENSMUSG00000063838, ENSMUSG00000054321, ENSMUSG00000031386, ENSMUSG00000032231, ENSMUSG00000027562, ENSMUSG00000036959, ENSMUSG00000025261, ENSMUSG00000040415, ENSMUSG00000021583, ENSMUSG00000026358, ENSMUSG00000042831, ENSMUSG00000026117, ENSMUSG00000072772, ENSMUSG00000038331, ENSMUSG00000037487, ENSMUSG00000078515, ENSMUSG00000037921, ENSMUSG00000030287, ENSMUSG00000029173, ENSMUSG00000040407, ENSMUSG00000013707, ENSMUSG00000031010, ENSMUSG00000033671, ENSMUSG00000021690, ENSMUSG00000096054, ENSMUSG00000028402, ENSMUSG00000031490, ENSMUSG00000020362, ENSMUSG00000028649, ENSMUSG00000005886, ENSMUSG00000062515, ENSMUSG00000044447, ENSMUSG00000021456, ENSMUSG00000037234, ENSMUSG00000069020, ENSMUSG00000037112, ENSMUSG00000033318, ENSMUSG00000030844, ENSMUSG00000022090, ENSMUSG00000028630, ENSMUSG00000018849, ENSMUSG00000095098, ENSMUSG00000003233, ENSMUSG00000002265, ENSMUSG00000007039, ENSMUSG00000001056, ENSMUSG00000028514, ENSMUSG00000061436, ENSMUSG00000066440, ENSMUSG00000039087, ENSMUSG00000026219, ENSMUSG00000031808, ENSMUSG00000019256, ENSMUSG00000052605, ENSMUSG00000021209, ENSMUSG00000035165, ENSMUSG00000050663, ENSMUSG00000036499, ENSMUSG00000020917, ENSMUSG00000034751, ENSMUSG00000033306, ENSMUSG00000050423, ENSMUSG00000033499, ENSMUSG00000033257, ENSMUSG00000034108, ENSMUSG00000002076, ENSMUSG00000024542, ENSMUSG00000004933, ENSMUSG00000025991, ENSMUSG00000001666, ENSMUSG00000006435, ENSMUSG00000029798, ENSMUSG00000020067, ENSMUSG00000040466, ENSMUSG00000005102, ENSMUSG00000028228, ENSMUSG00000063229, ENSMUSG00000026849, ENSMUSG00000021952, ENSMUSG00000020623, ENSMUSG00000022802, ENSMUSG00000038024, ENSMUSG00000003847, ENSMUSG00000018417, ENSMUSG00000034342, ENSMUSG00000039477, ENSMUSG00000030302, ENSMUSG00000032601, ENSMUSG00000035305, ENSMUSG00000034218, ENSMUSG00000028211, ENSMUSG00000020170, ENSMUSG00000028572, ENSMUSG00000026398, ENSMUSG00000057230, ENSMUSG00000072294, ENSMUSG00000029304, ENSMUSG00000024659, ENSMUSG00000024538, ENSMUSG00000027806, ENSMUSG00000021027, ENSMUSG00000047888, ENSMUSG00000038132, ENSMUSG00000021823, ENSMUSG00000044254, ENSMUSG00000054889, ENSMUSG00000016128, ENSMUSG00000031626, ENSMUSG00000075324, ENSMUSG00000030655, ENSMUSG00000036995, ENSMUSG00000024083, ENSMUSG00000028680, ENSMUSG00000080268, ENSMUSG00000026380, ENSMUSG00000052595, ENSMUSG00000027351, ENSMUSG00000026384, ENSMUSG00000042745, ENSMUSG00000031292, ENSMUSG00000026024, ENSMUSG00000041417, ENSMUSG00000028328, ENSMUSG00000002058, ENSMUSG00000020961, ENSMUSG00000040560, ENSMUSG00000043279, ENSMUSG00000045210, ENSMUSG00000031618, ENSMUSG00000021936, ENSMUSG00000039457, ENSMUSG00000032826, ENSMUSG00000053565, ENSMUSG00000019726, ENSMUSG00000017307, ENSMUSG00000020609, ENSMUSG00000030643, ENSMUSG00000066072, ENSMUSG00000035898, ENSMUSG00000034557, ENSMUSG00000007872, ENSMUSG00000036617, ENSMUSG00000029762, ENSMUSG00000026490, ENSMUSG00000060429, ENSMUSG00000054422, ENSMUSG00000029763, ENSMUSG00000024073, ENSMUSG00000028792, ENSMUSG00000022571, ENSMUSG00000027346, ENSMUSG00000024077, ENSMUSG00000041769, ENSMUSG00000061751, ENSMUSG00000021244, ENSMUSG00000048546, ENSMUSG00000043940, ENSMUSG00000002068, ENSMUSG00000063810, ENSMUSG00000066406, ENSMUSG00000046532, ENSMUSG00000014164, ENSMUSG00000038473, ENSMUSG00000020715, ENSMUSG00000020716, ENSMUSG00000030516, ENSMUSG00000056608, ENSMUSG00000034312, ENSMUSG00000032085, ENSMUSG00000026643, ENSMUSG00000028028, ENSMUSG00000025794, ENSMUSG00000029238, ENSMUSG00000020300, ENSMUSG00000021514, ENSMUSG00000054717, ENSMUSG00000010051, ENSMUSG00000020307, ENSMUSG00000033618, ENSMUSG00000010175, ENSMUSG00000039952, ENSMUSG00000015745, ENSMUSG00000036202, ENSMUSG00000072949, ENSMUSG00000073599, ENSMUSG00000033855, ENSMUSG00000071856, ENSMUSG00000034940, ENSMUSG00000030695, ENSMUSG00000030451, ENSMUSG00000033287, ENSMUSG00000020091, ENSMUSG00000006360, ENSMUSG00000055254, ENSMUSG00000028931, ENSMUSG00000025422, ENSMUSG00000061136, ENSMUSG00000029467, ENSMUSG00000029104, ENSMUSG00000021069, ENSMUSG00000069539, ENSMUSG00000020532, ENSMUSG00000090264, ENSMUSG00000043760, ENSMUSG00000020776, ENSMUSG00000046598, ENSMUSG00000022836, ENSMUSG00000039145, ENSMUSG00000020415, ENSMUSG00000031309, ENSMUSG00000036550, ENSMUSG00000061132, ENSMUSG00000020538, ENSMUSG00000031668, ENSMUSG00000014547, ENSMUSG00000034377, ENSMUSG00000039943, ENSMUSG00000031543, ENSMUSG00000030213, ENSMUSG00000055024, ENSMUSG00000027272, ENSMUSG00000030200, ENSMUSG00000074582, ENSMUSG00000022263, ENSMUSG00000040249, ENSMUSG00000032060, ENSMUSG00000003865, ENSMUSG00000048732, ENSMUSG00000042302, ENSMUSG00000025899, ENSMUSG00000004038, ENSMUSG00000004951, ENSMUSG00000026864, ENSMUSG00000021611, ENSMUSG00000059070, ENSMUSG00000020644, ENSMUSG00000021733, ENSMUSG00000042784, ENSMUSG00000020647, ENSMUSG00000066036, ENSMUSG00000040481, ENSMUSG00000021738, ENSMUSG00000030203, ENSMUSG00000019768, ENSMUSG00000057335, ENSMUSG00000029683, ENSMUSG00000028354, ENSMUSG00000028111, ENSMUSG00000029440, ENSMUSG00000039809, ENSMUSG00000029207, ENSMUSG00000027820, ENSMUSG00000063457, ENSMUSG00000060860, ENSMUSG00000006589, ENSMUSG00000041444, ENSMUSG00000022016, ENSMUSG00000050708, ENSMUSG00000063450, ENSMUSG00000031529, ENSMUSG00000016382, ENSMUSG00000038831, ENSMUSG00000030557, ENSMUSG00000031644, ENSMUSG00000078817, ENSMUSG00000033943	832	6024	16892	1.2301714615895392	2.2843005877393185E-4	2.2845610556001777E-4	0.022348065498520798
KEGG_PATHWAY	mmu04910:Insulin signaling pathway	22	2.4526198439241917	4.194273577797346E-6	ENSMUSG00000006134, ENSMUSG00000025153, ENSMUSG00000024241, ENSMUSG00000033295, ENSMUSG00000031490, ENSMUSG00000028698, ENSMUSG00000048379, ENSMUSG00000041417, ENSMUSG00000003865, ENSMUSG00000005534, ENSMUSG00000021069, ENSMUSG00000041237, ENSMUSG00000021456, ENSMUSG00000020532, ENSMUSG00000020027, ENSMUSG00000046794, ENSMUSG00000067279, ENSMUSG00000020538, ENSMUSG00000021936, ENSMUSG00000038894, ENSMUSG00000034342, ENSMUSG00000032601	356	138	7095	3.177210552027357	0.0010689702491192277	0.0010695397623383233	0.10569569416049311
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	127	14.15830546265329	9.077791241890299E-6	ENSMUSG00000034109, ENSMUSG00000024383, ENSMUSG00000007880, ENSMUSG00000005625, ENSMUSG00000026565, ENSMUSG00000022641, ENSMUSG00000040466, ENSMUSG00000022521, ENSMUSG00000038260, ENSMUSG00000021952, ENSMUSG00000046201, ENSMUSG00000045991, ENSMUSG00000030946, ENSMUSG00000005506, ENSMUSG00000003847, ENSMUSG00000039477, ENSMUSG00000079487, ENSMUSG00000028053, ENSMUSG00000034218, ENSMUSG00000005198, ENSMUSG00000059810, ENSMUSG00000022193, ENSMUSG00000026313, ENSMUSG00000072294, ENSMUSG00000024659, ENSMUSG00000007817, ENSMUSG00000034297, ENSMUSG00000038538, ENSMUSG00000031986, ENSMUSG00000035933, ENSMUSG00000048490, ENSMUSG00000003660, ENSMUSG00000099083, ENSMUSG00000024483, ENSMUSG00000052595, ENSMUSG00000027351, ENSMUSG00000042745, ENSMUSG00000031292, ENSMUSG00000027878, ENSMUSG00000042622, ENSMUSG00000066232, ENSMUSG00000021413, ENSMUSG00000069744, ENSMUSG00000036461, ENSMUSG00000018076, ENSMUSG00000052512, ENSMUSG00000038369, ENSMUSG00000038648, ENSMUSG00000034832, ENSMUSG00000033863, ENSMUSG00000007872, ENSMUSG00000054422, ENSMUSG00000057133, ENSMUSG00000021244, ENSMUSG00000002068, ENSMUSG00000026413, ENSMUSG00000042699, ENSMUSG00000061755, ENSMUSG00000038872, ENSMUSG00000091898, ENSMUSG00000055116, ENSMUSG00000032776, ENSMUSG00000035877, ENSMUSG00000040943, ENSMUSG00000029238, ENSMUSG00000046402, ENSMUSG00000020307, ENSMUSG00000039952, ENSMUSG00000015501, ENSMUSG00000037652, ENSMUSG00000056737, ENSMUSG00000037896, ENSMUSG00000019820, ENSMUSG00000033458, ENSMUSG00000071856, ENSMUSG00000054321, ENSMUSG00000031386, ENSMUSG00000036959, ENSMUSG00000025261, ENSMUSG00000028412, ENSMUSG00000061136, ENSMUSG00000022672, ENSMUSG00000029104, ENSMUSG00000046598, ENSMUSG00000020538, ENSMUSG00000069895, ENSMUSG00000038331, ENSMUSG00000037487, ENSMUSG00000078515, ENSMUSG00000037486, ENSMUSG00000042390, ENSMUSG00000032238, ENSMUSG00000030213, ENSMUSG00000055024, ENSMUSG00000033671, ENSMUSG00000096054, ENSMUSG00000031490, ENSMUSG00000040761, ENSMUSG00000005886, ENSMUSG00000025899, ENSMUSG00000062515, ENSMUSG00000021611, ENSMUSG00000020644, ENSMUSG00000020647, ENSMUSG00000066036, ENSMUSG00000040481, ENSMUSG00000021738, ENSMUSG00000030203, ENSMUSG00000005893, ENSMUSG00000029202, ENSMUSG00000028630, ENSMUSG00000063457, ENSMUSG00000025246, ENSMUSG00000006589, ENSMUSG00000002265, ENSMUSG00000001056, ENSMUSG00000005410, ENSMUSG00000039087, ENSMUSG00000026219, ENSMUSG00000019256, ENSMUSG00000063450, ENSMUSG00000045482, ENSMUSG00000030557, ENSMUSG00000020917, ENSMUSG00000033943, ENSMUSG00000051910, ENSMUSG00000016028	832	1763	16892	1.4625447227191415	0.004989397078067892	0.0020844507808059753	0.20390543935651914
GOTERM_CC_DIRECT	GO:0014069~postsynaptic density	28	3.121516164994426	1.1349096810195873E-5	ENSMUSG00000024083, ENSMUSG00000024241, ENSMUSG00000019906, ENSMUSG00000028402, ENSMUSG00000032060, ENSMUSG00000026024, ENSMUSG00000006435, ENSMUSG00000028649, ENSMUSG00000005886, ENSMUSG00000020300, ENSMUSG00000061601, ENSMUSG00000032826, ENSMUSG00000030465, ENSMUSG00000062209, ENSMUSG00000029763, ENSMUSG00000026072, ENSMUSG00000055254, ENSMUSG00000028931, ENSMUSG00000024077, ENSMUSG00000061751, ENSMUSG00000029104, ENSMUSG00000041444, ENSMUSG00000021466, ENSMUSG00000067336, ENSMUSG00000020716, ENSMUSG00000031626, ENSMUSG00000037541, ENSMUSG00000039943	832	220	16892	2.584003496503496	0.006233876090660839	0.0020844507808059753	0.20390543935651914
KEGG_PATHWAY	mmu03320:PPAR signaling pathway	15	1.6722408026755853	1.9300423337470498E-5	ENSMUSG00000028240, ENSMUSG00000054422, ENSMUSG00000027533, ENSMUSG00000032083, ENSMUSG00000023057, ENSMUSG00000028715, ENSMUSG00000062515, ENSMUSG00000028712, ENSMUSG00000022853, ENSMUSG00000037071, ENSMUSG00000031808, ENSMUSG00000078937, ENSMUSG00000050445, ENSMUSG00000066072, ENSMUSG00000010651	356	76	7095	3.9335082791247777	0.0049095639449137085	0.0024608039755274883	0.2431853340521283
GOTERM_MF_DIRECT	GO:0005515~protein binding	247	27.536231884057973	2.8646582752572726E-5	ENSMUSG00000032322, ENSMUSG00000019907, ENSMUSG00000025351, ENSMUSG00000025473, ENSMUSG00000019906, ENSMUSG00000001025, ENSMUSG00000026565, ENSMUSG00000022883, ENSMUSG00000022521, ENSMUSG00000070047, ENSMUSG00000069601, ENSMUSG00000001029, ENSMUSG00000016758, ENSMUSG00000005871, ENSMUSG00000033400, ENSMUSG00000005198, ENSMUSG00000024131, ENSMUSG00000026313, ENSMUSG00000046159, ENSMUSG00000023845, ENSMUSG00000036594, ENSMUSG00000044098, ENSMUSG00000035021, ENSMUSG00000073421, ENSMUSG00000038894, ENSMUSG00000031229, ENSMUSG00000006134, ENSMUSG00000048490, ENSMUSG00000034724, ENSMUSG00000024241, ENSMUSG00000027993, ENSMUSG00000027878, ENSMUSG00000026667, ENSMUSG00000066232, ENSMUSG00000022508, ENSMUSG00000037795, ENSMUSG00000050335, ENSMUSG00000034832, ENSMUSG00000049470, ENSMUSG00000026890, ENSMUSG00000029249, ENSMUSG00000026413, ENSMUSG00000042699, ENSMUSG00000027508, ENSMUSG00000053617, ENSMUSG00000040270, ENSMUSG00000055116, ENSMUSG00000035247, ENSMUSG00000070733, ENSMUSG00000035877, ENSMUSG00000075254, ENSMUSG00000044469, ENSMUSG00000041078, ENSMUSG00000040661, ENSMUSG00000047730, ENSMUSG00000009470, ENSMUSG00000006519, ENSMUSG00000035078, ENSMUSG00000032009, ENSMUSG00000019820, ENSMUSG00000063838, ENSMUSG00000031386, ENSMUSG00000032231, ENSMUSG00000029505, ENSMUSG00000040415, ENSMUSG00000022672, ENSMUSG00000026117, ENSMUSG00000021466, ENSMUSG00000038331, ENSMUSG00000037487, ENSMUSG00000042390, ENSMUSG00000034652, ENSMUSG00000032238, ENSMUSG00000037921, ENSMUSG00000030287, ENSMUSG00000057722, ENSMUSG00000029173, ENSMUSG00000040407, ENSMUSG00000031010, ENSMUSG00000024164, ENSMUSG00000042828, ENSMUSG00000021690, ENSMUSG00000003226, ENSMUSG00000096054, ENSMUSG00000028402, ENSMUSG00000031490, ENSMUSG00000022661, ENSMUSG00000023992, ENSMUSG00000040761, ENSMUSG00000028649, ENSMUSG00000005886, ENSMUSG00000007827, ENSMUSG00000037234, ENSMUSG00000020926, ENSMUSG00000039414, ENSMUSG00000057729, ENSMUSG00000030844, ENSMUSG00000005893, ENSMUSG00000049791, ENSMUSG00000095098, ENSMUSG00000025246, ENSMUSG00000060586, ENSMUSG00000027784, ENSMUSG00000003233, ENSMUSG00000005534, ENSMUSG00000001056, ENSMUSG00000061436, ENSMUSG00000018166, ENSMUSG00000019256, ENSMUSG00000021209, ENSMUSG00000039089, ENSMUSG00000036499, ENSMUSG00000033306, ENSMUSG00000030157, ENSMUSG00000033257, ENSMUSG00000007880, ENSMUSG00000026166, ENSMUSG00000057465, ENSMUSG00000020186, ENSMUSG00000006435, ENSMUSG00000005102, ENSMUSG00000061601, ENSMUSG00000026849, ENSMUSG00000020623, ENSMUSG00000034584, ENSMUSG00000034342, ENSMUSG00000032601, ENSMUSG00000033004, ENSMUSG00000034218, ENSMUSG00000020170, ENSMUSG00000028572, ENSMUSG00000028698, ENSMUSG00000072294, ENSMUSG00000024659, ENSMUSG00000024538, ENSMUSG00000021027, ENSMUSG00000041540, ENSMUSG00000021823, ENSMUSG00000054889, ENSMUSG00000074115, ENSMUSG00000030089, ENSMUSG00000024083, ENSMUSG00000028680, ENSMUSG00000080268, ENSMUSG00000052595, ENSMUSG00000027351, ENSMUSG00000042745, ENSMUSG00000096255, ENSMUSG00000026024, ENSMUSG00000041417, ENSMUSG00000026822, ENSMUSG00000002058, ENSMUSG00000020961, ENSMUSG00000043279, ENSMUSG00000015243, ENSMUSG00000020964, ENSMUSG00000031618, ENSMUSG00000021936, ENSMUSG00000039457, ENSMUSG00000032826, ENSMUSG00000038369, ENSMUSG00000034687, ENSMUSG00000035898, ENSMUSG00000034557, ENSMUSG00000007872, ENSMUSG00000036617, ENSMUSG00000060429, ENSMUSG00000029763, ENSMUSG00000024073, ENSMUSG00000022571, ENSMUSG00000049630, ENSMUSG00000028556, ENSMUSG00000024990, ENSMUSG00000061751, ENSMUSG00000002068, ENSMUSG00000046532, ENSMUSG00000063011, ENSMUSG00000020715, ENSMUSG00000020716, ENSMUSG00000030516, ENSMUSG00000038119, ENSMUSG00000032083, ENSMUSG00000021198, ENSMUSG00000029238, ENSMUSG00000005268, ENSMUSG00000041351, ENSMUSG00000030909, ENSMUSG00000052539, ENSMUSG00000021514, ENSMUSG00000010175, ENSMUSG00000039952, ENSMUSG00000015745, ENSMUSG00000036202, ENSMUSG00000037896, ENSMUSG00000031312, ENSMUSG00000032643, ENSMUSG00000026072, ENSMUSG00000026193, ENSMUSG00000020091, ENSMUSG00000055254, ENSMUSG00000102428, ENSMUSG00000028931, ENSMUSG00000025422, ENSMUSG00000061136, ENSMUSG00000021188, ENSMUSG00000060961, ENSMUSG00000029467, ENSMUSG00000029104, ENSMUSG00000021069, ENSMUSG00000069539, ENSMUSG00000020532, ENSMUSG00000043760, ENSMUSG00000000826, ENSMUSG00000020776, ENSMUSG00000036550, ENSMUSG00000061132, ENSMUSG00000020538, ENSMUSG00000069895, ENSMUSG00000030579, ENSMUSG00000031668, ENSMUSG00000014547, ENSMUSG00000039701, ENSMUSG00000039943, ENSMUSG00000055024, ENSMUSG00000027272, ENSMUSG00000040929, ENSMUSG00000040249, ENSMUSG00000032060, ENSMUSG00000027950, ENSMUSG00000003865, ENSMUSG00000042302, ENSMUSG00000026864, ENSMUSG00000021611, ENSMUSG00000020644, ENSMUSG00000020647, ENSMUSG00000021738, ENSMUSG00000030203, ENSMUSG00000019768, ENSMUSG00000039809, ENSMUSG00000029207, ENSMUSG00000063457, ENSMUSG00000041688, ENSMUSG00000050708, ENSMUSG00000030557, ENSMUSG00000078817, ENSMUSG00000051910, ENSMUSG00000016028	782	3856	15300	1.2532698899512897	0.02715427010084781	0.02752936602522239	2.7472072859717245
GOTERM_CC_DIRECT	GO:0034364~high-density lipoprotein particle	8	0.8918617614269788	4.3086951866290426E-5	ENSMUSG00000022579, ENSMUSG00000015243, ENSMUSG00000057465, ENSMUSG00000040017, ENSMUSG00000032083, ENSMUSG00000074115, ENSMUSG00000074336, ENSMUSG00000032080	832	21	16892	7.734432234432235	0.023461811550334333	0.005935227619581506	0.5805966763982635
GOTERM_BP_DIRECT	GO:0042632~cholesterol homeostasis	13	1.4492753623188406	5.822668767495725E-5	ENSMUSG00000028240, ENSMUSG00000032083, ENSMUSG00000026398, ENSMUSG00000021000, ENSMUSG00000032080, ENSMUSG00000026944, ENSMUSG00000063810, ENSMUSG00000062515, ENSMUSG00000022579, ENSMUSG00000015243, ENSMUSG00000044254, ENSMUSG00000034297, ENSMUSG00000020609	801	62	15690	4.107164431557329	0.16325597538623993	0.17823189097304415	17.817366428536918
KEGG_PATHWAY	mmu05150:Staphylococcus aureus infection	11	1.2263099219620959	8.520719310921743E-5	ENSMUSG00000073418, ENSMUSG00000024164, ENSMUSG00000036594, ENSMUSG00000061780, ENSMUSG00000059498, ENSMUSG00000026874, ENSMUSG00000073421, ENSMUSG00000026365, ENSMUSG00000079547, ENSMUSG00000060586, ENSMUSG00000034774	356	47	7095	4.664415491274205	0.021494391058825446	0.007242611414283482	0.7157404221174264
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	200	22.296544035674472	1.126035346443086E-4	ENSMUSG00000007122, ENSMUSG00000024383, ENSMUSG00000025473, ENSMUSG00000001025, ENSMUSG00000022401, ENSMUSG00000022521, ENSMUSG00000030946, ENSMUSG00000047496, ENSMUSG00000029161, ENSMUSG00000028053, ENSMUSG00000005198, ENSMUSG00000026313, ENSMUSG00000040855, ENSMUSG00000027408, ENSMUSG00000023845, ENSMUSG00000007817, ENSMUSG00000020219, ENSMUSG00000035021, ENSMUSG00000031229, ENSMUSG00000050445, ENSMUSG00000057637, ENSMUSG00000034724, ENSMUSG00000032420, ENSMUSG00000040721, ENSMUSG00000027993, ENSMUSG00000064294, ENSMUSG00000022508, ENSMUSG00000042460, ENSMUSG00000039853, ENSMUSG00000052632, ENSMUSG00000038526, ENSMUSG00000033863, ENSMUSG00000034832, ENSMUSG00000078695, ENSMUSG00000054387, ENSMUSG00000031441, ENSMUSG00000027189, ENSMUSG00000006262, ENSMUSG00000026890, ENSMUSG00000028715, ENSMUSG00000024477, ENSMUSG00000029249, ENSMUSG00000067336, ENSMUSG00000038872, ENSMUSG00000091898, ENSMUSG00000039967, ENSMUSG00000035247, ENSMUSG00000015653, ENSMUSG00000033623, ENSMUSG00000035877, ENSMUSG00000074283, ENSMUSG00000003484, ENSMUSG00000023092, ENSMUSG00000078880, ENSMUSG00000032363, ENSMUSG00000068959, ENSMUSG00000043019, ENSMUSG00000020388, ENSMUSG00000046404, ENSMUSG00000043131, ENSMUSG00000006519, ENSMUSG00000020709, ENSMUSG00000033458, ENSMUSG00000027562, ENSMUSG00000040415, ENSMUSG00000021583, ENSMUSG00000024298, ENSMUSG00000042831, ENSMUSG00000020137, ENSMUSG00000037487, ENSMUSG00000078878, ENSMUSG00000037486, ENSMUSG00000042390, ENSMUSG00000032238, ENSMUSG00000034774, ENSMUSG00000018623, ENSMUSG00000029178, ENSMUSG00000062519, ENSMUSG00000042828, ENSMUSG00000003226, ENSMUSG00000020362, ENSMUSG00000025255, ENSMUSG00000028649, ENSMUSG00000021456, ENSMUSG00000047036, ENSMUSG00000037112, ENSMUSG00000029061, ENSMUSG00000022090, ENSMUSG00000005893, ENSMUSG00000039529, ENSMUSG00000025241, ENSMUSG00000017639, ENSMUSG00000027784, ENSMUSG00000002265, ENSMUSG00000041841, ENSMUSG00000026579, ENSMUSG00000022533, ENSMUSG00000042496, ENSMUSG00000066440, ENSMUSG00000039087, ENSMUSG00000044795, ENSMUSG00000035164, ENSMUSG00000050663, ENSMUSG00000036499, ENSMUSG00000014243, ENSMUSG00000020917, ENSMUSG00000034751, ENSMUSG00000033306, ENSMUSG00000034108, ENSMUSG00000074240, ENSMUSG00000005580, ENSMUSG00000056131, ENSMUSG00000025991, ENSMUSG00000020186, ENSMUSG00000006435, ENSMUSG00000049723, ENSMUSG00000061601, ENSMUSG00000021950, ENSMUSG00000022802, ENSMUSG00000094410, ENSMUSG00000034342, ENSMUSG00000019989, ENSMUSG00000030302, ENSMUSG00000003053, ENSMUSG00000033004, ENSMUSG00000062949, ENSMUSG00000026398, ENSMUSG00000072294, ENSMUSG00000006567, ENSMUSG00000024659, ENSMUSG00000022119, ENSMUSG00000039585, ENSMUSG00000031626, ENSMUSG00000030655, ENSMUSG00000036995, ENSMUSG00000031986, ENSMUSG00000024083, ENSMUSG00000099083, ENSMUSG00000075595, ENSMUSG00000040209, ENSMUSG00000019841, ENSMUSG00000043279, ENSMUSG00000020604, ENSMUSG00000038244, ENSMUSG00000063364, ENSMUSG00000031618, ENSMUSG00000068130, ENSMUSG00000034687, ENSMUSG00000066072, ENSMUSG00000034557, ENSMUSG00000012428, ENSMUSG00000026490, ENSMUSG00000061751, ENSMUSG00000043940, ENSMUSG00000040433, ENSMUSG00000021366, ENSMUSG00000066406, ENSMUSG00000046532, ENSMUSG00000020715, ENSMUSG00000033107, ENSMUSG00000071547, ENSMUSG00000040943, ENSMUSG00000005268, ENSMUSG00000041237, ENSMUSG00000022842, ENSMUSG00000021514, ENSMUSG00000033618, ENSMUSG00000037652, ENSMUSG00000015501, ENSMUSG00000054716, ENSMUSG00000031312, ENSMUSG00000032643, ENSMUSG00000030451, ENSMUSG00000006360, ENSMUSG00000025422, ENSMUSG00000029467, ENSMUSG00000024697, ENSMUSG00000020532, ENSMUSG00000022836, ENSMUSG00000014547, ENSMUSG00000060613, ENSMUSG00000055024, ENSMUSG00000027272, ENSMUSG00000028240, ENSMUSG00000040249, ENSMUSG00000032060, ENSMUSG00000025899, ENSMUSG00000021611, ENSMUSG00000037071, ENSMUSG00000066036, ENSMUSG00000090112, ENSMUSG00000090115, ENSMUSG00000037876, ENSMUSG00000019768, ENSMUSG00000050022, ENSMUSG00000027820, ENSMUSG00000031529, ENSMUSG00000016382, ENSMUSG00000044393, ENSMUSG00000031644	782	3079	15300	1.2708812855670248	0.10256814562663219	0.05410599839659028	5.399339486194597
