Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0042493~response to drug	20	4.926108374384237	2.9200398699790798E-5	ENSG00000105894, ENSG00000101096, ENSG00000176890, ENSG00000115415, ENSG00000134057, ENSG00000115457, ENSG00000164171, ENSG00000265972, ENSG00000137563, ENSG00000170345, ENSG00000134333, ENSG00000171303, ENSG00000114200, ENSG00000164761, ENSG00000157193, ENSG00000132170, ENSG00000180914, ENSG00000166508, ENSG00000164104, ENSG00000125740	358	304	16792	3.08585710085269	0.05499210601687177	0.05656117228149478	5.650277148409519
GOTERM_MF_DIRECT	GO:0005515~protein binding	228	56.15763546798029	6.345360615094006E-5	ENSG00000214357, ENSG00000151012, ENSG00000106688, ENSG00000173166, ENSG00000156265, ENSG00000128591, ENSG00000198901, ENSG00000171425, ENSG00000186480, ENSG00000132170, ENSG00000188786, ENSG00000138030, ENSG00000143198, ENSG00000086991, ENSG00000100100, ENSG00000167964, ENSG00000108854, ENSG00000099139, ENSG00000212724, ENSG00000168140, ENSG00000170345, ENSG00000137752, ENSG00000137193, ENSG00000138166, ENSG00000131094, ENSG00000187689, ENSG00000163931, ENSG00000102996, ENSG00000145362, ENSG00000164109, ENSG00000145246, ENSG00000164104, ENSG00000163814, ENSG00000105810, ENSG00000114529, ENSG00000187908, ENSG00000178078, ENSG00000179046, ENSG00000135424, ENSG00000157456, ENSG00000197956, ENSG00000134333, ENSG00000178999, ENSG00000131981, ENSG00000118898, ENSG00000144824, ENSG00000089685, ENSG00000243927, ENSG00000145358, ENSG00000175130, ENSG00000162616, ENSG00000134222, ENSG00000120738, ENSG00000118785, ENSG00000100906, ENSG00000133135, ENSG00000140450, ENSG00000143847, ENSG00000121152, ENSG00000189403, ENSG00000100234, ENSG00000160447, ENSG00000124074, ENSG00000113615, ENSG00000073111, ENSG00000099864, ENSG00000111674, ENSG00000159733, ENSG00000154721, ENSG00000079462, ENSG00000117650, ENSG00000115350, ENSG00000029993, ENSG00000125845, ENSG00000153071, ENSG00000148843, ENSG00000073008, ENSG00000088280, ENSG00000177694, ENSG00000111665, ENSG00000196754, ENSG00000173894, ENSG00000126709, ENSG00000185187, ENSG00000137033, ENSG00000167772, ENSG00000162645, ENSG00000185745, ENSG00000141401, ENSG00000125730, ENSG00000087076, ENSG00000142731, ENSG00000101096, ENSG00000153179, ENSG00000096696, ENSG00000104368, ENSG00000213722, ENSG00000123080, ENSG00000134419, ENSG00000132470, ENSG00000117318, ENSG00000116106, ENSG00000118971, ENSG00000196549, ENSG00000205426, ENSG00000099282, ENSG00000035664, ENSG00000168077, ENSG00000089127, ENSG00000168078, ENSG00000048052, ENSG00000109255, ENSG00000162772, ENSG00000168517, ENSG00000103034, ENSG00000103021, ENSG00000146072, ENSG00000153044, ENSG00000212864, ENSG00000111206, ENSG00000198830, ENSG00000137135, ENSG00000131153, ENSG00000153048, ENSG00000172346, ENSG00000197747, ENSG00000138347, ENSG00000145425, ENSG00000143369, ENSG00000126803, ENSG00000123416, ENSG00000205413, ENSG00000184792, ENSG00000059728, ENSG00000102854, ENSG00000049130, ENSG00000184557, ENSG00000164171, ENSG00000136490, ENSG00000157193, ENSG00000080493, ENSG00000169067, ENSG00000142945, ENSG00000164611, ENSG00000165821, ENSG00000169504, ENSG00000163644, ENSG00000131016, ENSG00000131018, ENSG00000130720, ENSG00000104419, ENSG00000023902, ENSG00000113368, ENSG00000171951, ENSG00000138685, ENSG00000168303, ENSG00000143228, ENSG00000079931, ENSG00000166923, ENSG00000166922, ENSG00000101384, ENSG00000196465, ENSG00000134057, ENSG00000115457, ENSG00000177706, ENSG00000112984, ENSG00000008277, ENSG00000100526, ENSG00000120217, ENSG00000118939, ENSG00000058668, ENSG00000167900, ENSG00000101057, ENSG00000167107, ENSG00000126562, ENSG00000197780, ENSG00000140848, ENSG00000132561, ENSG00000151746, ENSG00000122644, ENSG00000101844, ENSG00000143320, ENSG00000077312, ENSG00000061656, ENSG00000171617, ENSG00000135480, ENSG00000162591, ENSG00000095539, ENSG00000128951, ENSG00000196470, ENSG00000213694, ENSG00000170540, ENSG00000265972, ENSG00000081923, ENSG00000150625, ENSG00000103647, ENSG00000126787, ENSG00000101224, ENSG00000166963, ENSG00000214530, ENSG00000152240, ENSG00000110881, ENSG00000115415, ENSG00000175567, ENSG00000137404, ENSG00000115414, ENSG00000171522, ENSG00000172731, ENSG00000117399, ENSG00000100968, ENSG00000166851, ENSG00000104081, ENSG00000187678, ENSG00000073849, ENSG00000183876, ENSG00000124212, ENSG00000105048, ENSG00000128383, ENSG00000198431, ENSG00000146592, ENSG00000138623, ENSG00000178607, ENSG00000115884, ENSG00000020577, ENSG00000185361, ENSG00000169213, ENSG00000185483, ENSG00000166508	367	8785	16881	1.193782441274218	0.036563258895182305	0.037247266810601816	3.7247266810601816
KEGG_PATHWAY	hsa04110:Cell cycle	12	2.955665024630542	9.50909372583665E-5	ENSG00000117399, ENSG00000166851, ENSG00000105810, ENSG00000123080, ENSG00000073111, ENSG00000134057, ENSG00000166508, ENSG00000101224, ENSG00000164109, ENSG00000157456, ENSG00000164611, ENSG00000118971	155	124	6879	4.294901144640999	0.018932669481238618	0.019113278388931666	1.9113278388931665
REACTOME_PATHWAY	R-HSA-2500257:R-HSA-2500257	12	2.955665024630542	1.3302113046918964E-4	ENSG00000117399, ENSG00000100162, ENSG00000153044, ENSG00000166851, ENSG00000143228, ENSG00000123416, ENSG00000134057, ENSG00000142945, ENSG00000164109, ENSG00000089685, ENSG00000157456, ENSG00000178999	216	121	9075	4.166666666666666	0.05333344189095923	0.05493772688377532	5.453866349236775
GOTERM_CC_DIRECT	GO:0005578~proteinaceous extracellular matrix	17	4.1871921182266005	1.8110777858212538E-4	ENSG00000099953, ENSG00000105825, ENSG00000060718, ENSG00000138316, ENSG00000132000, ENSG00000132561, ENSG00000115414, ENSG00000154734, ENSG00000143369, ENSG00000164761, ENSG00000125966, ENSG00000167772, ENSG00000185585, ENSG00000144152, ENSG00000187689, ENSG00000100234, ENSG00000178031	383	268	18224	3.0182767624020888	0.05801975841648144	0.03427168984722576	3.3440861002444535
GOTERM_BP_DIRECT	GO:0051301~cell division	20	4.926108374384237	1.8925012308975266E-4	ENSG00000105810, ENSG00000152240, ENSG00000237649, ENSG00000134222, ENSG00000134057, ENSG00000111665, ENSG00000157456, ENSG00000118971, ENSG00000168303, ENSG00000117399, ENSG00000117650, ENSG00000143228, ENSG00000123416, ENSG00000142945, ENSG00000101224, ENSG00000121152, ENSG00000164109, ENSG00000089685, ENSG00000185621, ENSG00000164611	358	350	16792	2.6802873104549083	0.30692161756356284	0.15764725489342382	15.748448023684828
GOTERM_CC_DIRECT	GO:0009986~cell surface	26	6.403940886699508	2.0770721119530767E-4	ENSG00000105894, ENSG00000151012, ENSG00000104368, ENSG00000110881, ENSG00000132470, ENSG00000164171, ENSG00000116106, ENSG00000135424, ENSG00000099282, ENSG00000113070, ENSG00000125845, ENSG00000069493, ENSG00000169504, ENSG00000131015, ENSG00000073008, ENSG00000168140, ENSG00000115884, ENSG00000117586, ENSG00000137573, ENSG00000126803, ENSG00000143847, ENSG00000102854, ENSG00000166923, ENSG00000187688, ENSG00000189403, ENSG00000082482	383	542	18224	2.2825431387473145	0.0662536944887947	0.03427168984722576	3.3440861002444535
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	8	1.9704433497536946	2.4416198486333065E-4	ENSG00000132170, ENSG00000115415, ENSG00000134057, ENSG00000115457, ENSG00000082482, ENSG00000265972, ENSG00000171522, ENSG00000125740	358	59	16792	6.360003787520121	0.37686962428621695	0.15764725489342382	15.748448023684828
GOTERM_BP_DIRECT	GO:0007062~sister chromatid cohesion	10	2.4630541871921183	3.476596866662503E-4	ENSG00000117399, ENSG00000100162, ENSG00000153044, ENSG00000166851, ENSG00000143228, ENSG00000142945, ENSG00000164109, ENSG00000089685, ENSG00000100918, ENSG00000178999	358	103	16792	4.553886207083582	0.4900965577702967	0.1683542032681317	16.818037342479858
REACTOME_PATHWAY	R-HSA-156711:R-HSA-156711	5	1.2315270935960592	4.4568912672420007E-4	ENSG00000166851, ENSG00000111206, ENSG00000134057, ENSG00000101057, ENSG00000157456	216	16	9075	13.129340277777777	0.16778532779496125	0.09203480466854731	9.136627097846102
