Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	18	20.689655172413794	1.0063795492801156E-4	ENSG00000105894, ENSG00000154175, ENSG00000099139, ENSG00000187908, ENSG00000197632, ENSG00000115457, ENSG00000171951, ENSG00000205426, ENSG00000164761, ENSG00000137573, ENSG00000125845, ENSG00000137033, ENSG00000167772, ENSG00000169067, ENSG00000163898, ENSG00000102854, ENSG00000166923, ENSG00000125730	84	1347	18224	2.899140948138721	0.011706176513956112	0.011774640726577353	1.1774640726577352
KEGG_PATHWAY	hsa05166:HTLV-I infection	7	8.045977011494253	5.544420491368458E-4	ENSG00000101096, ENSG00000117399, ENSG00000123080, ENSG00000120738, ENSG00000170345, ENSG00000162772, ENSG00000164611	30	254	6879	6.319291338582677	0.04710430972070412	0.04823645827490558	4.823645827490558
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	9	10.344827586206897	0.0021917900204777045	ENSG00000101096, ENSG00000111206, ENSG00000146592, ENSG00000105516, ENSG00000185697, ENSG00000120738, ENSG00000170345, ENSG00000162772, ENSG00000164611	77	513	16792	3.825928457507405	0.7342751985278999	0.678088788404629	67.80887884046291
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	9	10.344827586206897	0.0022453271139226127	ENSG00000101096, ENSG00000168874, ENSG00000125845, ENSG00000111206, ENSG00000146592, ENSG00000153071, ENSG00000185697, ENSG00000120738, ENSG00000170345	77	515	16792	3.8110704829151434	0.7427488389206057	0.678088788404629	67.80887884046291
GOTERM_CC_DIRECT	GO:0005576~extracellular region	16	18.39080459770115	0.005700784597437848	ENSG00000163814, ENSG00000099953, ENSG00000187908, ENSG00000138316, ENSG00000197632, ENSG00000115457, ENSG00000164761, ENSG00000165124, ENSG00000125845, ENSG00000137033, ENSG00000167772, ENSG00000089127, ENSG00000163898, ENSG00000109255, ENSG00000125730, ENSG00000183876	84	1610	18224	2.156048506359065	0.4877283574238904	0.3334958989501141	33.34958989501141
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	5	5.747126436781609	0.006385346666163719	ENSG00000125845, ENSG00000153071, ENSG00000166923, ENSG00000120738, ENSG00000115457	77	163	16792	6.689506812206198	0.9791231710190142	1.0	100.0
GOTERM_BP_DIRECT	GO:0001937~negative regulation of endothelial cell proliferation	3	3.4482758620689653	0.007583398048334131	ENSG00000168874, ENSG00000137573, ENSG00000171951	77	29	16792	22.559785042543663	0.9899263091479598	1.0	100.0
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	5	5.747126436781609	0.009766752912850608	ENSG00000164761, ENSG00000137033, ENSG00000125845, ENSG00000166923, ENSG00000171951	81	176	16881	5.920664983164983	0.877587494357136	1.0	100.0
GOTERM_BP_DIRECT	GO:0042493~response to drug	6	6.896551724137931	0.012216581591466318	ENSG00000105894, ENSG00000101096, ENSG00000164761, ENSG00000115457, ENSG00000170345, ENSG00000171303	77	304	16792	4.304169514695831	0.9994033964352136	1.0	100.0
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	3	3.4482758620689653	0.013443392218388077	ENSG00000099953, ENSG00000166923, ENSG00000138316	77	39	16792	16.775224775224775	0.9997183602887565	1.0	100.0
KEGG_PATHWAY	hsa04110:Cell cycle	4	4.597701149425287	0.01484431269169434	ENSG00000117399, ENSG00000123080, ENSG00000157456, ENSG00000164611	30	124	6879	7.396774193548387	0.727777767314969	0.6457276020887038	64.57276020887038
GOTERM_BP_DIRECT	GO:0035914~skeletal muscle cell differentiation	3	3.4482758620689653	0.02072495454361803	ENSG00000120738, ENSG00000170345, ENSG00000162772	77	49	16792	13.351709514974822	0.9999967905445705	1.0	100.0
GOTERM_BP_DIRECT	GO:0035860~glial cell-derived neurotrophic factor receptor signaling pathway	2	2.2988505747126435	0.022428552490924052	ENSG00000151892, ENSG00000137573	77	5	16792	87.23116883116883	0.99999887875874	1.0	100.0
KEGG_PATHWAY	hsa05161:Hepatitis B	4	4.597701149425287	0.022456103295377346	ENSG00000101096, ENSG00000146592, ENSG00000089685, ENSG00000170345	30	145	6879	6.32551724137931	0.8613705937479912	0.651226995565943	65.1226995565943
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	7	8.045977011494253	0.02539886486630283	ENSG00000168874, ENSG00000125845, ENSG00000111206, ENSG00000153071, ENSG00000166923, ENSG00000089685, ENSG00000168517	77	499	16792	3.0592093277464016	0.999999821575135	1.0	100.0
GOTERM_MF_DIRECT	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	5	5.747126436781609	0.025783237727409966	ENSG00000101096, ENSG00000105516, ENSG00000185697, ENSG00000120738, ENSG00000170345	81	236	16881	4.41541117388575	0.9962649371565693	1.0	100.0
GOTERM_CC_DIRECT	GO:0031594~neuromuscular junction	3	3.4482758620689653	0.02603984808135798	ENSG00000105894, ENSG00000130477, ENSG00000116396	84	55	18224	11.833766233766232	0.9543627902457736	0.9958738828667871	99.58738828667872
GOTERM_MF_DIRECT	GO:0005102~receptor binding	6	6.896551724137931	0.02609748701707658	ENSG00000151892, ENSG00000125845, ENSG00000131094, ENSG00000109255, ENSG00000115457, ENSG00000125730	81	353	16881	3.5423355366698144	0.9965141066055362	1.0	100.0
GOTERM_BP_DIRECT	GO:0060395~SMAD protein signal transduction	3	3.4482758620689653	0.03209642045036738	ENSG00000168874, ENSG00000125845, ENSG00000170345	77	62	16792	10.552157519899454	0.9999999972293225	1.0	100.0
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	10	11.494252873563218	0.03256800213032844	ENSG00000101096, ENSG00000137033, ENSG00000125845, ENSG00000111206, ENSG00000105516, ENSG00000185697, ENSG00000166923, ENSG00000120738, ENSG00000170345, ENSG00000162772	77	981	16792	2.2230165349431403	0.9999999979358067	1.0	100.0
GOTERM_BP_DIRECT	GO:0060337~type I interferon signaling pathway	3	3.4482758620689653	0.034021320426027214	ENSG00000126709, ENSG00000089127, ENSG00000120738	77	64	16792	10.222402597402597	0.9999999991674797	1.0	100.0
GOTERM_CC_DIRECT	GO:0005578~proteinaceous extracellular matrix	5	5.747126436781609	0.03404697035442007	ENSG00000164761, ENSG00000167772, ENSG00000125966, ENSG00000099953, ENSG00000138316	84	268	18224	4.0476190476190474	0.9826278708911483	0.9958738828667871	99.58738828667872
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	4	4.597701149425287	0.03888635414914908	ENSG00000137033, ENSG00000089127, ENSG00000187908, ENSG00000168209	77	165	16792	5.286737504919323	0.9999999999605592	1.0	100.0
GOTERM_BP_DIRECT	GO:0007399~nervous system development	5	5.747126436781609	0.041149447497209994	ENSG00000105894, ENSG00000151892, ENSG00000168874, ENSG00000108947, ENSG00000170345	77	287	16792	3.799266935155437	0.9999999999905036	1.0	100.0
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	4	4.597701149425287	0.04311548487217378	ENSG00000167772, ENSG00000125845, ENSG00000120738, ENSG00000168209	77	172	16792	5.07157958320749	0.9999999999972511	1.0	100.0
