Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-2500257:R-HSA-2500257	12	5.240174672489083	3.6176308286597354E-7	ENSG00000117399, ENSG00000100162, ENSG00000153044, ENSG00000166851, ENSG00000143228, ENSG00000123416, ENSG00000134057, ENSG00000142945, ENSG00000164109, ENSG00000089685, ENSG00000157456, ENSG00000178999	117	121	9075	7.692307692307692	9.043669742025973E-5	9.080253379935936E-5	0.008827019221929754
GOTERM_CC_DIRECT	GO:0005829~cytosol	69	30.131004366812224	1.0210424422845724E-6	ENSG00000198189, ENSG00000142619, ENSG00000111674, ENSG00000139725, ENSG00000159733, ENSG00000198901, ENSG00000114268, ENSG00000079462, ENSG00000117650, ENSG00000132170, ENSG00000138030, ENSG00000142945, ENSG00000164611, ENSG00000196470, ENSG00000111665, ENSG00000104419, ENSG00000170540, ENSG00000240771, ENSG00000137752, ENSG00000143228, ENSG00000137198, ENSG00000163931, ENSG00000162645, ENSG00000101224, ENSG00000164109, ENSG00000141401, ENSG00000167535, ENSG00000087076, ENSG00000142731, ENSG00000100162, ENSG00000214530, ENSG00000213722, ENSG00000123080, ENSG00000176890, ENSG00000152240, ENSG00000178078, ENSG00000134419, ENSG00000197355, ENSG00000196465, ENSG00000134057, ENSG00000168393, ENSG00000137563, ENSG00000157456, ENSG00000197956, ENSG00000154027, ENSG00000134333, ENSG00000178999, ENSG00000117399, ENSG00000100968, ENSG00000166851, ENSG00000104081, ENSG00000089685, ENSG00000167900, ENSG00000103034, ENSG00000105048, ENSG00000153044, ENSG00000134222, ENSG00000153048, ENSG00000100906, ENSG00000145425, ENSG00000134184, ENSG00000126803, ENSG00000143847, ENSG00000166825, ENSG00000166508, ENSG00000121152, ENSG00000184557, ENSG00000143320, ENSG00000168209	215	3315	18224	1.764293381037567	2.491034516820534E-4	2.491343559174357E-4	0.024505018614829736
GOTERM_BP_DIRECT	GO:0007062~sister chromatid cohesion	10	4.366812227074235	4.34724977672941E-6	ENSG00000117399, ENSG00000100162, ENSG00000153044, ENSG00000166851, ENSG00000143228, ENSG00000142945, ENSG00000164109, ENSG00000089685, ENSG00000100918, ENSG00000178999	204	103	16792	7.991623833999618	0.004662400775187092	0.003079346301571341	0.30736172851963245
GOTERM_BP_DIRECT	GO:0051301~cell division	17	7.423580786026202	5.729016375016448E-6	ENSG00000152240, ENSG00000237649, ENSG00000134222, ENSG00000134057, ENSG00000111665, ENSG00000157456, ENSG00000168303, ENSG00000117399, ENSG00000117650, ENSG00000143228, ENSG00000123416, ENSG00000142945, ENSG00000101224, ENSG00000121152, ENSG00000164109, ENSG00000089685, ENSG00000164611	204	350	16792	3.9980952380952384	0.006139784261989467	0.003079346301571341	0.30736172851963245
REACTOME_PATHWAY	R-HSA-68877:R-HSA-68877	10	4.366812227074235	9.048334673809366E-6	ENSG00000117399, ENSG00000100162, ENSG00000153044, ENSG00000166851, ENSG00000143228, ENSG00000123416, ENSG00000142945, ENSG00000164109, ENSG00000089685, ENSG00000178999	117	108	9075	7.181861348528016	0.002259537296283143	0.0011355660015630754	0.11038968302047426
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	14	6.11353711790393	1.0510890944968393E-5	ENSG00000152240, ENSG00000111665, ENSG00000157456, ENSG00000178999, ENSG00000168303, ENSG00000117399, ENSG00000117650, ENSG00000166851, ENSG00000143228, ENSG00000168078, ENSG00000142945, ENSG00000101224, ENSG00000089685, ENSG00000164611	204	248	16792	4.64674256799494	0.011235670187949465	0.003766402588613674	0.37593953279836956
KEGG_PATHWAY	hsa04110:Cell cycle	10	4.366812227074235	1.4538909189726514E-5	ENSG00000117399, ENSG00000166851, ENSG00000123080, ENSG00000073111, ENSG00000134057, ENSG00000166508, ENSG00000101224, ENSG00000164109, ENSG00000157456, ENSG00000164611	83	124	6879	6.683832102603964	0.002076919339970895	0.0020790640141308916	0.20790640141308916
GOTERM_MF_DIRECT	GO:0005515~protein binding	140	61.135371179039296	2.9508144874139713E-5	ENSG00000214357, ENSG00000198901, ENSG00000171425, ENSG00000136490, ENSG00000186480, ENSG00000132170, ENSG00000138030, ENSG00000142945, ENSG00000086991, ENSG00000143198, ENSG00000100100, ENSG00000164611, ENSG00000167964, ENSG00000165821, ENSG00000130720, ENSG00000104419, ENSG00000023902, ENSG00000168140, ENSG00000113368, ENSG00000137752, ENSG00000168303, ENSG00000137193, ENSG00000143228, ENSG00000131094, ENSG00000163931, ENSG00000187689, ENSG00000102996, ENSG00000164109, ENSG00000164104, ENSG00000178078, ENSG00000179046, ENSG00000196465, ENSG00000134057, ENSG00000112984, ENSG00000177706, ENSG00000157456, ENSG00000134333, ENSG00000197956, ENSG00000178999, ENSG00000131981, ENSG00000008277, ENSG00000118898, ENSG00000100526, ENSG00000089685, ENSG00000167900, ENSG00000243927, ENSG00000101057, ENSG00000145358, ENSG00000167107, ENSG00000175130, ENSG00000140848, ENSG00000134222, ENSG00000132561, ENSG00000100906, ENSG00000122644, ENSG00000143847, ENSG00000121152, ENSG00000189403, ENSG00000100234, ENSG00000143320, ENSG00000160447, ENSG00000124074, ENSG00000073111, ENSG00000099864, ENSG00000077312, ENSG00000111674, ENSG00000159733, ENSG00000154721, ENSG00000061656, ENSG00000079462, ENSG00000115350, ENSG00000117650, ENSG00000029993, ENSG00000135480, ENSG00000162591, ENSG00000095539, ENSG00000128951, ENSG00000196470, ENSG00000088280, ENSG00000111665, ENSG00000196754, ENSG00000170540, ENSG00000173894, ENSG00000185187, ENSG00000150625, ENSG00000126787, ENSG00000162645, ENSG00000101224, ENSG00000141401, ENSG00000087076, ENSG00000142731, ENSG00000153179, ENSG00000214530, ENSG00000213722, ENSG00000123080, ENSG00000152240, ENSG00000134419, ENSG00000110881, ENSG00000117318, ENSG00000132470, ENSG00000175567, ENSG00000137404, ENSG00000171522, ENSG00000172731, ENSG00000196549, ENSG00000117399, ENSG00000205426, ENSG00000099282, ENSG00000035664, ENSG00000100968, ENSG00000166851, ENSG00000168077, ENSG00000104081, ENSG00000168078, ENSG00000073849, ENSG00000109255, ENSG00000168517, ENSG00000183876, ENSG00000124212, ENSG00000103034, ENSG00000105048, ENSG00000153044, ENSG00000128383, ENSG00000212864, ENSG00000111206, ENSG00000198830, ENSG00000137135, ENSG00000131153, ENSG00000115884, ENSG00000153048, ENSG00000172346, ENSG00000197747, ENSG00000145425, ENSG00000143369, ENSG00000185361, ENSG00000126803, ENSG00000123416, ENSG00000102854, ENSG00000166508, ENSG00000184557	212	8785	16881	1.268961888295873	0.011267337495157514	0.01133112763166965	1.133112763166965
REACTOME_PATHWAY	R-HSA-156711:R-HSA-156711	5	2.1834061135371177	4.09705021739636E-5	ENSG00000166851, ENSG00000111206, ENSG00000134057, ENSG00000157456, ENSG00000101057	117	16	9075	24.23878205128205	0.010190556181725485	0.00340289891752213	0.3307997354085258
GOTERM_CC_DIRECT	GO:0000922~spindle pole	9	3.9301310043668125	4.3627270486347764E-5	ENSG00000117399, ENSG00000117650, ENSG00000166851, ENSG00000152240, ENSG00000134222, ENSG00000134057, ENSG00000101224, ENSG00000164109, ENSG00000198901	215	109	18224	6.998762534670365	0.010588825677260716	0.005322526999334427	0.5235272458361732
