Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	262	30.184331797235025	1.139770038246653E-13	ENSG00000092199, ENSG00000110700, ENSG00000113657, ENSG00000198901, ENSG00000135446, ENSG00000196839, ENSG00000132170, ENSG00000138030, ENSG00000185950, ENSG00000084693, ENSG00000013375, ENSG00000106683, ENSG00000102882, ENSG00000074416, ENSG00000196396, ENSG00000092621, ENSG00000112312, ENSG00000099256, ENSG00000240771, ENSG00000137752, ENSG00000171314, ENSG00000168028, ENSG00000159082, ENSG00000137198, ENSG00000163931, ENSG00000164109, ENSG00000122026, ENSG00000166888, ENSG00000149273, ENSG00000075711, ENSG00000164904, ENSG00000133805, ENSG00000178078, ENSG00000020129, ENSG00000080986, ENSG00000168393, ENSG00000026103, ENSG00000110048, ENSG00000113552, ENSG00000058262, ENSG00000157456, ENSG00000197956, ENSG00000134333, ENSG00000178999, ENSG00000198918, ENSG00000134690, ENSG00000143977, ENSG00000117592, ENSG00000125743, ENSG00000105372, ENSG00000089685, ENSG00000071242, ENSG00000197386, ENSG00000134222, ENSG00000170485, ENSG00000105808, ENSG00000100906, ENSG00000117461, ENSG00000143847, ENSG00000147883, ENSG00000121152, ENSG00000147403, ENSG00000167513, ENSG00000103494, ENSG00000156587, ENSG00000142619, ENSG00000090013, ENSG00000131725, ENSG00000103811, ENSG00000111674, ENSG00000159733, ENSG00000114268, ENSG00000003402, ENSG00000136854, ENSG00000004975, ENSG00000196405, ENSG00000079462, ENSG00000117650, ENSG00000275835, ENSG00000126934, ENSG00000187134, ENSG00000087088, ENSG00000188229, ENSG00000183696, ENSG00000142867, ENSG00000182004, ENSG00000035403, ENSG00000198380, ENSG00000090924, ENSG00000130520, ENSG00000148396, ENSG00000130766, ENSG00000095139, ENSG00000111669, ENSG00000090487, ENSG00000213853, ENSG00000111665, ENSG00000136068, ENSG00000264364, ENSG00000197958, ENSG00000198805, ENSG00000143947, ENSG00000162645, ENSG00000125733, ENSG00000087074, ENSG00000141401, ENSG00000167535, ENSG00000087076, ENSG00000142731, ENSG00000126351, ENSG00000213722, ENSG00000123080, ENSG00000112306, ENSG00000134419, ENSG00000026025, ENSG00000154027, ENSG00000198959, ENSG00000081087, ENSG00000152518, ENSG00000145675, ENSG00000128656, ENSG00000102189, ENSG00000141510, ENSG00000103034, ENSG00000137818, ENSG00000153044, ENSG00000133216, ENSG00000102172, ENSG00000109805, ENSG00000118181, ENSG00000147044, ENSG00000008988, ENSG00000139318, ENSG00000153048, ENSG00000168765, ENSG00000145425, ENSG00000126803, ENSG00000100316, ENSG00000184557, ENSG00000013523, ENSG00000074800, ENSG00000175063, ENSG00000148484, ENSG00000198189, ENSG00000113810, ENSG00000114107, ENSG00000167325, ENSG00000102805, ENSG00000119922, ENSG00000105193, ENSG00000142945, ENSG00000214078, ENSG00000184227, ENSG00000233276, ENSG00000164611, ENSG00000152056, ENSG00000104419, ENSG00000038382, ENSG00000110092, ENSG00000143228, ENSG00000168781, ENSG00000164985, ENSG00000196465, ENSG00000127080, ENSG00000128050, ENSG00000134057, ENSG00000137563, ENSG00000135821, ENSG00000006534, ENSG00000138413, ENSG00000146966, ENSG00000167468, ENSG00000084710, ENSG00000229117, ENSG00000023909, ENSG00000100644, ENSG00000140988, ENSG00000162458, ENSG00000167900, ENSG00000161800, ENSG00000102144, ENSG00000176170, ENSG00000184922, ENSG00000091592, ENSG00000134508, ENSG00000010292, ENSG00000173598, ENSG00000111640, ENSG00000138668, ENSG00000137575, ENSG00000071082, ENSG00000137331, ENSG00000228716, ENSG00000134184, ENSG00000171848, ENSG00000165175, ENSG00000182054, ENSG00000166825, ENSG00000271303, ENSG00000089157, ENSG00000143320, ENSG00000168209, ENSG00000138639, ENSG00000137309, ENSG00000113578, ENSG00000159335, ENSG00000139725, ENSG00000158125, ENSG00000171863, ENSG00000154447, ENSG00000111276, ENSG00000171858, ENSG00000138078, ENSG00000141252, ENSG00000153904, ENSG00000135919, ENSG00000090889, ENSG00000123143, ENSG00000152253, ENSG00000196470, ENSG00000182628, ENSG00000156970, ENSG00000111266, ENSG00000170540, ENSG00000111144, ENSG00000049759, ENSG00000169679, ENSG00000141480, ENSG00000063046, ENSG00000088325, ENSG00000101224, ENSG00000079616, ENSG00000121774, ENSG00000079739, ENSG00000107201, ENSG00000100162, ENSG00000161714, ENSG00000214530, ENSG00000196262, ENSG00000067057, ENSG00000197111, ENSG00000176890, ENSG00000152240, ENSG00000197355, ENSG00000104408, ENSG00000117399, ENSG00000100968, ENSG00000166851, ENSG00000122952, ENSG00000120896, ENSG00000117394, ENSG00000104081, ENSG00000073969, ENSG00000160752, ENSG00000221838, ENSG00000105048, ENSG00000198793, ENSG00000155744, ENSG00000137094, ENSG00000144736, ENSG00000166508, ENSG00000090615	815	2945	13819	1.5084641744872769	5.917633050245286E-11	5.915406498500129E-11	5.664657090085865E-9
GOTERM_BP_DIRECT	GO:0051301~cell division	52	5.990783410138248	3.515451130964953E-11	ENSG00000175063, ENSG00000113810, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000013810, ENSG00000117650, ENSG00000100106, ENSG00000142945, ENSG00000164611, ENSG00000152253, ENSG00000156970, ENSG00000196230, ENSG00000182628, ENSG00000113328, ENSG00000237649, ENSG00000111665, ENSG00000169679, ENSG00000168303, ENSG00000110092, ENSG00000143228, ENSG00000088325, ENSG00000101224, ENSG00000164109, ENSG00000144354, ENSG00000100297, ENSG00000149273, ENSG00000180198, ENSG00000152240, ENSG00000080986, ENSG00000146918, ENSG00000134057, ENSG00000165480, ENSG00000203760, ENSG00000157456, ENSG00000117399, ENSG00000122952, ENSG00000134690, ENSG00000089685, ENSG00000105255, ENSG00000109805, ENSG00000134508, ENSG00000111602, ENSG00000010292, ENSG00000134222, ENSG00000119231, ENSG00000123975, ENSG00000123416, ENSG00000101447, ENSG00000121152, ENSG00000164649, ENSG00000145386	779	310	12969	2.7926125305395666	1.1470927685497401E-7	1.1470917040338642E-7	1.1432247077898028E-5
REACTOME_PATHWAY	R-HSA-1799339:R-HSA-1799339	29	3.3410138248847927	3.84678036515151E-11	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000058262, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000067167, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000166562, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026, ENSG00000124783	471	103	7207	4.308185434831901	2.7927611112588124E-8	2.7966093254651476E-8	2.738907619987875E-6
REACTOME_PATHWAY	R-HSA-192823:R-HSA-192823	25	2.880184331797235	1.3865264303568895E-10	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	471	81	7207	4.722680925794868	1.0066181510559602E-7	3.360015716231529E-8	3.2906893947136845E-6
REACTOME_PATHWAY	R-HSA-156902:R-HSA-156902	25	2.880184331797235	1.3865264303568895E-10	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	471	81	7207	4.722680925794868	1.0066181510559602E-7	3.360015716231529E-8	3.2906893947136845E-6
REACTOME_PATHWAY	R-HSA-2408557:R-HSA-2408557	25	2.880184331797235	2.43842262506459E-10	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	471	83	7207	4.608881385414269	1.770294794090077E-7	4.431833121054892E-8	4.34039227261497E-6
REACTOME_PATHWAY	R-HSA-72764:R-HSA-72764	25	2.880184331797235	4.206252532504151E-10	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	471	85	7207	4.500437117522168	3.0537384965168E-7	5.191305013507408E-8	5.084194181041643E-6
REACTOME_PATHWAY	R-HSA-975956:R-HSA-975956	25	2.880184331797235	5.486393457117616E-10	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	471	86	7207	4.448106453364934	3.9831209330820627E-7	5.191305013507408E-8	5.084194181041643E-6
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	24	2.7649769585253456	5.679486123075951E-10	ENSG00000149273, ENSG00000137818, ENSG00000118181, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000008988, ENSG00000171863, ENSG00000058262, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000171858, ENSG00000198918, ENSG00000229117, ENSG00000100316, ENSG00000143947, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000089157, ENSG00000147403, ENSG00000122026	779	85	12969	4.700687155478366	1.8532144903105063E-6	9.266081609798414E-7	9.234844436121496E-5
REACTOME_PATHWAY	R-HSA-156827:R-HSA-156827	27	3.110599078341014	5.701391530000226E-10	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000104408, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000063046, ENSG00000089157, ENSG00000147403, ENSG00000122026	471	100	7207	4.13140127388535	4.139209431874846E-7	5.191305013507408E-8	5.084194181041643E-6
