Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	286	28.429423459244536	1.8291684903093063E-11	ENSG00000092199, ENSG00000156265, ENSG00000110700, ENSG00000113657, ENSG00000128591, ENSG00000198901, ENSG00000135446, ENSG00000196839, ENSG00000132170, ENSG00000138030, ENSG00000185950, ENSG00000084693, ENSG00000013375, ENSG00000106683, ENSG00000102882, ENSG00000074416, ENSG00000108854, ENSG00000196396, ENSG00000092621, ENSG00000112312, ENSG00000099256, ENSG00000240771, ENSG00000137752, ENSG00000171314, ENSG00000168028, ENSG00000159082, ENSG00000125538, ENSG00000137198, ENSG00000163931, ENSG00000145362, ENSG00000164109, ENSG00000122026, ENSG00000166888, ENSG00000149273, ENSG00000075711, ENSG00000164904, ENSG00000105810, ENSG00000133805, ENSG00000178078, ENSG00000020129, ENSG00000080986, ENSG00000168393, ENSG00000026103, ENSG00000110048, ENSG00000113552, ENSG00000058262, ENSG00000157456, ENSG00000197956, ENSG00000134333, ENSG00000178999, ENSG00000198918, ENSG00000134690, ENSG00000143977, ENSG00000117592, ENSG00000125743, ENSG00000105372, ENSG00000089685, ENSG00000071242, ENSG00000162616, ENSG00000197386, ENSG00000134222, ENSG00000170485, ENSG00000105808, ENSG00000100906, ENSG00000117461, ENSG00000143847, ENSG00000147883, ENSG00000121152, ENSG00000147403, ENSG00000167513, ENSG00000103494, ENSG00000156587, ENSG00000113615, ENSG00000142619, ENSG00000090013, ENSG00000131725, ENSG00000103811, ENSG00000111674, ENSG00000159733, ENSG00000114268, ENSG00000003402, ENSG00000136854, ENSG00000004975, ENSG00000196405, ENSG00000079462, ENSG00000117650, ENSG00000275835, ENSG00000126934, ENSG00000187134, ENSG00000087088, ENSG00000188229, ENSG00000183696, ENSG00000142867, ENSG00000103257, ENSG00000182004, ENSG00000035403, ENSG00000198380, ENSG00000090924, ENSG00000148843, ENSG00000130520, ENSG00000148396, ENSG00000130766, ENSG00000095139, ENSG00000111669, ENSG00000090487, ENSG00000213853, ENSG00000111665, ENSG00000136068, ENSG00000264364, ENSG00000197958, ENSG00000198805, ENSG00000143947, ENSG00000162645, ENSG00000125733, ENSG00000087074, ENSG00000185745, ENSG00000141401, ENSG00000167535, ENSG00000087076, ENSG00000142731, ENSG00000126351, ENSG00000213722, ENSG00000123080, ENSG00000112306, ENSG00000134419, ENSG00000026025, ENSG00000169282, ENSG00000154027, ENSG00000118971, ENSG00000198959, ENSG00000081087, ENSG00000152518, ENSG00000145675, ENSG00000128656, ENSG00000102189, ENSG00000141510, ENSG00000103034, ENSG00000137818, ENSG00000153044, ENSG00000133216, ENSG00000102172, ENSG00000109805, ENSG00000118181, ENSG00000147044, ENSG00000008988, ENSG00000139318, ENSG00000153048, ENSG00000168765, ENSG00000145425, ENSG00000126803, ENSG00000100316, ENSG00000184557, ENSG00000013523, ENSG00000074800, ENSG00000175063, ENSG00000148484, ENSG00000198189, ENSG00000113810, ENSG00000114107, ENSG00000167325, ENSG00000102805, ENSG00000119922, ENSG00000105193, ENSG00000142945, ENSG00000214078, ENSG00000184227, ENSG00000233276, ENSG00000164611, ENSG00000169504, ENSG00000152056, ENSG00000104419, ENSG00000038382, ENSG00000110092, ENSG00000143228, ENSG00000168781, ENSG00000164985, ENSG00000196465, ENSG00000127080, ENSG00000128050, ENSG00000134057, ENSG00000137563, ENSG00000135821, ENSG00000006534, ENSG00000138413, ENSG00000146966, ENSG00000167468, ENSG00000084710, ENSG00000229117, ENSG00000023909, ENSG00000100644, ENSG00000140988, ENSG00000162458, ENSG00000167900, ENSG00000161800, ENSG00000102144, ENSG00000176170, ENSG00000184922, ENSG00000091592, ENSG00000126562, ENSG00000134508, ENSG00000010292, ENSG00000173598, ENSG00000111640, ENSG00000138668, ENSG00000151746, ENSG00000137575, ENSG00000071082, ENSG00000137331, ENSG00000228716, ENSG00000134184, ENSG00000171848, ENSG00000101844, ENSG00000165175, ENSG00000182054, ENSG00000166825, ENSG00000271303, ENSG00000089157, ENSG00000143320, ENSG00000168209, ENSG00000138639, ENSG00000137309, ENSG00000113578, ENSG00000159335, ENSG00000139725, ENSG00000158125, ENSG00000171863, ENSG00000154447, ENSG00000111276, ENSG00000171858, ENSG00000138078, ENSG00000141252, ENSG00000153904, ENSG00000135919, ENSG00000090889, ENSG00000123143, ENSG00000152253, ENSG00000196470, ENSG00000182628, ENSG00000156970, ENSG00000111266, ENSG00000170540, ENSG00000116711, ENSG00000265972, ENSG00000111144, ENSG00000049759, ENSG00000169679, ENSG00000141480, ENSG00000063046, ENSG00000088325, ENSG00000101224, ENSG00000079616, ENSG00000121774, ENSG00000079739, ENSG00000107201, ENSG00000100162, ENSG00000161714, ENSG00000214530, ENSG00000196262, ENSG00000067057, ENSG00000197111, ENSG00000176890, ENSG00000152240, ENSG00000197355, ENSG00000115415, ENSG00000104408, ENSG00000138735, ENSG00000117399, ENSG00000100968, ENSG00000166851, ENSG00000122952, ENSG00000120896, ENSG00000117152, ENSG00000117394, ENSG00000104081, ENSG00000073969, ENSG00000160752, ENSG00000221838, ENSG00000105048, ENSG00000198431, ENSG00000198793, ENSG00000155744, ENSG00000137094, ENSG00000169213, ENSG00000144736, ENSG00000166508, ENSG00000090615	944	2945	13819	1.4216259963742053	1.0023852414775547E-8	1.0023843326894999E-8	9.67630131373623E-7
GOTERM_BP_DIRECT	GO:0051301~cell division	55	5.467196819085487	2.0212056867202437E-10	ENSG00000175063, ENSG00000113810, ENSG00000173207, ENSG00000135446, ENSG00000076382, ENSG00000013810, ENSG00000117650, ENSG00000100106, ENSG00000142945, ENSG00000164611, ENSG00000152253, ENSG00000156970, ENSG00000196230, ENSG00000182628, ENSG00000113328, ENSG00000237649, ENSG00000111665, ENSG00000169679, ENSG00000168303, ENSG00000110092, ENSG00000143228, ENSG00000088325, ENSG00000101224, ENSG00000164109, ENSG00000185621, ENSG00000144354, ENSG00000100297, ENSG00000149273, ENSG00000105810, ENSG00000180198, ENSG00000152240, ENSG00000080986, ENSG00000146918, ENSG00000134057, ENSG00000165480, ENSG00000203760, ENSG00000157456, ENSG00000118971, ENSG00000117399, ENSG00000122952, ENSG00000134690, ENSG00000089685, ENSG00000105255, ENSG00000109805, ENSG00000134508, ENSG00000111602, ENSG00000010292, ENSG00000134222, ENSG00000119231, ENSG00000123975, ENSG00000123416, ENSG00000101447, ENSG00000121152, ENSG00000164649, ENSG00000145386	897	310	12969	2.5651634480526484	7.306654943306512E-7	7.306658557493681E-7	7.288467706313199E-5
REACTOME_PATHWAY	R-HSA-1799339:R-HSA-1799339	30	2.982107355864811	2.1371425527381166E-10	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000058262, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000144867, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000067167, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000166562, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026, ENSG00000124783	543	103	7207	3.8657941318457327	1.6819311521309999E-7	1.684068331557636E-7	1.6520111932665642E-5
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	60	5.964214711729622	2.8587847243902254E-10	ENSG00000148484, ENSG00000138639, ENSG00000110700, ENSG00000137309, ENSG00000128591, ENSG00000164171, ENSG00000171863, ENSG00000196405, ENSG00000140682, ENSG00000126934, ENSG00000100106, ENSG00000105193, ENSG00000086991, ENSG00000106683, ENSG00000102882, ENSG00000035403, ENSG00000131016, ENSG00000050405, ENSG00000073008, ENSG00000088280, ENSG00000147065, ENSG00000180340, ENSG00000140945, ENSG00000136068, ENSG00000010278, ENSG00000197958, ENSG00000144152, ENSG00000185621, ENSG00000163531, ENSG00000079616, ENSG00000122861, ENSG00000149273, ENSG00000137809, ENSG00000196262, ENSG00000197111, ENSG00000026025, ENSG00000064666, ENSG00000173546, ENSG00000196549, ENSG00000198959, ENSG00000120896, ENSG00000144824, ENSG00000140988, ENSG00000187678, ENSG00000162458, ENSG00000105372, ENSG00000137818, ENSG00000090020, ENSG00000147044, ENSG00000115884, ENSG00000137575, ENSG00000071082, ENSG00000139436, ENSG00000145425, ENSG00000011105, ENSG00000100316, ENSG00000089157, ENSG00000142798, ENSG00000277443, ENSG00000124145	944	362	13819	2.426315666260886	1.566613685444196E-7	7.833070144829218E-8	7.561485596012147E-6
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	25	2.485089463220676	1.5964676014391156E-9	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000058262, ENSG00000171858, ENSG00000198918, ENSG00000229117, ENSG00000144867, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	897	85	12969	4.252409994097974	5.771213814620424E-6	2.8856151896012014E-6	2.878431085394726E-4
REACTOME_PATHWAY	R-HSA-156902:R-HSA-156902	25	2.485089463220676	2.563732318233909E-9	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	543	81	7207	4.0964690903303556	2.0176553167106093E-6	6.734070222561069E-7	6.605883606649373E-5
REACTOME_PATHWAY	R-HSA-192823:R-HSA-192823	25	2.485089463220676	2.563732318233909E-9	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	543	81	7207	4.0964690903303556	2.0176553167106093E-6	6.734070222561069E-7	6.605883606649373E-5
REACTOME_PATHWAY	R-HSA-2408557:R-HSA-2408557	25	2.485089463220676	4.4177473515916965E-9	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	543	83	7207	3.997758991768178	3.476761159748598E-6	8.702962282635642E-7	8.537296756950953E-5
REACTOME_PATHWAY	R-HSA-72764:R-HSA-72764	25	2.485089463220676	7.46687695393239E-9	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	543	85	7207	3.9036940743148087	5.8764149591938875E-6	1.1742093792081113E-6	1.1518576778272463E-4
REACTOME_PATHWAY	R-HSA-975956:R-HSA-975956	25	2.485089463220676	9.64069021503714E-9	ENSG00000149273, ENSG00000110700, ENSG00000134419, ENSG00000112306, ENSG00000171863, ENSG00000171858, ENSG00000163584, ENSG00000198918, ENSG00000229117, ENSG00000105193, ENSG00000140988, ENSG00000105372, ENSG00000163923, ENSG00000137818, ENSG00000118181, ENSG00000008988, ENSG00000071082, ENSG00000168028, ENSG00000197958, ENSG00000145425, ENSG00000100316, ENSG00000143947, ENSG00000089157, ENSG00000147403, ENSG00000122026	543	86	7207	3.8583022827530087	7.587194477354231E-6	1.1742093792081113E-6	1.1518576778272463E-4
