Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	149	11.704634721131187	1.8665563312336826E-21	ENSG00000110944, ENSG00000124151, ENSG00000111912, ENSG00000180530, ENSG00000154803, ENSG00000175104, ENSG00000164850, ENSG00000029153, ENSG00000137462, ENSG00000188786, ENSG00000120075, ENSG00000162711, ENSG00000108342, ENSG00000164736, ENSG00000167207, ENSG00000136826, ENSG00000175197, ENSG00000175592, ENSG00000112715, ENSG00000107249, ENSG00000106952, ENSG00000138449, ENSG00000155846, ENSG00000153823, ENSG00000170345, ENSG00000138685, ENSG00000123908, ENSG00000102908, ENSG00000100219, ENSG00000143867, ENSG00000185022, ENSG00000125538, ENSG00000166923, ENSG00000251493, ENSG00000123358, ENSG00000187605, ENSG00000221869, ENSG00000107485, ENSG00000125378, ENSG00000176692, ENSG00000135828, ENSG00000135541, ENSG00000171316, ENSG00000122877, ENSG00000163660, ENSG00000169245, ENSG00000127528, ENSG00000119508, ENSG00000125347, ENSG00000101577, ENSG00000169926, ENSG00000120690, ENSG00000143178, ENSG00000125740, ENSG00000177311, ENSG00000104312, ENSG00000128342, ENSG00000118260, ENSG00000120738, ENSG00000136244, ENSG00000157168, ENSG00000131196, ENSG00000170485, ENSG00000198517, ENSG00000100906, ENSG00000158092, ENSG00000144655, ENSG00000149948, ENSG00000116132, ENSG00000145901, ENSG00000141384, ENSG00000161011, ENSG00000232810, ENSG00000147883, ENSG00000109320, ENSG00000054598, ENSG00000108510, ENSG00000122641, ENSG00000163435, ENSG00000153234, ENSG00000134954, ENSG00000065970, ENSG00000244405, ENSG00000105835, ENSG00000128272, ENSG00000153879, ENSG00000116604, ENSG00000177606, ENSG00000171223, ENSG00000135766, ENSG00000077150, ENSG00000116044, ENSG00000184384, ENSG00000125845, ENSG00000164251, ENSG00000101115, ENSG00000100784, ENSG00000122691, ENSG00000084093, ENSG00000103241, ENSG00000130522, ENSG00000075426, ENSG00000069667, ENSG00000111424, ENSG00000104856, ENSG00000178662, ENSG00000175832, ENSG00000172201, ENSG00000064932, ENSG00000150991, ENSG00000119699, ENSG00000114251, ENSG00000117000, ENSG00000169554, ENSG00000028277, ENSG00000078401, ENSG00000102554, ENSG00000160741, ENSG00000101096, ENSG00000106546, ENSG00000110925, ENSG00000104885, ENSG00000162924, ENSG00000068305, ENSG00000172216, ENSG00000132510, ENSG00000118058, ENSG00000258839, ENSG00000116584, ENSG00000146648, ENSG00000179361, ENSG00000162772, ENSG00000197063, ENSG00000095752, ENSG00000147162, ENSG00000153162, ENSG00000115008, ENSG00000151702, ENSG00000173039, ENSG00000164683, ENSG00000113580, ENSG00000167034, ENSG00000165891, ENSG00000096717, ENSG00000163635, ENSG00000141867, ENSG00000125398, ENSG00000126003, ENSG00000129514	1112	830	13796	2.2271864436161914	8.123253153528986E-18	8.123253153528986E-18	7.957129640049189E-16
KEGG_PATHWAY	hsa04668:TNF signaling pathway	44	3.456402199528672	1.8187785289611203E-19	ENSG00000007908, ENSG00000073756, ENSG00000163739, ENSG00000128272, ENSG00000177606, ENSG00000171223, ENSG00000026103, ENSG00000172216, ENSG00000003402, ENSG00000162692, ENSG00000034152, ENSG00000169245, ENSG00000100784, ENSG00000164136, ENSG00000167207, ENSG00000081041, ENSG00000108984, ENSG00000023445, ENSG00000128342, ENSG00000115604, ENSG00000118260, ENSG00000107968, ENSG00000146592, ENSG00000115009, ENSG00000136244, ENSG00000170345, ENSG00000173039, ENSG00000100906, ENSG00000118503, ENSG00000149968, ENSG00000125538, ENSG00000117461, ENSG00000232810, ENSG00000171608, ENSG00000078401, ENSG00000164305, ENSG00000056558, ENSG00000109320, ENSG00000271503, ENSG00000163734, ENSG00000108691, ENSG00000164400, ENSG00000090339, ENSG00000055208	493	104	5550	4.762833515369012	4.856138672326191E-17	4.856138672326191E-17	4.165002831320966E-15
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	39	3.063629222309505	2.221030968142162E-13	ENSG00000110944, ENSG00000130513, ENSG00000105835, ENSG00000008517, ENSG00000139269, ENSG00000175505, ENSG00000145777, ENSG00000125845, ENSG00000125726, ENSG00000108342, ENSG00000164136, ENSG00000181634, ENSG00000095752, ENSG00000104432, ENSG00000112715, ENSG00000128342, ENSG00000106952, ENSG00000153162, ENSG00000115008, ENSG00000136244, ENSG00000157168, ENSG00000138685, ENSG00000171951, ENSG00000157368, ENSG00000172349, ENSG00000136689, ENSG00000119699, ENSG00000164761, ENSG00000114251, ENSG00000125538, ENSG00000232810, ENSG00000078401, ENSG00000166923, ENSG00000109321, ENSG00000227507, ENSG00000125657, ENSG00000164400, ENSG00000125378, ENSG00000122641	1124	124	13891	3.8869604523016874	2.659202857913101E-10	2.6585740688661676E-10	2.607490356598898E-8
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	66	5.184603299293008	4.546451744578402E-13	ENSG00000110944, ENSG00000073756, ENSG00000128271, ENSG00000171860, ENSG00000077150, ENSG00000134070, ENSG00000196639, ENSG00000164850, ENSG00000116044, ENSG00000137462, ENSG00000144802, ENSG00000125845, ENSG00000164251, ENSG00000162711, ENSG00000124875, ENSG00000100784, ENSG00000164136, ENSG00000054967, ENSG00000169429, ENSG00000127666, ENSG00000074416, ENSG00000104856, ENSG00000170345, ENSG00000171951, ENSG00000100739, ENSG00000125538, ENSG00000120889, ENSG00000163734, ENSG00000108691, ENSG00000163735, ENSG00000050730, ENSG00000113916, ENSG00000007908, ENSG00000105499, ENSG00000089041, ENSG00000162924, ENSG00000163739, ENSG00000026103, ENSG00000172216, ENSG00000163661, ENSG00000169245, ENSG00000048052, ENSG00000081041, ENSG00000176170, ENSG00000104312, ENSG00000173391, ENSG00000050628, ENSG00000153162, ENSG00000115008, ENSG00000115009, ENSG00000136244, ENSG00000174125, ENSG00000157368, ENSG00000115884, ENSG00000003137, ENSG00000173039, ENSG00000022556, ENSG00000145901, ENSG00000164761, ENSG00000118503, ENSG00000171608, ENSG00000232810, ENSG00000109320, ENSG00000271503, ENSG00000123610, ENSG00000163435	1112	310	13796	2.6413785100951497	1.978577301997575E-9	9.893078996202603E-10	9.690761893568864E-8
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	80	6.284367635506677	4.35645677571047E-12	ENSG00000070444, ENSG00000134954, ENSG00000010818, ENSG00000065970, ENSG00000244405, ENSG00000128272, ENSG00000153879, ENSG00000116604, ENSG00000177606, ENSG00000171223, ENSG00000151014, ENSG00000077150, ENSG00000122779, ENSG00000166478, ENSG00000116044, ENSG00000102804, ENSG00000188786, ENSG00000120075, ENSG00000101115, ENSG00000084093, ENSG00000136826, ENSG00000103241, ENSG00000175592, ENSG00000130522, ENSG00000107249, ENSG00000178860, ENSG00000178662, ENSG00000175832, ENSG00000170345, ENSG00000102908, ENSG00000100219, ENSG00000185022, ENSG00000165030, ENSG00000028277, ENSG00000251493, ENSG00000102554, ENSG00000221869, ENSG00000107485, ENSG00000101096, ENSG00000176692, ENSG00000106546, ENSG00000110925, ENSG00000105656, ENSG00000072364, ENSG00000162924, ENSG00000068305, ENSG00000172059, ENSG00000172216, ENSG00000118058, ENSG00000122877, ENSG00000112182, ENSG00000125347, ENSG00000123685, ENSG00000101654, ENSG00000169926, ENSG00000120690, ENSG00000179361, ENSG00000162772, ENSG00000125740, ENSG00000197063, ENSG00000095951, ENSG00000118260, ENSG00000146592, ENSG00000151702, ENSG00000120738, ENSG00000131196, ENSG00000173039, ENSG00000198517, ENSG00000144655, ENSG00000149948, ENSG00000141384, ENSG00000113580, ENSG00000138380, ENSG00000109320, ENSG00000054598, ENSG00000125398, ENSG00000126003, ENSG00000165732, ENSG00000129514, ENSG00000163435	1112	436	13796	2.2764173981915383	1.8959070535728983E-8	6.319766629297322E-9	6.190525078284577E-7
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	102	8.012568735271014	9.79741081997848E-12	ENSG00000197372, ENSG00000070444, ENSG00000180530, ENSG00000154803, ENSG00000175104, ENSG00000171940, ENSG00000164736, ENSG00000136826, ENSG00000175197, ENSG00000112715, ENSG00000107249, ENSG00000108854, ENSG00000178860, ENSG00000113645, ENSG00000134363, ENSG00000112033, ENSG00000164463, ENSG00000100219, ENSG00000173846, ENSG00000143867, ENSG00000165030, ENSG00000121297, ENSG00000107485, ENSG00000164105, ENSG00000125378, ENSG00000176692, ENSG00000115738, ENSG00000169242, ENSG00000177426, ENSG00000112182, ENSG00000119508, ENSG00000036672, ENSG00000123685, ENSG00000125740, ENSG00000179456, ENSG00000178764, ENSG00000134107, ENSG00000132326, ENSG00000095951, ENSG00000120738, ENSG00000065526, ENSG00000149948, ENSG00000116132, ENSG00000161011, ENSG00000232810, ENSG00000109320, ENSG00000165617, ENSG00000153234, ENSG00000179981, ENSG00000171223, ENSG00000140044, ENSG00000077150, ENSG00000125845, ENSG00000125968, ENSG00000101115, ENSG00000163602, ENSG00000122691, ENSG00000084093, ENSG00000183337, ENSG00000155090, ENSG00000264522, ENSG00000103241, ENSG00000130522, ENSG00000111424, ENSG00000104856, ENSG00000172201, ENSG00000008405, ENSG00000265972, ENSG00000150991, ENSG00000049759, ENSG00000169554, ENSG00000078401, ENSG00000052795, ENSG00000187764, ENSG00000102554, ENSG00000113916, ENSG00000101096, ENSG00000162924, ENSG00000217128, ENSG00000068305, ENSG00000150347, ENSG00000172059, ENSG00000117318, ENSG00000106829, ENSG00000117036, ENSG00000048052, ENSG00000101255, ENSG00000162772, ENSG00000128016, ENSG00000107984, ENSG00000136603, ENSG00000153162, ENSG00000135111, ENSG00000173039, ENSG00000164683, ENSG00000165891, ENSG00000096717, ENSG00000059728, ENSG00000129911, ENSG00000162702, ENSG00000129514, ENSG00000126368	1112	630	13796	2.0086673518328193	4.263821917760424E-8	1.0659582972136587E-8	1.0441590581392067E-6
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	126	9.897879025923016	1.3143709166186076E-11	ENSG00000198185, ENSG00000070444, ENSG00000010818, ENSG00000197013, ENSG00000179388, ENSG00000171940, ENSG00000151014, ENSG00000197935, ENSG00000029153, ENSG00000102804, ENSG00000188786, ENSG00000136826, ENSG00000175197, ENSG00000175592, ENSG00000197483, ENSG00000095574, ENSG00000006704, ENSG00000178860, ENSG00000170345, ENSG00000112033, ENSG00000102908, ENSG00000164463, ENSG00000100219, ENSG00000185022, ENSG00000165030, ENSG00000141040, ENSG00000251493, ENSG00000221869, ENSG00000107485, ENSG00000109787, ENSG00000124201, ENSG00000176692, ENSG00000177426, ENSG00000112182, ENSG00000122877, ENSG00000127528, ENSG00000125347, ENSG00000123685, ENSG00000120690, ENSG00000124496, ENSG00000143178, ENSG00000125740, ENSG00000179456, ENSG00000177311, ENSG00000178764, ENSG00000134107, ENSG00000118260, ENSG00000152439, ENSG00000120738, ENSG00000131196, ENSG00000170485, ENSG00000110395, ENSG00000198517, ENSG00000144655, ENSG00000141384, ENSG00000138380, ENSG00000186496, ENSG00000109320, ENSG00000054598, ENSG00000184635, ENSG00000163435, ENSG00000134954, ENSG00000244405, ENSG00000128272, ENSG00000116604, ENSG00000177606, ENSG00000140044, ENSG00000077150, ENSG00000170802, ENSG00000116044, ENSG00000198939, ENSG00000125968, ENSG00000101115, ENSG00000084093, ENSG00000155090, ENSG00000130522, ENSG00000075426, ENSG00000069667, ENSG00000111424, ENSG00000104856, ENSG00000178662, ENSG00000175832, ENSG00000154957, ENSG00000159200, ENSG00000067646, ENSG00000112511, ENSG00000137834, ENSG00000174738, ENSG00000114251, ENSG00000028277, ENSG00000102554, ENSG00000113916, ENSG00000101096, ENSG00000106546, ENSG00000110925, ENSG00000072364, ENSG00000162924, ENSG00000196387, ENSG00000068305, ENSG00000172059, ENSG00000117318, ENSG00000172216, ENSG00000118058, ENSG00000152518, ENSG00000185650, ENSG00000162772, ENSG00000197063, ENSG00000180884, ENSG00000047634, ENSG00000146592, ENSG00000198556, ENSG00000172466, ENSG00000151702, ENSG00000135111, ENSG00000173039, ENSG00000164683, ENSG00000113580, ENSG00000167034, ENSG00000165891, ENSG00000059728, ENSG00000085276, ENSG00000162702, ENSG00000125398, ENSG00000126003, ENSG00000129514, ENSG00000126368	1124	847	13891	1.8384606335107792	1.5733018776664665E-8	7.866509935962367E-9	7.715357280551226E-7
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	77	6.048703849175176	9.732993863412104E-11	ENSG00000177606, ENSG00000175104, ENSG00000171940, ENSG00000196843, ENSG00000122779, ENSG00000125845, ENSG00000160570, ENSG00000125968, ENSG00000100784, ENSG00000122691, ENSG00000084093, ENSG00000155090, ENSG00000183337, ENSG00000136826, ENSG00000175197, ENSG00000159208, ENSG00000108854, ENSG00000111424, ENSG00000172201, ENSG00000008405, ENSG00000117724, ENSG00000155846, ENSG00000112033, ENSG00000064932, ENSG00000152894, ENSG00000169756, ENSG00000174738, ENSG00000114251, ENSG00000121297, ENSG00000166923, ENSG00000251493, ENSG00000221869, ENSG00000107485, ENSG00000125378, ENSG00000124882, ENSG00000113916, ENSG00000106546, ENSG00000115738, ENSG00000150347, ENSG00000172059, ENSG00000117318, ENSG00000172216, ENSG00000024526, ENSG00000125347, ENSG00000048052, ENSG00000101255, ENSG00000256771, ENSG00000162775, ENSG00000179456, ENSG00000177311, ENSG00000178764, ENSG00000132326, ENSG00000134107, ENSG00000173276, ENSG00000172466, ENSG00000176788, ENSG00000135111, ENSG00000157168, ENSG00000065526, ENSG00000173039, ENSG00000048649, ENSG00000149948, ENSG00000164683, ENSG00000138386, ENSG00000121236, ENSG00000167034, ENSG00000232810, ENSG00000186496, ENSG00000096717, ENSG00000108551, ENSG00000100311, ENSG00000085276, ENSG00000162702, ENSG00000125398, ENSG00000126368, ENSG00000184635, ENSG00000163435	1112	438	13796	2.181046943267304	4.235797304019684E-7	8.471597858713895E-8	8.29835056794516E-6
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	33	2.592301649646504	6.728525985032436E-10	ENSG00000133703, ENSG00000104825, ENSG00000175104, ENSG00000003402, ENSG00000134070, ENSG00000276600, ENSG00000116761, ENSG00000077150, ENSG00000116584, ENSG00000137462, ENSG00000162711, ENSG00000142867, ENSG00000100784, ENSG00000167207, ENSG00000176170, ENSG00000127666, ENSG00000104312, ENSG00000136244, ENSG00000150991, ENSG00000173039, ENSG00000100906, ENSG00000080561, ENSG00000114251, ENSG00000125538, ENSG00000204389, ENSG00000070808, ENSG00000232810, ENSG00000167550, ENSG00000056558, ENSG00000109320, ENSG00000166923, ENSG00000090339, ENSG00000055208	1112	119	13796	3.4404510005441025	2.928250017575351E-6	4.880424181143527E-7	4.7806177123655453E-5
GOTERM_MF_DIRECT	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	43	3.377847604084839	3.706417569398857E-9	ENSG00000101096, ENSG00000153234, ENSG00000176692, ENSG00000065970, ENSG00000128272, ENSG00000153879, ENSG00000068305, ENSG00000116604, ENSG00000177606, ENSG00000171223, ENSG00000172216, ENSG00000077150, ENSG00000122877, ENSG00000188786, ENSG00000119508, ENSG00000125347, ENSG00000120690, ENSG00000169926, ENSG00000179361, ENSG00000125740, ENSG00000136826, ENSG00000175197, ENSG00000175592, ENSG00000118260, ENSG00000175832, ENSG00000151702, ENSG00000120738, ENSG00000170345, ENSG00000173039, ENSG00000102908, ENSG00000149948, ENSG00000113580, ENSG00000138380, ENSG00000028277, ENSG00000251493, ENSG00000123358, ENSG00000102554, ENSG00000125398, ENSG00000126003, ENSG00000107485, ENSG00000221869, ENSG00000129514, ENSG00000163435	1124	196	13891	2.7113125499310042	4.436572054511423E-6	1.478860610190144E-6	1.450444742158086E-4
