Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04668:TNF signaling pathway	44	3.456402199528672	1.921641712436724E-22	ENSG00000007908, ENSG00000073756, ENSG00000163739, ENSG00000128272, ENSG00000177606, ENSG00000171223, ENSG00000026103, ENSG00000172216, ENSG00000003402, ENSG00000162692, ENSG00000034152, ENSG00000169245, ENSG00000100784, ENSG00000164136, ENSG00000167207, ENSG00000081041, ENSG00000108984, ENSG00000023445, ENSG00000128342, ENSG00000115604, ENSG00000118260, ENSG00000107968, ENSG00000146592, ENSG00000115009, ENSG00000136244, ENSG00000170345, ENSG00000173039, ENSG00000100906, ENSG00000118503, ENSG00000149968, ENSG00000125538, ENSG00000117461, ENSG00000232810, ENSG00000171608, ENSG00000078401, ENSG00000164305, ENSG00000056558, ENSG00000109320, ENSG00000271503, ENSG00000163734, ENSG00000108691, ENSG00000164400, ENSG00000090339, ENSG00000055208	493	107	6879	5.737824875357813	5.130783372206053E-20	5.130783372206053E-20	4.266044601609527E-18
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	149	11.704634721131187	2.657730381017197E-22	ENSG00000110944, ENSG00000124151, ENSG00000111912, ENSG00000180530, ENSG00000154803, ENSG00000175104, ENSG00000164850, ENSG00000029153, ENSG00000137462, ENSG00000188786, ENSG00000120075, ENSG00000162711, ENSG00000108342, ENSG00000164736, ENSG00000167207, ENSG00000136826, ENSG00000175197, ENSG00000175592, ENSG00000112715, ENSG00000107249, ENSG00000106952, ENSG00000138449, ENSG00000155846, ENSG00000153823, ENSG00000170345, ENSG00000138685, ENSG00000123908, ENSG00000102908, ENSG00000100219, ENSG00000143867, ENSG00000185022, ENSG00000125538, ENSG00000166923, ENSG00000251493, ENSG00000123358, ENSG00000187605, ENSG00000221869, ENSG00000107485, ENSG00000125378, ENSG00000176692, ENSG00000135828, ENSG00000135541, ENSG00000171316, ENSG00000122877, ENSG00000163660, ENSG00000169245, ENSG00000127528, ENSG00000119508, ENSG00000125347, ENSG00000101577, ENSG00000169926, ENSG00000120690, ENSG00000143178, ENSG00000125740, ENSG00000177311, ENSG00000104312, ENSG00000128342, ENSG00000118260, ENSG00000120738, ENSG00000136244, ENSG00000157168, ENSG00000131196, ENSG00000170485, ENSG00000198517, ENSG00000100906, ENSG00000158092, ENSG00000144655, ENSG00000149948, ENSG00000116132, ENSG00000145901, ENSG00000141384, ENSG00000161011, ENSG00000232810, ENSG00000147883, ENSG00000109320, ENSG00000054598, ENSG00000108510, ENSG00000122641, ENSG00000163435, ENSG00000153234, ENSG00000134954, ENSG00000065970, ENSG00000244405, ENSG00000105835, ENSG00000128272, ENSG00000153879, ENSG00000116604, ENSG00000177606, ENSG00000171223, ENSG00000135766, ENSG00000077150, ENSG00000116044, ENSG00000184384, ENSG00000125845, ENSG00000164251, ENSG00000101115, ENSG00000100784, ENSG00000122691, ENSG00000084093, ENSG00000103241, ENSG00000130522, ENSG00000075426, ENSG00000069667, ENSG00000111424, ENSG00000104856, ENSG00000178662, ENSG00000175832, ENSG00000172201, ENSG00000064932, ENSG00000150991, ENSG00000119699, ENSG00000114251, ENSG00000117000, ENSG00000169554, ENSG00000028277, ENSG00000078401, ENSG00000102554, ENSG00000160741, ENSG00000101096, ENSG00000106546, ENSG00000110925, ENSG00000104885, ENSG00000162924, ENSG00000068305, ENSG00000172216, ENSG00000132510, ENSG00000118058, ENSG00000258839, ENSG00000116584, ENSG00000146648, ENSG00000179361, ENSG00000162772, ENSG00000197063, ENSG00000095752, ENSG00000147162, ENSG00000153162, ENSG00000115008, ENSG00000151702, ENSG00000173039, ENSG00000164683, ENSG00000113580, ENSG00000167034, ENSG00000165891, ENSG00000096717, ENSG00000163635, ENSG00000141867, ENSG00000125398, ENSG00000126003, ENSG00000129514	1112	981	16792	2.2935853152340515	1.156644261818684E-18	1.156644261818684E-18	1.1303327310466138E-16
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	126	9.897879025923016	1.6828806510874734E-13	ENSG00000198185, ENSG00000070444, ENSG00000010818, ENSG00000197013, ENSG00000179388, ENSG00000171940, ENSG00000151014, ENSG00000197935, ENSG00000029153, ENSG00000102804, ENSG00000188786, ENSG00000136826, ENSG00000175197, ENSG00000175592, ENSG00000197483, ENSG00000095574, ENSG00000006704, ENSG00000178860, ENSG00000170345, ENSG00000112033, ENSG00000102908, ENSG00000164463, ENSG00000100219, ENSG00000185022, ENSG00000165030, ENSG00000141040, ENSG00000251493, ENSG00000221869, ENSG00000107485, ENSG00000109787, ENSG00000124201, ENSG00000176692, ENSG00000177426, ENSG00000112182, ENSG00000122877, ENSG00000127528, ENSG00000125347, ENSG00000123685, ENSG00000120690, ENSG00000124496, ENSG00000143178, ENSG00000125740, ENSG00000179456, ENSG00000177311, ENSG00000178764, ENSG00000134107, ENSG00000118260, ENSG00000152439, ENSG00000120738, ENSG00000131196, ENSG00000170485, ENSG00000110395, ENSG00000198517, ENSG00000144655, ENSG00000141384, ENSG00000138380, ENSG00000186496, ENSG00000109320, ENSG00000054598, ENSG00000184635, ENSG00000163435, ENSG00000134954, ENSG00000244405, ENSG00000128272, ENSG00000116604, ENSG00000177606, ENSG00000140044, ENSG00000077150, ENSG00000170802, ENSG00000116044, ENSG00000198939, ENSG00000125968, ENSG00000101115, ENSG00000084093, ENSG00000155090, ENSG00000130522, ENSG00000075426, ENSG00000069667, ENSG00000111424, ENSG00000104856, ENSG00000178662, ENSG00000175832, ENSG00000154957, ENSG00000159200, ENSG00000067646, ENSG00000112511, ENSG00000137834, ENSG00000174738, ENSG00000114251, ENSG00000028277, ENSG00000102554, ENSG00000113916, ENSG00000101096, ENSG00000106546, ENSG00000110925, ENSG00000072364, ENSG00000162924, ENSG00000196387, ENSG00000068305, ENSG00000172059, ENSG00000117318, ENSG00000172216, ENSG00000118058, ENSG00000152518, ENSG00000185650, ENSG00000162772, ENSG00000197063, ENSG00000180884, ENSG00000047634, ENSG00000146592, ENSG00000198556, ENSG00000172466, ENSG00000151702, ENSG00000135111, ENSG00000173039, ENSG00000164683, ENSG00000113580, ENSG00000167034, ENSG00000165891, ENSG00000059728, ENSG00000085276, ENSG00000162702, ENSG00000125398, ENSG00000126003, ENSG00000129514, ENSG00000126368	1124	961	16881	1.9691509807769931	2.0146684320820896E-10	2.0144081393517057E-10	1.9672874811212562E-8
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	102	8.012568735271014	3.2027091046953234E-13	ENSG00000197372, ENSG00000070444, ENSG00000180530, ENSG00000154803, ENSG00000175104, ENSG00000171940, ENSG00000164736, ENSG00000136826, ENSG00000175197, ENSG00000112715, ENSG00000107249, ENSG00000108854, ENSG00000178860, ENSG00000113645, ENSG00000134363, ENSG00000112033, ENSG00000164463, ENSG00000100219, ENSG00000173846, ENSG00000143867, ENSG00000165030, ENSG00000121297, ENSG00000107485, ENSG00000164105, ENSG00000125378, ENSG00000176692, ENSG00000115738, ENSG00000169242, ENSG00000177426, ENSG00000112182, ENSG00000119508, ENSG00000036672, ENSG00000123685, ENSG00000125740, ENSG00000179456, ENSG00000178764, ENSG00000134107, ENSG00000132326, ENSG00000095951, ENSG00000120738, ENSG00000065526, ENSG00000149948, ENSG00000116132, ENSG00000161011, ENSG00000232810, ENSG00000109320, ENSG00000165617, ENSG00000153234, ENSG00000179981, ENSG00000171223, ENSG00000140044, ENSG00000077150, ENSG00000125845, ENSG00000125968, ENSG00000101115, ENSG00000163602, ENSG00000122691, ENSG00000084093, ENSG00000183337, ENSG00000155090, ENSG00000264522, ENSG00000103241, ENSG00000130522, ENSG00000111424, ENSG00000104856, ENSG00000172201, ENSG00000008405, ENSG00000265972, ENSG00000150991, ENSG00000049759, ENSG00000169554, ENSG00000078401, ENSG00000052795, ENSG00000187764, ENSG00000102554, ENSG00000113916, ENSG00000101096, ENSG00000162924, ENSG00000217128, ENSG00000068305, ENSG00000150347, ENSG00000172059, ENSG00000117318, ENSG00000106829, ENSG00000117036, ENSG00000048052, ENSG00000101255, ENSG00000162772, ENSG00000128016, ENSG00000107984, ENSG00000136603, ENSG00000153162, ENSG00000135111, ENSG00000173039, ENSG00000164683, ENSG00000165891, ENSG00000096717, ENSG00000059728, ENSG00000129911, ENSG00000162702, ENSG00000129514, ENSG00000126368	1112	720	16792	2.1392685851318944	1.3939427390141645E-9	6.969095011817023E-10	6.810560911134605E-8
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	66	5.184603299293008	1.0108684252292922E-12	ENSG00000110944, ENSG00000073756, ENSG00000128271, ENSG00000171860, ENSG00000077150, ENSG00000134070, ENSG00000196639, ENSG00000164850, ENSG00000116044, ENSG00000137462, ENSG00000144802, ENSG00000125845, ENSG00000164251, ENSG00000162711, ENSG00000124875, ENSG00000100784, ENSG00000164136, ENSG00000054967, ENSG00000169429, ENSG00000127666, ENSG00000074416, ENSG00000104856, ENSG00000170345, ENSG00000171951, ENSG00000100739, ENSG00000125538, ENSG00000120889, ENSG00000163734, ENSG00000108691, ENSG00000163735, ENSG00000050730, ENSG00000113916, ENSG00000007908, ENSG00000105499, ENSG00000089041, ENSG00000162924, ENSG00000163739, ENSG00000026103, ENSG00000172216, ENSG00000163661, ENSG00000169245, ENSG00000048052, ENSG00000081041, ENSG00000176170, ENSG00000104312, ENSG00000173391, ENSG00000050628, ENSG00000153162, ENSG00000115008, ENSG00000115009, ENSG00000136244, ENSG00000174125, ENSG00000157368, ENSG00000115884, ENSG00000003137, ENSG00000173039, ENSG00000022556, ENSG00000145901, ENSG00000164761, ENSG00000118503, ENSG00000171608, ENSG00000232810, ENSG00000109320, ENSG00000271503, ENSG00000123610, ENSG00000163435	1112	379	16792	2.6296767335471993	4.399254294185084E-9	1.3391350516474601E-9	1.3086721908677961E-7
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	80	6.284367635506677	1.2308226577642098E-12	ENSG00000070444, ENSG00000134954, ENSG00000010818, ENSG00000065970, ENSG00000244405, ENSG00000128272, ENSG00000153879, ENSG00000116604, ENSG00000177606, ENSG00000171223, ENSG00000151014, ENSG00000077150, ENSG00000122779, ENSG00000166478, ENSG00000116044, ENSG00000102804, ENSG00000188786, ENSG00000120075, ENSG00000101115, ENSG00000084093, ENSG00000136826, ENSG00000103241, ENSG00000175592, ENSG00000130522, ENSG00000107249, ENSG00000178860, ENSG00000178662, ENSG00000175832, ENSG00000170345, ENSG00000102908, ENSG00000100219, ENSG00000185022, ENSG00000165030, ENSG00000028277, ENSG00000251493, ENSG00000102554, ENSG00000221869, ENSG00000107485, ENSG00000101096, ENSG00000176692, ENSG00000106546, ENSG00000110925, ENSG00000105656, ENSG00000072364, ENSG00000162924, ENSG00000068305, ENSG00000172059, ENSG00000172216, ENSG00000118058, ENSG00000122877, ENSG00000112182, ENSG00000125347, ENSG00000123685, ENSG00000101654, ENSG00000169926, ENSG00000120690, ENSG00000179361, ENSG00000162772, ENSG00000125740, ENSG00000197063, ENSG00000095951, ENSG00000118260, ENSG00000146592, ENSG00000151702, ENSG00000120738, ENSG00000131196, ENSG00000173039, ENSG00000198517, ENSG00000144655, ENSG00000149948, ENSG00000141384, ENSG00000113580, ENSG00000138380, ENSG00000109320, ENSG00000054598, ENSG00000125398, ENSG00000126003, ENSG00000165732, ENSG00000129514, ENSG00000163435	1112	513	16792	2.3548880194090342	5.3564122026728E-9	1.3391350516474601E-9	1.3086721908677961E-7
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	77	6.048703849175176	5.825581630098887E-12	ENSG00000177606, ENSG00000175104, ENSG00000171940, ENSG00000196843, ENSG00000122779, ENSG00000125845, ENSG00000160570, ENSG00000125968, ENSG00000100784, ENSG00000122691, ENSG00000084093, ENSG00000155090, ENSG00000183337, ENSG00000136826, ENSG00000175197, ENSG00000159208, ENSG00000108854, ENSG00000111424, ENSG00000172201, ENSG00000008405, ENSG00000117724, ENSG00000155846, ENSG00000112033, ENSG00000064932, ENSG00000152894, ENSG00000169756, ENSG00000174738, ENSG00000114251, ENSG00000121297, ENSG00000166923, ENSG00000251493, ENSG00000221869, ENSG00000107485, ENSG00000125378, ENSG00000124882, ENSG00000113916, ENSG00000106546, ENSG00000115738, ENSG00000150347, ENSG00000172059, ENSG00000117318, ENSG00000172216, ENSG00000024526, ENSG00000125347, ENSG00000048052, ENSG00000101255, ENSG00000256771, ENSG00000162775, ENSG00000179456, ENSG00000177311, ENSG00000178764, ENSG00000132326, ENSG00000134107, ENSG00000173276, ENSG00000172466, ENSG00000176788, ENSG00000135111, ENSG00000157168, ENSG00000065526, ENSG00000173039, ENSG00000048649, ENSG00000149948, ENSG00000164683, ENSG00000138386, ENSG00000121236, ENSG00000167034, ENSG00000232810, ENSG00000186496, ENSG00000096717, ENSG00000108551, ENSG00000100311, ENSG00000085276, ENSG00000162702, ENSG00000125398, ENSG00000126368, ENSG00000184635, ENSG00000163435	1112	499	16792	2.330171133634175	2.5352846599879797E-8	5.070586250838071E-9	4.955239734562114E-7
GOTERM_MF_DIRECT	GO:0005515~protein binding	695	54.59544383346425	6.009397704323171E-12	ENSG00000179148, ENSG00000070961, ENSG00000115718, ENSG00000139926, ENSG00000156384, ENSG00000157111, ENSG00000104825, ENSG00000114742, ENSG00000134594, ENSG00000196843, ENSG00000158445, ENSG00000168497, ENSG00000136770, ENSG00000127947, ENSG00000120075, ENSG00000185950, ENSG00000127824, ENSG00000162711, ENSG00000265817, ENSG00000112319, ENSG00000115825, ENSG00000181472, ENSG00000069869, ENSG00000113645, ENSG00000137876, ENSG00000134363, ENSG00000006025, ENSG00000170345, ENSG00000009413, ENSG00000157106, ENSG00000175906, ENSG00000173846, ENSG00000100219, ENSG00000149968, ENSG00000056558, ENSG00000121297, ENSG00000127955, ENSG00000101544, ENSG00000163932, ENSG00000163811, ENSG00000184731, ENSG00000145365, ENSG00000123358, ENSG00000125898, ENSG00000123595, ENSG00000146457, ENSG00000115738, ENSG00000163814, ENSG00000105810, ENSG00000114529, ENSG00000133121, ENSG00000169242, ENSG00000135541, ENSG00000105939, ENSG00000111252, ENSG00000075391, ENSG00000111254, ENSG00000197714, ENSG00000113790, ENSG00000171316, ENSG00000147416, ENSG00000111371, ENSG00000174705, ENSG00000123689, ENSG00000198919, ENSG00000169245, ENSG00000123685, ENSG00000033327, ENSG00000162852, ENSG00000101680, ENSG00000184508, ENSG00000134107, ENSG00000172780, ENSG00000163947, ENSG00000214447, ENSG00000115604, ENSG00000241644, ENSG00000115602, ENSG00000115963, ENSG00000131196, ENSG00000170485, ENSG00000110395, ENSG00000022556, ENSG00000149948, ENSG00000157680, ENSG00000232810, ENSG00000147883, ENSG00000125633, ENSG00000054598, ENSG00000121152, ENSG00000120063, ENSG00000125510, ENSG00000011422, ENSG00000055208, ENSG00000136738, ENSG00000181026, ENSG00000113615, ENSG00000065057, ENSG00000172795, ENSG00000172432, ENSG00000111674, ENSG00000171223, ENSG00000172794, ENSG00000135766, ENSG00000133101, ENSG00000077150, ENSG00000198939, ENSG00000160570, ENSG00000125845, ENSG00000125848, ENSG00000125968, ENSG00000125726, ENSG00000163602, ENSG00000100784, ENSG00000122691, ENSG00000162999, ENSG00000087085, ENSG00000183337, ENSG00000160218, ENSG00000092421, ENSG00000163605, ENSG00000111424, ENSG00000069667, ENSG00000162639, ENSG00000175832, ENSG00000172201, ENSG00000170385, ENSG00000174500, ENSG00000008405, ENSG00000134321, ENSG00000112511, ENSG00000112874, ENSG00000137834, ENSG00000198934, ENSG00000198814, ENSG00000174738, ENSG00000176915, ENSG00000079335, ENSG00000169155, ENSG00000143384, ENSG00000109220, ENSG00000120162, ENSG00000087074, ENSG00000144597, ENSG00000144476, ENSG00000124882, ENSG00000108256, ENSG00000162407, ENSG00000164949, ENSG00000068305, ENSG00000008517, ENSG00000172216, ENSG00000131023, ENSG00000198604, ENSG00000171488, ENSG00000024526, ENSG00000118058, ENSG00000009724, ENSG00000006451, ENSG00000146648, ENSG00000185650, ENSG00000101654, ENSG00000143375, ENSG00000164951, ENSG00000162772, ENSG00000187957, ENSG00000147854, ENSG00000162775, ENSG00000145555, ENSG00000023445, ENSG00000158615, ENSG00000136603, ENSG00000068796, ENSG00000165805, ENSG00000103942, ENSG00000112531, ENSG00000172466, ENSG00000113742, ENSG00000130066, ENSG00000196659, ENSG00000011347, ENSG00000121236, ENSG00000126803, ENSG00000182253, ENSG00000059728, ENSG00000163635, ENSG00000145780, ENSG00000100311, ENSG00000162783, ENSG00000090339, ENSG00000166900, ENSG00000089351, ENSG00000133789, ENSG00000135604, ENSG00000198742, ENSG00000008735, ENSG00000135842, ENSG00000175505, ENSG00000122779, ENSG00000148926, ENSG00000145414, ENSG00000164850, ENSG00000145779, ENSG00000102804, ENSG00000164736, ENSG00000272886, ENSG00000188827, ENSG00000165943, ENSG00000136826, ENSG00000155324, ENSG00000112715, ENSG00000131018, ENSG00000176723, ENSG00000173334, ENSG00000154359, ENSG00000102908, ENSG00000100739, ENSG00000173208, ENSG00000120129, ENSG00000166923, ENSG00000050730, ENSG00000105186, ENSG00000108576, ENSG00000187605, ENSG00000109787, ENSG00000107485, ENSG00000144674, ENSG00000089041, ENSG00000026508, ENSG00000239713, ENSG00000135828, ENSG00000170075, ENSG00000169087, ENSG00000163660, ENSG00000122877, ENSG00000163661, ENSG00000100647, ENSG00000036672, ENSG00000120690, ENSG00000059758, ENSG00000120696, ENSG00000107036, ENSG00000163545, ENSG00000153487, ENSG00000134986, ENSG00000132326, ENSG00000095951, ENSG00000118260, ENSG00000135837, ENSG00000176624, ENSG00000175895, ENSG00000175538, ENSG00000048649, ENSG00000198517, ENSG00000144655, ENSG00000161011, ENSG00000033030, ENSG00000101966, ENSG00000109320, ENSG00000272514, ENSG00000109321, ENSG00000165617, ENSG00000144891, ENSG00000123610, ENSG00000013441, ENSG00000011143, ENSG00000164400, ENSG00000165732, ENSG00000143322, ENSG00000122641, ENSG00000140299, ENSG00000070669, ENSG00000106299, ENSG00000163435, ENSG00000153234, ENSG00000073756, ENSG00000134954, ENSG00000176994, ENSG00000128271, ENSG00000095787, ENSG00000128272, ENSG00000197696, ENSG00000172399, ENSG00000177606, ENSG00000156502, ENSG00000140044, ENSG00000116044, ENSG00000140285, ENSG00000139289, ENSG00000144647, ENSG00000116285, ENSG00000034152, ENSG00000165626, ENSG00000135919, ENSG00000163207, ENSG00000166716, ENSG00000154553, ENSG00000135932, ENSG00000133639, ENSG00000196352, ENSG00000131459, ENSG00000070495, ENSG00000175556, ENSG00000084636, ENSG00000197329, ENSG00000049759, ENSG00000119699, ENSG00000145604, ENSG00000117000, ENSG00000143669, ENSG00000083799, ENSG00000186432, ENSG00000165879, ENSG00000164305, ENSG00000187764, ENSG00000067082, ENSG00000152484, ENSG00000113916, ENSG00000111859, ENSG00000175567, ENSG00000172059, ENSG00000132510, ENSG00000121749, ENSG00000117394, ENSG00000188522, ENSG00000185133, ENSG00000187678, ENSG00000163349, ENSG00000073849, ENSG00000128016, ENSG00000163347, ENSG00000129355, ENSG00000135913, ENSG00000095752, ENSG00000131435, ENSG00000173391, ENSG00000023287, ENSG00000149187, ENSG00000133858, ENSG00000176788, ENSG00000178607, ENSG00000174125, ENSG00000130340, ENSG00000173039, ENSG00000130222, ENSG00000164683, ENSG00000145945, ENSG00000004660, ENSG00000165891, ENSG00000164327, ENSG00000105281, ENSG00000096717, ENSG00000271503, ENSG00000108551, ENSG00000140379, ENSG00000110944, ENSG00000096433, ENSG00000111912, ENSG00000151012, ENSG00000197372, ENSG00000154640, ENSG00000173166, ENSG00000133703, ENSG00000175104, ENSG00000143514, ENSG00000143878, ENSG00000188786, ENSG00000141458, ENSG00000108984, ENSG00000175592, ENSG00000108854, ENSG00000196396, ENSG00000118200, ENSG00000123908, ENSG00000141441, ENSG00000139496, ENSG00000164463, ENSG00000143622, ENSG00000166401, ENSG00000137193, ENSG00000141682, ENSG00000138166, ENSG00000143867, ENSG00000120889, ENSG00000180938, ENSG00000187566, ENSG00000166886, ENSG00000164105, ENSG00000166889, ENSG00000143862, ENSG00000179841, ENSG00000196182, ENSG00000176692, ENSG00000007908, ENSG00000110848, ENSG00000074621, ENSG00000131626, ENSG00000127481, ENSG00000026103, ENSG00000213923, ENSG00000205189, ENSG00000117479, ENSG00000119862, ENSG00000177426, ENSG00000154743, ENSG00000117597, ENSG00000137040, ENSG00000119986, ENSG00000144824, ENSG00000119508, ENSG00000169926, ENSG00000276023, ENSG00000081041, ENSG00000107551, ENSG00000177311, ENSG00000178764, ENSG00000128342, ENSG00000198355, ENSG00000178882, ENSG00000120738, ENSG00000117226, ENSG00000100906, ENSG00000167874, ENSG00000158092, ENSG00000115163, ENSG00000145901, ENSG00000139112, ENSG00000139354, ENSG00000167994, ENSG00000117461, ENSG00000165572, ENSG00000129317, ENSG00000255112, ENSG00000130997, ENSG00000130513, ENSG00000065970, ENSG00000244405, ENSG00000153879, ENSG00000075651, ENSG00000065613, ENSG00000003402, ENSG00000152784, ENSG00000178538, ENSG00000138593, ENSG00000170802, ENSG00000117650, ENSG00000144802, ENSG00000164251, ENSG00000136052, ENSG00000187134, ENSG00000154839, ENSG00000142867, ENSG00000169826, ENSG00000164136, ENSG00000130522, ENSG00000075426, ENSG00000130766, ENSG00000131979, ENSG00000107968, ENSG00000154957, ENSG00000065621, ENSG00000175279, ENSG00000263155, ENSG00000152413, ENSG00000152894, ENSG00000154710, ENSG00000163297, ENSG00000139211, ENSG00000114251, ENSG00000143702, ENSG00000167772, ENSG00000137393, ENSG00000152409, ENSG00000052795, ENSG00000277462, ENSG00000180616, ENSG00000101096, ENSG00000076604, ENSG00000106546, ENSG00000110925, ENSG00000176136, ENSG00000131944, ENSG00000072364, ENSG00000149474, ENSG00000136158, ENSG00000159399, ENSG00000150347, ENSG00000117318, ENSG00000258839, ENSG00000116584, ENSG00000152518, ENSG00000125148, ENSG00000048052, ENSG00000165006, ENSG00000255561, ENSG00000110911, ENSG00000197063, ENSG00000107984, ENSG00000180884, ENSG00000147162, ENSG00000198399, ENSG00000136048, ENSG00000115008, ENSG00000150457, ENSG00000115009, ENSG00000153721, ENSG00000154930, ENSG00000170832, ENSG00000118503, ENSG00000164161, ENSG00000167550, ENSG00000164164, ENSG00000141867, ENSG00000166348, ENSG00000125398, ENSG00000126368, ENSG00000198185, ENSG00000124151, ENSG00000175063, ENSG00000180530, ENSG00000097007, ENSG00000152503, ENSG00000154803, ENSG00000164171, ENSG00000171940, ENSG00000138798, ENSG00000116761, ENSG00000134070, ENSG00000166478, ENSG00000137462, ENSG00000138794, ENSG00000166592, ENSG00000120910, ENSG00000136492, ENSG00000052344, ENSG00000054523, ENSG00000019995, ENSG00000125249, ENSG00000167207, ENSG00000049283, ENSG00000127666, ENSG00000165029, ENSG00000175197, ENSG00000178104, ENSG00000100292, ENSG00000128881, ENSG00000076555, ENSG00000179674, ENSG00000077522, ENSG00000178343, ENSG00000117724, ENSG00000164181, ENSG00000104419, ENSG00000138449, ENSG00000116514, ENSG00000153823, ENSG00000038382, ENSG00000138685, ENSG00000112033, ENSG00000171951, ENSG00000206560, ENSG00000169756, ENSG00000204389, ENSG00000165030, ENSG00000136141, ENSG00000166128, ENSG00000221869, ENSG00000182831, ENSG00000125378, ENSG00000127314, ENSG00000169515, ENSG00000051108, ENSG00000124370, ENSG00000160703, ENSG00000105656, ENSG00000076641, ENSG00000151876, ENSG00000114127, ENSG00000170873, ENSG00000188042, ENSG00000151748, ENSG00000127528, ENSG00000159110, ENSG00000149798, ENSG00000125347, ENSG00000176170, ENSG00000184922, ENSG00000179456, ENSG00000104432, ENSG00000104312, ENSG00000148331, ENSG00000139514, ENSG00000136002, ENSG00000136244, ENSG00000153922, ENSG00000074590, ENSG00000137575, ENSG00000065526, ENSG00000166025, ENSG00000137331, ENSG00000172939, ENSG00000168685, ENSG00000171608, ENSG00000171729, ENSG00000221886, ENSG00000146278, ENSG00000124145, ENSG00000176076, ENSG00000116729, ENSG00000146021, ENSG00000105835, ENSG00000116604, ENSG00000135245, ENSG00000114423, ENSG00000171621, ENSG00000139722, ENSG00000168334, ENSG00000151967, ENSG00000101115, ENSG00000101236, ENSG00000140961, ENSG00000169429, ENSG00000084093, ENSG00000155090, ENSG00000159208, ENSG00000264522, ENSG00000116717, ENSG00000139618, ENSG00000041353, ENSG00000113448, ENSG00000180340, ENSG00000104856, ENSG00000116954, ENSG00000265972, ENSG00000150991, ENSG00000150510, ENSG00000150630, ENSG00000189266, ENSG00000171988, ENSG00000169554, ENSG00000165195, ENSG00000088448, ENSG00000070808, ENSG00000118804, ENSG00000078401, ENSG00000128965, ENSG00000091844, ENSG00000102554, ENSG00000181788, ENSG00000160741, ENSG00000145390, ENSG00000104885, ENSG00000183508, ENSG00000162924, ENSG00000217128, ENSG00000105856, ENSG00000166292, ENSG00000139946, ENSG00000106829, ENSG00000134259, ENSG00000170677, ENSG00000172731, ENSG00000081913, ENSG00000171877, ENSG00000146243, ENSG00000148541, ENSG00000182541, ENSG00000179361, ENSG00000101255, ENSG00000148426, ENSG00000065320, ENSG00000146592, ENSG00000135476, ENSG00000133056, ENSG00000151702, ENSG00000135111, ENSG00000115884, ENSG00000136689, ENSG00000135116, ENSG00000020577, ENSG00000168488, ENSG00000113580, ENSG00000056972, ENSG00000167034, ENSG00000169213, ENSG00000150967, ENSG00000168003, ENSG00000168000, ENSG00000102218, ENSG00000146232, ENSG00000085276, ENSG00000146112, ENSG00000162702, ENSG00000129910, ENSG00000147324	1124	8785	16881	1.1881599175236015	7.193269979666184E-9	3.596624526037418E-9	3.512492958176893E-7
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	39	3.063629222309505	7.376445380723379E-11	ENSG00000110944, ENSG00000130513, ENSG00000105835, ENSG00000008517, ENSG00000139269, ENSG00000175505, ENSG00000145777, ENSG00000125845, ENSG00000125726, ENSG00000108342, ENSG00000164136, ENSG00000181634, ENSG00000095752, ENSG00000104432, ENSG00000112715, ENSG00000128342, ENSG00000106952, ENSG00000153162, ENSG00000115008, ENSG00000136244, ENSG00000157168, ENSG00000138685, ENSG00000171951, ENSG00000157368, ENSG00000172349, ENSG00000136689, ENSG00000119699, ENSG00000164761, ENSG00000114251, ENSG00000125538, ENSG00000232810, ENSG00000078401, ENSG00000166923, ENSG00000109321, ENSG00000227507, ENSG00000125657, ENSG00000164400, ENSG00000125378, ENSG00000122641	1124	176	16881	3.3280036800388224	8.829602959892213E-8	2.943201706908628E-8	2.87435488335521E-6
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	33	2.592301649646504	1.0686306375129929E-10	ENSG00000133703, ENSG00000104825, ENSG00000175104, ENSG00000003402, ENSG00000134070, ENSG00000276600, ENSG00000116761, ENSG00000077150, ENSG00000116584, ENSG00000137462, ENSG00000162711, ENSG00000142867, ENSG00000100784, ENSG00000167207, ENSG00000176170, ENSG00000127666, ENSG00000104312, ENSG00000136244, ENSG00000150991, ENSG00000173039, ENSG00000100906, ENSG00000080561, ENSG00000114251, ENSG00000125538, ENSG00000204389, ENSG00000070808, ENSG00000232810, ENSG00000167550, ENSG00000056558, ENSG00000109320, ENSG00000166923, ENSG00000090339, ENSG00000055208	1112	133	16792	3.7467950451668735	4.650679896744947E-7	7.751134224094242E-8	7.5748101689045985E-6
