Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	248	11.877394636015326	2.5828191259601027E-16	ENSG00000149295, ENSG00000181104, ENSG00000099822, ENSG00000118432, ENSG00000170214, ENSG00000145934, ENSG00000163485, ENSG00000136099, ENSG00000184185, ENSG00000122375, ENSG00000167723, ENSG00000109158, ENSG00000128242, ENSG00000175591, ENSG00000092068, ENSG00000067445, ENSG00000179399, ENSG00000171551, ENSG00000110375, ENSG00000135333, ENSG00000154639, ENSG00000104938, ENSG00000164220, ENSG00000145242, ENSG00000102996, ENSG00000145244, ENSG00000108852, ENSG00000164588, ENSG00000175003, ENSG00000104723, ENSG00000215788, ENSG00000163817, ENSG00000113555, ENSG00000152207, ENSG00000075275, ENSG00000179603, ENSG00000117479, ENSG00000169006, ENSG00000185052, ENSG00000157570, ENSG00000043591, ENSG00000068078, ENSG00000161647, ENSG00000114638, ENSG00000196296, ENSG00000176463, ENSG00000152315, ENSG00000154856, ENSG00000077585, ENSG00000151229, ENSG00000144935, ENSG00000232810, ENSG00000132718, ENSG00000078549, ENSG00000160326, ENSG00000011422, ENSG00000110900, ENSG00000114948, ENSG00000156103, ENSG00000152661, ENSG00000135409, ENSG00000116329, ENSG00000111432, ENSG00000139209, ENSG00000154721, ENSG00000185070, ENSG00000148604, ENSG00000163288, ENSG00000164251, ENSG00000125848, ENSG00000183454, ENSG00000054967, ENSG00000148600, ENSG00000088053, ENSG00000108932, ENSG00000126262, ENSG00000004846, ENSG00000186827, ENSG00000173530, ENSG00000135898, ENSG00000112077, ENSG00000007314, ENSG00000170820, ENSG00000174502, ENSG00000139572, ENSG00000149809, ENSG00000187486, ENSG00000163975, ENSG00000108375, ENSG00000144230, ENSG00000128567, ENSG00000169836, ENSG00000124882, ENSG00000166206, ENSG00000177464, ENSG00000154025, ENSG00000003989, ENSG00000099960, ENSG00000164270, ENSG00000135502, ENSG00000092096, ENSG00000196549, ENSG00000172215, ENSG00000088836, ENSG00000122679, ENSG00000168995, ENSG00000184564, ENSG00000185897, ENSG00000129744, ENSG00000101892, ENSG00000127325, ENSG00000186867, ENSG00000127324, ENSG00000113749, ENSG00000099957, ENSG00000073464, ENSG00000174640, ENSG00000004948, ENSG00000113504, ENSG00000196411, ENSG00000135750, ENSG00000112655, ENSG00000081985, ENSG00000011105, ENSG00000169851, ENSG00000154928, ENSG00000100678, ENSG00000157087, ENSG00000100433, ENSG00000182255, ENSG00000103269, ENSG00000163873, ENSG00000019505, ENSG00000010379, ENSG00000129048, ENSG00000180772, ENSG00000112964, ENSG00000004939, ENSG00000064201, ENSG00000170175, ENSG00000164050, ENSG00000120907, ENSG00000150201, ENSG00000160013, ENSG00000147155, ENSG00000143473, ENSG00000143595, ENSG00000101276, ENSG00000100170, ENSG00000181072, ENSG00000105509, ENSG00000074370, ENSG00000115665, ENSG00000174669, ENSG00000078295, ENSG00000112394, ENSG00000165272, ENSG00000147145, ENSG00000166006, ENSG00000030304, ENSG00000101292, ENSG00000114923, ENSG00000137204, ENSG00000136235, ENSG00000083857, ENSG00000171049, ENSG00000124818, ENSG00000007062, ENSG00000169760, ENSG00000058668, ENSG00000158813, ENSG00000112619, ENSG00000136928, ENSG00000100191, ENSG00000184908, ENSG00000017483, ENSG00000157168, ENSG00000132681, ENSG00000174327, ENSG00000196218, ENSG00000113262, ENSG00000168447, ENSG00000164761, ENSG00000188037, ENSG00000080224, ENSG00000184350, ENSG00000146276, ENSG00000258227, ENSG00000183023, ENSG00000006638, ENSG00000128271, ENSG00000148680, ENSG00000133067, ENSG00000152822, ENSG00000118596, ENSG00000170775, ENSG00000143434, ENSG00000142583, ENSG00000115194, ENSG00000173918, ENSG00000109991, ENSG00000080293, ENSG00000169427, ENSG00000156298, ENSG00000181790, ENSG00000179915, ENSG00000105707, ENSG00000197208, ENSG00000146938, ENSG00000187764, ENSG00000139292, ENSG00000162009, ENSG00000101463, ENSG00000165995, ENSG00000168229, ENSG00000183625, ENSG00000105971, ENSG00000134817, ENSG00000179242, ENSG00000132517, ENSG00000110400, ENSG00000171885, ENSG00000170425, ENSG00000171517, ENSG00000080031, ENSG00000117394, ENSG00000040608, ENSG00000167703, ENSG00000106025, ENSG00000162139, ENSG00000197584, ENSG00000019102, ENSG00000135914, ENSG00000112378, ENSG00000112499, ENSG00000044524, ENSG00000027644, ENSG00000196811, ENSG00000138622, ENSG00000139155, ENSG00000185483, ENSG00000023839, ENSG00000141469, ENSG00000125430, ENSG00000163235, ENSG00000146477, ENSG00000124343, ENSG00000144730	1934	1415	18224	1.6515148303923468	1.312283615106935E-13	1.5264461034424207E-13	1.4179677001520965E-11
GOTERM_CC_DIRECT	GO:0030018~Z disc	46	2.203065134099617	3.1239638600093875E-15	ENSG00000068024, ENSG00000104369, ENSG00000107758, ENSG00000004939, ENSG00000136717, ENSG00000120729, ENSG00000248746, ENSG00000156804, ENSG00000198626, ENSG00000155657, ENSG00000120907, ENSG00000197616, ENSG00000183091, ENSG00000198838, ENSG00000166257, ENSG00000164591, ENSG00000158022, ENSG00000180509, ENSG00000101335, ENSG00000144285, ENSG00000184588, ENSG00000058668, ENSG00000183873, ENSG00000092529, ENSG00000154553, ENSG00000089250, ENSG00000151067, ENSG00000197361, ENSG00000177791, ENSG00000078114, ENSG00000163092, ENSG00000172403, ENSG00000263155, ENSG00000170421, ENSG00000197702, ENSG00000196218, ENSG00000154358, ENSG00000154556, ENSG00000115641, ENSG00000163395, ENSG00000198929, ENSG00000183023, ENSG00000130957, ENSG00000183386, ENSG00000149269, ENSG00000162520	1934	118	18224	3.67335635286488	1.837197061149709E-12	9.23131320632774E-13	8.575280795725768E-11
GOTERM_BP_DIRECT	GO:0030049~muscle filament sliding	25	1.1973180076628354	1.0570649727541099E-14	ENSG00000101470, ENSG00000130598, ENSG00000118194, ENSG00000196465, ENSG00000198467, ENSG00000248746, ENSG00000133020, ENSG00000134571, ENSG00000155657, ENSG00000130595, ENSG00000197616, ENSG00000183091, ENSG00000143632, ENSG00000159173, ENSG00000168530, ENSG00000159251, ENSG00000264424, ENSG00000105048, ENSG00000129991, ENSG00000198336, ENSG00000086967, ENSG00000109063, ENSG00000143549, ENSG00000125414, ENSG00000196091	1806	38	16792	6.1170367779914905	5.0130455342412006E-11	5.024229815500284E-11	4.95869178718953E-9
GOTERM_BP_DIRECT	GO:1903779~regulation of cardiac conduction	30	1.4367816091954022	2.655703855739972E-14	ENSG00000130234, ENSG00000137726, ENSG00000198523, ENSG00000198626, ENSG00000150201, ENSG00000175206, ENSG00000116783, ENSG00000198838, ENSG00000183072, ENSG00000143318, ENSG00000058668, ENSG00000018625, ENSG00000013016, ENSG00000089250, ENSG00000129991, ENSG00000196296, ENSG00000105409, ENSG00000132681, ENSG00000074370, ENSG00000196218, ENSG00000137731, ENSG00000144935, ENSG00000163273, ENSG00000100678, ENSG00000157087, ENSG00000187486, ENSG00000183023, ENSG00000145244, ENSG00000186439, ENSG00000221946	1806	56	16792	4.981015662078786	1.2611767186143652E-10	6.311280213166044E-11	6.228953393638105E-9
GOTERM_CC_DIRECT	GO:0030054~cell junction	105	5.028735632183908	3.2718595175464266E-14	ENSG00000180530, ENSG00000237515, ENSG00000170175, ENSG00000158445, ENSG00000169181, ENSG00000138435, ENSG00000115155, ENSG00000008056, ENSG00000145934, ENSG00000102924, ENSG00000136099, ENSG00000168135, ENSG00000166111, ENSG00000182168, ENSG00000054803, ENSG00000162951, ENSG00000109158, ENSG00000069188, ENSG00000156011, ENSG00000154639, ENSG00000163092, ENSG00000181072, ENSG00000244731, ENSG00000072071, ENSG00000067606, ENSG00000186472, ENSG00000130957, ENSG00000166006, ENSG00000030304, ENSG00000106348, ENSG00000107954, ENSG00000164509, ENSG00000057294, ENSG00000003147, ENSG00000088756, ENSG00000169760, ENSG00000136928, ENSG00000172020, ENSG00000080854, ENSG00000172789, ENSG00000166025, ENSG00000185046, ENSG00000188157, ENSG00000146276, ENSG00000101204, ENSG00000132718, ENSG00000108231, ENSG00000183783, ENSG00000051128, ENSG00000198785, ENSG00000175785, ENSG00000163288, ENSG00000115194, ENSG00000183454, ENSG00000087085, ENSG00000185634, ENSG00000164654, ENSG00000102287, ENSG00000145335, ENSG00000134207, ENSG00000213578, ENSG00000179915, ENSG00000157782, ENSG00000263155, ENSG00000081803, ENSG00000149927, ENSG00000175707, ENSG00000188730, ENSG00000115183, ENSG00000070808, ENSG00000146938, ENSG00000140279, ENSG00000160469, ENSG00000166689, ENSG00000101463, ENSG00000166206, ENSG00000135902, ENSG00000260230, ENSG00000096696, ENSG00000177103, ENSG00000156564, ENSG00000163618, ENSG00000165917, ENSG00000137766, ENSG00000140022, ENSG00000224389, ENSG00000187672, ENSG00000129749, ENSG00000101098, ENSG00000104881, ENSG00000099957, ENSG00000198794, ENSG00000135914, ENSG00000060709, ENSG00000112378, ENSG00000135750, ENSG00000112137, ENSG00000196811, ENSG00000124507, ENSG00000011347, ENSG00000135472, ENSG00000166342, ENSG00000100678, ENSG00000157087, ENSG00000163873	1934	459	18224	2.1555785361369644	1.9356183322827292E-11	6.44556324956646E-12	5.987502917109961E-10
GOTERM_BP_DIRECT	GO:0006936~muscle contraction	42	2.0114942528735633	6.752680760507945E-14	ENSG00000135902, ENSG00000152661, ENSG00000120729, ENSG00000196465, ENSG00000198467, ENSG00000248746, ENSG00000170175, ENSG00000133020, ENSG00000155657, ENSG00000197616, ENSG00000143632, ENSG00000168530, ENSG00000184185, ENSG00000158022, ENSG00000101335, ENSG00000180209, ENSG00000164532, ENSG00000182963, ENSG00000264424, ENSG00000106631, ENSG00000108878, ENSG00000130005, ENSG00000106436, ENSG00000099957, ENSG00000006788, ENSG00000081248, ENSG00000177238, ENSG00000196811, ENSG00000136546, ENSG00000196218, ENSG00000007314, ENSG00000138622, ENSG00000086967, ENSG00000120049, ENSG00000087258, ENSG00000188037, ENSG00000143549, ENSG00000109061, ENSG00000183023, ENSG00000125414, ENSG00000163157, ENSG00000186439	1806	107	16792	3.649641382308194	3.2083491419143684E-10	1.0698497218231422E-10	1.0558941815847591E-8
REACTOME_PATHWAY	R-HSA-390522:R-HSA-390522	23	1.1015325670498084	3.8237254225409144E-13	ENSG00000130598, ENSG00000105048, ENSG00000101470, ENSG00000129991, ENSG00000118194, ENSG00000198336, ENSG00000198467, ENSG00000248746, ENSG00000133020, ENSG00000134571, ENSG00000155657, ENSG00000130595, ENSG00000197616, ENSG00000183091, ENSG00000143632, ENSG00000086967, ENSG00000159173, ENSG00000109063, ENSG00000168530, ENSG00000143549, ENSG00000159251, ENSG00000163157, ENSG00000196091	982	36	9075	5.904192124915139	2.82564638354188E-10	2.8295568126802767E-10	2.7186687754265902E-8
GOTERM_BP_DIRECT	GO:0060048~cardiac muscle contraction	24	1.1494252873563218	1.8076113664157026E-11	ENSG00000130598, ENSG00000176076, ENSG00000129991, ENSG00000053918, ENSG00000105711, ENSG00000118194, ENSG00000198336, ENSG00000105409, ENSG00000134571, ENSG00000198626, ENSG00000155657, ENSG00000197616, ENSG00000183072, ENSG00000159173, ENSG00000166257, ENSG00000168530, ENSG00000159251, ENSG00000101306, ENSG00000183023, ENSG00000055118, ENSG00000183873, ENSG00000108984, ENSG00000018625, ENSG00000104881	1806	45	16792	4.9588778146917685	8.591568145810413E-8	2.1478942061434586E-8	2.1198762299640153E-6
GOTERM_CC_DIRECT	GO:0005576~extracellular region	254	12.164750957854405	2.4620553361515316E-11	ENSG00000181104, ENSG00000095587, ENSG00000206172, ENSG00000174370, ENSG00000267206, ENSG00000049323, ENSG00000129682, ENSG00000152580, ENSG00000164692, ENSG00000184500, ENSG00000154080, ENSG00000168811, ENSG00000146469, ENSG00000179399, ENSG00000113889, ENSG00000154639, ENSG00000104938, ENSG00000164220, ENSG00000149968, ENSG00000125538, ENSG00000137077, ENSG00000143869, ENSG00000143184, ENSG00000188536, ENSG00000145244, ENSG00000185269, ENSG00000124205, ENSG00000104371, ENSG00000163377, ENSG00000166402, ENSG00000074527, ENSG00000127241, ENSG00000178752, ENSG00000176697, ENSG00000107317, ENSG00000163815, ENSG00000187908, ENSG00000215788, ENSG00000225950, ENSG00000084674, ENSG00000179284, ENSG00000109610, ENSG00000138829, ENSG00000068078, ENSG00000128342, ENSG00000070031, ENSG00000137976, ENSG00000111241, ENSG00000206384, ENSG00000118785, ENSG00000138028, ENSG00000186493, ENSG00000144810, ENSG00000163273, ENSG00000232810, ENSG00000101203, ENSG00000142512, ENSG00000039537, ENSG00000163710, ENSG00000114948, ENSG00000156466, ENSG00000108821, ENSG00000175267, ENSG00000130635, ENSG00000112769, ENSG00000178772, ENSG00000060718, ENSG00000172551, ENSG00000171102, ENSG00000139329, ENSG00000152785, ENSG00000170801, ENSG00000167642, ENSG00000183691, ENSG00000142748, ENSG00000124875, ENSG00000087085, ENSG00000148965, ENSG00000105550, ENSG00000128313, ENSG00000145335, ENSG00000104332, ENSG00000127472, ENSG00000160339, ENSG00000132821, ENSG00000156574, ENSG00000137831, ENSG00000143816, ENSG00000169031, ENSG00000093072, ENSG00000139330, ENSG00000149925, ENSG00000168621, ENSG00000137033, ENSG00000163975, ENSG00000163734, ENSG00000145681, ENSG00000163735, ENSG00000204909, ENSG00000124882, ENSG00000070404, ENSG00000187922, ENSG00000011201, ENSG00000175164, ENSG00000105697, ENSG00000160349, ENSG00000163739, ENSG00000137801, ENSG00000172458, ENSG00000118972, ENSG00000171119, ENSG00000224389, ENSG00000162892, ENSG00000188488, ENSG00000089127, ENSG00000079689, ENSG00000160111, ENSG00000129988, ENSG00000099953, ENSG00000146197, ENSG00000196411, ENSG00000115009, ENSG00000173432, ENSG00000120937, ENSG00000170962, ENSG00000124749, ENSG00000143369, ENSG00000189320, ENSG00000167311, ENSG00000164047, ENSG00000154928, ENSG00000182492, ENSG00000166342, ENSG00000092758, ENSG00000182379, ENSG00000187944, ENSG00000213030, ENSG00000145423, ENSG00000180875, ENSG00000180772, ENSG00000112964, ENSG00000115318, ENSG00000149571, ENSG00000138316, ENSG00000164050, ENSG00000156427, ENSG00000138675, ENSG00000175505, ENSG00000138798, ENSG00000162670, ENSG00000102924, ENSG00000112280, ENSG00000050165, ENSG00000162552, ENSG00000107014, ENSG00000184349, ENSG00000158955, ENSG00000244734, ENSG00000106714, ENSG00000105989, ENSG00000198734, ENSG00000244731, ENSG00000169194, ENSG00000163898, ENSG00000108691, ENSG00000101144, ENSG00000053328, ENSG00000153012, ENSG00000110203, ENSG00000127083, ENSG00000242689, ENSG00000115457, ENSG00000150782, ENSG00000133401, ENSG00000118137, ENSG00000163661, ENSG00000183395, ENSG00000087303, ENSG00000055955, ENSG00000102265, ENSG00000185339, ENSG00000158813, ENSG00000132205, ENSG00000160712, ENSG00000138308, ENSG00000175894, ENSG00000157168, ENSG00000204001, ENSG00000196337, ENSG00000164761, ENSG00000163430, ENSG00000164520, ENSG00000118702, ENSG00000188157, ENSG00000108231, ENSG00000142910, ENSG00000160963, ENSG00000122641, ENSG00000129038, ENSG00000130234, ENSG00000073754, ENSG00000105711, ENSG00000261701, ENSG00000113578, ENSG00000170893, ENSG00000172156, ENSG00000106809, ENSG00000155657, ENSG00000149090, ENSG00000161381, ENSG00000166035, ENSG00000173918, ENSG00000109072, ENSG00000135919, ENSG00000169429, ENSG00000163687, ENSG00000106003, ENSG00000106366, ENSG00000184925, ENSG00000118004, ENSG00000169436, ENSG00000126549, ENSG00000184374, ENSG00000102678, ENSG00000138080, ENSG00000146374, ENSG00000102313, ENSG00000160862, ENSG00000196260, ENSG00000108688, ENSG00000071677, ENSG00000197353, ENSG00000134376, ENSG00000175445, ENSG00000110400, ENSG00000115414, ENSG00000134259, ENSG00000139269, ENSG00000175206, ENSG00000186340, ENSG00000163221, ENSG00000172724, ENSG00000151948, ENSG00000102466, ENSG00000112936, ENSG00000108679, ENSG00000095752, ENSG00000065320, ENSG00000044524, ENSG00000158458, ENSG00000173706, ENSG00000166863, ENSG00000145824, ENSG00000053108	1934	1610	18224	1.4866032488261707	1.4550731841644904E-8	3.637686759163888E-9	3.379170948867977E-7
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	553	26.484674329501917	6.688171331531495E-11	ENSG00000181104, ENSG00000240764, ENSG00000009307, ENSG00000134594, ENSG00000158445, ENSG00000170214, ENSG00000170577, ENSG00000168135, ENSG00000122375, ENSG00000144285, ENSG00000184500, ENSG00000109158, ENSG00000067445, ENSG00000179399, ENSG00000143061, ENSG00000113889, ENSG00000103966, ENSG00000135333, ENSG00000069869, ENSG00000134121, ENSG00000134247, ENSG00000136546, ENSG00000046604, ENSG00000175906, ENSG00000010310, ENSG00000145242, ENSG00000102996, ENSG00000145244, ENSG00000101542, ENSG00000070601, ENSG00000185942, ENSG00000156006, ENSG00000180155, ENSG00000137726, ENSG00000104723, ENSG00000118094, ENSG00000171680, ENSG00000115616, ENSG00000163817, ENSG00000215788, ENSG00000159871, ENSG00000104848, ENSG00000113555, ENSG00000075275, ENSG00000204657, ENSG00000169006, ENSG00000169247, ENSG00000204655, ENSG00000162975, ENSG00000043591, ENSG00000156113, ENSG00000115604, ENSG00000115602, ENSG00000105926, ENSG00000198910, ENSG00000197702, ENSG00000105808, ENSG00000133256, ENSG00000137731, ENSG00000087258, ENSG00000089558, ENSG00000169499, ENSG00000134460, ENSG00000157680, ENSG00000232810, ENSG00000101204, ENSG00000123213, ENSG00000103742, ENSG00000078549, ENSG00000160326, ENSG00000145103, ENSG00000100592, ENSG00000011422, ENSG00000156103, ENSG00000114948, ENSG00000065054, ENSG00000162747, ENSG00000167083, ENSG00000125848, ENSG00000107295, ENSG00000162512, ENSG00000125841, ENSG00000121361, ENSG00000183454, ENSG00000228607, ENSG00000087085, ENSG00000185634, ENSG00000182489, ENSG00000148600, ENSG00000143036, ENSG00000088053, ENSG00000145335, ENSG00000134207, ENSG00000155366, ENSG00000186827, ENSG00000061938, ENSG00000174500, ENSG00000157782, ENSG00000173530, ENSG00000111664, ENSG00000135898, ENSG00000159842, ENSG00000174502, ENSG00000149927, ENSG00000120049, ENSG00000126709, ENSG00000054179, ENSG00000108375, ENSG00000144230, ENSG00000011201, ENSG00000260230, ENSG00000156564, ENSG00000132359, ENSG00000196660, ENSG00000111339, ENSG00000165917, ENSG00000008516, ENSG00000173662, ENSG00000130054, ENSG00000005249, ENSG00000111452, ENSG00000196549, ENSG00000172215, ENSG00000172209, ENSG00000122679, ENSG00000198959, ENSG00000224389, ENSG00000122550, ENSG00000055118, ENSG00000160111, ENSG00000185897, ENSG00000058866, ENSG00000186868, ENSG00000148700, ENSG00000186867, ENSG00000092529, ENSG00000113749, ENSG00000137819, ENSG00000174640, ENSG00000113504, ENSG00000060709, ENSG00000171133, ENSG00000196411, ENSG00000135750, ENSG00000204442, ENSG00000081985, ENSG00000196415, ENSG00000124507, ENSG00000011105, ENSG00000011347, ENSG00000160360, ENSG00000185760, ENSG00000100678, ENSG00000100433, ENSG00000102854, ENSG00000164604, ENSG00000182255, ENSG00000091428, ENSG00000163873, ENSG00000010379, ENSG00000089472, ENSG00000129048, ENSG00000091262, ENSG00000134755, ENSG00000112964, ENSG00000172350, ENSG00000198626, ENSG00000132334, ENSG00000169181, ENSG00000162551, ENSG00000164855, ENSG00000160013, ENSG00000182168, ENSG00000143473, ENSG00000162552, ENSG00000187616, ENSG00000143595, ENSG00000184226, ENSG00000095739, ENSG00000184349, ENSG00000113805, ENSG00000213413, ENSG00000111981, ENSG00000198734, ENSG00000181072, ENSG00000174669, ENSG00000134765, ENSG00000197406, ENSG00000078295, ENSG00000143469, ENSG00000142494, ENSG00000163898, ENSG00000164867, ENSG00000184574, ENSG00000163531, ENSG00000022267, ENSG00000164509, ENSG00000071991, ENSG00000114923, ENSG00000083857, ENSG00000171049, ENSG00000172139, ENSG00000118137, ENSG00000120457, ENSG00000122756, ENSG00000144668, ENSG00000250510, ENSG00000120217, ENSG00000058668, ENSG00000158813, ENSG00000151067, ENSG00000136928, ENSG00000198873, ENSG00000172020, ENSG00000132681, ENSG00000196218, ENSG00000164761, ENSG00000164520, ENSG00000123612, ENSG00000080224, ENSG00000182175, ENSG00000258227, ENSG00000183023, ENSG00000185565, ENSG00000129159, ENSG00000130234, ENSG00000072422, ENSG00000110628, ENSG00000006638, ENSG00000128271, ENSG00000198785, ENSG00000175785, ENSG00000244242, ENSG00000118596, ENSG00000119686, ENSG00000155897, ENSG00000161381, ENSG00000204516, ENSG00000142583, ENSG00000162595, ENSG00000120318, ENSG00000109991, ENSG00000067191, ENSG00000142227, ENSG00000080293, ENSG00000106366, ENSG00000050767, ENSG00000053918, ENSG00000197321, ENSG00000213578, ENSG00000179915, ENSG00000081248, ENSG00000070371, ENSG00000198535, ENSG00000082458, ENSG00000197208, ENSG00000146938, ENSG00000187764, ENSG00000139292, ENSG00000186439, ENSG00000140279, ENSG00000162009, ENSG00000165995, ENSG00000135902, ENSG00000067177, ENSG00000174233, ENSG00000134817, ENSG00000197353, ENSG00000175445, ENSG00000110400, ENSG00000176533, ENSG00000084628, ENSG00000162494, ENSG00000163221, ENSG00000163464, ENSG00000188763, ENSG00000117394, ENSG00000117152, ENSG00000105290, ENSG00000185133, ENSG00000040608, ENSG00000167703, ENSG00000162139, ENSG00000105289, ENSG00000026559, ENSG00000129474, ENSG00000198794, ENSG00000197584, ENSG00000135914, ENSG00000139155, ENSG00000079156, ENSG00000121753, ENSG00000185483, ENSG00000183186, ENSG00000183067, ENSG00000108551, ENSG00000141469, ENSG00000186335, ENSG00000163235, ENSG00000142675, ENSG00000149295, ENSG00000149294, ENSG00000130433, ENSG00000179820, ENSG00000129682, ENSG00000099822, ENSG00000073670, ENSG00000118432, ENSG00000188782, ENSG00000145934, ENSG00000163485, ENSG00000136099, ENSG00000184185, ENSG00000167723, ENSG00000129204, ENSG00000150275, ENSG00000175591, ENSG00000069188, ENSG00000197241, ENSG00000092068, ENSG00000173175, ENSG00000154639, ENSG00000198216, ENSG00000164220, ENSG00000117322, ENSG00000167617, ENSG00000167614, ENSG00000166402, ENSG00000164588, ENSG00000254245, ENSG00000074527, ENSG00000007908, ENSG00000112902, ENSG00000110841, ENSG00000175003, ENSG00000152207, ENSG00000179603, ENSG00000057294, ENSG00000117479, ENSG00000168952, ENSG00000185052, ENSG00000144824, ENSG00000084674, ENSG00000165566, ENSG00000164116, ENSG00000198471, ENSG00000108878, ENSG00000108515, ENSG00000068078, ENSG00000176463, ENSG00000152315, ENSG00000151229, ENSG00000065923, ENSG00000130783, ENSG00000167874, ENSG00000143603, ENSG00000144935, ENSG00000115041, ENSG00000081277, ENSG00000170915, ENSG00000132718, ENSG00000149269, ENSG00000142512, ENSG00000107731, ENSG00000152661, ENSG00000107736, ENSG00000116329, ENSG00000139209, ENSG00000188580, ENSG00000154721, ENSG00000185070, ENSG00000167642, ENSG00000163288, ENSG00000188582, ENSG00000151208, ENSG00000164251, ENSG00000018625, ENSG00000102287, ENSG00000104332, ENSG00000127472, ENSG00000126262, ENSG00000004846, ENSG00000213977, ENSG00000112077, ENSG00000041515, ENSG00000170820, ENSG00000139572, ENSG00000187486, ENSG00000168509, ENSG00000141404, ENSG00000128567, ENSG00000169836, ENSG00000167414, ENSG00000166206, ENSG00000108602, ENSG00000177464, ENSG00000003989, ENSG00000177103, ENSG00000106304, ENSG00000096696, ENSG00000104369, ENSG00000107758, ENSG00000132911, ENSG00000183908, ENSG00000164270, ENSG00000092096, ENSG00000168995, ENSG00000085563, ENSG00000180509, ENSG00000149599, ENSG00000129744, ENSG00000176490, ENSG00000178445, ENSG00000099957, ENSG00000147041, ENSG00000004948, ENSG00000150337, ENSG00000267534, ENSG00000116574, ENSG00000167434, ENSG00000158292, ENSG00000170837, ENSG00000169851, ENSG00000154928, ENSG00000157087, ENSG00000180638, ENSG00000196090, ENSG00000019505, ENSG00000180772, ENSG00000004939, ENSG00000149571, ENSG00000153956, ENSG00000115556, ENSG00000164050, ENSG00000112164, ENSG00000120907, ENSG00000138435, ENSG00000150201, ENSG00000138798, ENSG00000134070, ENSG00000254415, ENSG00000188389, ENSG00000101276, ENSG00000168418, ENSG00000182963, ENSG00000169504, ENSG00000180785, ENSG00000100170, ENSG00000100292, ENSG00000175077, ENSG00000106714, ENSG00000105989, ENSG00000135298, ENSG00000244731, ENSG00000105509, ENSG00000115665, ENSG00000072071, ENSG00000067606, ENSG00000112394, ENSG00000165272, ENSG00000102239, ENSG00000147145, ENSG00000166006, ENSG00000169758, ENSG00000169515, ENSG00000107954, ENSG00000101292, ENSG00000147010, ENSG00000136235, ENSG00000137204, ENSG00000072163, ENSG00000112186, ENSG00000113396, ENSG00000170745, ENSG00000166257, ENSG00000007062, ENSG00000169760, ENSG00000088992, ENSG00000055955, ENSG00000176170, ENSG00000105643, ENSG00000160712, ENSG00000002726, ENSG00000184908, ENSG00000179695, ENSG00000017483, ENSG00000105649, ENSG00000105409, ENSG00000150893, ENSG00000113262, ENSG00000168447, ENSG00000188037, ENSG00000118946, ENSG00000188157, ENSG00000146276, ENSG00000160963, ENSG00000051128, ENSG00000182732, ENSG00000176076, ENSG00000105711, ENSG00000001626, ENSG00000148680, ENSG00000076344, ENSG00000159212, ENSG00000133067, ENSG00000170893, ENSG00000152822, ENSG00000170775, ENSG00000151726, ENSG00000103415, ENSG00000127863, ENSG00000169427, ENSG00000169306, ENSG00000099337, ENSG00000181790, ENSG00000105707, ENSG00000070808, ENSG00000146013, ENSG00000102554, ENSG00000221946, ENSG00000160862, ENSG00000168229, ENSG00000183625, ENSG00000105971, ENSG00000148660, ENSG00000105855, ENSG00000179242, ENSG00000065675, ENSG00000137766, ENSG00000171885, ENSG00000134256, ENSG00000170425, ENSG00000171517, ENSG00000111052, ENSG00000183873, ENSG00000184601, ENSG00000239474, ENSG00000182667, ENSG00000160999, ENSG00000105963, ENSG00000156395, ENSG00000112499, ENSG00000112378, ENSG00000044524, ENSG00000196811, ENSG00000158458, ENSG00000138622, ENSG00000170558, ENSG00000023839, ENSG00000109084, ENSG00000146477, ENSG00000129910, ENSG00000102452	1934	4121	18224	1.264473563032637	3.952709715093761E-8	7.905418513870227E-9	7.343612122021581E-7
