#gene	EvC.norm.abs.stat
APOA4	15.29740609
ILDR2	13.88469854
PRG4	13.66186216
GSTT2	13.40357907
AOX3P	13.33398307
IGFBP2	12.84346698
DEPTOR	12.7784316
LAMB3	12.51874376
TMEM86A	12.12695284
CGREF1	11.95341525
PPP1R3B	11.75607765
SLC41A2	11.71687796
KLF12	11.52143138
ACOT1	11.45685869
VPS13C	11.3909774
MGAM	11.30375109
TMEM120A	11.21063449
FN1	11.07681116
ABCA6	11.07093578
ADAM11	11.0417023
FASN	10.93910576
PTTG1	10.92245331
ZBED6	10.64876327
SLC3A1	10.48464016
LMBRD2	10.32264635
APOB	10.25049454
LDHA	10.20188577
AK2	10.04215809
HSD17B10	10.00617123
PTPRF	9.972060224
ABCB11	9.916293727
EPPK1	9.797724899
ABCA1	9.782214608
PROX1	9.691223278
KIAA1109	9.635348799
TNPO1	9.624799848
G0S2	9.549803714
BIRC6	9.474994291
N4BP2	9.453767573
KRT23	9.449702154
SUCLG1	9.444426162
SMG1	9.399217939
FGF21	9.397301092
LCN2	9.395670711
TP53INP1	9.376101428
LPP	9.352223557
FAM25A	9.231676269
SREBF1	9.225749189
STEAP4	9.183114428
NOTCH2	9.174084372
PSMD9	9.105883607
SORBS2	9.102487114
FAT1	9.101154127
LRP1	9.074910955
KIF13B	8.995184101
PYGL	8.984433876
LHPP	8.924210033
LARP4B	8.898335644
C11orf86	8.870791888
PSMD4	8.827678133
CFH	8.809190832
SLC4A4	8.800410949
TNRC6B	8.799852133
PNLDC1	8.795384377
AHR	8.787414996
ATP8B1	8.776577049
VPS13D	8.731932068
WDFY3	8.723825015
CAMK1D	8.705262183
C4A	8.695284361
HSPA5	8.678922591
NDST1	8.672692254
REPS2	8.656583451
ERN1	8.6546332
GOLT1A	8.644853496
SAA1	8.633525735
GPC1	8.628001451
PIK3R1	8.627679914
BCL2L14	8.615898628
EGFL7	8.593741621
ABCC2	8.536656616
MEGF9	8.508818035
ANKRD17	8.479653301
HOOK1	8.474677119
TSPAN31	8.463362789
PSD3	8.46306264
ASH1L	8.455964959
HUWE1	8.445641597
MGLL	8.437856499
PLXNA2	8.436276893
BRMS1	8.378426625
FNDC3A	8.371776333
MYO1B	8.371613
ATP13A3	8.340170144
SLC30A10	8.33158484
ETFB	8.320007545
USP9X	8.309872303
LY6D	8.282864801
NBEAL1	8.26970341
BDH1	8.26158313
ZFHX4	8.21022459
DOCK4	8.208467496
ACACA	8.204285275
CPEB4	8.167011441
PRRC2C	8.166606532
CHKB	8.160019672
TST	8.146435341
MAP3K2	8.13926889
METTL7B	8.122469133
F5	8.121680597
TOR1A	8.115046137
EHHADH	8.1038542
ECI1	8.102157863
HYOU1	8.082528777
SYNE1	8.062353859
ATP11A	8.037907584
TMEM134	8.02078804
JMJD1C	8.018350003
DHTKD1	8.018279486
KIDINS220	8.017994487
C3	8.009524974
PPP2R2D	7.981541965
UNC119	7.974728735
UHMK1	7.967932304
ARFGEF2	7.964693036
ALG10	7.960956241
HADHB	7.936369252
