NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGS2	0	108.16128540039062	0.022973163	Yes	
row_1	IL6	1	94.34715270996094	0.04301224	Yes	
row_2	TNFAIP3	2	84.86051940917969	0.061036386	Yes	
row_3	IL1B	3	81.48524475097656	0.07834363	Yes	
row_4	PTX3	5	78.7649154663086	0.09501519	Yes	
row_5	INHBA	6	73.40059661865234	0.11060528	Yes	
row_6	TNFAIP2	7	70.30451965332031	0.12553777	Yes	
row_7	TNFAIP6	8	68.89808654785156	0.14017153	Yes	
row_8	BMP2	9	68.14999389648438	0.1546464	Yes	
row_9	BIRC3	11	66.46023559570312	0.16870448	Yes	
row_10	ATF3	12	64.6337890625	0.18243252	Yes	
row_11	NAMPT	13	63.74485778808594	0.19597176	Yes	
row_12	LIF	15	61.84804153442383	0.20905022	Yes	
row_13	ICAM1	16	61.789588928222656	0.22217417	Yes	
row_14	IL1A	18	60.388858795166016	0.2349427	Yes	
row_15	CXCL3	21	57.742828369140625	0.24709132	Yes	
row_16	SERPINB2	24	56.719364166259766	0.2590226	Yes	
row_17	NFKB1	25	55.9943962097168	0.27091563	Yes	
row_18	PPP1R15A	28	54.7847900390625	0.28243598	Yes	
row_19	IER3	34	53.20987319946289	0.29344815	Yes	
row_20	G0S2	35	52.50003433227539	0.30459902	Yes	
row_21	MAFF	37	51.181549072265625	0.31541196	Yes	
row_22	SOD2	41	49.15837478637695	0.32567936	Yes	
row_23	OLR1	44	48.37208557128906	0.3358377	Yes	
row_24	MSC	45	47.90593338012695	0.34601277	Yes	
row_25	SLC2A3	48	46.2014045715332	0.35571003	Yes	
row_26	PNRC1	50	45.83869171142578	0.36538815	Yes	
row_27	PHLDA1	51	45.81468200683594	0.37511906	Yes	
row_28	KLF6	53	44.55659866333008	0.38452488	Yes	
row_29	FOSL1	55	44.18033218383789	0.39385077	Yes	
row_30	VEGFA	57	43.93688201904297	0.40312496	Yes	
row_31	CCL2	59	43.57850646972656	0.412323	Yes	
row_32	TNIP1	60	43.26777648925781	0.42151296	Yes	
row_33	ZC3H12A	61	42.98093032836914	0.430642	Yes	
row_34	DRAM1	65	41.73395538330078	0.4393325	Yes	
row_35	SQSTM1	66	41.602256774902344	0.4481687	Yes	
row_36	CXCL1	67	41.278282165527344	0.4569361	Yes	
row_37	TSC22D1	74	39.13398742675781	0.46490067	Yes	
row_38	CXCL6	75	39.06832504272461	0.47319868	Yes	
row_39	NFKB2	76	38.244049072265625	0.48132163	Yes	
row_40	BHLHE40	78	37.83723068237305	0.48930025	Yes	
row_41	PLPP3	81	37.034461975097656	0.4970505	Yes	
row_42	SDC4	82	37.030914306640625	0.5049158	Yes	
row_43	IRF1	83	36.89792251586914	0.5127528	Yes	
row_44	AREG	86	36.00811004638672	0.520285	Yes	
row_45	MCL1	89	35.73410415649414	0.5277591	Yes	
row_46	RIPK2	93	34.2861213684082	0.53486764	Yes	
row_47	B4GALT1	95	34.09769058227539	0.54205203	Yes	
row_48	NFKBIA	96	34.05948257446289	0.5492861	Yes	
row_49	JUN	100	33.37724685668945	0.5562017	Yes	
row_50	NR4A1	104	33.19169616699219	0.56307787	Yes	
row_51	CXCL2	105	33.07928466796875	0.5701038	Yes	
row_52	DUSP1	119	31.9805908203125	0.57614374	Yes	
row_53	FOSL2	123	31.227622985839844	0.58260274	Yes	
row_54	RNF19B	125	30.410499572753906	0.589004	Yes	
row_55	REL	129	30.13321304321289	0.5952305	Yes	
row_56	JUNB	130	30.088722229003906	0.60162127	Yes	
row_57	EGR1	139	29.54954719543457	0.60743433	Yes	
row_58	GEM	140	29.50003433227539	0.6137001	Yes	
row_59	NR4A3	141	29.405614852905273	0.61994576	Yes	
row_60	SPHK1	143	29.364994049072266	0.6261249	Yes	
row_61	SAT1	157	28.14885711669922	0.631351	Yes	
row_62	NFKBIE	166	27.818239212036133	0.6367964	Yes	
row_63	RELB	168	27.618091583251953	0.64260453	Yes	
row_64	TRIB1	171	27.420108795166016	0.6483127	Yes	
row_65	ATP2B1	178	26.857023239135742	0.65366966	Yes	
row_66	CCNL1	185	26.392959594726562	0.6589281	Yes	
row_67	CFLAR	195	25.867937088012695	0.6639013	Yes	
row_68	PANX1	196	25.780532836914062	0.669377	Yes	
row_69	EIF1	199	25.71139907836914	0.6747223	Yes	
row_70	EFNA1	204	25.37592887878418	0.6798805	Yes	
row_71	KDM6B	206	25.308229446411133	0.685198	Yes	
row_72	DUSP5	209	25.214649200439453	0.69043773	Yes	
row_73	IRS2	214	25.061708450317383	0.6955292	Yes	
row_74	TGIF1	222	24.751985549926758	0.7003812	Yes	
row_75	CCL20	230	24.459596633911133	0.7051711	Yes	
