NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EHHADH	34	8.103854179382324	0.038816433	Yes	
row_1	FABP1	50	7.667981147766113	0.076791465	Yes	
row_2	ACAA1	53	7.599985599517822	0.115363695	Yes	
row_3	CYP8B1	59	7.396113395690918	0.15267958	Yes	
row_4	APOA1	60	7.33781099319458	0.19006135	Yes	
row_5	FABP5	66	7.26533842086792	0.226711	Yes	
row_6	CYP4A11	83	6.921833038330078	0.26081228	Yes	
row_7	APOA5	96	6.759455680847168	0.29437667	Yes	
row_8	ACADM	99	6.738697528839111	0.32856116	Yes	
row_9	FABP2	143	6.251569747924805	0.35728803	Yes	
row_10	ACADL	163	6.115514755249023	0.38706383	Yes	
row_11	APOA2	180	6.020404815673828	0.41657284	Yes	
row_12	SLC27A1	207	5.863026142120361	0.44455427	Yes	
row_13	CPT1B	376	5.067742824554443	0.45817718	Yes	
row_14	NR1H3	490	4.710265159606934	0.4739711	Yes	
row_15	HMGCS2	649	4.329007148742676	0.4845564	Yes	
row_16	APOC3	782	4.027106761932373	0.49549094	Yes	
row_17	DBI	850	3.8752706050872803	0.51036996	Yes	
row_18	FADS2	932	3.748197555541992	0.52358544	Yes	
row_19	SLC27A4	1410	3.060274600982666	0.5045528	Yes	
row_20	FABP4	1658	2.7538564205169678	0.5006536	Yes	
row_21	ILK	1773	2.662013053894043	0.5059403	Yes	
row_22	RXRB	1811	2.6190025806427	0.516597	Yes	
row_23	FABP7	1812	2.6181070804595947	0.52993464	Yes	
row_24	CPT2	2146	2.3031678199768066	0.5174972	No	
row_25	ANGPTL4	2391	2.089871644973755	0.5104332	No	
row_26	ACSL5	2460	2.0385677814483643	0.51588273	No	
row_27	FABP3	2501	2.008742332458496	0.5232127	No	
row_28	PLTP	2649	1.8875062465667725	0.52215844	No	
row_29	AQP7	3321	1.4484604597091675	0.4808331	No	
row_30	UBC	3344	1.4375988245010376	0.48655996	No	
row_31	SLC27A2	3409	1.4074196815490723	0.4890845	No	
row_32	RXRG	3499	1.362742304801941	0.48956683	No	
row_33	PCK2	3544	1.336137294769287	0.49317992	No	
row_34	ADIPOQ	3810	1.1886011362075806	0.48000017	No	
row_35	PPARD	3835	1.1766480207443237	0.48425245	No	
row_36	LPL	3864	1.1651580333709717	0.48815587	No	
row_37	CPT1C	4048	1.0726711750030518	0.4803375	No	
row_38	SLC27A5	4159	1.024590253829956	0.47757286	No	
row_39	ACOX1	4250	0.9942951202392578	0.47610557	No	
row_40	ACSL1	4325	0.9612470269203186	0.47563127	No	
row_41	ACSL4	4379	0.9394080638885498	0.47657	No	
row_42	CPT1A	4982	0.7021753191947937	0.43645117	No	
row_43	ME1	5309	0.5782966613769531	0.41573462	No	
row_44	SCP2	5390	0.5509107112884521	0.4127344	No	
row_45	PLIN1	5430	0.5415701866149902	0.41266257	No	
row_46	PCK1	5617	0.48008793592453003	0.40160757	No	
row_47	CD36	6393	0.2658902108669281	0.34670895	No	
row_48	CYP27A1	6670	0.1550193727016449	0.3274653	No	
row_49	ACSL6	6718	0.1385081708431244	0.32475942	No	
row_50	GK2	6872	0.11764438450336456	0.31425327	No	
row_51	SLC27A6	7008	0.06740415096282959	0.30479774	No	
row_52	OLR1	7446	-0.10223298519849777	0.273599	No	
row_53	PPARG	8716	-0.48502132296562195	0.18395987	No	
row_54	UCP1	10484	-1.4397777318954468	0.06303744	No	
row_55	SORBS1	10714	-1.6125025749206543	0.054630272	No	
row_56	ACOX3	11340	-2.1437559127807617	0.02018597	No	
row_57	ACSL3	11422	-2.2338144779205322	0.025686562	No	
row_58	ACOX2	11760	-2.623901128768921	0.014592718	No	
row_59	CYP4A22	11937	-2.8235280513763428	0.016201999	No	
row_60	RXRA	12298	-3.2596116065979004	0.0066772737	No	
row_61	PDPK1	12537	-3.600119113922119	0.00774257	No	
row_62	SCD	13052	-4.584146499633789	-0.0062124897	No	
row_63	PPARA	13102	-4.711694240570068	0.014234137	No	
row_64	CYP7A1	13744	-7.720916748046875	0.0070407945	No	
