NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOLC1	624	2.636826276779175	-0.025215995	No	
row_1	PRPS1	724	2.5074844360351562	-0.024528554	No	
row_2	MTHFD2	1069	2.1789937019348145	-0.036801964	No	
row_3	CTPS1	1493	1.9081929922103882	-0.053624585	No	
row_4	CCNE1	1497	1.9066014289855957	-0.049495827	No	
row_5	GSPT1	1637	1.8349521160125732	-0.052313264	No	
row_6	HUS1	1835	1.729390025138855	-0.05826136	No	
row_7	NUP153	2105	1.6041274070739746	-0.068082824	No	
row_8	EIF2S1	2450	1.4657363891601562	-0.0819568	No	
row_9	TFRC	2527	1.4341548681259155	-0.08253039	No	
row_10	LYAR	2682	1.3792526721954346	-0.087118804	No	
row_11	PPM1D	2897	1.302179217338562	-0.09487374	No	
row_12	PRKDC	2953	1.2863435745239258	-0.09473128	No	
row_13	MMS22L	2956	1.2855265140533447	-0.091946326	No	
row_14	NOP56	3052	1.2544091939926147	-0.09387123	No	
row_15	ORC6	3143	1.2293301820755005	-0.095602944	No	
row_16	RAD50	3163	1.224031925201416	-0.09380416	No	
row_17	NUP205	3259	1.1954995393753052	-0.095861256	No	
row_18	SMC1A	3728	1.0686558485031128	-0.11681298	No	
row_19	CCP110	3732	1.0675976276397705	-0.11456695	No	
row_20	DIAPH3	3795	1.0536898374557495	-0.11529581	No	
row_21	BARD1	4032	0.9999281764030457	-0.12482665	No	
row_22	RFC1	4276	0.944860577583313	-0.1348303	No	
row_23	PA2G4	4683	0.8520759344100952	-0.15317468	No	
row_24	NBN	5022	0.7834077477455139	-0.16828045	No	
row_25	UBR7	5282	0.733919620513916	-0.17955574	No	
row_26	SYNCRIP	5400	0.714290201663971	-0.18379031	No	
row_27	STAG1	5592	0.6828762888908386	-0.19178745	No	
row_28	WDR90	5695	0.6662558913230896	-0.19538142	No	
row_29	CDC25A	6150	0.5726892948150635	-0.2167476	No	
row_30	POP7	6247	0.5566437840461731	-0.22028819	No	
row_31	PNN	6739	0.4825478494167328	-0.24370266	No	
row_32	CENPE	7319	0.40877529978752136	-0.27167326	No	
row_33	CBX5	8073	0.2794130742549896	-0.30861548	No	
row_34	PDS5B	8406	0.23185308277606964	-0.3246596	No	
row_35	POLE	8439	0.22623762488365173	-0.32574847	No	
row_36	BRCA2	9228	0.1877218633890152	-0.3646427	No	
row_37	IPO7	9237	0.1856924146413803	-0.36462516	No	
row_38	TUBG1	9283	0.17823931574821472	-0.36647034	No	
row_39	TIPIN	9387	0.16119568049907684	-0.37124756	No	
row_40	RAD1	9462	0.14796364307403564	-0.3746076	No	
row_41	ORC2	9588	0.12828095257282257	-0.38055632	No	
row_42	PRDX4	9659	0.11703882366418839	-0.38378617	No	
row_43	GINS4	9819	0.08725037425756454	-0.39152333	No	
row_44	CDKN1A	9894	0.07296457886695862	-0.39505166	No	
row_45	EED	9911	0.07037745416164398	-0.39569202	No	
row_46	MLH1	9953	0.06143582984805107	-0.39759976	No	
row_47	ATAD2	10232	0.012617516331374645	-0.41144162	No	
row_48	MYC	11133	-0.09597394615411758	-0.45612973	No	
row_49	PPP1R8	11142	-0.09784824401140213	-0.4563093	No	
row_50	ZW10	11175	-0.10431790351867676	-0.45767176	No	
row_51	E2F8	11619	-0.1828932911157608	-0.47936383	No	
row_52	TBRG4	12759	-0.2943671643733978	-0.5355311	No	
row_53	HELLS	13036	-0.3414827287197113	-0.54853517	No	
row_54	CSE1L	13360	-0.39684414863586426	-0.56376004	No	
row_55	RPA2	13561	-0.4351145327091217	-0.57276213	No	
row_56	SMC6	13800	-0.4628812372684479	-0.5835979	No	
row_57	XPO1	14009	-0.5020649433135986	-0.59284896	No	
row_58	CTCF	14145	-0.5223756432533264	-0.5984123	No	
row_59	POLD3	14147	-0.5224725008010864	-0.59728974	No	
row_60	BRCA1	14286	-0.5410053730010986	-0.6029609	No	
row_61	SRSF1	14335	-0.5509612560272217	-0.60411936	No	
row_62	NUDT21	14590	-0.6038070321083069	-0.6154372	No	
row_63	DCTPP1	14857	-0.6599990129470825	-0.6272276	No	
row_64	ING3	14960	-0.6865891218185425	-0.6307759	No	
row_65	PSMC3IP	14969	-0.6881264448165894	-0.6296309	No	
row_66	GINS1	14976	-0.6900601387023926	-0.6283818	No	
row_67	BRMS1L	15057	-0.7059894800186157	-0.630789	No	
row_68	USP1	15094	-0.7149307131767273	-0.6309808	No	
row_69	NAA38	15129	-0.7216130495071411	-0.63105786	No	
row_70	POLA2	15212	-0.7451323866844177	-0.633477	No	
row_71	AK2	15515	-0.8147580027580261	-0.64671624	No	
row_72	DSCC1	15583	-0.8304174542427063	-0.64819556	No	
row_73	PAN2	15634	-0.8423677086830139	-0.64879996	No	
row_74	NME1	16019	-0.9380874633789062	-0.6658537	No	
row_75	CHEK2	16135	-0.9644940495491028	-0.669427	No	
row_76	RPA1	16145	-0.967377245426178	-0.66770524	No	
row_77	RAD51C	16271	-0.9998916387557983	-0.67169803	No	
row_78	PHF5A	16286	-1.0051401853561401	-0.670141	No	
row_79	AURKA	16348	-1.0192546844482422	-0.67089725	No	
row_80	LUC7L3	16370	-1.0245784521102905	-0.6696458	No	
row_81	NUP107	16607	-1.0897315740585327	-0.6789751	No	
row_82	DCLRE1B	16617	-1.0913870334625244	-0.6769751	No	
row_83	DCK	16642	-1.0981087684631348	-0.67570835	No	
row_84	RAN	16664	-1.1040077209472656	-0.6742787	No	
row_85	TRA2B	16729	-1.1239728927612305	-0.6749496	No	
row_86	MKI67	16931	-1.194899559020996	-0.6822967	No	
row_87	PRIM2	17248	-1.3000459671020508	-0.6951454	No	
row_88	CDKN2A	17314	-1.3267461061477661	-0.69541126	No	
row_89	MSH2	17546	-1.4111886024475098	-0.70376974	No	
row_90	RFC3	17689	-1.4643546342849731	-0.70756847	No	
row_91	LBR	17725	-1.4760106801986694	-0.70600253	No	
row_92	XRCC6	17935	-1.576453685760498	-0.71289253	Yes	
row_93	ASF1A	17950	-1.5813677310943604	-0.7100424	Yes	
row_94	GINS3	18020	-1.617943286895752	-0.70985436	Yes	
row_95	SMC3	18023	-1.6199346780776978	-0.706319	Yes	
row_96	TCF19	18090	-1.6592892408370972	-0.70588845	Yes	
row_97	MELK	18154	-1.69219970703125	-0.70523435	Yes	
row_98	SUV39H1	18280	-1.7597588300704956	-0.70752203	Yes	
row_99	CHEK1	18287	-1.762732982635498	-0.7038658	Yes	
