NAME	TITLE	SCORE	
SERPINB2		12.522175	
ADAMTS14		10.474183	
RGS5		9.161756	
IFFO2		9.103086	
SCG2		8.932899	
RDH10		8.485019	
ANGPTL4		8.421116	
BC005927		8.412807	
TFPI2		8.407104	
DAB2		8.332577	
CDCP1		8.22267	
GREM1		8.146961	
EGR1		7.6295385	
GFRA1		7.555069	
ADAMTS1		7.391878	
RGMB		7.341387	
CORO2B		7.2118397	
RGS4		7.155723	
PLAT		7.0853844	
IFI6		6.9086175	
SLC7A5		6.908363	
SAMD4A		6.895047	
KIAA1199		6.761984	
TMEM158		6.678493	
S1PR3		6.653282	
ADAMTSL1		6.6427197	
SULF1		6.638406	
KDELR3		6.6323757	
SVEP1		6.607747	
AK092048		6.5701365	
DUSP5		6.5441794	
HBEGF		6.5138087	
MYBL1		6.4822016	
DNAJB4		6.461077	
OXTR		6.429154	
PVR		6.3978543	
CREB5		6.3512473	
TXNIP		6.232483	
CYP26B1		6.2309256	
ENC1		6.1714206	
IGFBP2		6.1658335	
IL1B		6.083793	
ATP2B4		6.05749	
GLIPR1		6.0221467	
FN1		5.9353466	
DSEL		5.9249206	
SCG5		5.9248548	
PCSK5		5.8760605	
SLC1A1		5.811511	
C3		5.72942	
SEMA7A		5.705013	
TXNRD1		5.671624	
MYPN		5.6408854	
MMP24		5.6116257	
PDCD11		5.580861	
NOL6		5.5461884	
FILIP1L		5.540867	
RDH5		5.520284	
MOK		5.4885807	
ESM1		5.4741993	
CCND2		5.4675846	
ITGA7		5.443895	
FLNC		5.4371767	
IL33		5.3769965	
AKAP12		5.370732	
JAG1		5.3575916	
UNC13A		5.3498635	
SPP1		5.31486	
EFEMP1		5.3122597	
KCNK3		5.2971334	
OAS1		5.232225	
AK056253		5.2320223	
MOXD1		5.230599	
TMEM2		5.2218356	
SDC4		5.2183256	
MAP1A		5.2062645	
DSP		5.1329274	
BMP2		5.1108317	
TNFRSF11B		5.107399	
DMBT1		5.080465	
SMURF2		5.076302	
NIPAL3		5.054376	
ABI3BP		4.928815	
HIST2H2BE		4.9097357	
RAPH1		4.876393	
PDCD1LG2		4.873653	
EPHA4		4.8550234	
ZNF322		4.8135576	
LRP8		4.812595	
ATF3		4.8010464	
FAM98A		4.7747416	
C11orf24		4.7687845	
TSPAN13		4.7685614	
HIST1H2BK		4.761265	
RGPD1		4.7520905	
KIAA1217		4.7371416	
UGGT2		4.734761	
SPRY4		4.7322564	
NPAS2		4.729085	
MAP3K7CL		4.711752	
LOC646329		4.6972256	
SIPA1L1		4.69479	
SAMD9L		4.6915836	
CPED1		4.662743	
ANKRD13A		4.6172595	
NEDD4L		4.61382	
CCDC113		4.6033845	
SCFD2		4.6024837	
GPRC5A		4.5882254	
STAT1		4.5698185	
LOC652276		4.5569534	
NRXN3		4.5454073	
CD9		4.491237	
TNFRSF10D		4.490351	
TBC1D4		4.4880295	
PNP		4.48133	
ZDHHC9		4.478664	
KITLG		4.4715495	
ZNFX1		4.451325	
FLJ42627		4.4427032	
NECAP1		4.4375825	
TMEM200A		4.426047	
TAF13		4.4221554	
CCND1		4.408021	
CLCN5		4.403462	
BC010924		4.392054	
PRNP		4.367756	
ARRDC4		4.360251	
PDIA5		4.3402834	
NPR3		4.338076	
HIST1H2BC		4.3146987	
HLA-DOB		4.3112383	
PAPPA		4.299795	
UCHL3		4.2921963	
GRIK2		4.289688	
BICD1		4.28498	
P2RX5-TAX1BP3		4.283204	
TTC18		4.2460475	
SP110		4.2372413	
PHLDB2		4.2199965	
OSBP2		4.1915345	
NFASC		4.1860027	
SRPRB		4.1684017	
OGFOD1		4.1391945	
ROR1		4.138074	
SLC36A1		4.1260552	
PPM1K		4.1194725	
PDE5A		4.11422	
HS3ST1		4.110732	
PPIP5K1		4.094426	
ATP8B1		4.062936	
C3orf52		4.061745	
ARSJ		4.056198	
ULBP2		4.0559998	
VPS53		4.048339	
TMEM39A		4.047517	
AK096233		4.03238	
SYNE1		4.028701	
SERPINI1		4.0246263	
KRTAP2-3		4.021449	
ARHGEF34P		4.0180593	
TMEM106A		4.017359	
SRXN1		4.0146265	
BC014312		4.0130734	
LAMA4		4.0012593	
BDNF		3.99686	
ACTBL2		3.9951267	
TUBGCP5		3.9923573	
GRAMD1B		3.9911196	
STX12		3.9809663	
FGF2		3.9799714	
SERPINB7		3.978491	
SESN2		3.9769695	
DUSP16		3.9543827	
CDH13		3.9453022	
DDAH1		3.936875	
MSN		3.9262352	
MCFD2		3.9261343	
C5orf30		3.9169629	
HIST1H2BD		3.8882754	
BLZF1		3.8851056	
LOC653513		3.871084	
RRP12		3.8691933	
FGF1		3.8628182	
IL8		3.8595414	
NCDN		3.8583403	
SELT		3.855276	
IFIT1		3.844696	
HTT		3.8128712	
PIK3R3		3.8075764	
SLC16A6		3.8058693	
ITGA11		3.8005068	
DYNLL2		3.791156	
SSR1		3.78756	
NAV3		3.7810938	
NABP1		3.7807558	
PLA2G4A		3.770864	
PGM3		3.7699273	
MAK16		3.7697659	
WLS		3.7660065	
DESI1		3.7579312	
SPRED3		3.7507017	
RNF141		3.7490573	
CLIC4		3.7469172	
SLC17A5		3.7292552	
SEC24A		3.7189426	
CASK		3.7180643	
AMPD3		3.7023714	
ATP10D		3.701226	
NF2		3.6976323	
CHST15		3.6916153	
TEX2		3.6914797	
TMEM47		3.683161	
NFATC2		3.6817482	
ATG4A		3.6789656	
HDAC9		3.662939	
MAN2B2		3.662916	
SLC9A1		3.6620228	
EPT1		3.660437	
RSU1		3.6577735	
MICAL2		3.6552687	
PTPRB		3.6475532	
LMLN		3.6457264	
TNFRSF21		3.6407368	
C17orf51		3.638818	
ANK2		3.6342103	
NUDT4		3.6323354	
ITGA2		3.6319466	
ASB1		3.626371	
NOMO1		3.622931	
TGM2		3.6149983	
FKBP14		3.6145406	
RAB3B		3.6069903	
TOB2		3.6065342	
NLRP10		3.6062887	
EIF2AK3		3.6049116	
CD274		3.6038778	
TMTC1		3.600063	
IFIT2		3.5970237	
RRN3		3.5905364	
KCNC4		3.5892205	
FOSB		3.574138	
EAF1		3.5673041	
ATP6V0A1		3.5660932	
ADAM12		3.5607018	
SLC25A20		3.550022	
AK123889		3.5394225	
TTC13		3.5375416	
PRDX6		3.5293906	
KCNK6		3.5273526	
NAALADL2		3.524099	
SLC20A2		3.5202777	
MXD1		3.5192049	
RCAN1		3.508453	
MTF1		3.5058537	
HIST1H2AC		3.5004706	
ANKRD20A12P		3.4927163	
KCTD20		3.4851458	
MRS2		3.4837646	
SAMD9		3.4787621	
ATXN2		3.4771717	
IDS		3.4692078	
COL4A1		3.468438	
TCEB3		3.4534173	
LIPH		3.4532652	
PLXNA3		3.4397538	
DAW1		3.4392748	
DPF3		3.4380555	
EDEM3		3.4275599	
ASCC3		3.4227579	
DUSP6		3.411021	
HIF1A		3.4075098	
CDK6		3.4039054	
PREPL		3.4028816	
SLC4A4		3.4011989	
DIO2		3.40061	
SBDS		3.3948045	
WDR37		3.3849204	
GFM1		3.3741999	
BCL10		3.3685155	
C12orf5		3.3578901	
ANKRD52		3.3371074	
WDR3		3.3329895	
WNK4		3.3319638	
GNL3L		3.3316598	
ZHX3		3.3312163	
ATR		3.3285508	
SPRYD3		3.3241735	
ARHGAP24		3.3234642	
GFPT1		3.32132	
PTCHD3P1		3.3195891	
ZBTB11		3.3142018	
KCNAB1		3.3124256	
PIK3R1		3.3085258	
IPPK		3.3061953	
PTPRM		3.2978468	
RNF128		3.2976465	
TMEM132B		3.2957172	
BMPER		3.2946649	
PLAU		3.2931178	
KLHL18		3.2916033	
ITPRIP		3.29066	
AK127087		3.289776	
SGMS2		3.2876592	
SDPR		3.287523	
ANKRD42		3.272646	
LOC286437		3.2720766	
MTND5		3.2660775	
FAM46A		3.2535	
CLSTN2		3.2505329	
SLC9A7		3.250392	
ENDOD1		3.248335	
GOLGA3		3.245826	
OSBP		3.2447991	
TPTEP1		3.2418458	
LIMA1		3.241276	
HCFC2		3.2393634	
OPN3		3.2289145	
HAS2		3.2250242	
LOC100131564		3.2245572	
ABTB2		3.221571	
FGF5		3.208563	
RPGRIP1L		3.204363	
KIAA0247		3.2010703	
MTOR		3.1998954	
TMEM9B		3.1963465	
KIAA0226		3.1961372	
SPTY2D1		3.1943715	
RBM18		3.1864872	
PLXNA2		3.1844249	
NEK7		3.1804924	
DOCK5		3.1752043	
WDR44		3.171211	
DHRS7B		3.1687992	
TANC2		3.167161	
LTBP2		3.1607835	
C1orf27		3.1589243	
DHX29		3.1567986	
FAS		3.154581	
RANBP6		3.1507533	
NOTCH2NL		3.1503563	
FAM126B		3.1470473	
ERGIC1		3.1470392	
DLG1		3.143753	
RABGAP1L		3.1425214	
TRAM1		3.1414573	
HERC2P2		3.13698	
BICD2		3.1353102	
WARS		3.1327424	
HIVEP2		3.1290033	
LOC100507156		3.1235635	
SACM1L		3.1219363	
AGPAT9		3.1210814	
CLMP		3.113428	
GOLGA2		3.1124701	
ZNF594		3.1118097	
STXBP1		3.1095912	
ZBTB40		3.0982518	
CLCF1		3.0963767	
ATP8B2		3.0898244	
AMMECR1L		3.087655	
GIT2		3.0849135	
FLNB		3.0832036	
FHDC1		3.0830061	
POLR1B		3.0754347	
SEC23B		3.072284	
GBP3		3.0671992	
SEC16A		3.063946	
SEC11C		3.0607483	
SLC7A11		3.0583248	
ARSG		3.057548	
HCG18		3.053943	
TAF4		3.0532444	
ZC3HAV1		3.051988	
TMEM131		3.0457675	
DNMBP		3.0454483	
MGLL		3.0443919	
SLC30A7		3.0442529	
SRPR		3.0390437	
OSTM1		3.0360267	
GPR155		3.0328178	
CFLAR		3.0296793	
IKBKAP		3.0292685	
PTPN1		3.0264378	
DQ592230		3.0209272	
TMEM104		3.0194404	
CDKN2B		3.0185425	
CDH10		3.0180302	
VCL		3.0152524	
EFR3B		3.012725	
SEMA3A		3.0052705	
POLH		2.9995687	
COG1		2.9961636	
USP36		2.9950097	
HIPK2		2.9937863	
AP1S3		2.9899921	
ANKRD46		2.98978	
L3HYPDH		2.9876091	
KLHDC10		2.9825473	
AK309255		2.9809868	
SLC35F6		2.9787707	
NTN4		2.976727	
ABHD2		2.9752572	
CEACAM19		2.9745462	
HSPG2		2.973095	
SH3RF1		2.9721854	
FAM177A1		2.969365	
C2orf44		2.9689398	
UGDH-AS1		2.9688003	
MAST4		2.9682143	
SEC61A1		2.9639702	
HEATR5A		2.963496	
LINS		2.959858	
IPP		2.9596753	
KIAA1551		2.9588747	
TRIO		2.956886	
ARCN1		2.9565866	
CDH6		2.9554877	
SYNJ1		2.9541817	
ZBTB20		2.9530666	
ZNF121		2.9523895	
TIMP1		2.9512835	
TNFSF4		2.949156	
MYCBP		2.945221	
BLCAP		2.9441075	
MYBBP1A		2.9425735	
EEA1		2.9415739	
CLN5		2.9415262	
DHDDS		2.9407375	
USP31		2.9375594	
EPG5		2.9368842	
SIRPA		2.9343219	
HERC2P3		2.928952	
CHST11		2.9278338	
AKIRIN1		2.9204566	
XPR1		2.9128199	
KRT6A		2.91213	
SLC25A16		2.911656	
SAMD8		2.9081678	
PALM2		2.9072847	
RGMB-AS1		2.9068255	
FOS		2.9055898	
DDX60L		2.9044638	
BTAF1		2.8995786	
SLC7A1		2.8986723	
ERN1		2.89556	
DLGAP4		2.894817	
ZNF529		2.8935294	
FITM2		2.8921683	
ZNF616		2.889972	
ADIPOR1		2.889344	
abParts		2.8889167	
FAM222B		2.88848	
TNFSF18		2.8848004	
TXNRD3		2.8828442	
SLC39A11		2.8799677	
DCUN1D3		2.8798645	
RALGAPB		2.8772562	
SENP5		2.8760126	
NOMO3		2.875313	
ANGEL1		2.8742888	
SLC31A1		2.8724694	
PUS7L		2.872241	
KIAA0100		2.8705933	
NSF		2.870583	
XDH		2.8703885	
GCLM		2.870236	
SHQ1		2.8672857	
