NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAC3	1	227.1529998779297	0.089877635	Yes	
row_1	JSRP1	4	182.02499389648438	0.16183536	Yes	
row_2	TNNC2	9	158.9290008544922	0.22454226	Yes	
row_3	TNNI2	13	150.6230010986328	0.28401425	Yes	
row_4	ATP2A1	20	133.16799926757812	0.33641526	Yes	
row_5	SLC8A3	36	119.78299713134766	0.3830356	Yes	
row_6	SCN4A	38	116.3550033569336	0.4290477	Yes	
row_7	CHRNB1	39	114.09100341796875	0.47421697	Yes	
row_8	CHRND	40	112.80500030517578	0.5188771	Yes	
row_9	STRIT1	45	107.18900299072266	0.5610998	Yes	
row_10	ACTN3	92	86.31159973144531	0.5928104	Yes	
row_11	CHRNA1	110	78.66709899902344	0.62304574	Yes	
row_12	TNNT1	128	74.17569732666016	0.65150297	Yes	
row_13	MYH8	173	67.05680084228516	0.6756974	Yes	
row_14	CASQ1	223	61.96630096435547	0.69760907	Yes	
row_15	TNNT3	232	61.49020004272461	0.72152543	Yes	
row_16	TNNI1	254	59.63019943237305	0.74401	Yes	
row_17	EEF2	633	45.30009841918945	0.74172413	Yes	
row_18	MYH3	762	42.53689956665039	0.7517176	Yes	
row_19	MYH14	936	39.47159957885742	0.7580904	Yes	
row_20	CAV3	1784	29.46419906616211	0.7244467	No	
row_21	CHUK	1865	28.752500534057617	0.7315506	No	
row_22	SYNM	2037	27.400400161743164	0.7332512	No	
row_23	DMD	2289	25.36319923400879	0.7298659	No	
row_24	GSTM2	2911	21.241300582885742	0.7050562	No	
row_25	ATP2A2	3883	15.617199897766113	0.65929735	No	
row_26	RCSD1	3982	15.195300102233887	0.66007096	No	
row_27	STAC	4059	14.771499633789062	0.66185355	No	
row_28	MB	4550	12.48550033569336	0.64058506	No	
row_29	GAA	4799	11.405099868774414	0.6318341	No	
row_30	HOMER1	4946	10.800600051879883	0.62830013	No	
row_31	TNNC1	5044	10.314499855041504	0.6271949	No	
row_32	TCAP	5783	7.290410041809082	0.59060323	No	
row_33	ATP8A2	6129	5.915349960327148	0.5744901	No	
row_34	MYH7	10414	-2.11368989944458	0.34616244	No	
row_35	PVALEF	10612	-2.570930004119873	0.33664215	No	
row_36	DMPK	11407	-4.889249801635742	0.2961043	No	
row_37	STAC2	12025	-6.921360015869141	0.26583928	No	
row_38	C12orf57	14795	-17.513099670410156	0.12465042	No	
row_39	GSTO1	15676	-21.727800369262695	0.086178645	No	
row_40	KCNJ2	16720	-27.897499084472656	0.04143012	No	
row_41	CCDC78	17376	-33.35110092163086	0.019596027	No	
row_42	TNNI3	18732	-134.12600708007812	2.1410896E-4	No	
