NAME	TITLE	SCORE	
RYR1		255.797	
STAC3		227.153	
MYBPC1		198.628	
BIN1		198.498	
JSRP1		182.025	
MYOZ1		174.635	
TMOD4		170.829	
HOXC10		165.914	
NEB		163.045	
TNNC2		158.929	
CDH15		157.104	
CACNG1		153.221	
CACNB1		151.016	
TNNI2		150.623	
CACNA1S		147.469	
ADCY2		144.716	
PPP1R27		139.757	
NEURL1		137.677	
CACNG6		135.625	
HOXC8		133.863	
ATP2A1		133.168	
SIX1		130.671	
MYL1		130.462	
HOXA10		130.323	
MYBPC2		128.938	
PITX2		128.741	
MYLPF		128.658	
HOXC9		128.531	
HOXA9		127.278	
CNKSR1		125.803	
AMPD1		123.921	
PADI2		123.418	
PRKCQ		122.147	
HOXC6		121.856	
MYF6		121.675	
TBX15		120.676	
SLC8A3		119.783	
FHL3		116.378	
SCN4A		116.355	
CHRNB1		114.091	
CHRND		112.805	
BEST3		112.04	
ARPP21		111.366	
MYLK2		108.967	
MRLN		107.821	
STRIT1		107.189	
TRIM72		106.99	
KCNQ5		106.525	
MAPK12		106.119	
ANKRD23		105.92	
SMTNL1		105.602	
MYOG		104.911	
IDI2		103.916	
PFKFB1		103.709	
UCP3		102.344	
CAPN3		101.515	
MYH2		100.794	
KLHL40		100.697	
CLTCL1		100.503	
PLCD4		98.8062	
PPDPFL		98.4934	
DEPTOR		98.2989	
IGFN1		97.5207	
SIX4		96.4797	
ASB5		95.9322	
FAM166B		95.8863	
MYH1		95.6392	
RAPSN		95.5905	
KLHL41		95.5118	
SMTNL2		95.2426	
SLN		94.7884	
DDIT4L		94.5441	
KCNMA1		94.5036	
TMEM52		93.7928	
ARX		92.7836	
RTN2		92.582	
MYOD1		92.301	
FGF13		91.7012	
RYR3		91.3023	
EN1		91.1721	
ABLIM2		91.1087	
FBP2		90.8348	
AHCYL2		89.9837	
NKAIN1		89.5712	
TP63		89.3087	
DDN		88.8071	
LBX1		88.5511	
RAD23A		88.1868	
PRKAG3		88.0634	
NOS1		87.6809	
LGR5		86.89	
PYGM		86.638	
ACTN3		86.3116	
UTP11		85.8599	
PYGO1		85.6282	
TPT1		85.3969	
MLXIP		84.8791	
HOXA11		84.8062	
SCN1B		84.7757	
CORO6		84.7423	
CA3		84.3345	
SLC36A2		84.2791	
CES3		83.7106	
TBX1		82.19	
CLCN1		81.8593	
PTP4A1		81.6828	
TMEM233		81.2861	
YBX3		81.1633	
JPH1		80.5876	
SLC9A2		80.1804	
CHRNA1		78.6671	
CHRNG		78.6056	
PAX7		78.4616	
DUPD1		78.2174	
CAMSAP1		77.4236	
STIM1		77.3675	
NXN		77.3491	
LINGO4		76.9289	
FXR1		76.8862	
DUSP13		76.5307	
ART1		76.1737	
GHR		75.9128	
SLC24A3		75.6477	
MAP2K6		75.4045	
SERINC2		75.201	
STK25		75.1422	
TPM3		74.8473	
OPTN		74.6369	
TNNT1		74.1757	
HOXC5		73.8319	
ANKRD39		73.285	
PCBP1		73.1981	
AMPD3		73.143	
NAA50		73.1194	
PAX3		72.8569	
TPM2		72.5663	
PDLIM3		72.5127	
PHKA1		72.3479	
MAFA		72.3325	
HOXA7		72.2827	
CHRNA10		72.2716	
CHAF1B		71.9178	
ITIH6		71.682	
ADSL		71.5073	
SLC16A10		71.0904	
RNF123		71.0385	
MNAT1		70.978	
NRDC		70.9508	
ZFHX4		70.9263	
EHBP1L1		70.907	
SSH2		70.6194	
CLIP1		70.5945	
B3GALT1		70.4597	
BOLL		70.159	
ZIC1		69.9484	
HOXA5		69.9078	
KCNJ11		69.7685	
RSPO3		69.4638	
SEMA4D		69.4076	
VGLL2		69.1585	
P2RX6		69.0082	
CAMK2G		68.5879	
CFAP46		68.5578	
DHRS7		68.4583	
TSPAN8		68.444	
LRRN1		68.3128	
CDNF		67.9977	
FBXO10		67.9052	
RIF1		67.6488	
MID2		67.3619	
SAR1B		67.2856	
BLCAP		67.2036	
RNF157		67.1264	
MYH8		67.0568	
FZD9		67.0222	
HOXA13		66.9574	
SLC22A3		66.9088	
ABCA5		66.826	
AMOTL1		66.7767	
ZXDC		66.591	
PFN2		66.565	
IMPA2		66.5072	
TRDN		66.3707	
UPK3A		66.3388	
SQOR		65.9537	
TMEM38A		65.9015	
CTDNEP1		65.7238	
CASTOR3		65.6245	
NEDD4		65.509	
MYBPH		65.4858	
MRPL14		65.389	
MYF5		65.3671	
SH2B2		65.3553	
UGT3A1		65.2733	
SYNPO2		65.116	
VPS4A		65.0668	
MCU		64.943	
LRP1B		64.914	
RASA4B		64.8243	
PRSS56		64.7825	
AGMAT		64.7799	
GPD1		64.5938	
ANKRD28		64.5724	
KIF1B		64.5124	
PITX1		64.4875	
FOXJ3		64.3692	
PABPC4		64.3543	
MEF2D		64.2084	
ATL2		64.1912	
SMPDL3A		64.1696	
C14orf39		63.8773	
SLC37A4		63.8706	
MEGF10		63.827	
SLC7A2		63.789	
OIP5		63.7522	
RORA		63.5944	
SLC38A4		63.2989	
MYOT		63.0872	
RCOR3		62.8632	
ATP1B4		62.8015	
PEX5		62.3536	
MAPT		62.3233	
MKNK2		62.3177	
CASQ1		61.9663	
AKR1B15		61.931	
SYPL2		61.9113	
FHOD1		61.8567	
CHMP1B		61.8097	
PPP6C		61.6985	
YIPF7		61.6419	
PCNT		61.5887	
POLE3		61.5151	
TNNT3		61.4902	
RFX7		61.4879	
MPP6		61.4678	
NAT8L		61.3677	
USO1		61.3392	
RNF128		61.2384	
ECPAS		61.2147	
LRRC47		61.1991	
PIAS2		61.1926	
TCEA3		60.873	
NFIX		60.7759	
PAK1		60.7624	
DEPDC7		60.6241	
MYH4		60.6097	
CARM1		60.3679	
KCNA7		60.3592	
SLC9A7		60.3568	
RORC		60.3099	
RNPS1		60.2788	
PRKAR2A		60.2225	
TERF2		59.8589	
CNTFR		59.8512	
TNNI1		59.6302	
SIX2		59.4848	
UBAC1		59.451	
EIF4B		59.2071	
OSBPL11		59.1317	
SVIL		59.1065	
RSL1D1		59.0523	
OBSCN		59.0238	
CAMLG		58.9418	
TSPAN7		58.9397	
RPUSD4		58.908	
KLHL30		58.8856	
USP54		58.6418	
ZNF592		58.5239	
OSBPL6		58.4628	
PFKFB3		58.0909	
TMCC3		58.0812	
EEF1G		58.033	
HDAC4		57.9565	
PREP		57.9553	
SH2D1B		57.9417	
RXRA		57.9092	
DDX59		57.8505	
CFAP53		57.8345	
CUL3		57.7591	
RASA4		57.6506	
UACA		57.5675	
C1orf21		57.5059	
HOXC11		57.4667	
C12orf75		57.4423	
LRRC30		57.434	
NFATC3		57.4216	
CUTC		57.3984	
GREM2		57.3286	
CSDE1		57.3091	
PRKRA		57.2574	
HEXIM2		57.1553	
HIF1AN		57.0877	
KPNA1		57.0216	
NDRG2		56.9143	
GCN1		56.91	
POLR3A		56.8847	
RANBP9		56.8491	
DCAF1		56.8202	
RWDD4		56.6792	
USP25		56.6726	
KIAA1217		56.6304	
IDI1		56.5124	
HECTD1		56.5032	
SERBP1		56.4496	
LAMP2		56.2913	
PDCD2L		56.2815	
ACHE		56.2462	
ASB12		56.1937	
UBE2V2		56.1447	
DENND2C		56.1065	
NT5C3A		56.0321	
PGPEP1L		56.0008	
IL12RB2		55.8996	
USP19		55.8762	
AMFR		55.872	
CALML6		55.8493	
KIAA0408		55.8202	
ZBTB44		55.787	
UNC13C		55.7332	
WDR70		55.7046	
KEAP1		55.7023	
HJV		55.6616	
ASB8		55.6216	
TRIAP1		55.5895	
TMEM266		55.5728	
STAT5B		55.392	
MYORG		55.3825	
PPP3CB		55.3764	
LUC7L2		55.3623	
MBNL1		55.2874	
PHF20		55.2065	
SYNC		55.0793	
ACADL		55.0501	
KAT14		54.9408	
PHTF2		54.838	
TMEM11		54.7909	
ATP2B2		54.7852	
ZRANB3		54.7839	
ENO3		54.7598	
UCP2		54.6504	
PSTPIP2		54.5456	
ATP2B1		54.294	
GCFC2		54.254	
SLC15A4		54.0585	
TMEM170B		54.0491	
PATL1		54.0231	
AKT1S1		53.9249	
IP6K3		53.8963	
TMEM184A		53.8734	
EIF4E2		53.8719	
FAM184B		53.8663	
UBA2		53.8662	
GAMT		53.7749	
EGLN1		53.7093	
FLII		53.7048	
KDM1A		53.6734	
EIF3G		53.6091	
CKM		53.5617	
TTC9		53.5172	
UBFD1		53.4795	
AGPAT5		53.4693	
ABCF1		53.4446	
USP39		53.3721	
CAMTA2		53.3553	
ATF1		53.3093	
OGFOD1		53.2129	
DVL1		53.2046	
SRP68		53.1907	
AKR1B10		53.1278	
EIF3F		53.0918	
EEF1B2		53.0757	
MYOZ3		53.0633	
TNK2		53.0464	
EMX2		53.0323	
GDNF		52.9977	
RWDD2B		52.9105	
ZNF703		52.9036	
NFRKB		52.8881	
TBC1D17		52.8637	
SIRT2		52.8359	
MACO1		52.8319	
RPL22		52.7683	
KANSL3		52.696	
CUL5		52.6934	
CUL1		52.6931	
DNASE1L1		52.6721	
ATP6V0A1		52.6632	
ZFYVE9		52.6226	
GYG1		52.5656	
EGF		52.5416	
NGRN		52.5217	
PGM2L1		52.5202	
MYL6B		52.4976	
EIF3J		52.455	
TULP4		52.4264	
VEZT		52.3769	
RPL29		52.2468	
MED14		52.1948	
USP24		52.1806	
FOPNL		52.1792	
TADA2B		52.163	
ARHGAP36		52.1335	
SPAG9		52.1009	
NFIC		52.0598	
ANKRD40		52.034	
FGF6		52.0054	
CAP2		52.0018	
CIPC		51.9953	
HYAL4		51.7899	
TRIP10		51.7783	
UBE2D4		51.7288	
GPATCH8		51.6717	
JPT1		51.5977	
KPNA3		51.5323	
IL6R		51.5218	
DYRK1B		51.5188	
TAPT1		51.5046	
IPO13		51.4938	
HINT3		51.4371	
NTF4		51.4269	
PRKAB2		51.4048	
EXOC3		51.3883	
MLXIPL		51.3787	
ZBTB18		51.3665	
NR3C1		51.3619	
EXOC4		51.3555	
MAPK6		51.3415	
DDX19A		51.2769	
CAMK2A		51.2653	
ZNF25		51.2547	
URI1		51.2428	
RGMA		51.2323	
SNRNP27		51.151	
NRIP1		51.1286	
TLCD3B		51.0945	
NLN		51.0739	
MAP2K7		51.0258	
C2orf68		50.9736	
TANK		50.895	
TOM1		50.8933	
TTC33		50.8767	
LSM14A		50.8454	
DMRT3		50.819	
PSMD3		50.6449	
ST3GAL3		50.5187	
PRDM10		50.5022	
HOXA6		50.4698	
SCN3B		50.4634	
POLR3E		50.372	
CDH4		50.2378	
GRTP1		50.2029	
TEAD4		50.1091	
EIF2B5		50.0938	
R3HDM1		50.0569	
RALGAPA2		50.0297	
TESK1		49.9924	
PBXIP1		49.871	
SETBP1		49.7681	
MED13		49.7564	
MTMR10		49.7204	
DCAF6		49.7185	
CRKL		49.7152	
ODF3L2		49.6966	
C22orf39		49.6175	
FBXO32		49.5329	
IMPDH2		49.5296	
PDAP1		49.523	
DYM		49.5168	
ZIC4		49.4917	
CNOT4		49.4887	
COQ8A		49.4457	
ZFAND3		49.4222	
MAMSTR		49.4109	
NABP2		49.3922	
PDE4D		49.3787	
FAM181A		49.3622	
EIF2B2		49.2655	
AMOT		49.2232	
ALKBH3		49.1409	
SLC2A5		49.1018	
HCFC2		49.0423	
COG8		49.0419	
SLITRK4		48.9741	
MN1		48.9575	
STAG3		48.9152	
RAD23B		48.8975	
RPL4		48.8619	
EIF4H		48.8436	
TNKS2		48.7928	
FAM220A		48.7876	
SGCA		48.7449	
VPS72		48.7435	
OSER1		48.743	
RPS6KB1		48.6976	
MIOS		48.6967	
WHAMM		48.695	
WIPF3		48.686	
OTUD4		48.6443	
DBNDD1		48.5074	
BTF3L4		48.4809	
CEP350		48.4084	
CDV3		48.3945	
MIF4GD		48.3892	
RAB10		48.3764	
ZNF425		48.3407	
SLPI		48.3001	
HOXD8		48.2577	
NPEPPS		48.198	
ITIH4		48.16	
ABRAXAS2		48.1408	
MCPH1		48.0812	
SIM1		48.0482	
UBE2G1		48.0473	
SIM2		47.9761	
BCL6		47.9034	
FOXO4		47.8928	
KLHL33		47.8833	
POLR2D		47.8241	
BRF2		47.8146	
RPA2		47.7935	
UBAP2		47.7906	
LRRC38		47.7817	
SLC25A25		47.7563	
MTERF4		47.7484	
AKT2		47.7481	
CEBPG		47.7321	
USF3		47.7285	
PPP1R1A		47.7244	
PSMD4		47.6439	
PAGE4		47.6091	
SETD2		47.6075	
KMT2C		47.5883	
COA8		47.5611	
FEM1A		47.5406	
KCMF1		47.5148	
RIOK3		47.4891	
TPP2		47.474	
ST13		47.4462	
ASNSD1		47.4305	
PPP1R2		47.3702	
CHERP		47.3366	
RPS25		47.3363	
RTF1		47.3179	
MED24		47.3175	
KARS		47.3075	
TLE4		47.2605	
TSR1		47.2524	
DCTN4		47.2132	
NAA25		47.1927	
CRNKL1		47.145	
PPM1B		47.14	
RPRD2		47.1223	
DNAJB6		47.0856	
SETD7		47.0336	
GADL1		47.003	
ASB16		46.9938	
FOXO1		46.9911	
GTF2IRD1		46.9712	
PLEC		46.9339	
USP6		46.9269	
DNTTIP1		46.9131	
MRPL9		46.8442	
NCOR1		46.7282	
LONRF3		46.7259	
DRG1		46.7257	
EIF4G1		46.7234	
NSFL1C		46.6902	
MUSTN1		46.6831	
NOG		46.6695	
MT1X		46.6408	
PLAAT1		46.6066	
ZMAT2		46.5903	
MSS51		46.5778	
PRUNE2		46.5422	
NGLY1		46.5084	
GPD2		46.4973	
ATP1A4		46.4452	
CNBP		46.3848	
SPTB		46.3814	
RTP2		46.3586	
