NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA4	0	15.297406196594238	0.027027028	Yes	
row_1	APOB	25	10.250494956970215	0.052315556	Yes	
row_2	ABCA1	32	9.782214164733887	0.07890796	Yes	
row_3	APOA1	193	7.33781099319458	0.09434498	Yes	
row_4	APOA2	528	6.020404815673828	0.09717788	Yes	
row_5	APOE	747	5.462871074676514	0.108413525	Yes	
row_6	CERT1	871	5.267955780029297	0.12653074	Yes	
row_7	NPC2	1106	4.892934322357178	0.1366074	Yes	
row_8	OSBP	1218	4.72887659072876	0.15559384	Yes	
row_9	GRAMD1C	1222	4.7227559089660645	0.18240356	Yes	
row_10	STARD4	1703	4.161920070648193	0.17466058	Yes	
row_11	PITPNA	1754	4.100008487701416	0.19806573	Yes	
row_12	STARD5	2161	3.731006383895874	0.19568312	Yes	
row_13	PITPNC1	2292	3.6156768798828125	0.21329328	Yes	
row_14	GLTP	2587	3.4012157917022705	0.21902367	Yes	
row_15	PRELID1	2728	3.3008105754852295	0.23590945	Yes	
row_16	PLEKHA3	4008	2.5523924827575684	0.17028889	Yes	
row_17	PLEKHA8	4531	2.2893354892730713	0.15950353	Yes	
row_18	TRIAP1	4769	2.1784825325012207	0.16936287	Yes	
row_19	PITPNM2	4905	2.1116559505462646	0.18661083	Yes	
row_20	TNFAIP8L3	4993	2.0713789463043213	0.20733579	Yes	
row_21	GRAMD1A	5405	1.8976191282272339	0.204591	Yes	
row_22	PLTP	5433	1.8875062465667725	0.22966221	Yes	
row_23	STARD3	5759	1.7623276710510254	0.23314704	Yes	
row_24	ABCG1	6176	1.6110687255859375	0.23004007	Yes	
row_25	GLTPD2	6182	1.6080820560455322	0.2567049	Yes	
row_26	TTPA	6975	1.3574068546295166	0.22636142	No	
row_27	PITPNM1	7442	1.2201511859893799	0.21963257	No	
row_28	PITPNB	7645	1.1608211994171143	0.2320272	No	
row_29	OSBPL2	8009	1.056991457939148	0.23275942	No	
row_30	ABCG5	9695	0.6800122857093811	0.13772923	No	
row_31	MTTP	9814	0.6553767919540405	0.15620862	No	
row_32	PRELID2	10171	0.581868588924408	0.15744789	No	
row_33	ABCG8	10533	0.5171847343444824	0.15832497	No	
row_34	C2CD2L	10959	0.4300365746021271	0.15456606	No	
row_35	GRAMD1B	11842	0.30704712867736816	0.11770319	No	
row_36	STAR	13539	0.054986272007226944	0.021876186	No	
