NAME	TITLE	SCORE	
APOA4		15.297406	
ILDR2		13.884699	
PRG4		13.661862	
GSTT2		13.403579	
AOX3P		13.333983	
IGFBP2		12.843467	
DEPTOR		12.778432	
LAMB3		12.5187435	
TMEM86A		12.126953	
CGREF1		11.953415	
PPP1R3B		11.756078	
SLC41A2		11.716878	
KLF12		11.521431	
ACOT1		11.456859	
VPS13C		11.390978	
MGAM		11.303751	
TMEM120A		11.210634	
FN1		11.076811	
ABCA6		11.070936	
ADAM11		11.041702	
FASN		10.939106	
PTTG1		10.922453	
ZBED6		10.648764	
SLC3A1		10.48464	
LMBRD2		10.322646	
APOB		10.250495	
LDHA		10.201886	
AK2		10.042158	
HSD17B10		10.006171	
PTPRF		9.97206	
ABCB11		9.916294	
EPPK1		9.797725	
ABCA1		9.782214	
PROX1		9.691223	
KIAA1109		9.635349	
TNPO1		9.6248	
G0S2		9.549804	
BIRC6		9.474995	
N4BP2		9.453768	
KRT23		9.449702	
SUCLG1		9.444427	
SMG1		9.399218	
FGF21		9.397301	
LCN2		9.395671	
TP53INP1		9.3761015	
LPP		9.352223	
FAM25A		9.231676	
SREBF1		9.225749	
STEAP4		9.183114	
NOTCH2		9.174085	
PSMD9		9.105884	
SORBS2		9.102488	
FAT1		9.101154	
LRP1		9.074911	
KIF13B		8.995184	
PYGL		8.984434	
LHPP		8.92421	
LARP4B		8.898335	
C11orf86		8.870791	
PSMD4		8.827678	
CFH		8.809191	
SLC4A4		8.800411	
TNRC6B		8.799852	
PNLDC1		8.795384	
AHR		8.787415	
ATP8B1		8.776577	
VPS13D		8.731932	
WDFY3		8.723825	
CAMK1D		8.705262	
C4A		8.695284	
HSPA5		8.678923	
NDST1		8.672692	
REPS2		8.656584	
ERN1		8.6546335	
GOLT1A		8.644854	
SAA1		8.633526	
GPC1		8.628001	
PIK3R1		8.62768	
BCL2L14		8.615899	
EGFL7		8.593741	
ABCC2		8.536656	
MEGF9		8.508818	
ANKRD17		8.479653	
HOOK1		8.474677	
TSPAN31		8.463363	
PSD3		8.463062	
ASH1L		8.455965	
HUWE1		8.4456415	
MGLL		8.437857	
PLXNA2		8.436276	
BRMS1		8.378427	
FNDC3A		8.371777	
MYO1B		8.371613	
ATP13A3		8.34017	
SLC30A10		8.331585	
ETFB		8.320007	
USP9X		8.309873	
LY6D		8.282865	
NBEAL1		8.269704	
BDH1		8.261583	
ZFHX4		8.210224	
DOCK4		8.2084675	
ACACA		8.204286	
CPEB4		8.167011	
PRRC2C		8.166607	
CHKB		8.16002	
TST		8.146436	
MAP3K2		8.139269	
METTL7B		8.122469	
F5		8.12168	
TOR1A		8.1150465	
EHHADH		8.103854	
ECI1		8.102158	
HYOU1		8.082529	
SYNE1		8.062354	
ATP11A		8.037908	
TMEM134		8.020788	
JMJD1C		8.01835	
DHTKD1		8.018279	
KIDINS220		8.017995	
C3		8.009525	
PPP2R2D		7.981542	
UNC119		7.9747286	
UHMK1		7.967932	
ARFGEF2		7.964693	
ALG10		7.960956	
HADHB		7.9363694	
SNTB1		7.9044003	
PCTP		7.900261	
MED13		7.890184	
ID1		7.889839	
EP300		7.8871884	
PLS3		7.873138	
RBP4		7.870334	
ACOT2		7.867284	
FUOM		7.863934	
CISD3		7.8540225	
MOB1B		7.8317466	
ZHX3		7.8271036	
SEL1L		7.823105	
TLR12P		7.8106766	
NFAT5		7.796007	
C5		7.767314	
CCS		7.757674	
MIA2		7.7252903	
CYP7A1		7.7209167	
PSMB5		7.711009	
DHRS1		7.7081943	
UTRN		7.6781917	
FABP1		7.667981	
MAN2A1		7.65482	
SOD1		7.652851	
SNRNP200		7.632037	
NAV2		7.6245875	
KIAA2026		7.6230493	
AKAP13		7.612496	
TRRAP		7.60588	
CLTC		7.6023927	
CNTNAP1		7.6019316	
ACAA1		7.5999856	
BLVRB		7.5970764	
INO80D		7.596842	
HECTD1		7.5851917	
SPP1		7.5802917	
HOOK3		7.5783043	
HERC2		7.555132	
GPR155		7.551577	
CNOT1		7.5485287	
ACLY		7.54179	
TRIP12		7.5336647	
CELSR1		7.5324564	
AFF4		7.514453	
PALLD		7.50426	
EIF3K		7.4804015	
PRRC2B		7.4803	
RANBP2		7.466456	
TNFAIP8L1		7.4597325	
NFIX		7.448001	
RNF152		7.4427576	
DSG2		7.4245076	
IRGM		7.4119368	
TRIM2		7.405112	
SLC25A33		7.4048524	
SOS1		7.4018326	
UROC1		7.396448	
CYP8B1		7.3961134	
LIN7A		7.3956056	
CLOCK		7.3924484	
NCOA2		7.3792224	
KLF9		7.3698483	
DDX6		7.351924	
ATRX		7.349973	
MAPK8		7.3379927	
APOA1		7.337811	
DSP		7.336844	
USP34		7.329941	
TIMM17B		7.3264027	
ONECUT2		7.3257203	
PPP1R3G		7.3233805	
SLC10A5		7.3219266	
MAN1A1		7.3189216	
CPNE3		7.3173537	
EIF4EBP3		7.3154945	
MYCBP2		7.300535	
CHCHD10		7.2920194	
XDH		7.2914357	
ARID1A		7.2912154	
PHYH		7.2783475	
FABP5		7.2653384	
INSR		7.265136	
AFF1		7.2546644	
ARHGEF12		7.2473493	
SH3PXD2A		7.245488	
RAD54L2		7.195556	
PHB		7.186212	
VPS13B		7.1849756	
PLK3		7.1802454	
PRLR		7.176845	
IQSEC1		7.1598125	
TNRC18		7.1520143	
EXPH5		7.147113	
SLC25A47		7.145961	
NDUFB7		7.143601	
TMEM245		7.1418767	
DDI2		7.139913	
VAMP8		7.1360545	
DOCK5		7.1315107	
PSMD13		7.130961	
SLC16A2		7.1274943	
LYST		7.1148243	
DNAJC5		7.111588	
USP24		7.104902	
TULP4		7.0823674	
APRT		7.0705023	
ACOT8		7.070379	
HIPK3		7.0683937	
RNF213		7.0606775	
SLC6A6		7.058045	
RPL37		7.0404096	
AGAP2		7.0370383	
EDEM3		7.033819	
HSD17B6		7.0156884	
DDT		7.0126843	
ALS2		7.012112	
C12orf57		6.998571	
ACP3		6.9802027	
CELF1		6.978187	
FTL		6.9757714	
UBR4		6.968469	
PPL		6.9683337	
ATF6		6.9587398	
TMIE		6.9543743	
TUBB4B		6.954133	
PYCR3		6.9502034	
ADCY9		6.941605	
ANKRD52		6.929296	
ABCA3		6.9253497	
CYP4A11		6.921833	
PSMB3		6.9172554	
GFPT1		6.9107957	
RREB1		6.908266	
PNPLA7		6.9051857	
SLC13A3		6.904817	
ECH1		6.8930526	
ARSG		6.891837	
AKAP9		6.8874574	
ZNF445		6.885873	
FITM1		6.8835516	
DAG1		6.8765097	
BMPR2		6.8741026	
GLG1		6.8714266	
ERAP1		6.868075	
CD207		6.8585124	
ITPR2		6.856098	
PPP1R3C		6.855855	
SON		6.854243	
ESR1		6.854228	
MTMR9		6.852114	
RPL14		6.84761	
CHD9		6.84091	
PDPR		6.825597	
GLUD1		6.8172507	
HMGCL		6.8102193	
RPL18A		6.8066177	
TAOK1		6.804287	
TRIP11		6.7983713	
PSMC4		6.796577	
EPAS1		6.79096	
ATP2A2		6.786232	
KALRN		6.782967	
EP400		6.781415	
PGM3		6.776395	
SAA4		6.7736564	
MRPL12		6.7735877	
ATP11C		6.7717543	
ARHGAP5		6.766479	
RNF125		6.7658954	
CGNL1		6.765368	
GOLIM4		6.7643957	
NOX4		6.763199	
A1CF		6.7625284	
SVIL		6.761517	
APOA5		6.7594557	
TRIO		6.758113	
IL1R1		6.748695	
PRPF8		6.7486496	
TNNT3		6.746397	
TXNIP		6.741814	
ACADM		6.7386975	
MRPL15		6.73384	
ASAH2		6.7268925	
OSBPL8		6.723516	
ERO1B		6.723493	
TRIM56		6.7209973	
RRBP1		6.7138457	
MDM4		6.713207	
PRKAA2		6.7120023	
PSMB4		6.704696	
ARID5B		6.7010303	
WDR7		6.700098	
AGMAT		6.6966624	
GABPB2		6.69614	
MYLK		6.6932664	
TBC1D8B		6.6909704	
XPR1		6.6813135	
MRPL17		6.678936	
PTPRJ		6.675413	
MAGT1		6.674373	
PSMB1		6.6743474	
ZBTB38		6.6642985	
EVI5		6.663468	
FCGRT		6.6556306	
NIPBL		6.6505036	
SNED1		6.6478148	
IMPAD1		6.644335	
EIF4EBP2		6.6433764	
ZFYVE26		6.6427603	
WNK1		6.632178	
CREBBP		6.632052	
NKTR		6.6235075	
SLC44A1		6.618088	
SLC22A1		6.616983	
IQGAP2		6.615573	
CTSS		6.6078954	
MLYCD		6.5988746	
DHX9		6.5966763	
URM1		6.5938234	
GPRIN3		6.5806527	
PARP14		6.5635815	
PRPF40A		6.5598884	
CYBA		6.5486283	
C6orf226		6.5463557	
CTNND1		6.546337	
ATF7IP		6.546189	
AAK1		6.544718	
RPLP2		6.5370793	
MGA		6.5345445	
BPTF		6.5341163	
ATP7B		6.5315247	
P2RY4		6.5274873	
MACF1		6.526327	
KLKB1		6.5203996	
KIF1B		6.5186844	
FAM13B		6.5109024	
GALK1		6.506558	
ARL5B		6.50642	
UBR5		6.50103	
MAPK9		6.4982696	
DENND4C		6.4880047	
CEP350		6.4876313	
GLDC		6.484578	
RPL36A		6.483225	
DDX3X		6.4816613	
EFR3A		6.4792953	
CKM		6.473839	
USP6NL		6.4725966	
ENPEP		6.472407	
MPDU1		6.4690576	
ZFHX2		6.465829	
MAGI3		6.4649887	
APC		6.462306	
RPLP0		6.462148	
NR3C1		6.458407	
PRKAR2A		6.4510064	
ATP5MC2		6.449428	
NSD1		6.445479	
ASCC3		6.440729	
FOXN3		6.43968	
PEX16		6.435365	
PSMB6		6.4263363	
DECR1		6.4238834	
ZNF292		6.4211965	
SLC26A1		6.4168143	
EDF1		6.405567	
ALDOA		6.3980083	
MYH9		6.3975415	
LARP4		6.3970275	
AP1G1		6.3959894	
HIPK1		6.3864374	
PRDX5		6.382257	
HLA-DQB1		6.3745065	
PTCH1		6.369075	
UBXN6		6.356979	
ATXN7		6.3557568	
TREM2		6.3547974	
NOS1AP		6.3523073	
PSMC3		6.350585	
NLRP12		6.3494606	
TBL1X		6.3477435	
PHB2		6.346486	
DYNLT1		6.3460603	
ERBB3		6.342657	
LNPEP		6.3424654	
FRYL		6.3355985	
C1QB		6.333174	
SRRM2		6.331135	
HINT1		6.326855	
MCC		6.3257303	
ST3GAL3		6.3171973	
NTRK2		6.316942	
RPL13		6.312084	
BRD4		6.3062744	
FYCO1		6.3060737	
SHANK2		6.3028364	
SPAG9		6.2951083	
C1GALT1		6.292862	
NDUFS8		6.287041	
HMBS		6.2851377	
PIGR		6.284631	
RPL18		6.284397	
CSRP2		6.281898	
LRP6		6.2670207	
HSD17B11		6.266186	
ALDH3A2		6.2632318	
ABCA8		6.2615294	
TET3		6.2612934	
EEF1G		6.260232	
PM20D1		6.2567997	
SYNE2		6.255396	
FABP2		6.2515697	
PEMT		6.2482147	
AGL		6.2433267	
MED12		6.2431498	
SLC25A20		6.2413926	
CCDC85B		6.234642	
CANX		6.2325974	
VCL		6.2319403	
DUSP16		6.2246323	
PPCS		6.2239857	
BNIP3		6.223508	
PTPRK		6.2180715	
CDC34		6.216189	
PHC3		6.212468	
DPYD		6.2118373	
GPIHBP1		6.210534	
STEAP2		6.200121	
IL6ST		6.1975856	
WDR26		6.189321	
SEC63		6.185868	
EIF4EBP1		6.185685	
FBF1		6.183206	
TRIM44		6.1828337	
ANKS4B		6.181955	
PKLR		6.180377	
DMXL1		6.1797733	
TSC22D2		6.1791835	
OST4		6.1769834	
PJA2		6.173559	
RPS15		6.1723323	
NDUFB10		6.171405	
C6orf89		6.1698594	
RPSA		6.1692734	
NEDD4		6.166958	
KDM1B		6.1662946	
UBN2		6.1653595	
RPS29		6.165199	
PLCXD2		6.16515	
EEA1		6.159863	
HLF		6.1583977	
IGF2R		6.1569552	
CTSD		6.152691	
NDUFS7		6.1502614	
HCFC1		6.1467314	
ECI2		6.145758	
PHF3		6.1395125	
CYP2C8		6.136965	
RPS2		6.1260085	
SPEN		6.124549	
KLF3		6.1193986	
LASP1		6.115856	
SOX6		6.115516	
ACADL		6.1155148	
HERC6		6.115292	
PRDM2		6.1143103	
PCNX1		6.1069627	
UHRF1BP1		6.1061177	
C8A		6.1057324	
NHP2		6.099355	
EDEM1		6.0963345	
YPEL3		6.0957565	
ETNK2		6.0898314	
RORA		6.087058	
REST		6.0863414	
VCPIP1		6.084565	
HERC1		6.080556	
ATG2B		6.079284	
FTH1		6.0766687	
C1QA		6.074584	
WDR73		6.069682	
FIS1		6.0695386	
TNKS		6.0653872	
PCBD1		6.0620008	
ETNK1		6.054261	
DVL3		6.05274	
TIMM8A		6.048101	
SRCAP		6.0479126	
TJP1		6.0448937	
ACAT1		6.043943	
BCHE		6.0420036	
WWC1		6.0410447	
EIF5A		6.035848	
UBR1		6.030849	
DHRS4		6.0304027	
PTPRD		6.0293593	
CRIP1		6.0243874	
TMSB10		6.0242057	
AP2S1		6.0237947	
TXN2		6.0215425	
APOA2		6.020405	
UTP20		6.0187373	
ZYG11B		6.0179167	
ARRDC3		6.016301	
RBM33		6.0152874	
ABCA2		6.013203	
STARD13		6.012115	
LRIG1		6.0117536	
LRRC58		6.0095634	
AKAP11		6.005951	
MOB1A		5.9993267	
NR5A2		5.9979877	
PLIN2		5.996432	
MCM10		5.995307	
ARHGAP32		5.994451	
UBA52		5.9939733	
UAP1L1		5.9913545	
CLEC4G		5.9902983	
TIMM13		5.985731	
GPAM		5.9814315	
CREB3L2		5.97842	
ISOC2		5.9715195	
AKR1D1		5.9713993	
CDC42BPA		5.971241	
COX6A1		5.970772	
ATAD2B		5.9680686	
HAMP		5.966969	
ACADS		5.9661474	
TMED4		5.961654	
CMBL		5.95891	
MICAL2		5.957178	
ANKHD1		5.955361	
BCL6		5.951259	
ROBO1		5.951089	
USP32		5.9491005	
TMEM205		5.948656	
ZKSCAN1		5.945438	
NR3C2		5.9269195	
CIDEC		5.914695	
CIB3		5.904435	
NT5E		5.904296	
APOC2		5.9012785	
RAB30		5.897167	
ENPP3		5.896042	
APOC4		5.8943152	
EEF1D		5.892868	
CYC1		5.892138	
SRA1		5.891924	
ASXL2		5.8856325	
NF1		5.8852935	
RC3H1		5.8851395	
FAM32A		5.882445	
WWP1		5.881051	
BIK		5.879116	
VNN1		5.8779306	
PSMA7		5.8776546	
UGGT1		5.8694386	
HEXA		5.8686953	
SLC35A3		5.8641777	
SLC27A1		5.863026	
REXO2		5.8574963	
RPL11		5.8539677	
BFAR		5.853702	
NR2C2		5.852771	
TOB2		5.852094	
TWSG1		5.842586	
UBR3		5.8415394	
GOLGB1		5.8382297	
FAM131C		5.8364315	
IFNGR2		5.8306456	
SLC25A23		5.826468	
PTPN3		5.825225	
SERINC5		5.824375	
CPEB2		5.820553	
ALDH1L1		5.818954	
FNDC3B		5.8152504	
CXADR		5.815011	
OAF		5.8116875	
ZMIZ1		5.8071623	
ZAP70		5.8070116	
PCSK4		5.805686	
SEC24A		5.8044696	
SBNO1		5.8032966	
HCFC1R1		5.800713	
DOCK8		5.800195	
MASP1		5.7983394	
KPNB1		5.798031	
HIPK2		5.7948856	
PRPF4B		5.78704	
MRPL45		5.785359	
DENND4A		5.7800984	
NCAPH2		5.779878	
NT5DC2		5.777642	
LARP1		5.7715573	
ELF1		5.7692194	
RPS26		5.768062	
FAM149A		5.7654634	
DDX58		5.764969	
MAN1A2		5.7642546	
DHRS7B		5.7613688	
HLA-A		5.7486014	
SCAF11		5.7476783	
GSTK1		5.742846	
HECA		5.741961	
HSPB1		5.7380567	
FADS6		5.7366357	
PDS5A		5.7364926	
