NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA4	22	3.1177449226379395	0.025433403	Yes	
row_1	APOB	208	1.5735260248184204	0.03905949	Yes	
row_2	ABCA1	364	1.318701982498169	0.0548587	Yes	
row_3	APOA1	618	1.103053331375122	0.06355903	Yes	
row_4	STARD4	645	1.0873826742172241	0.088702686	Yes	
row_5	CERT1	1370	0.8366807103157043	0.06328495	Yes	
row_6	APOA2	1453	0.822168231010437	0.0843721	Yes	
row_7	APOE	1496	0.8126496076583862	0.10835675	Yes	
row_8	GLTP	1629	0.7816998362541199	0.12582202	Yes	
row_9	NPC2	1804	0.7497240900993347	0.14024493	Yes	
row_10	GRAMD1C	2132	0.6934991478919983	0.14358489	Yes	
row_11	OSBP	2269	0.671858549118042	0.16076042	Yes	
row_12	PITPNC1	2300	0.6678500175476074	0.18561432	Yes	
row_13	PITPNA	3293	0.5357610583305359	0.14078332	Yes	
row_14	STARD5	3620	0.49873897433280945	0.14419572	Yes	
row_15	PRELID1	4062	0.4516613483428955	0.1392778	Yes	
row_16	PLEKHA3	4432	0.41730356216430664	0.13957538	Yes	
row_17	TNFAIP8L3	4519	0.4098574221134186	0.16037278	Yes	
row_18	TRIAP1	4899	0.3746095895767212	0.159946	Yes	
row_19	PLEKHA8	5341	0.3367801606655121	0.15502807	Yes	
row_20	GRAMD1A	5370	0.33498868346214294	0.18002684	Yes	
row_21	PITPNM2	5667	0.3122014105319977	0.18561237	Yes	
row_22	STARD3	5697	0.3097362816333771	0.21053872	Yes	
row_23	ABCG1	5917	0.293560653924942	0.22170192	Yes	
row_24	PLTP	6149	0.2761763036251068	0.23199588	Yes	
row_25	GLTPD2	6720	0.23872490227222443	0.21773352	Yes	
row_26	PITPNM1	6820	0.23226754367351532	0.23758924	Yes	
row_27	OSBPL2	8191	0.15858566761016846	0.16537686	No	
row_28	TTPA	8254	0.15487945079803467	0.18791276	No	
row_29	PITPNB	8545	0.14193396270275116	0.1939329	No	
row_30	PRELID2	9076	0.11815948039293289	0.18256804	No	
row_31	ABCG5	9951	0.08401152491569519	0.14628468	No	
row_32	MTTP	10248	0.07359378039836884	0.1518702	No	
row_33	GRAMD1B	10532	0.06434130668640137	0.15839742	No	
row_34	ABCG8	10609	0.06208433583378792	0.17991918	No	
row_35	C2CD2L	10733	0.058581408113241196	0.1980364	No	
row_36	STAR	13270	0.011012095026671886	0.04136188	No	
