NAME	TITLE	SCORE	
BRMS1		11.249981	
CCL20		6.281585	
PPP1R3G		5.912622	
MYLPF		5.898722	
ADRA2A		5.7444835	
AKR1C3		5.3072147	
GPNMB		4.9369817	
MYPN		4.532356	
TTN		4.330438	
MMP7		3.9277112	
CIB3		3.9039662	
FAM25A		3.8525717	
TMOD4		3.764432	
BCL2L14		3.4381907	
ITGB1BP2		3.402356	
RBM24		3.3691127	
ADAM11		3.3436735	
GRID1		3.3404684	
CGREF1		3.3097565	
NTRK2		3.1857424	
CASQ1		3.1630259	
CXCL6		3.12103	
APOA4		3.117745	
ADAM8		3.1144586	
AR		3.1112444	
DEPTOR		3.0641704	
LMBRD2		3.0252144	
SCN4B		2.9769995	
NOS1AP		2.9311144	
SCD		2.928014	
ZBED6		2.90796	
PYGM		2.9032917	
CIDEC		2.888522	
MGAT5		2.839752	
TMOD1		2.8084855	
ANK1		2.7849512	
LAT2		2.752694	
UHMK1		2.7497623	
PTTG1		2.7124958	
KRT23		2.7109177	
KLF12		2.6428254	
TREM2		2.5962672	
FHL3		2.5360756	
P2RY4		2.5281732	
ARL11		2.52617	
CLEC4D		2.523022	
INHBA		2.522897	
CPEB4		2.5003374	
GPR12		2.4857044	
VPS13C		2.4565613	
NBEAL1		2.4174078	
RTN2		2.3973718	
N4BP2		2.393126	
CLCN5		2.384941	
SRCAP		2.3690426	
SHANK2		2.3633952	
MEGF9		2.3628552	
PDPR		2.3434606	
ZNF208		2.3401592	
ANXA8		2.3308742	
TRIM56		2.3164144	
LARP4B		2.3154817	
GPRIN3		2.3149881	
TNNC1		2.3111842	
FABP5		2.3027568	
SLC41A2		2.2786107	
HOOK1		2.2763016	
TMEM86A		2.2644298	
IGFBP2		2.2526183	
PROX1		2.244827	
BMPR2		2.2425227	
PRG4		2.2377336	
HSF2BP		2.2364302	
FGF21		2.2164996	
KLHL11		2.208007	
SNED1		2.198609	
CBL		2.1854935	
LGALS3		2.1841915	
ZBTB38		2.1798959	
AGAP2		2.1754684	
ERBB4		2.1717024	
LAMB3		2.1641817	
PCDHGB8P		2.1514153	
LMOD2		2.146487	
MS4A7		2.1211958	
LCOR		2.103852	
C10orf62		2.0905604	
RORA		2.086506	
SNTB1		2.0697517	
GPR17		2.067864	
MDM4		2.0592296	
ESR1		2.0495756	
STEAP2		2.0466743	
TUBA8		2.0356956	
TBCK		2.021649	
ILDR2		2.018654	
ACP3		2.0159507	
KIF13B		2.0058658	
TMEM245		2.000461	
STRN		1.9937074	
ERN1		1.9893184	
CAPG		1.9881066	
TRIP11		1.9813482	
REST		1.9720175	
CDC42EP5		1.9714838	
TSPAN8		1.9632475	
GATAD2B		1.9515222	
SYNGR1		1.9472946	
PKP1		1.9403747	
LY75		1.9388613	
EIF4EBP3		1.9334024	
ID1		1.9316024	
ALG10		1.931113	
CD63		1.9283732	
PLXNA2		1.9189484	
EPPK1		1.909134	
LMLN		1.9076179	
ANKRD26		1.8971637	
LTB		1.8903893	
CELSR1		1.8899734	
ACOT1		1.8874774	
CORO6		1.879424	
CD207		1.8716637	
ARL5B		1.8692496	
FCGBP		1.8453249	
TBL1X		1.8289746	
G0S2		1.8271065	
LNPEP		1.8247659	
ZFHX4		1.8230789	
FXYD6		1.8192661	
FOXN3		1.8171552	
DHTKD1		1.8161527	
LUZP1		1.8082689	
FAT1		1.783198	
FAM184A		1.7772316	
BRWD3		1.777173	
SLC30A10		1.777074	
PALLD		1.7731806	
NR2C2		1.7582961	
FUT7		1.7563132	
LYST		1.7555553	
SLC10A5		1.753348	
NR3C2		1.751598	
IQSEC1		1.7365268	
MAP3K13		1.734742	
PNLDC1		1.7345668	
GLG1		1.7345407	
CYP4F2		1.7344041	
ROBO1		1.7330493	
XRN1		1.7318628	
ACSS1		1.7289156	
LPP		1.726291	
FASN		1.7190342	
SAA1		1.7166282	
MIA2		1.7149678	
S100A6		1.7135051	
CNTNAP1		1.7099483	
PPP1R3B		1.7062759	
MGAM		1.7059951	
NEURL1		1.7053777	
KIAA1109		1.7040765	
MOB1A		1.7013823	
GSTT2		1.7011563	
SLPI		1.6968004	
RNF125		1.6923076	
ATP2B2		1.6916773	
ADAMTS6		1.685277	
PEG3		1.6848016	
SLC16A4		1.677978	
WDFY2		1.6750985	
CRIP1		1.6700025	
LY6D		1.6699754	
ASH1L		1.6645364	
COX6B2		1.6617244	
ASNS		1.6588717	
ADCY9		1.6583728	
SLC25A4		1.6574601	
ATF7		1.6556695	
AOX3P		1.649924	
C1GALT1		1.6489527	
FN1		1.6475061	
HIPK2		1.6460471	
SREBF1		1.6455258	
PCLO		1.6447606	
TNPO1		1.629902	
MOB1B		1.6211778	
NOTCH2		1.6191523	
ZNF398		1.6176775	
PPL		1.6158203	
TMEM120A		1.614948	
ABCA6		1.614559	
LEPR		1.6102579	
MAPK8		1.6078343	
UNC79		1.6050696	
SIK2		1.6043859	
ITPKA		1.598749	
KLHL3		1.5986602	
PPP1R12A		1.5967269	
NCAM2		1.5936846	
ZHX3		1.5932119	
UNC119		1.592885	
PLCB4		1.5863708	
C16orf96		1.586019	
BIK		1.586011	
ZFHX2		1.5852226	
ACSS3		1.5830065	
TRHDE		1.5817024	
PTPN4		1.5770977	
APOB		1.573526	
KIAA2026		1.5722328	
NT5DC2		1.5719265	
RALGPS1		1.5679606	
LCN2		1.5675473	
ABCC2		1.5675424	
ATF7IP		1.5671272	
ATP11A		1.5667869	
EGFL7		1.5618061	
FRAS1		1.5600092	
MATK		1.5568613	
ZNF652		1.5556827	
SLC3A1		1.5550528	
DOCK4		1.553996	
COG5		1.5436727	
FKTN		1.5425963	
CHRM3		1.5423211	
CREBBP		1.542076	
RPS6KA3		1.5407691	
TNRC6B		1.537049	
TRIM2		1.5316474	
ATP7B		1.5292318	
HAO2		1.5277219	
BCORL1		1.5268648	
MMP12		1.5216453	
EDA		1.520215	
SYNE1		1.5185664	
CHIC1		1.5172079	
MTMR9		1.5171196	
SESN3		1.5163224	
NFAT5		1.5160472	
USP53		1.5158141	
CYP7A1		1.5157228	
PDS5A		1.5133532	
BAHCC1		1.5109499	
CAMK1D		1.5055772	
GOLT1A		1.5050524	
PRDM10		1.5036215	
ITPR2		1.4990667	
DDI2		1.4943166	
INO80D		1.4934317	
C1orf226		1.49207	
MAP2K6		1.4899199	
C11orf86		1.4876934	
A1CF		1.4859115	
ARHGAP32		1.4837029	
CPT1B		1.4800826	
VPS13D		1.4798506	
NFIX		1.4796159	
RCOR1		1.4758627	
C1QL3		1.4758523	
ATP8B1		1.4710244	
KCNN4		1.4705464	
NAV2		1.4690008	
TMIE		1.4659365	
SMG1		1.4635185	
