NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAR	2804	0.9733997583389282	-0.17608778	No	
row_1	GRAMD1B	3686	0.8429425358772278	-0.21287821	No	
row_2	C2CD2L	4096	0.7742641568183899	-0.21547812	No	
row_3	ABCG8	4369	0.7243106961250305	-0.2081541	No	
row_4	PRELID2	4604	0.6901136636734009	-0.19807746	No	
row_5	MTTP	4852	0.6489775776863098	-0.18894249	No	
row_6	ABCG5	4934	0.6352003812789917	-0.1677829	No	
row_7	OSBPL2	6207	0.4381881356239319	-0.2328964	No	
row_8	PITPNB	6520	0.38710519671440125	-0.22846988	No	
row_9	PITPNM1	6683	0.35893961787223816	-0.21317774	No	
row_10	TTPA	7092	0.2996346950531006	-0.21570522	No	
row_11	GLTPD2	7792	0.20800702273845673	-0.23931201	Yes	
row_12	ABCG1	7797	0.20694415271282196	-0.21257474	Yes	
row_13	STARD3	8175	0.1609559804201126	-0.21285665	Yes	
row_14	PLTP	8487	0.1290731430053711	-0.20835769	Yes	
row_15	GRAMD1A	8512	0.12676937878131866	-0.18306917	Yes	
row_16	TNFAIP8L3	8902	0.09126213192939758	-0.18422033	Yes	
row_17	PITPNM2	8988	0.08421748131513596	-0.1633505	Yes	
row_18	TRIAP1	9120	0.07340417802333832	-0.14581278	Yes	
row_19	PLEKHA8	9352	0.05804985389113426	-0.13551882	Yes	
row_20	PLEKHA3	9861	0.03185482695698738	-0.14529006	Yes	
row_21	PRELID1	11122	0.004229491110891104	-0.2095343	Yes	
row_22	GLTP	11262	0.003109291661530733	-0.1925761	Yes	
row_23	PITPNC1	11556	0.0015709272120147943	-0.18677326	Yes	
row_24	STARD5	11686	0.0010631863260641694	-0.16909067	Yes	
row_25	PITPNA	12091	2.8530953568406403E-4	-0.1713284	Yes	
row_26	STARD4	12141	2.2430115495808423E-4	-0.14785081	Yes	
row_27	GRAMD1C	12622	2.3102242266759276E-5	-0.1555938	Yes	
row_28	OSBP	12626	2.2497129975818098E-5	-0.12878408	Yes	
row_29	NPC2	12738	1.0953055607387796E-5	-0.10979762	Yes	
row_30	CERT1	12973	1.9284029804111924E-6	-0.09972097	Yes	
row_31	APOE	13099	7.597171816087211E-7	-0.081748635	Yes	
row_32	APOA2	13315	4.065719849677407E-8	-0.07029567	Yes	
row_33	APOA1	13649	1.3952696636954087E-11	-0.06739034	Yes	
row_34	ABCA1	13809	4.777930927425535E-20	-0.051880874	Yes	
row_35	APOB	13816	5.44781030258389E-22	-0.025288472	Yes	
row_36	APOA4	13841	0.0	5.467882E-8	Yes	
