NAME	TITLE	SCORE	
ADRA2A		1.0	
AKR1C3		1.0	
LRRC2		1.0	
NCKAP5		1.0	
FAM184A		1.0	
RSPH4A		1.0	
KCTD14		1.0	
CACNG1		1.0	
DHRS9		1.0	
EPHA3		1.0	
CEND1		1.0	
CATSPER3		1.0	
C11orf94		1.0	
TULP2		1.0	
GPR137C		1.0	
VSIG8		1.0	
SNCG		1.0	
RELL2		1.0	
DUSP18		1.0	
MLF1		1.0	
CAV3		1.0	
SIX1		1.0	
LRRC71		1.0	
PABPC4L		1.0	
PCDHGA5		1.0	
GUCY2GP		1.0	
PPP1R27		1.0	
CCDC24		1.0	
WNT7B		1.0	
FNDC7		1.0	
ART5		1.0	
HHATL		1.0	
ADCY2		1.0	
TAGLN3		1.0	
CLDN4		1.0	
RAB15		1.0	
FAM183A		1.0	
FANCD2		1.0	
C3orf62		1.0	
TMEM182		1.0	
LRRC8B		1.0	
UGT2A2		1.0	
ZKSCAN2		1.0	
HRH1		1.0	
PTGES		1.0	
VASH2		1.0	
ADARB2		1.0	
CPA2		1.0	
GP5		1.0	
CYSLTR2		1.0	
ORC1		1.0	
RGS7BP		1.0	
TESC		1.0	
CLEC3B		1.0	
VPREB3		1.0	
INSL3		1.0	
NPY		1.0	
CCDC69		1.0	
PTGDS		1.0	
CYP11B1		1.0	
KCNIP4		1.0	
BVES		1.0	
STAC2		1.0	
IQCD		1.0	
CHRNA10		1.0	
DUPD1		1.0	
KCNJ11		1.0	
YIPF7		1.0	
NKAIN2		1.0	
CCDC96		1.0	
PAX8		1.0	
CNKSR1		1.0	
C4orf48		1.0	
NFE2L3		1.0	
NPB		1.0	
GIPC3		1.0	
C20orf144		1.0	
MEP1B		1.0	
MYLK4		1.0	
CLRN1		1.0	
FHL2		1.0	
LBX2		1.0	
TMEM202		1.0	
PHF21B		1.0	
CCNJL		1.0	
RAPSN		1.0	
COL22A1		1.0	
TACSTD2		1.0	
TMOD2		1.0	
TIMP4		1.0	
FUT2		1.0	
TRIM16		1.0	
GPR34		1.0	
ASZ1		1.0	
LRRTM3		1.0	
C12orf60		1.0	
MUC13		1.0	
CCL28		1.0	
SCART1		1.0	
TM4SF20		1.0	
CRB2		1.0	
GLI3		1.0	
EME1		1.0	
STYXL1		1.0	
WDR27		1.0	
C15orf48		1.0	
TMPRSS7		1.0	
HNF4G		1.0	
TREM1		1.0	
CNIH2		1.0	
CDKN2B		1.0	
RNF208		1.0	
RAMP3		1.0	
CENPE		1.0	
ZMYND12		1.0	
NYX		1.0	
ASB14		1.0	
SGCA		1.0	
VGLL2		1.0	
SHC2		1.0	
DUSP13		1.0	
DIO3OS		1.0	
RNF222		1.0	
SGCG		1.0	
SYPL2		1.0	
SIX4		1.0	
AKAP6		1.0	
CCDC85A		1.0	
EYA1		1.0	
SLCO5A1		1.0	
ST8SIA5		1.0	
GABRQ		1.0	
TNP1		1.0	
PRRG4		1.0	
KLHDC1		1.0	
PHLDA2		1.0	
TUBB3		1.0	
GDF3		1.0	
PROK1		1.0	
RASGEF1A		1.0	
CCDC112		1.0	
RETNLB		1.0	
SLC1A3		1.0	
POU3F1		1.0	
ME3		1.0	
GABRP		1.0	
MAP6D1		1.0	
RASSF9		1.0	
DLX4		1.0	
FRMD5		1.0	
MFSD6L		1.0	
GPR179		1.0	
AMPD1		1.0	
DHRS7C		1.0	
DUSP26		1.0	
LRRC30		1.0	
USH2A		1.0	
HTR2B		1.0	
DCLK1		1.0	
SYNPO2L		1.0	
SRPK3		1.0	
TTC9		1.0	
PPP1R14C		1.0	
TBX1		1.0	
TMPRSS4		1.0	
DMKN		1.0	
TRIM29		1.0	
SHROOM4		1.0	
ALDH1A2		1.0	
TBX15		1.0	
THBS4		1.0	
ANKRD6		1.0	
KCNC4		1.0	
MST1R		1.0	
LCA5L		1.0	
RTN4RL2		1.0	
KISS1		1.0	
SKA1		1.0	
ANKRD1		1.0	
EDARADD		1.0	
FAM110D		1.0	
SPRR1A		1.0	
PTPRT		1.0	
GAL3ST2		1.0	
DNHD1		1.0	
ASPM		1.0	
SLC19A3		1.0	
LY6G6E		1.0	
GGT7		1.0	
FZD9		1.0	
DPPA3		1.0	
MYB		1.0	
MYADML2		1.0	
SH2D1B		1.0	
PRM2		1.0	
HYAL3		1.0	
HSD17B1		1.0	
SPDEF		1.0	
WDR86		1.0	
SERPINA9		1.0	
ASB11		1.0	
ASB15		1.0	
CAP2		1.0	
KLHL33		1.0	
RNASE1		1.0	
EGFEM1P		1.0	
EPHA4		1.0	
STXBP5L		1.0	
IL10		1.0	
NKAPL		1.0	
SLC4A1		1.0	
SCN8A		1.0	
TOX2		1.0	
C3orf67		1.0	
REG1A		1.0	
MFAP2		1.0	
IRS3P		1.0	
DPPA2		1.0	
PGF		1.0	
EFNA4		1.0	
CHST3		1.0	
SCN4A		1.0	
DCDC2B		1.0	
CXCR5		1.0	
TMEM178A		1.0	
COL4A4		1.0	
TREML1		1.0	
GP1BA		1.0	
NPFF		1.0	
NFATC2		1.0	
MMP17		1.0	
ADPRHL1		1.0	
MFAP5		1.0	
EYA4		1.0	
SLC25A2		1.0	
CSPG4		1.0	
MMP25		1.0	
VPREB1		1.0	
BMP10		1.0	
FZD3		1.0	
IGSF21		1.0	
AQP3		1.0	
SAMD5		1.0	
LIF		1.0	
FKBP1B		1.0	
RNF165		1.0	
PODXL2		1.0	
DDX25		1.0	
KLF8		1.0	
KY		1.0	
EYA2		1.0	
KIAA1324L		1.0	
ASPN		1.0	
ASB12		1.0	
CTXN3		1.0	
DUSP27		1.0	
MYF6		1.0	
MYOG		1.0	
P4HA3		1.0	
RHOV		1.0	
SLC9A2		1.0	
TCEAL7		1.0	
OR2V2		1.0	
TNIP3		1.0	
P2RX6		1.0	
ENO2		1.0	
PENK		1.0	
MAB21L3		1.0	
BARD1		1.0	
PRDM6		1.0	
RAD51AP1		1.0	
LDHAL6B		1.0	
NSUN7		1.0	
CD300C		1.0	
HIGD1B		1.0	
CALR4P		1.0	
TMEM52		1.0	
C17orf50		1.0	
KSR2		1.0	
RCOR2		1.0	
PCDH20		1.0	
RPS6KL1		1.0	
SAMD3		1.0	
BCL11A		1.0	
TTC25		1.0	
MAMSTR		1.0	
CCL22		1.0	
ATP1A4		1.0	
ASB10		1.0	
DTNA		1.0	
SLC30A2		1.0	
ELF5		1.0	
NEBL		1.0	
MUC2		1.0	
RPS6KA6		1.0	
