NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA4	18	3.1177449226379395	0.15314625	Yes	
row_1	APOA1	196	1.103053331375122	0.19496904	Yes	
row_2	APOA2	567	0.822168231010437	0.20889659	Yes	
row_3	APOE	587	0.8126496076583862	0.24777818	Yes	
row_4	GLTP	653	0.7816998362541199	0.2817944	Yes	
row_5	NPC2	736	0.7497240900993347	0.31299514	Yes	
row_6	PITPNA	1531	0.5357610583305359	0.28202084	Yes	
row_7	STARD5	1700	0.49873897433280945	0.2945584	Yes	
row_8	PRELID1	1916	0.4516613483428955	0.3013592	Yes	
row_9	TRIAP1	2358	0.3746095895767212	0.28797206	Yes	
row_10	PLEKHA8	2580	0.3367801606655121	0.28864715	Yes	
row_11	GRAMD1A	2597	0.33498868346214294	0.30408317	Yes	
row_12	STARD3	2773	0.3097362816333771	0.30675066	Yes	
row_13	ABCG1	2888	0.293560653924942	0.3130355	Yes	
row_14	PLTP	3017	0.2761763036251068	0.317445	Yes	
row_15	GLTPD2	3323	0.23872490227222443	0.30717775	No	
row_16	PITPNM1	3378	0.23226754367351532	0.31477246	No	
row_17	PRELID2	4613	0.11815948039293289	0.23123805	No	
row_18	GRAMD1B	5423	0.06434130668640137	0.17582351	No	
row_19	C2CD2L	5541	0.058581408113241196	0.17025039	No	
row_20	STAR	7419	-0.011012095026671886	0.03483069	No	
row_21	ABCG8	8699	-0.06208433583378792	-0.0547413	No	
row_22	MTTP	8870	-0.07359378039836884	-0.06340991	No	
row_23	ABCG5	9008	-0.08401152491569519	-0.069172	No	
row_24	PITPNB	9610	-0.14193396270275116	-0.105675675	No	
row_25	TTPA	9742	-0.15487945079803467	-0.10749241	No	
row_26	OSBPL2	9773	-0.15858566761016846	-0.10180935	No	
row_27	PITPNM2	10927	-0.3122014105319977	-0.16986366	No	
row_28	TNFAIP8L3	11480	-0.4098574221134186	-0.18954521	No	
row_29	PLEKHA3	11521	-0.41730356216430664	-0.17176989	No	
row_30	PITPNC1	12520	-0.6678500175476074	-0.21097788	No	
row_31	OSBP	12538	-0.671858549118042	-0.17892608	No	
row_32	GRAMD1C	12608	-0.6934991478919983	-0.14956897	No	
row_33	CERT1	12995	-0.8366807103157043	-0.13608149	No	
row_34	STARD4	13404	-1.0873826742172241	-0.11176809	No	
row_35	ABCA1	13590	-1.318701982498169	-0.05984178	No	
row_36	APOB	13714	-1.5735260248184204	0.009199394	No	
