NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA4	0	15.297406196594238	0.027027028	Yes	
row_1	APOA1	60	7.33781099319458	0.049780242	Yes	
row_2	APOA2	180	6.020404815673828	0.06818721	Yes	
row_3	APOE	272	5.462871074676514	0.08862242	Yes	
row_4	NPC2	431	4.892934322357178	0.10420432	Yes	
row_5	PITPNA	741	4.100008487701416	0.108848155	Yes	
row_6	STARD5	940	3.731006383895874	0.12153255	Yes	
row_7	GLTP	1146	3.4012157917022705	0.1337099	Yes	
row_8	PRELID1	1215	3.3008105754852295	0.15581116	Yes	
row_9	PLEKHA8	2160	2.2893354892730713	0.11445717	Yes	
row_10	TRIAP1	2296	2.1784825325012207	0.13170514	Yes	
row_11	GRAMD1A	2639	1.8976191282272339	0.13395853	Yes	
row_12	PLTP	2649	1.8875062465667725	0.16033362	Yes	
row_13	STARD3	2822	1.7623276710510254	0.1749014	Yes	
row_14	ABCG1	3047	1.6110687255859375	0.18570241	Yes	
row_15	GLTPD2	3048	1.6080820560455322	0.21272944	Yes	
row_16	PITPNM1	3747	1.2201511859893799	0.18919508	No	
row_17	PRELID2	5297	0.581868588924408	0.10401639	No	
row_18	C2CD2L	5732	0.4300365746021271	0.09960553	No	
row_19	GRAMD1B	6278	0.30704712867736816	0.08715411	No	
row_20	STAR	7336	-0.054986272007226944	0.03761468	No	
row_21	ABCG8	8798	-0.5171847343444824	-0.041189507	No	
row_22	MTTP	9129	-0.6553767919540405	-0.03806686	No	
row_23	ABCG5	9186	-0.6800122857093811	-0.015096336	No	
row_24	OSBPL2	9920	-1.056991457939148	-0.04116601	No	
row_25	PITPNB	10070	-1.1608211994171143	-0.024932172	No	
row_26	TTPA	10372	-1.3574068546295166	-0.019708838	No	
row_27	TNFAIP8L3	11265	-2.0713789463043213	-0.05729608	No	
row_28	PITPNM2	11305	-2.1116559505462646	-0.033094116	No	
row_29	PLEKHA3	11700	-2.5523924827575684	-0.03460747	No	
row_30	PITPNC1	12552	-3.6156768798828125	-0.069224775	No	
row_31	STARD4	12856	-4.161920070648193	-0.06414631	No	
row_32	GRAMD1C	13106	-4.7227559089660645	-0.055156227	No	
row_33	OSBP	13109	-4.72887659072876	-0.028274076	No	
row_34	CERT1	13302	-5.267955780029297	-0.015155052	No	
row_35	ABCA1	13820	-9.782214164733887	-0.025578223	No	
row_36	APOB	13824	-10.250494956970215	0.0012314925	No	
