NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA4	0	15.297406196594238	0.12330045	Yes	
row_1	APOA1	60	7.33781099319458	0.178171	Yes	
row_2	APOA2	180	6.020404815673828	0.21807672	Yes	
row_3	APOE	272	5.462871074676514	0.25551686	Yes	
row_4	NPC2	431	4.892934322357178	0.28350985	Yes	
row_5	PITPNA	741	4.100008487701416	0.29417363	Yes	
row_6	STARD5	940	3.731006383895874	0.3099037	Yes	
row_7	GLTP	1146	3.4012157917022705	0.32246858	Yes	
row_8	PRELID1	1215	3.3008105754852295	0.34414807	Yes	
row_9	PLEKHA8	2160	2.2893354892730713	0.2942196	No	
row_10	TRIAP1	2296	2.1784825325012207	0.3019996	No	
row_11	GRAMD1A	2639	1.8976191282272339	0.29252118	No	
row_12	PLTP	2649	1.8875062465667725	0.30708295	No	
row_13	STARD3	2822	1.7623276710510254	0.30882844	No	
row_14	ABCG1	3047	1.6110687255859375	0.305588	No	
row_15	GLTPD2	3048	1.6080820560455322	0.3185495	No	
row_16	PITPNM1	3747	1.2201511859893799	0.2778228	No	
row_17	PRELID2	5297	0.581868588924408	0.17030707	No	
row_18	C2CD2L	5732	0.4300365746021271	0.14233539	No	
row_19	GRAMD1B	6278	0.30704712867736816	0.1053318	No	
row_20	STAR	7336	-0.054986272007226944	0.029208543	No	
row_21	ABCG8	8798	-0.5171847343444824	-0.07245405	No	
row_22	MTTP	9129	-0.6553767919540405	-0.09107596	No	
row_23	ABCG5	9186	-0.6800122857093811	-0.089651406	No	
row_24	OSBPL2	9920	-1.056991457939148	-0.13422853	No	
row_25	PITPNB	10070	-1.1608211994171143	-0.13566524	No	
row_26	TTPA	10372	-1.3574068546295166	-0.14652795	No	
row_27	TNFAIP8L3	11265	-2.0713789463043213	-0.19444644	No	
row_28	PITPNM2	11305	-2.1116559505462646	-0.18025109	No	
row_29	PLEKHA3	11700	-2.5523924827575684	-0.18821864	No	
row_30	PITPNC1	12552	-3.6156768798828125	-0.22071981	No	
row_31	STARD4	12856	-4.161920070648193	-0.20912239	No	
row_32	GRAMD1C	13106	-4.7227559089660645	-0.18909289	No	
row_33	OSBP	13109	-4.72887659072876	-0.15112197	No	
row_34	CERT1	13302	-5.267955780029297	-0.1225691	No	
row_35	ABCA1	13820	-9.782214164733887	-0.0811725	No	
row_36	APOB	13824	-10.250494956970215	0.001231422	No	
