"","term_name","source","p_value"
"1","biological_process","GO:BP",6.53763742499747e-16
"2","metabolic process","GO:BP",2.0960770806017e-15
"3","positive regulation of biological process","GO:BP",2.78084677966573e-15
"4","cellular process","GO:BP",2.8994336513979e-15
"5","developmental process","GO:BP",3.02848127678374e-14
"6","system development","GO:BP",6.37223788744012e-14
"7","cellular response to chemical stimulus","GO:BP",7.48793468504871e-14
"8","cellular metabolic process","GO:BP",8.64621247807012e-14
"9","positive regulation of cellular process","GO:BP",9.51465885184709e-14
"10","multicellular organism development","GO:BP",2.51426487917272e-13
"11","animal organ development","GO:BP",7.35513278965653e-13
"12","organic substance metabolic process","GO:BP",1.40520375572788e-12
"13","primary metabolic process","GO:BP",1.98045937739354e-12
"14","anatomical structure development","GO:BP",2.09281974232185e-12
"15","negative regulation of biological process","GO:BP",1.61658200655505e-11
"16","cell differentiation","GO:BP",3.53541262552478e-11
"17","localization","GO:BP",8.156021677105e-11
"18","negative regulation of cellular process","GO:BP",8.91875118790875e-11
"19","cellular developmental process","GO:BP",1.80612873004883e-10
"20","cellular response to organic substance","GO:BP",6.21687224174016e-10
"21","regulation of biological quality","GO:BP",7.2842120844248e-10
"22","regulation of cell communication","GO:BP",7.9658478032698e-10
"23","regulation of signaling","GO:BP",1.26813841926552e-09
"24","nitrogen compound metabolic process","GO:BP",1.50577215071588e-09
"25","macromolecule metabolic process","GO:BP",1.52452485711758e-09
"26","positive regulation of metabolic process","GO:BP",1.71541058124273e-09
"27","cellular component organization","GO:BP",2.70450213391585e-09
"28","cellular macromolecule metabolic process","GO:BP",4.55926641157072e-09
"29","regulation of response to stimulus","GO:BP",7.6595128717976e-09
"30","response to organic substance","GO:BP",9.48714496592714e-09
"31","organonitrogen compound metabolic process","GO:BP",1.06583089218089e-08
"32","cellular protein modification process","GO:BP",2.16996660285068e-08
"33","protein modification process","GO:BP",2.16996660285068e-08
"34","intracellular signal transduction","GO:BP",2.6954207994623e-08
"35","cellular component organization or biogenesis","GO:BP",2.96283973934926e-08
"36","regulation of signal transduction","GO:BP",4.43043344578304e-08
"37","macromolecule modification","GO:BP",5.72192386951042e-08
"38","regulation of cellular metabolic process","GO:BP",1.11338239566633e-07
"39","positive regulation of cellular metabolic process","GO:BP",1.1247682058901e-07
"40","protein metabolic process","GO:BP",1.43070838608279e-07
"41","regulation of localization","GO:BP",4.35213633743438e-07
"42","regulation of metabolic process","GO:BP",5.85780112145701e-07
"43","regulation of multicellular organismal process","GO:BP",6.57536552849264e-07
"44","cellular protein metabolic process","GO:BP",6.76652575257285e-07
"45","anatomical structure morphogenesis","GO:BP",1.07005227172474e-06
"46","cellular response to hormone stimulus","GO:BP",1.2097974515844e-06
"47","positive regulation of macromolecule metabolic process","GO:BP",1.28523409898439e-06
"48","response to stimulus","GO:BP",1.71140674160602e-06
"49","monocarboxylic acid metabolic process","GO:BP",2.77486236165406e-06
"50","phosphate-containing compound metabolic process","GO:BP",2.86625901706237e-06
"51","phosphorus metabolic process","GO:BP",2.97048807986255e-06
"52","regulation of primary metabolic process","GO:BP",3.01717419246335e-06
"53","regulation of biosynthetic process","GO:BP",3.35989261462806e-06
"54","cell development","GO:BP",3.53342472334292e-06
"55","regulation of molecular function","GO:BP",5.41228493546036e-06
