"","term_name","source","p_value"
"1","cellular response to chemical stimulus","GO:BP",8.67387762523582e-13
"2","system development","GO:BP",1.25973204698293e-12
"3","animal organ development","GO:BP",4.1210262955127e-12
"4","multicellular organism development","GO:BP",1.16302437270168e-11
"5","positive regulation of biological process","GO:BP",1.63964568093892e-11
"6","developmental process","GO:BP",1.0216986382037e-10
"7","positive regulation of cellular process","GO:BP",4.29476817672462e-10
"8","anatomical structure development","GO:BP",9.47345552735419e-10
"9","negative regulation of biological process","GO:BP",2.65359876502526e-09
"10","metabolic process","GO:BP",3.65678312984194e-09
"11","cellular response to organic substance","GO:BP",3.7387748922679e-09
"12","regulation of biological quality","GO:BP",5.33929600895476e-09
"13","regulation of cell communication","GO:BP",8.01605304356174e-09
"14","negative regulation of cellular process","GO:BP",1.03079003311885e-08
"15","regulation of signaling","GO:BP",1.22927484504075e-08
"16","positive regulation of metabolic process","GO:BP",2.65954831266964e-08
"17","cellular metabolic process","GO:BP",3.28088359035495e-08
"18","cell differentiation","GO:BP",3.91102501148705e-08
"19","response to organic substance","GO:BP",9.70694768808812e-08
"20","localization","GO:BP",1.04188438797346e-07
"21","cellular developmental process","GO:BP",1.60271595489089e-07
"22","intracellular signal transduction","GO:BP",2.97016338371e-07
"23","primary metabolic process","GO:BP",3.68185140996327e-07
"24","regulation of signal transduction","GO:BP",3.97996358626255e-07
"25","organic substance metabolic process","GO:BP",4.57644018818288e-07
"26","cellular protein modification process","GO:BP",9.10369745282884e-07
"27","protein modification process","GO:BP",9.10369745282884e-07
"28","positive regulation of cellular metabolic process","GO:BP",1.16700720485484e-06
"29","organonitrogen compound metabolic process","GO:BP",2.09589592397456e-06
"30","cellular response to hormone stimulus","GO:BP",2.4889522091013e-06
"31","regulation of response to stimulus","GO:BP",2.74058974620766e-06
"32","regulation of localization","GO:BP",2.87105596261288e-06
"33","macromolecule modification","GO:BP",2.95269924626909e-06
"34","regulation of multicellular organismal process","GO:BP",3.72077203332576e-06
"35","anatomical structure morphogenesis","GO:BP",3.86092427023938e-06
"36","monocarboxylic acid metabolic process","GO:BP",8.19795787463336e-06
"37","lipid localization","GO:BP",1.16695978918777e-05
"38","lipid transport","GO:BP",1.17998740196829e-05
"39","protein metabolic process","GO:BP",1.4201966984127e-05
"40","tissue development","GO:BP",1.43215092203503e-05
"41","positive regulation of macromolecule metabolic process","GO:BP",1.47967826303065e-05
"42","regulation of molecular function","GO:BP",1.99627828179223e-05
"43","cellular component organization","GO:BP",2.10791950849527e-05
"44","phosphate-containing compound metabolic process","GO:BP",3.29453131002038e-05
"45","phosphorus metabolic process","GO:BP",3.31974561195383e-05
"46","cellular process","GO:BP",3.64983737708373e-05
"47","response to endogenous stimulus","GO:BP",4.18404302004507e-05
"48","neurogenesis","GO:BP",4.54885698274304e-05
"49","response to hormone","GO:BP",5.14366683781058e-05
"50","cellular protein metabolic process","GO:BP",5.17744315189771e-05
"51","nitrogen compound metabolic process","GO:BP",6.2855545082285e-05
"52","cellular macromolecule metabolic process","GO:BP",6.36365552437614e-05
"53","macromolecule metabolic process","GO:BP",6.67102441467549e-05
"54","fatty acid metabolic process","GO:BP",7.51425235417882e-05
"55","positive regulation of cellular component organization","GO:BP",8.10306863776108e-05
"56","cellular response to endogenous stimulus","GO:BP",9.08246438805369e-05
"57","catabolic process","GO:BP",0.000109336185278426
"58","cellular component organization or biogenesis","GO:BP",0.000152669668451003
"59","regulation of cellular metabolic process","GO:BP",0.000155295326591109
"60","protein phosphorylation","GO:BP",0.000191975121140115
"61","cellular catabolic process","GO:BP",0.000203608419718862
"62","cell development","GO:BP",0.000288117065416934
"63","regulation of protein modification process","GO:BP",0.000297710334332946
"64","regulation of cellular component organization","GO:BP",0.000324537019708408
"65","regulation of intracellular signal transduction","GO:BP",0.000355112412644567
"66","negative regulation of cellular metabolic process","GO:BP",0.000396558922944279
"67","nervous system development","GO:BP",0.000540528714452922
"68","cellular lipid metabolic process","GO:BP",0.00066988475676301
"69","positive regulation of cell differentiation","GO:BP",0.000670118072437939
"70","lipid metabolic process","GO:BP",0.000694433384238375
"71","circulatory system development","GO:BP",0.000710237667515195
"72","positive regulation of multicellular organismal process","GO:BP",0.000855558566887864
"73","regulation of metabolic process","GO:BP",0.000905857951923835
"74","generation of neurons","GO:BP",0.000920488019210244
"75","positive regulation of nitrogen compound metabolic process","GO:BP",0.00093566434462152
"76","cellular response to oxygen-containing compound","GO:BP",0.000951763210618022
"77","phosphorylation","GO:BP",0.00105000204712361
"78","negative regulation of nitrogen compound metabolic process","GO:BP",0.00106987990582256
"79","negative regulation of metabolic process","GO:BP",0.00119911843425185
"80","cytoskeleton organization","GO:BP",0.00124197672843261
"81","positive regulation of biosynthetic process","GO:BP",0.00128730945829236
"82","muscle structure development","GO:BP",0.00141116811182985
"83","regulation of biosynthetic process","GO:BP",0.00155238026444332
"84","response to stress","GO:BP",0.00194075856688454
"85","positive regulation of cellular biosynthetic process","GO:BP",0.00202908590897783
"86","response to oxygen-containing compound","GO:BP",0.00204662584100919
"87","regulation of protein stability","GO:BP",0.00211951152743606
"88","regulation of catalytic activity","GO:BP",0.00212608984769203
"89","actin filament-based process","GO:BP",0.00243195509984742
"90","heart development","GO:BP",0.00243655350276697
"91","regulation of primary metabolic process","GO:BP",0.00261578853930621
"92","regulation of cellular protein metabolic process","GO:BP",0.0026562854296558
"93","positive regulation of gene expression","GO:BP",0.00269641396254954
"94","positive regulation of signal transduction","GO:BP",0.002863439555498
"95","cell migration","GO:BP",0.00289181855510287
"96","positive regulation of cell communication","GO:BP",0.0029652320617239
"97","establishment of localization","GO:BP",0.00304734314797459
"98","anatomical structure formation involved in morphogenesis","GO:BP",0.00306037685615127
"99","transport","GO:BP",0.00315587041700337
"100","positive regulation of macromolecule biosynthetic process","GO:BP",0.0031580184390446
"101","positive regulation of signaling","GO:BP",0.00346818423804019
"102","positive regulation of RNA metabolic process","GO:BP",0.00348442626206338
"103","protein stabilization","GO:BP",0.00348973051999723
