"","term_name","source","p_value"
"1","biological_process","GO:BP",6.86898017879718e-26
"2","cellular process","GO:BP",4.3137056726621e-23
"3","multicellular organismal process","GO:BP",5.14827141198597e-15
"4","biological regulation","GO:BP",1.06396074647111e-13
"5","anatomical structure development","GO:BP",1.53600200487484e-13
"6","system development","GO:BP",5.33784942938063e-13
"7","developmental process","GO:BP",9.26968589345729e-13
"8","multicellular organism development","GO:BP",2.43537455330268e-12
"9","response to stimulus","GO:BP",2.59323261451726e-12
"10","regulation of biological process","GO:BP",2.98905109782309e-12
"11","regulation of cellular process","GO:BP",2.04378550380403e-10
"12","positive regulation of biological process","GO:BP",3.50987152274254e-10
"13","negative regulation of biological process","GO:BP",3.68689386286095e-10
"14","negative regulation of cellular process","GO:BP",3.86620976888228e-10
"15","regulation of multicellular organismal process","GO:BP",3.9947809224402e-10
"16","anatomical structure morphogenesis","GO:BP",7.66541746149434e-10
"17","cell differentiation","GO:BP",8.05090989667537e-10
"18","cellular developmental process","GO:BP",1.41300792440381e-09
"19","positive regulation of cellular process","GO:BP",1.71078805384124e-09
"20","tissue development","GO:BP",2.47676240599658e-08
"21","positive regulation of multicellular organismal process","GO:BP",2.56248598090341e-08
"22","regulation of developmental process","GO:BP",3.74078854593308e-08
"23","response to chemical","GO:BP",4.60964422383992e-08
"24","circulatory system development","GO:BP",6.31131760036452e-08
"25","organic substance metabolic process","GO:BP",7.44630979120534e-08
"26","metabolic process","GO:BP",1.06890500348494e-07
"27","regulation of anatomical structure morphogenesis","GO:BP",1.53042159662351e-07
"28","cellular response to stimulus","GO:BP",1.63535820673966e-07
"29","regulation of multicellular organismal development","GO:BP",1.90937341005973e-07
"30","negative regulation of molecular function","GO:BP",3.10957765171108e-07
"31","movement of cell or subcellular component","GO:BP",4.55557442883749e-07
"32","regulation of cell population proliferation","GO:BP",4.8410775610428e-07
"33","signaling","GO:BP",5.71486729509393e-07
"34","regulation of biological quality","GO:BP",6.12552310455314e-07
"35","cell communication","GO:BP",6.5700675536451e-07
"36","primary metabolic process","GO:BP",7.22007003531683e-07
"37","negative regulation of multicellular organismal process","GO:BP",8.56139151600527e-07
"38","organonitrogen compound metabolic process","GO:BP",1.47124015099879e-06
"39","vasculature development","GO:BP",2.55070260764894e-06
"40","anatomical structure formation involved in morphogenesis","GO:BP",2.77695159715005e-06
"41","positive regulation of developmental process","GO:BP",3.22464137941485e-06
"42","cell migration","GO:BP",5.25859159932013e-06
"43","blood vessel development","GO:BP",8.57882421908594e-06
"44","regulation of molecular function","GO:BP",8.7342824838101e-06
"45","response to external stimulus","GO:BP",8.97302879604173e-06
"46","nitrogen compound metabolic process","GO:BP",1.12344246395622e-05
"47","cell population proliferation","GO:BP",1.38813124183413e-05
"48","regulation of cell migration","GO:BP",1.56336713019769e-05
"49","tube development","GO:BP",1.62088562648654e-05
"50","animal organ development","GO:BP",1.76160946123927e-05
"51","response to organic substance","GO:BP",1.88612823726613e-05
"52","regulation of catalytic activity","GO:BP",1.91063609190345e-05
"53","regulation of cellular component movement","GO:BP",1.97340777357381e-05
"54","localization","GO:BP",2.09661935652825e-05
"55","positive regulation of cell population proliferation","GO:BP",2.10986665342035e-05
"56","negative regulation of response to stimulus","GO:BP",2.12644787851855e-05
"57","cellular response to chemical stimulus","GO:BP",2.47810965491708e-05
"58","macromolecule metabolic process","GO:BP",2.93132781640499e-05
"59","regulation of cell motility","GO:BP",3.150772847989e-05
"60","muscle structure development","GO:BP",3.37344787252698e-05
"61","locomotion","GO:BP",3.41678479449814e-05
"62","cell motility","GO:BP",3.69414951022466e-05
"63","localization of cell","GO:BP",3.69414951022466e-05
"64","regulation of locomotion","GO:BP",3.70234291249283e-05
"65","cell development","GO:BP",3.82478324721454e-05
"66","signal transduction","GO:BP",3.92072436129545e-05
"67","regulation of cell communication","GO:BP",5.01608599441463e-05
"68","cellular component organization","GO:BP",8.41232258094932e-05
"69","modulation of chemical synaptic transmission","GO:BP",8.59420139280519e-05
"70","regulation of trans-synaptic signaling","GO:BP",9.0818515070814e-05
"71","regulation of signaling","GO:BP",9.45390910101751e-05
"72","cell division","GO:BP",9.93253366967952e-05
"73","negative regulation of catalytic activity","GO:BP",0.000101034834340663
"74","regulation of localization","GO:BP",0.000134145684038701
"75","angiogenesis","GO:BP",0.000138796866410195
"76","cellular component organization or biogenesis","GO:BP",0.000148891024034805
"77","blood vessel morphogenesis","GO:BP",0.000158782879350925
"78","response to lipid","GO:BP",0.000175930953616047
"79","response to mechanical stimulus","GO:BP",0.000176932297314196
"80","response to abiotic stimulus","GO:BP",0.000184429942925969
"81","microtubule cytoskeleton organization involved in mitosis","GO:BP",0.00020020503596583
"82","phosphorylation","GO:BP",0.000212822517991526
"83","regulation of metabolic process","GO:BP",0.000270554392890119
"84","cell surface receptor signaling pathway","GO:BP",0.000314960668070088
"85","regulation of vasculature development","GO:BP",0.000368584836562202
"86","protein metabolic process","GO:BP",0.000484208753311182
"87","regulation of cell death","GO:BP",0.000488733493464008
"88","response to stress","GO:BP",0.000537528395655068
"89","cell death","GO:BP",0.000580073987006918
"90","tube morphogenesis","GO:BP",0.000689439613249448
"91","mitotic spindle organization","GO:BP",0.000745451440171115
"92","cellular metabolic process","GO:BP",0.000752527784945019
"93","phosphorus metabolic process","GO:BP",0.00101303969163456
"94","phosphate-containing compound metabolic process","GO:BP",0.00126376803149982
"95","negative regulation of cellular component organization","GO:BP",0.00137331365132884
"96","regulation of response to stimulus","GO:BP",0.00140745749843184
"97","cellular response to organic substance","GO:BP",0.0014305145971495
"98","negative regulation of cell communication","GO:BP",0.0014523648910393
"99","negative regulation of signaling","GO:BP",0.00152472459573966
"100","regulation of apoptotic process","GO:BP",0.00154499377440643
"101","nervous system development","GO:BP",0.00165932535385364
"102","extracellular matrix organization","GO:BP",0.00170443165932072
"103","positive regulation of cell migration","GO:BP",0.00178690366711171
"104","extracellular structure organization","GO:BP",0.00179235894986354
"105","response to oxygen-containing compound","GO:BP",0.00182987719065515
"106","positive regulation of locomotion","GO:BP",0.00193076999090655
"107","positive regulation of cellular component movement","GO:BP",0.00218186486972781
"108","kidney development","GO:BP",0.00222404373288107
"109","cell junction organization","GO:BP",0.00234937491228912
"110","programmed cell death","GO:BP",0.00238554165340729
"111","regulation of programmed cell death","GO:BP",0.00240254537185616
"112","cell-cell signaling","GO:BP",0.00245410918417055
"113","neurogenesis","GO:BP",0.00260728979704749
"114","inflammatory response","GO:BP",0.00270681376340497
"115","system process","GO:BP",0.00315796257716028
"116","response to drug","GO:BP",0.00322651371846952
"117","renal system development","GO:BP",0.00329820415448828
"118","mitotic sister chromatid segregation","GO:BP",0.00337437030700232
