"","term_name","source","p_value"
"1","biological_process","GO:BP",7.59403865009567e-87
"2","cellular process","GO:BP",3.45992391428321e-75
"3","biological regulation","GO:BP",7.92510061452998e-41
"4","regulation of biological process","GO:BP",1.38709973750149e-39
"5","negative regulation of biological process","GO:BP",1.20967785209672e-36
"6","regulation of cellular process","GO:BP",5.63713283826539e-32
"7","metabolic process","GO:BP",1.11015172872758e-30
"8","negative regulation of cellular process","GO:BP",2.09332803157396e-30
"9","organic substance metabolic process","GO:BP",2.05700394875154e-29
"10","primary metabolic process","GO:BP",3.766572562836e-28
"11","response to stimulus","GO:BP",1.18920639499713e-27
"12","cellular component organization or biogenesis","GO:BP",1.10434753954601e-26
"13","cellular component organization","GO:BP",1.01599886957873e-25
"14","cellular metabolic process","GO:BP",1.1430313070757e-25
"15","localization","GO:BP",1.63956765445475e-25
"16","nitrogen compound metabolic process","GO:BP",5.58953826225087e-24
"17","positive regulation of cellular process","GO:BP",2.78530244793732e-23
"18","positive regulation of biological process","GO:BP",1.85251886072196e-22
"19","developmental process","GO:BP",9.54908355778253e-22
"20","macromolecule metabolic process","GO:BP",1.27446784110467e-21
"21","cellular response to stimulus","GO:BP",1.94661845744875e-21
"22","anatomical structure development","GO:BP",3.42562887490005e-21
"23","multicellular organismal process","GO:BP",1.22784951091607e-20
"24","system development","GO:BP",1.60221898389492e-20
"25","organonitrogen compound metabolic process","GO:BP",2.21493408920401e-20
"26","regulation of metabolic process","GO:BP",2.8285125407913e-20
"27","multicellular organism development","GO:BP",4.56722354794377e-20
"28","cell population proliferation","GO:BP",5.48338259984443e-20
"29","regulation of cell population proliferation","GO:BP",1.49205080345193e-19
"30","negative regulation of metabolic process","GO:BP",3.66011116495714e-19
"31","response to chemical","GO:BP",5.62925470461435e-19
"32","cell cycle","GO:BP",4.43012199552233e-18
"33","cellular macromolecule metabolic process","GO:BP",7.30847992839542e-18
"34","regulation of macromolecule metabolic process","GO:BP",2.09948113629437e-17
"35","negative regulation of macromolecule metabolic process","GO:BP",2.28826213107219e-17
"36","cell division","GO:BP",1.26406190483037e-16
"37","mitotic cell cycle","GO:BP",3.09474915631926e-16
"38","regulation of cell death","GO:BP",3.53949123156698e-16
"39","biosynthetic process","GO:BP",4.19619543049082e-16
"40","phosphorus metabolic process","GO:BP",5.12131235939802e-16
"41","regulation of developmental process","GO:BP",6.28887052602773e-16
"42","signaling","GO:BP",6.83482532684935e-16
"43","tissue development","GO:BP",8.86394022774751e-16
"44","phosphate-containing compound metabolic process","GO:BP",1.3660593513486e-15
"45","organic substance biosynthetic process","GO:BP",3.92384601722674e-15
"46","establishment of localization","GO:BP",3.95881795381328e-15
"47","mitotic cell cycle process","GO:BP",5.15020180025591e-15
"48","cell cycle process","GO:BP",5.5543977504984e-15
"49","cell communication","GO:BP",5.7654736722098e-15
"50","protein metabolic process","GO:BP",6.66017814295384e-15
"51","regulation of programmed cell death","GO:BP",6.95612025929174e-15
"52","cellular biosynthetic process","GO:BP",1.00396417408599e-14
"53","cellular localization","GO:BP",1.02676100021653e-14
"54","regulation of primary metabolic process","GO:BP",1.06120321616678e-14
"55","response to stress","GO:BP",1.12905573909393e-14
"56","response to organic substance","GO:BP",1.13634880527462e-14
"57","regulation of apoptotic process","GO:BP",1.22641426921842e-14
"58","regulation of molecular function","GO:BP",1.42775221945452e-14
"59","animal organ development","GO:BP",1.61034339435474e-14
"60","anatomical structure morphogenesis","GO:BP",1.66646414877549e-14
"61","regulation of cellular metabolic process","GO:BP",2.35601922200064e-14
"62","organelle organization","GO:BP",3.49782478452316e-14
"63","regulation of cellular component organization","GO:BP",5.55938074404987e-14
"64","signal transduction","GO:BP",7.26399742388896e-14
"65","cell death","GO:BP",9.64937188059193e-14
"66","cellular developmental process","GO:BP",1.65753260340816e-13
"67","regulation of cell communication","GO:BP",1.91097393028759e-13
"68","regulation of multicellular organismal process","GO:BP",2.13320334571831e-13
"69","cellular response to chemical stimulus","GO:BP",2.55147311921246e-13
"70","regulation of nitrogen compound metabolic process","GO:BP",3.45110204808022e-13
"71","regulation of signaling","GO:BP",4.43388206662391e-13
"72","regulation of catalytic activity","GO:BP",5.11599818937563e-13
"73","cell differentiation","GO:BP",6.24005204979472e-13
"74","regulation of response to stimulus","GO:BP",6.90457924753126e-13
"75","cellular protein metabolic process","GO:BP",1.02142930067754e-12
"76","negative regulation of cellular metabolic process","GO:BP",1.22338555177542e-12
"77","programmed cell death","GO:BP",1.30606857758112e-12
"78","apoptotic process","GO:BP",2.04857022605642e-12
"79","phosphorylation","GO:BP",2.52496373520236e-12
"80","cell migration","GO:BP",4.65161245995176e-12
"81","cellular nitrogen compound metabolic process","GO:BP",4.66507384536496e-12
"82","regulation of multicellular organismal development","GO:BP",8.29905812788463e-12
"83","transport","GO:BP",1.07922198852122e-11
"84","regulation of cellular protein metabolic process","GO:BP",1.37237066491245e-11
"85","movement of cell or subcellular component","GO:BP",2.03382733861934e-11
"86","regulation of transferase activity","GO:BP",2.34839801913145e-11
"87","cotranslational protein targeting to membrane","GO:BP",2.50403976662871e-11
"88","regulation of protein metabolic process","GO:BP",3.76964665130771e-11
"89","regulation of localization","GO:BP",5.33454026669008e-11
"90","negative regulation of gene expression","GO:BP",5.33884801717808e-11
"91","organic cyclic compound metabolic process","GO:BP",5.54038604447751e-11
"92","negative regulation of nitrogen compound metabolic process","GO:BP",6.47445406983496e-11
"93","negative regulation of cellular component organization","GO:BP",7.04200369379562e-11
"94","positive regulation of metabolic process","GO:BP",7.83933772638344e-11
"95","organic substance catabolic process","GO:BP",8.39437047764803e-11
