"","term_name","source","p_value"
"1","cell cycle process","GO:BP",9.06863810358487e-73
"2","mitotic cell cycle process","GO:BP",3.35657290216124e-70
"3","cell cycle","GO:BP",5.13795208643204e-68
"4","mitotic cell cycle","GO:BP",2.7055264923683e-66
"5","DNA metabolic process","GO:BP",7.83163042027051e-57
"6","chromosome organization","GO:BP",1.03322860173113e-56
"7","DNA replication","GO:BP",1.27864719019451e-48
"8","cell cycle phase transition","GO:BP",5.47304854142352e-47
"9","mitotic cell cycle phase transition","GO:BP",1.10420599523309e-46
"10","cellular response to DNA damage stimulus","GO:BP",3.23705729418454e-40
"11","DNA repair","GO:BP",1.01949113577811e-37
"12","DNA-dependent DNA replication","GO:BP",3.8336702217609e-37
"13","cell cycle DNA replication","GO:BP",2.82730204827056e-33
"14","nuclear division","GO:BP",9.830465338957e-33
"15","nuclear DNA replication","GO:BP",1.42539181881355e-32
"16","regulation of cell cycle","GO:BP",1.53174424016846e-32
"17","cell division","GO:BP",3.97664957430383e-32
"18","organelle organization","GO:BP",2.84713850010612e-31
"19","organelle fission","GO:BP",1.70666289895045e-30
"20","nucleobase-containing compound metabolic process","GO:BP",1.14819938906925e-29
"21","regulation of mitotic cell cycle","GO:BP",1.41833791593408e-29
"22","heterocycle metabolic process","GO:BP",8.51902574248559e-29
"23","cellular aromatic compound metabolic process","GO:BP",2.24875533790711e-28
"24","nucleic acid metabolic process","GO:BP",9.77283788813803e-28
"25","regulation of cell cycle process","GO:BP",9.97042217689932e-28
"26","mitotic nuclear division","GO:BP",2.52822338998447e-27
"27","organic cyclic compound metabolic process","GO:BP",4.82598857759959e-27
"28","chromosome segregation","GO:BP",5.94005432354157e-27
"29","sister chromatid segregation","GO:BP",6.32202007972509e-27
"30","G1/S transition of mitotic cell cycle","GO:BP",8.39896214161462e-26
"31","DNA recombination","GO:BP",4.41189179934806e-25
"32","cell cycle G1/S phase transition","GO:BP",1.68438692158741e-24
"33","negative regulation of cell cycle","GO:BP",2.02200692303969e-24
"34","cellular nitrogen compound metabolic process","GO:BP",2.11593852604133e-24
"35","nuclear chromosome segregation","GO:BP",3.17207958785499e-24
"36","cell cycle checkpoint","GO:BP",2.07036558299764e-23
"37","negative regulation of cell cycle process","GO:BP",3.79961434276141e-23
"38","mitotic cell cycle checkpoint","GO:BP",4.22751392669246e-23
"39","cellular response to stress","GO:BP",6.27933038962003e-23
"40","DNA strand elongation","GO:BP",2.56548197248588e-22
"41","telomere maintenance","GO:BP",3.15497807312096e-22
"42","double-strand break repair","GO:BP",4.76083773272412e-22
"43","regulation of mitotic cell cycle phase transition","GO:BP",8.26835956633684e-22
"44","regulation of cell cycle phase transition","GO:BP",1.93448036728633e-21
"45","mitotic sister chromatid segregation","GO:BP",2.80048919692932e-21
"46","telomere organization","GO:BP",2.90608037431679e-21
"47","cellular component organization or biogenesis","GO:BP",6.75896936825513e-21
"48","negative regulation of mitotic cell cycle","GO:BP",1.26125744454607e-20
"49","DNA conformation change","GO:BP",4.89168393182008e-20
"50","cellular component organization","GO:BP",4.59686941247133e-19
"51","meiotic cell cycle","GO:BP",5.13963884721348e-19
"52","negative regulation of cell cycle phase transition","GO:BP",2.75459480313911e-18
"53","negative regulation of mitotic cell cycle phase transition","GO:BP",4.52177944597209e-18
"54","telomere maintenance via semi-conservative replication","GO:BP",8.9587379777284e-18
"55","DNA integrity checkpoint","GO:BP",3.00687078665219e-17
"56","DNA strand elongation involved in DNA replication","GO:BP",2.22236462185391e-16
"57","signal transduction by p53 class mediator","GO:BP",3.59891406885622e-16
"58","double-strand break repair via homologous recombination","GO:BP",3.84725277623027e-16
"59","recombinational repair","GO:BP",5.30670303407572e-16
"60","cellular macromolecule metabolic process","GO:BP",5.87116477958188e-16
"61","cell cycle G2/M phase transition","GO:BP",9.65672189866294e-16
"62","regulation of chromosome organization","GO:BP",1.05677033949975e-15
"63","G2/M transition of mitotic cell cycle","GO:BP",1.95371189505104e-15
"64","nitrogen compound metabolic process","GO:BP",2.00297028447687e-15
"65","DNA damage checkpoint","GO:BP",2.1200018120508e-15
"66","meiotic cell cycle process","GO:BP",3.10107931533752e-15
"67","DNA geometric change","GO:BP",4.41174371870161e-15
"68","nucleotide-excision repair, DNA gap filling","GO:BP",5.73794051082418e-15
"69","regulation of chromosome segregation","GO:BP",8.8649891629962e-15
"70","spindle organization","GO:BP",1.16615752046843e-14
"71","microtubule cytoskeleton organization involved in mitosis","GO:BP",1.51894390663985e-14
"72","macromolecule metabolic process","GO:BP",1.54649965991429e-14
"73","DNA replication initiation","GO:BP",3.00036513886046e-14
"74","positive regulation of cell cycle","GO:BP",1.02090094248651e-13
"75","microtubule cytoskeleton organization","GO:BP",1.11086496575135e-13
"76","mitotic DNA integrity checkpoint","GO:BP",3.21281821485791e-13
