goId,goName,countDE,countAll,pv_fdr
"GO:0003009","skeletal muscle contraction",43,43,1e-24
"GO:0050879","multicellular organismal movement",43,55,1e-24
"GO:0050881","musculoskeletal movement",43,55,1e-24
"GO:0006941","striated muscle contraction",43,176,1e-24
"GO:0006936","muscle contraction",43,359,1e-24
"GO:0003012","muscle system process",43,461,1e-24
"GO:0003008","system process",43,2257,1e-24
"GO:0014819","regulation of skeletal muscle contraction",14,14,1e-24
"GO:0006937","regulation of muscle contraction",23,170,1e-24
"GO:0090257","regulation of muscle system process",23,251,1e-24
"GO:0006942","regulation of striated muscle contraction",18,96,1e-24
"GO:0030048","actin filament-based movement",18,151,1e-24
"GO:0070252","actin-mediated cell contraction",17,121,1e-24
"GO:0044057","regulation of system process",25,620,2.47371428571429e-24
"GO:0030049","muscle filament sliding",13,39,4.9603125e-24
"GO:0033275","actin-myosin filament sliding",13,39,4.9603125e-24
"GO:0061061","muscle structure development",22,674,6.02664705882353e-19
"GO:0060047","heart contraction",17,284,1.924e-18
"GO:0003015","heart process",17,294,3.26573684210526e-18
"GO:0060048","cardiac muscle contraction",14,138,3.6075e-18
"GO:1901019","regulation of calcium ion transmembrane transporter activity",11,88,4.74128571428571e-15
"GO:0032501","multicellular organismal process",43,7931,6.0125e-15
"GO:0003010","voluntary skeletal muscle contraction",6,6,6.0125e-15
"GO:0014721","twitch skeletal muscle contraction",6,6,6.0125e-15
"GO:0007517","muscle organ development",16,402,1.50072e-14
"GO:0008015","blood circulation",17,550,8.88e-14
"GO:0030029","actin filament-based process",19,802,1.443e-13
"GO:0003013","circulatory system process",17,571,1.49453571428571e-13
"GO:0014883","transition between fast and slow fiber",6,9,4.37875862068966e-13
"GO:0008016","regulation of heart contraction",13,253,4.81e-13
"GO:1903169","regulation of calcium ion transmembrane transport",11,150,1.34990322580645e-12
"GO:0014722","regulation of skeletal muscle contraction by calcium ion signaling",5,5,2.29978125e-12
"GO:0070838","divalent metal ion transport",15,469,2.886e-12
"GO:0072511","divalent inorganic cation transport",15,476,3.43773529411765e-12
"GO:1903522","regulation of blood circulation",13,300,3.6075e-12
"GO:0014706","striated muscle tissue development",14,384,3.6075e-12
"GO:0010959","regulation of metal ion transport",14,392,4.68e-12
"GO:0070588","calcium ion transmembrane transport",13,310,5.31631578947368e-12
"GO:0060537","muscle tissue development",14,404,6.66e-12
"GO:0006812","cation transport",20,1172,6.85425e-12
"GO:0055001","muscle cell development",11,179,7.3909756097561e-12
"GO:0051924","regulation of calcium ion transport",12,251,9.96357142857143e-12
"GO:0006816","calcium ion transport",14,424,1.17453488372093e-11
"GO:0032412","regulation of ion transmembrane transporter activity",12,261,1.50859090909091e-11
"GO:0014733","regulation of skeletal muscle adaptation",6,15,1.66258695652174e-11
"GO:1904062","regulation of cation transmembrane transport",13,345,1.66258695652174e-11
"GO:0022898","regulation of transmembrane transporter activity",12,272,2.30265957446809e-11
"GO:0043270","positive regulation of ion transport",12,283,3.6075e-11
"GO:0032409","regulation of transporter activity",12,286,4.12285714285714e-11
"GO:0043269","regulation of ion transport",16,704,4.329e-11
"GO:0051146","striated muscle cell differentiation",12,292,4.81e-11
"GO:0034220","ion transmembrane transport",19,1156,5.2725e-11
"GO:0042692","muscle cell differentiation",13,385,5.61166666666667e-11
"GO:0034765","regulation of ion transmembrane transport",14,485,5.61166666666667e-11
"GO:1901021","positive regulation of calcium ion transmembrane transporter activity",7,39,7.87090909090909e-11
"GO:0055002","striated muscle cell development",10,165,8.76107142857143e-11
"GO:0070296","sarcoplasmic reticulum calcium ion transport",7,41,1.11389473684211e-10
"GO:0030001","metal ion transport",17,905,1.26884482758621e-10
"GO:0043500","muscle adaptation",9,121,1.70755e-10
"GO:0051928","positive regulation of calcium ion transport",9,121,1.70755e-10
"GO:0055117","regulation of cardiac muscle contraction",8,81,2.60213114754098e-10
"GO:0006811","ion transport",21,1690,3.95661290322581e-10
"GO:0034762","regulation of transmembrane transport",14,572,4.35190476190476e-10
"GO:0043501","skeletal muscle adaptation",6,26,5.18578125e-10
"GO:0014809","regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion",4,4,5.46590909090909e-10
"GO:0031444","slow-twitch skeletal muscle fiber contraction",4,4,5.46590909090909e-10
"GO:0014888","striated muscle adaptation",7,54,7.32268656716418e-10
"GO:1904064","positive regulation of cation transmembrane transport",9,146,8.27602941176471e-10
"GO:0098655","cation transmembrane transport",16,878,8.57434782608696e-10
"GO:0043502","regulation of muscle adaptation",8,98,1.13378571428571e-9
"GO:0098662","inorganic cation transmembrane transport",15,765,1.46332394366197e-9
"GO:0034767","positive regulation of ion transmembrane transport",9,160,1.78370833333333e-9
"GO:0032414","positive regulation of ion transmembrane transporter activity",8,105,1.89764383561644e-9
"GO:0051239","regulation of multicellular organismal process",27,3382,2.145e-9
"GO:0032411","positive regulation of transporter activity",8,113,3.2708e-9
"GO:1904427","positive regulation of calcium ion transmembrane transport",7,71,4.74671052631579e-9
"GO:2001257","regulation of cation channel activity",9,181,5.05987012987013e-9
"GO:0098660","inorganic ion transmembrane transport",15,857,6.475e-9
"GO:0055085","transmembrane transport",19,1595,9.31556962025316e-9
"GO:0045214","sarcomere organization",6,44,1.2445875e-8
"GO:0035637","multicellular organismal signaling",9,206,1.49644444444444e-8
"GO:0034764","positive regulation of transmembrane transport",9,209,1.68936585365854e-8
