goId,goName,countDE,countAll,pv_fdr
"GO:0030016","myofibril",17,226,6.588e-20
"GO:0043292","contractile fiber",17,237,7.686e-20
"GO:0005861","troponin complex",8,9,2.135e-19
"GO:0030017","sarcomere",16,206,2.135e-19
"GO:0005865","striated muscle thin filament",8,22,4.7824e-15
"GO:0099512","supramolecular fiber",21,985,9.35333333333333e-15
"GO:0099081","supramolecular polymer",21,993,9.41142857142857e-15
"GO:0036379","myofilament",8,26,1.464e-14
"GO:0099080","supramolecular complex",21,1308,1.76222222222222e-12
"GO:0016528","sarcoplasm",9,80,2.928e-12
"GO:0042383","sarcolemma",10,135,7.32e-12
"GO:0015629","actin cytoskeleton",14,503,4.67666666666667e-11
"GO:0016529","sarcoplasmic reticulum",8,71,5.63076923076923e-11
"GO:0033017","sarcoplasmic reticulum membrane",6,40,5.57714285714286e-9
"GO:0016460","myosin II complex",4,20,0.00000162666666666667
"GO:0030315","T-tubule",5,54,0.0000019825
"GO:0032982","myosin filament",4,22,0.00000215294117647059
"GO:0030018","Z disc",6,128,0.00000528666666666667
"GO:0005856","cytoskeleton",18,2262,0.00000744842105263158
"GO:0031674","I band",6,140,0.000008052
"GO:0031594","neuromuscular junction",5,76,0.00000836571428571428
"GO:0034702","ion channel complex",7,299,0.0000454727272727273
"GO:0005859","muscle myosin complex",3,15,0.0000498608695652174
"GO:0005892","acetylcholine-gated channel complex",3,16,0.00005795
"GO:1902495","transmembrane transporter complex",7,322,0.000065392
"GO:1990351","transporter complex",7,330,0.0000688428571428571
"GO:0005737","cytoplasm",39,11523,0.0000688428571428571
"GO:0016459","myosin complex",4,57,0.0000688428571428571
"GO:0043034","costamere",3,19,0.0000832965517241379
"GO:1990584","cardiac Troponin complex",2,3,0.000122
"GO:0098797","plasma membrane protein complex",9,687,0.000133806451612903
"GO:0009898","cytoplasmic side of plasma membrane",5,164,0.000244
"GO:0098562","cytoplasmic side of membrane",5,188,0.000443636363636364
"GO:0005829","cytosol",24,5194,0.000444941176470588
"GO:0031234","extrinsic component of cytoplasmic side of plasma membrane",4,99,0.000488
"GO:0099055","integral component of postsynaptic membrane",4,117,0.000881111111111111
"GO:0032991","protein-containing complex",24,5440,0.000923243243243243
"GO:0045202","synapse",11,1357,0.000963157894736842
"GO:0098936","intrinsic component of postsynaptic membrane",4,122,0.00100102564102564
"GO:0031095","platelet dense tubular network membrane",2,9,0.001037
"GO:0031094","platelet dense tubular network",2,11,0.00160682926829268
"GO:0099699","integral component of synaptic membrane",4,154,0.00220761904761905
"GO:0045211","postsynaptic membrane",5,280,0.00221302325581395
"GO:0098796","membrane protein complex",10,1291,0.00249422222222222
"GO:0030054","cell junction",13,2095,0.00249422222222222
"GO:0098794","postsynapse",7,639,0.00259913043478261
"GO:0099240","intrinsic component of synaptic membrane",4,166,0.00264765957446809
"GO:0019897","extrinsic component of plasma membrane",4,172,0.00294833333333333
"GO:0099060","integral component of postsynaptic specialization membrane",3,74,0.00303755102040816
"GO:0098948","intrinsic component of postsynaptic specialization membrane",3,77,0.00330117647058823
"GO:0043005","neuron projection",10,1363,0.00330117647058823
"GO:0016010","dystrophin-associated glycoprotein complex",2,19,0.00377509433962264
"GO:0090665","glycoprotein complex",2,19,0.00377509433962264
"GO:0043232","intracellular non-membrane-bounded organelle",23,5674,0.00384074074074074
"GO:0043228","non-membrane-bounded organelle",23,5683,0.00385963636363636
"GO:0005783","endoplasmic reticulum",10,1430,0.00435714285714286
"GO:0099572","postsynaptic specialization",5,360,0.00513684210526316
"GO:0034703","cation channel complex",4,221,0.00622620689655172
"GO:0097060","synaptic membrane",5,387,0.00686508474576271
"GO:0043226","organelle",40,14263,0.006954
"GO:0014804","terminal cisterna lumen",1,1,0.00881548387096774
"GO:0061831","apical ectoplasmic specialization",1,1,0.00881548387096774
"GO:0099634","postsynaptic specialization membrane",3,118,0.00902412698412699
"GO:0005790","smooth endoplasmic reticulum",2,34,0.00998875
"GO:0120025","plasma membrane bounded cell projection",12,2219,0.0101729230769231
"GO:0042995","cell projection",12,2319,0.0144551515151515
"GO:0060053","neurofilament cytoskeleton",1,2,0.0162788059701493
"GO:0098802","plasma membrane signaling receptor complex",4,302,0.0163264705882353
"GO:0019898","extrinsic component of membrane",4,306,0.0168678260869565
"GO:0005886","plasma membrane",21,5658,0.0197291428571429
"GO:0014704","intercalated disc",2,51,0.0200011267605634
"GO:0097513","myosin II filament",1,3,0.0227055555555556
"GO:0043229","intracellular organelle",37,13146,0.0231140540540541
"GO:0043197","dendritic spine",3,175,0.0231140540540541
"GO:0044309","neuron spine",3,177,0.023385974025974
"GO:0071944","cell periphery",21,5773,0.023385974025974
"GO:0005622","intracellular",40,14938,0.023385974025974
"GO:0014802","terminal cisterna",1,4,0.0275503797468354
"GO:0016013","syntrophin complex",1,4,0.0275503797468354
"GO:0005887","integral component of plasma membrane",9,1647,0.029036
"GO:0034704","calcium channel complex",2,67,0.0297017283950617
"GO:0070161","anchoring junction",6,834,0.0299402352941176
"GO:0005789","endoplasmic reticulum membrane",7,1100,0.0299402352941176
"GO:0001725","stress fiber",2,69,0.0299402352941176
"GO:0097517","contractile actin filament bundle",2,69,0.0299402352941176
"GO:0098536","deuterosome",1,5,0.031606511627907
"GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",7,1122,0.0323931034482759
"GO:0098552","side of membrane",5,616,0.0324963636363636
"GO:0044291","cell-cell contact zone",2,74,0.0327069662921348
"GO:0032432","actin filament bundle",2,76,0.0340244444444444
"GO:0031226","intrinsic component of plasma membrane",9,1727,0.0342672527472527
"GO:0097512","cardiac myofibril",1,6,0.0354065217391304
"GO:0042641","actomyosin",2,79,0.0354455913978495
"GO:0008385","IkappaB kinase complex",1,9,0.0512656842105263
"GO:0033018","sarcoplasmic reticulum lumen",1,9,0.0512656842105263
"GO:0005911","cell-cell junction",4,493,0.0606016326530612
"GO:0035631","CD40 receptor complex",1,11,0.0606016326530612
"GO:0097470","ribbon synapse",1,11,0.0606016326530612
"GO:0043235","receptor complex",4,513,0.0671616161616162
"GO:0005884","actin filament",2,117,0.0688324
"GO:0001518","voltage-gated sodium channel complex",1,17,0.0898299029126214
"GO:0045121","membrane raft",3,331,0.0898299029126214
"GO:0098857","membrane microdomain",3,332,0.0898299029126214
"GO:0031143","pseudopodium",1,18,0.0909935849056604
"GO:0031527","filopodium membrane",1,18,0.0909935849056604
"GO:0099524","postsynaptic cytosol",1,18,0.0909935849056604
"GO:0098588","bounding membrane of organelle",9,2115,0.0943014814814815
"GO:0098589","membrane region",3,345,0.0943014814814815
"GO:0044306","neuron projection terminus",2,149,0.0981148623853211
"GO:0031307","integral component of mitochondrial outer membrane",1,23,0.111441454545455
"GO:0031306","intrinsic component of mitochondrial outer membrane",1,24,0.11511963963964
"GO:0099522","region of cytosol",1,25,0.118372389380531
"GO:0030424","axon",4,643,0.118372389380531
"GO:0098590","plasma membrane region",6,1235,0.118661052631579
"GO:0034706","sodium channel complex",1,26,0.119076206896552
"GO:0098827","endoplasmic reticulum subcompartment",1,26,0.119076206896552
"GO:0005640","nuclear outer membrane",1,28,0.126859145299145
"GO:0005741","mitochondrial outer membrane",2,192,0.14152
"GO:0042788","polysomal ribosome",1,32,0.14152
"GO:0030055","cell-substrate junction",3,426,0.14152
"GO:0016235","aggresome",1,39,0.168823801652893
"GO:0031968","organelle outer membrane",2,218,0.17088
"GO:0019867","outer membrane",2,220,0.171350967741936
"GO:0099513","polymeric cytoskeletal fiber",4,754,0.171350967741936
"GO:0005891","voltage-gated calcium channel complex",1,43,0.17940832
