pName,countDE,countAll,pv_fdr,pAcc_fdr,pComb_fdr,pORA_fdr
"Calcium signaling pathway",6,200,0.0000358982008093862,0.304847576211894,0.0000308801727392569,0.00000164610542130406
"Adrenergic signaling in cardiomyocytes",6,150,0.0000358982008093862,0.327109172686384,0.0000308801727392569,4.46776681270477e-7
"Dilated cardiomyopathy",7,95,0.0000472285900790453,0.397220744466476,0.0000406267441540174,7.09985434644658e-10
"Arrhythmogenic right ventricular cardiomyopathy",5,77,0.0000472285900790453,0.397220744466476,0.0000406267441540174,5.2132446227436e-7
"Cardiac muscle contraction",6,83,0.000120192097473563,,,1.66384937207115e-8
"Hypertrophic cardiomyopathy",7,90,0.000120192097473563,,,7.09985434644658e-10
"cGMP-PKG signaling pathway",4,167,0.000581426585875929,0.397220744466476,0.000700212662560259,0.000463207827592656
"Fluid shear stress and atherosclerosis",4,138,0.00123367988920465,0.681197862607158,0.00141497334962541,0.000250889252928047
"Antifolate resistance",1,31,0.00214512896024436,0.0079960019990005,0.00237249285925644,0.115343845907129
"Thyroid hormone signaling pathway",3,121,0.00557929071355176,0.397220744466476,0.00599923732639974,0.00372980798544125
"cAMP signaling pathway",3,216,0.00712409266261985,0.327109172686384,0.00749008547563378,0.0150639315032252
"Chemokine signaling pathway",1,190,0.0074726142160637,0.0079960019990005,0.00759679255592009,0.245242213758053
"Focal adhesion",1,201,0.0074726142160637,0.0079960019990005,0.00759679255592009,0.247860672696402
"Prion disease",1,260,0.00850398815857232,0.0079960019990005,0.00853446840286828,0.271823993035417
"Olfactory transduction",1,440,0.0116939803983136,0.0079960019990005,0.0116069284350507,0.400440845753801
"Viral myocarditis",2,57,0.0155749324629033,0.397220744466476,0.0153117615610724,0.0150639315032252
"Platinum drug resistance",2,72,0.0192484522400797,0.397220744466476,0.0187655161623716,0.0204560470396943
"Pancreatic secretion",2,102,0.0221307355444461,0.397220744466476,0.021416840849464,0.0313781771651834
"Neuroactive ligand-receptor interaction",3,341,0.0331283664292445,0.397220744466476,0.0323842867818229,0.0337840294568854
"Mineral absorption",1,59,0.0331283664292445,0.186573379976678,0.0323842867818229,0.190756535987149
"Glutathione metabolism",2,56,0.0331283664292445,,,0.0150639315032252
"Drug metabolism - cytochrome P450",2,69,0.045259523393487,,,0.0202634181098711
"Oxytocin signaling pathway",2,154,0.0478052621911723,0.397220744466476,0.051506560867269,0.054106923927177
"Metabolism of xenobiotics by cytochrome P450",2,75,0.0478052621911723,,,0.0206833881626466
"Drug metabolism - other enzymes",2,79,0.0501082890532461,,,0.0214669359224277
"Chemical carcinogenesis",2,82,0.0513045333316292,,,0.0217310059201008
"Hepatocellular carcinoma",2,167,0.0530879374226183,0.397220744466476,0.0616505079746536,0.0604420372954085
"Cytosolic DNA-sensing pathway",1,62,0.0692127237916335,0.327109172686384,0.0793837692233789,0.190756535987149
"Pathways in cancer",3,530,0.0850413365385908,0.417568993281137,0.0964300590271411,0.0801956838623743
"Spinocerebellar ataxia",2,143,0.0878020784722814,0.606896551724138,0.098515656069881,0.0491353538403674
"NOD-like receptor signaling pathway",1,180,0.103491558450731,0.304847576211894,0.114479051611887,0.236790694431278
"Alzheimer disease",3,356,0.103970232420952,0.869130652065272,0.114479051611887,0.0361048569484463
"Pathogenic Escherichia coli infection",2,196,0.110792956504191,0.516408462435449,0.120965014545519,0.078355995394787
"Endocrine and other factor-regulated calcium reabsorption",1,53,0.115421535148845,0.397220744466476,0.125028504820732,0.181829793520171
"FoxO signaling pathway",2,130,0.141411217996384,0.982293663294935,0.152055073114391,0.0429097660368347
"Pancreatic cancer",1,76,0.146802261447179,0.397220744466476,0.156763260277299,0.190756535987149
"Regulation of actin cytoskeleton",1,218,0.157564449480501,0.346493419956688,0.167165150703327,0.253227058652287
"IL-17 signaling pathway",1,94,0.159215952542676,0.397220744466476,0.167812434513605,0.190956613449992
"NF-kappa B signaling pathway",1,102,0.160067245228362,0.397220744466476,0.167812434513605,0.190956613449992
"B cell receptor signaling pathway",1,79,0.171479432168237,0.406046976511744,0.178241515565045,0.1908416947145
"Apelin signaling pathway",1,137,0.172671468203637,0.397220744466476,0.178241515565045,0.203703570715213
"Epithelial cell signaling in Helicobacter pylori infection",1,70,0.172671468203637,0.422491456974216,0.178241515565045,0.190756535987149
"RIG-I-like receptor signaling pathway",1,70,0.177397123280446,0.422645819947169,0.184071380270511,0.190756535987149
"Cholinergic synapse",1,113,0.177397123280446,0.397220744466476,0.184071380270511,0.192320505429842
"Renin secretion",1,69,0.177397123280446,0.424903827156189,0.184071380270511,0.190756535987149
"Galactose metabolism",1,31,0.177397123280446,,,0.115343845907129
"Acute myeloid leukemia",1,67,0.177675476214183,0.436226331278805,0.184190733544342,0.190756535987149
"Bacterial invasion of epithelial cells",1,77,0.17991745551378,0.422645819947169,0.18590640960391,0.190756535987149
"Osteoclast differentiation",1,125,0.17991745551378,0.397220744466476,0.186111901774513,0.202743793808911
"Pathways of neurodegeneration - multiple diseases",2,462,0.17991745551378,0.422645819947169,0.187676742234516,0.190956613449992
"Starch and sucrose metabolism",1,36,0.17991745551378,,,0.128971414272579
"T cell receptor signaling pathway",1,103,0.181538714060072,0.417568993281137,0.188847474491097,0.190956613449992
"Gastric acid secretion",1,76,0.209348726151787,0.516408462435449,0.216920478710552,0.190756535987149
"AMPK signaling pathway",1,120,0.218797164705145,0.422645819947169,0.225855137760149,0.198417981611989
"TNF signaling pathway",1,112,0.225307893942788,0.436226331278805,0.231733224251582,0.192320505429842
"Vascular smooth muscle contraction",1,133,0.226932362224063,0.422645819947169,0.232591393906155,0.203703570715213
"Proteoglycans in cancer",1,205,0.25402155356672,0.417568993281137,0.258648235363086,0.249016345470024
"MAPK signaling pathway",1,294,0.25402155356672,0.397220744466476,0.258648235363086,0.298484470181078
"Human immunodeficiency virus 1 infection",1,211,0.261786358541855,0.417568993281137,0.264932431161902,0.252246211846442
"Th1 and Th2 cell differentiation",1,90,0.261786358541855,0.643599768743079,0.264932431161902,0.190956613449992
"Herpes simplex virus 1 infection",1,496,0.268828700877275,0.397220744466476,0.270519447423673,0.433924695222802
"Glutamatergic synapse",1,114,0.268828700877275,0.579302185641873,0.270519447423673,0.192320505429842
"PD-L1 expression and PD-1 checkpoint pathway in cancer",1,89,0.30064125904293,0.772704556812503,0.301718826279643,0.190956613449992
"Tight junction",1,169,0.308801076181919,0.516408462435449,0.309468535199304,0.226751278263475
"Protein digestion and absorption",1,103,0.308801076181919,,,0.190956613449992
"Adipocytokine signaling pathway",1,69,0.318464649932219,0.874083506192109,0.322009153676041,0.190756535987149
"Chronic myeloid leukemia",1,76,0.318464649932219,0.869130652065272,0.322009153676041,0.190756535987149
"Lysosome",1,128,0.342918273148641,,,0.203703570715213
"Prostate cancer",1,97,0.347914111465671,0.869130652065272,0.356041137428718,0.190956613449992
"Th17 cell differentiation",1,105,0.352241269138704,0.869130652065272,0.358553836685993,0.190956613449992
"Chagas disease",1,101,0.352241269138704,0.869130652065272,0.358553836685993,0.190956613449992
"mTOR signaling pathway",1,154,0.363902922734427,0.744072408240324,0.368976754546017,0.220563823850965
"Toll-like receptor signaling pathway",1,102,0.366024940509649,0.869130652065272,0.368976754546017,0.190956613449992
"Hepatitis B",1,162,0.366024940509649,0.744072408240324,0.368976754546017,0.22441778191622
"Small cell lung cancer",1,92,0.366024940509649,0.90060233041374,0.368976754546017,0.190956613449992
"C-type lectin receptor signaling pathway",1,104,0.373153350510175,0.874083506192109,0.375313874458538,0.190956613449992
"Apoptosis",1,136,0.375082958276969,0.869130652065272,0.375624724706835,0.203703570715213
"Yersinia infection",1,136,0.375082958276969,0.869130652065272,0.375624724706835,0.203703570715213
"Toxoplasmosis",1,110,0.398623079197201,0.912790358067719,0.398370945687272,0.192320505429842
"Measles",1,139,0.399529223417611,0.869130652065272,0.398470785393908,0.203703570715213
"Metabolic pathways",3,1476,0.425069322042855,,,0.261334756897412
"Hepatitis C",1,157,0.431726362137286,0.870993074891126,0.440156796499165,0.221241660555893
"Endocytosis",1,252,0.431726362137286,,,0.267626011427907
"Ras signaling pathway",1,232,0.447585985748155,0.824587706146927,0.455516859643737,0.261031714386303
"Kaposi sarcoma-associated herpesvirus infection",1,193,0.458347056760207,0.869130652065272,0.46449075718224,0.245396125745895
"Influenza A",1,169,0.458347056760207,0.889285087186137,0.46449075718224,0.226751278263475
"Shigellosis",1,244,0.469718017358746,0.869130652065272,0.475041761234652,0.266360913164972
"Human T-cell leukemia virus 1 infection",1,217,0.503402095007705,0.874083506192109,0.508093297326774,0.253227058652287
"Salmonella infection",1,249,0.512695408479182,0.869130652065272,0.51646736111655,0.267626011427907
"Human cytomegalovirus infection",1,223,0.526680863373397,0.90060233041374,0.529549255172246,0.2551914558094
"Epstein-Barr virus infection",1,199,0.53775254937554,0.996501749125437,0.539679977867926,0.247860672696402
"Human papillomavirus infection",1,331,0.551874893138539,0.869130652065272,0.5528513969647,0.325896996945263
"PI3K-Akt signaling pathway",1,352,0.686635622092683,0.982293663294935,0.686635622092683,0.33901139860345
