goId,goName,countDE,countAll,pv_fdr
"GO:0022402","cell cycle process",116,1431,1e-24
"GO:1903047","mitotic cell cycle process",98,897,1e-24
"GO:0007049","cell cycle",124,1890,1e-24
"GO:0000278","mitotic cell cycle",100,1048,1e-24
"GO:0051276","chromosome organization",98,1249,1e-24
"GO:0006259","DNA metabolic process",88,943,1e-24
"GO:0006260","DNA replication",54,274,1e-24
"GO:0044770","cell cycle phase transition",70,640,1e-24
"GO:0044772","mitotic cell cycle phase transition",67,595,1e-24
"GO:0006974","cellular response to DNA damage stimulus",72,866,1e-24
"GO:0006281","DNA repair",59,563,1e-24
"GO:0006261","DNA-dependent DNA replication",38,152,1e-24
"GO:0000280","nuclear division",49,423,1e-24
"GO:0044786","cell cycle DNA replication",27,66,1e-24
"GO:0006996","organelle organization",125,4044,1e-24
"GO:0051726","regulation of cell cycle",73,1220,1e-24
"GO:0033260","nuclear DNA replication",26,61,1e-24
"GO:0051301","cell division",54,603,1e-24
"GO:0048285","organelle fission",49,471,1e-24
"GO:0010564","regulation of cell cycle process",57,784,1e-24
"GO:0007346","regulation of mitotic cell cycle",53,664,1e-24
"GO:0006139","nucleobase-containing compound metabolic process",145,6126,1e-24
"GO:0140014","mitotic nuclear division",38,281,1e-24
"GO:0007059","chromosome segregation",40,337,1e-24
"GO:0046483","heterocycle metabolic process",146,6301,1e-24
"GO:0006725","cellular aromatic compound metabolic process",146,6346,1e-24
"GO:0000819","sister chromatid segregation",33,199,1e-24
"GO:0000082","G1/S transition of mitotic cell cycle",37,281,1e-24
"GO:0090304","nucleic acid metabolic process",136,5602,1e-24
"GO:0006310","DNA recombination",37,295,1e-24
"GO:1901360","organic cyclic compound metabolic process",147,6580,1e-24
"GO:0045786","negative regulation of cell cycle",49,631,1e-24
"GO:0044843","cell cycle G1/S phase transition",37,304,1e-24
"GO:0033554","cellular response to stress",83,2093,1e-24
"GO:0098813","nuclear chromosome segregation",35,275,1e-24
"GO:0010948","negative regulation of cell cycle process",38,353,1e-24
"GO:0000075","cell cycle checkpoint",32,219,1e-24
"GO:0034641","cellular nitrogen compound metabolic process",147,6898,2.00592105263158e-24
"GO:0000723","telomere maintenance",28,161,3.51807692307692e-24
"GO:0006302","double-strand break repair",33,262,4.954625e-24
"GO:0071840","cellular component organization or biogenesis",144,6685,5.42870731707317e-24
"GO:0022616","DNA strand elongation",16,26,5.44464285714286e-24
"GO:1901990","regulation of mitotic cell cycle phase transition",40,441,6.098e-24
"GO:0007093","mitotic cell cycle checkpoint",28,166,7.6225e-24
"GO:1901987","regulation of cell cycle phase transition",41,479,1.28735555555556e-23
"GO:0032200","telomere organization",28,172,2.05476086956522e-23
"GO:0045930","negative regulation of mitotic cell cycle",35,335,7.78468085106383e-23
"GO:0000070","mitotic sister chromatid segregation",27,164,1.07985416666667e-22
"GO:0071103","DNA conformation change",35,346,2.17785714285714e-22
"GO:0016043","cellular component organization",139,6494,3.47586e-22
"GO:0051321","meiotic cell cycle",30,254,5.32080392156863e-21
"GO:0044260","cellular macromolecule metabolic process",156,8343,1.17269230769231e-20
"GO:1901988","negative regulation of cell cycle phase transition",30,264,1.61079245283019e-20
"GO:1901991","negative regulation of mitotic cell cycle phase transition",29,245,2.5972962962963e-20
"GO:0032201","telomere maintenance via semi-conservative replication",14,27,1.55221818181818e-19
"GO:0000724","double-strand break repair via homologous recombination",23,138,2.12341071428571e-19
"GO:0000725","recombinational repair",23,140,2.94201754385965e-19
"GO:0031570","DNA integrity checkpoint",24,161,4.25808620689655e-19
"GO:0006271","DNA strand elongation involved in DNA replication",12,19,3.82416949152542e-18
"GO:0072331","signal transduction by p53 class mediator",28,268,3.86206666666667e-18
"GO:0033044","regulation of chromosome organization",31,360,1.04965573770492e-17
"GO:1902850","microtubule cytoskeleton organization involved in mitosis",22,146,1.42614516129032e-17
"GO:0000077","DNA damage checkpoint",22,151,2.95220634920635e-17
"GO:1903046","meiotic cell cycle process",24,193,3.096640625e-17
"GO:0006807","nitrogen compound metabolic process",170,10491,3.70570769230769e-17
"GO:0032392","DNA geometric change",20,116,3.74195454545455e-17
"GO:0044839","cell cycle G2/M phase transition",27,272,6.3710447761194e-17
"GO:0006270","DNA replication initiation",14,39,8.51926470588235e-17
"GO:0051983","regulation of chromosome segregation",19,107,1.54659420289855e-16
"GO:0009059","macromolecule biosynthetic process",112,5063,1.61161428571429e-16
"GO:0006297","nucleotide-excision repair, DNA gap filling",12,24,1.63185915492958e-16
"GO:0034645","cellular macromolecule biosynthetic process",110,4917,1.82093055555556e-16
"GO:0000226","microtubule cytoskeleton organization",37,611,2.84016438356164e-16
"GO:0071824","protein-DNA complex subunit organization",26,273,7.00445945945946e-16
"GO:0007051","spindle organization",23,203,1.2196e-15
"GO:0000086","G2/M transition of mitotic cell cycle",25,253,1.24367105263158e-15
"GO:0007052","mitotic spindle organization",19,120,1.30671428571429e-15
"GO:0044774","mitotic DNA integrity checkpoint",18,108,3.51807692307692e-15
"GO:0071897","DNA biosynthetic process",22,195,6.56113924050633e-15
"GO:0045787","positive regulation of cell cycle",29,394,8.765875e-15
"GO:1901576","organic substance biosynthetic process",122,6168,9.78691358024691e-15
"GO:0043170","macromolecule metabolic process",166,10514,1.26421951219512e-14
"GO:0044773","mitotic DNA damage checkpoint",17,101,2.05715662650602e-14
"GO:0044249","cellular biosynthetic process",120,6085,3.12159523809524e-14
"GO:0009058","biosynthetic process",122,6267,3.58705882352941e-14
"GO:0044238","primary metabolic process",169,10984,4.96348837209302e-14
"GO:1902749","regulation of cell cycle G2/M phase transition",22,216,5.25689655172414e-14
"GO:0034654","nucleobase-containing compound biosynthetic process",95,4149,5.54363636363636e-14
"GO:0032508","DNA duplex unwinding",17,108,6.16651685393258e-14
"GO:2001251","negative regulation of chromosome organization",19,148,6.29684782608696e-14
"GO:0090068","positive regulation of cell cycle process",25,301,6.29684782608696e-14
"GO:0044237","cellular metabolic process",171,11250,6.29684782608696e-14
"GO:0060249","anatomical structure homeostasis",30,469,9.50763440860215e-14
"GO:0006298","mismatch repair",12,38,1.07039361702128e-13
"GO:0051304","chromosome separation",16,94,1.09122105263158e-13
"GO:0007062","sister chromatid cohesion",14,63,1.17513541666667e-13
"GO:0140013","meiotic nuclear division",20,177,1.25731958762887e-13
"GO:0018130","heterocycle biosynthetic process",95,4211,1.33782653061224e-13
"GO:0019438","aromatic compound biosynthetic process",95,4222,1.57069696969697e-13
"GO:1901362","organic cyclic compound biosynthetic process",97,4375,1.64646e-13
"GO:0065004","protein-DNA complex assembly",22,234,2.38486138613861e-13
"GO:0007017","microtubule-based process",38,810,2.92943137254902e-13
"GO:0006950","response to stress",93,4149,4.73631067961165e-13
"GO:0061982","meiosis I cell cycle process",17,124,5.86346153846154e-13
"GO:0044085","cellular component biogenesis",80,3268,1.01633333333333e-12
"GO:0010389","regulation of G2/M transition of mitotic cell cycle",20,199,1.12180188679245e-12
"GO:0010965","regulation of mitotic sister chromatid separation",13,61,1.88069158878505e-12
"GO:1901796","regulation of signal transduction by p53 class mediator",19,180,2.00443518518519e-12
"GO:0051306","mitotic sister chromatid separation",13,64,3.63642201834862e-12
"GO:0042769","DNA damage response, detection of DNA damage",11,38,4.15772727272727e-12
"GO:0051052","regulation of DNA metabolic process",25,365,4.35571428571429e-12
"GO:0007127","meiosis I",16,119,4.35571428571429e-12
"GO:0007088","regulation of mitotic nuclear division",18,165,5.08166666666667e-12
"GO:0051783","regulation of nuclear division",19,190,5.08166666666667e-12
"GO:1905818","regulation of chromosome separation",13,66,5.30260869565217e-12
"GO:2000134","negative regulation of G1/S transition of mitotic cell cycle",16,121,5.51974137931034e-12
"GO:0090305","nucleic acid phosphodiester bond hydrolysis",23,308,6.71813559322034e-12
"GO:0033045","regulation of sister chromatid segregation",14,84,6.71813559322034e-12
"GO:0006301","postreplication repair",12,53,7.43033613445378e-12
"GO:1902807","negative regulation of cell cycle G1/S phase transition",16,127,1.143375e-11
"GO:0071704","organic substance metabolic process",173,11997,1.31031404958678e-11
"GO:0033047","regulation of mitotic sister chromatid segregation",13,72,1.62446721311475e-11
"GO:0006323","DNA packaging",20,231,1.6360487804878e-11
"GO:0072401","signal transduction involved in DNA integrity checkpoint",13,73,1.902576e-11
"GO:0072422","signal transduction involved in DNA damage checkpoint",13,73,1.902576e-11
"GO:0006289","nucleotide-excision repair",15,111,2.10526190476191e-11
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle",12,58,2.20872440944882e-11
"GO:0042770","signal transduction in response to DNA damage",16,133,2.2217519379845e-11
"GO:0072395","signal transduction involved in cell cycle checkpoint",13,74,2.2217519379845e-11
"GO:0006275","regulation of DNA replication",15,112,2.34538461538462e-11
"GO:0044784","metaphase/anaphase transition of cell cycle",12,60,3.25847328244275e-11
"GO:0006325","chromatin organization",35,812,3.46477272727273e-11
"GO:1902969","mitotic DNA replication",8,16,4.12646616541353e-11
"GO:0010639","negative regulation of organelle organization",25,414,5.91597014925373e-11
"GO:0044271","cellular nitrogen compound biosynthetic process",98,4917,8.58237037037037e-11
"GO:0006296","nucleotide-excision repair, DNA incision, 5'-to lesion",10,37,9.41602941176471e-11
"GO:0022607","cellular component assembly",72,3023,1.22405109489051e-10
"GO:0090329","regulation of DNA-dependent DNA replication",11,52,1.41402898550725e-10
"GO:0033683","nucleotide-excision repair, DNA incision",10,39,1.64514388489209e-10
"GO:0000731","DNA synthesis involved in DNA repair",11,53,1.76406428571429e-10
"GO:0007050","cell cycle arrest",19,235,1.85967375886525e-10
"GO:0000727","double-strand break repair via break-induced replication",7,12,2.3619014084507e-10
"GO:0030071","regulation of mitotic metaphase/anaphase transition",11,56,3.19825174825175e-10
"GO:0019985","translesion synthesis",10,42,3.59951388888889e-10
"GO:0051225","spindle assembly",15,136,3.78496551724138e-10
"GO:2000113","negative regulation of cellular macromolecule biosynthetic process",48,1580,4.38554794520548e-10
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle",11,58,4.77054421768707e-10
"GO:0010558","negative regulation of macromolecule biosynthetic process",49,1647,5.15033783783784e-10
"GO:0009411","response to UV",15,140,5.52503355704698e-10
"GO:0033046","negative regulation of sister chromatid segregation",10,44,5.69146666666667e-10
"GO:0051784","negative regulation of nuclear division",11,60,6.86529801324503e-10
"GO:0051985","negative regulation of chromosome segregation",10,45,7.02072368421053e-10
"GO:0006267","pre-replicative complex assembly involved in nuclear cell cycle DNA replication",6,8,7.47496774193548e-10
"GO:0036388","pre-replicative complex assembly",6,8,7.47496774193548e-10
"GO:1902299","pre-replicative complex assembly involved in cell cycle DNA replication",6,8,7.47496774193548e-10
"GO:0070987","error-free translesion synthesis",8,22,8.01339743589744e-10
"GO:0051054","positive regulation of DNA metabolic process",17,199,9.12757961783439e-10
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",13,100,9.64873417721519e-10
"GO:0019219","regulation of nucleobase-containing compound metabolic process",84,4043,1.0546855345912e-9
"GO:0031571","mitotic G1 DNA damage checkpoint",11,63,1.12431875e-9
"GO:0044783","G1 DNA damage checkpoint",11,64,1.33629012345679e-9
"GO:0044819","mitotic G1/S transition checkpoint",11,64,1.33629012345679e-9
"GO:0009314","response to radiation",24,445,1.44032515337423e-9
"GO:1904029","regulation of cyclin-dependent protein kinase activity",13,104,1.54309146341463e-9
"GO:2000045","regulation of G1/S transition of mitotic cell cycle",16,179,1.6815696969697e-9
"GO:0031327","negative regulation of cellular biosynthetic process",49,1710,1.74490963855422e-9
"GO:0030330","DNA damage response, signal transduction by p53 class mediator",13,107,2.19089820359281e-9
"GO:0090307","mitotic spindle assembly",11,68,2.54083333333333e-9
"GO:0008152","metabolic process",173,12553,2.70621301775148e-9
"GO:0031497","chromatin assembly",16,186,2.85286549707602e-9
"GO:0045839","negative regulation of mitotic nuclear division",10,52,2.85286549707602e-9
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process",46,1562,2.96188571428571e-9
"GO:0009890","negative regulation of biosynthetic process",49,1739,2.96188571428571e-9
"GO:0033043","regulation of organelle organization",42,1335,2.96188571428571e-9
"GO:0071478","cellular response to radiation",16,187,2.96188571428571e-9
"GO:2000816","negative regulation of mitotic sister chromatid separation",9,39,4.15772727272727e-9
"GO:0045132","meiotic chromosome segregation",12,93,5.25105555555556e-9
"GO:0006284","base-excision repair",9,40,5.25105555555556e-9
"GO:1905819","negative regulation of chromosome separation",9,40,5.25105555555556e-9
"GO:0006283","transcription-coupled nucleotide-excision repair",11,73,5.25105555555556e-9
"GO:0072431","signal transduction involved in mitotic G1 DNA damage checkpoint",10,57,7.20368131868132e-9
"GO:1902400","intracellular signal transduction involved in G1 DNA damage checkpoint",10,57,7.20368131868132e-9
"GO:1902806","regulation of cell cycle G1/S phase transition",16,200,7.8307650273224e-9
"GO:0033048","negative regulation of mitotic sister chromatid segregation",9,42,8.28532608695652e-9
"GO:0022414","reproductive process",44,1501,9.06459459459459e-9
"GO:0000003","reproduction",44,1504,9.50763440860215e-9
"GO:0072413","signal transduction involved in mitotic cell cycle checkpoint",10,59,9.84068783068783e-9
"GO:1902402","signal transduction involved in mitotic DNA damage checkpoint",10,59,9.84068783068783e-9
"GO:1902403","signal transduction involved in mitotic DNA integrity checkpoint",10,59,9.84068783068783e-9
"GO:0045005","DNA-dependent DNA replication maintenance of fidelity",9,44,1.23564736842105e-8
"GO:0006333","chromatin assembly or disassembly",16,211,1.59633507853403e-8
"GO:0042276","error-prone translesion synthesis",7,21,2.38203125e-8
"GO:1902750","negative regulation of cell cycle G2/M phase transition",12,107,2.52766839378238e-8
