goId,goName,countDE,countAll,pv_fdr
"GO:0005654","nucleoplasm",143,3959,1e-24
"GO:0005694","chromosome",108,2020,1e-24
"GO:0098687","chromosomal region",54,356,1e-24
"GO:0005634","nucleus",179,7958,1e-24
"GO:0031981","nuclear lumen",152,5378,1e-24
"GO:0031974","membrane-enclosed lumen",157,6493,1e-24
"GO:0043233","organelle lumen",157,6493,1e-24
"GO:0070013","intracellular organelle lumen",157,6493,1e-24
"GO:0043232","intracellular non-membrane-bounded organelle",147,5674,1e-24
"GO:0043228","non-membrane-bounded organelle",147,5683,1e-24
"GO:0000793","condensed chromosome",36,224,1e-24
"GO:0032991","protein-containing complex",135,5440,1e-24
"GO:0000228","nuclear chromosome",74,1553,1e-24
"GO:0005657","replication fork",24,71,1e-24
"GO:0000775","chromosome, centromeric region",30,196,1e-24
"GO:0043231","intracellular membrane-bounded organelle",184,11361,2.0545625e-24
"GO:0000781","chromosome, telomeric region",26,164,4.90235294117647e-22
"GO:0005622","intracellular",200,14938,2.44361111111111e-21
"GO:0043229","intracellular organelle",190,13146,1.97384210526316e-19
"GO:0000784","nuclear chromosome, telomeric region",21,124,2.15295e-18
"GO:0000794","condensed nuclear chromosome",19,103,2.20476190476191e-17
"GO:0043596","nuclear replication fork",14,41,6.31363636363636e-17
"GO:0043227","membrane-bounded organelle",186,13154,4.83130434782609e-16
"GO:0015630","microtubule cytoskeleton",49,1255,6.75208333333333e-15
"GO:0000779","condensed chromosome, centromeric region",18,122,1.0186e-14
"GO:0030894","replisome",11,26,1.40680769230769e-14
"GO:0043226","organelle",191,14263,1.66337037037037e-14
"GO:0005819","spindle",27,367,2.48035714285714e-14
"GO:0000776","kinetochore",18,137,7.18448275862069e-14
"GO:0043601","nuclear replisome",9,24,2.16066666666667e-11
"GO:0000777","condensed chromosome kinetochore",14,106,7.46774193548387e-11
"GO:0000785","chromatin",47,1507,8.5365625e-11
"GO:0005815","microtubule organizing center",33,782,8.97939393939394e-11
"GO:0042555","MCM complex",7,12,1.2038e-10
"GO:0005829","cytosol",99,5194,1.2038e-10
"GO:0005813","centrosome",28,583,1.92916666666667e-10
"GO:0000922","spindle pole",16,165,2.25243243243243e-10
"GO:1990234","transferase complex",32,769,2.43684210526316e-10
"GO:0032993","protein-DNA complex",17,194,2.49307692307692e-10
"GO:0042575","DNA polymerase complex",8,22,3.9355e-10
"GO:1902494","catalytic complex",43,1362,4.51707317073171e-10
"GO:0090734","site of DNA damage",12,82,5.62214285714286e-10
"GO:0072686","mitotic spindle",14,133,1.18441860465116e-9
"GO:0061695","transferase complex, transferring phosphorus-containing groups",18,252,1.68363636363636e-9
"GO:0035861","site of double-strand break",10,61,6.99644444444445e-9
"GO:0034399","nuclear periphery",13,131,1.10717391304348e-8
"GO:0005876","spindle microtubule",10,66,1.47765957446809e-8
