goId,goName,countDE,countAll,pv_fdr
"GO:1901363","heterocyclic compound binding",138,6123,2.028e-22
"GO:0097159","organic cyclic compound binding",138,6207,4.42e-22
"GO:0140097","catalytic activity, acting on DNA",28,212,3.64e-20
"GO:0003676","nucleic acid binding",107,4216,6.76e-19
"GO:0003677","DNA binding",80,2471,7.384e-19
"GO:0005515","protein binding",192,13634,2.34e-15
"GO:0008094","DNA-dependent ATPase activity",18,109,1.18857142857143e-14
"GO:0005524","ATP binding",54,1473,5.265e-14
"GO:0032559","adenyl ribonucleotide binding",54,1531,2.36888888888889e-13
"GO:0030554","adenyl nucleotide binding",54,1543,2.964e-13
"GO:0003697","single-stranded DNA binding",17,115,3.51e-13
"GO:0003684","damaged DNA binding",14,65,3.51e-13
"GO:0003682","chromatin binding",33,596,5.2e-13
"GO:0035639","purine ribonucleoside triphosphate binding",58,1813,8.17142857142857e-13
"GO:0000166","nucleotide binding",63,2130,1.31529411764706e-12
"GO:1901265","nucleoside phosphate binding",63,2131,1.31529411764706e-12
"GO:0008144","drug binding",56,1730,1.31529411764706e-12
"GO:0032555","purine ribonucleotide binding",58,1878,2.86e-12
"GO:0017076","purine nucleotide binding",58,1892,3.83157894736842e-12
"GO:0032553","ribonucleotide binding",58,1895,3.9e-12
"GO:0003678","DNA helicase activity",14,81,5.2e-12
"GO:0016887","ATPase activity",26,429,3.30909090909091e-11
"GO:0036094","small molecule binding",65,2534,2.26086956521739e-10
"GO:0016462","pyrophosphatase activity",35,860,2.88888888888889e-10
"GO:0097367","carbohydrate derivative binding",60,2239,2.88888888888889e-10
"GO:0016817","hydrolase activity, acting on acid anhydrides",35,863,2.88888888888889e-10
"GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",35,863,2.88888888888889e-10
"GO:0004386","helicase activity",16,163,5.57142857142857e-10
"GO:0017111","nucleoside-triphosphatase activity",33,805,8.60689655172414e-10
"GO:0017116","single-stranded DNA helicase activity",7,18,8.05161290322581e-9
"GO:0005488","binding",198,16274,8.05161290322581e-9
"GO:0003723","RNA binding",51,1926,2.1125e-8
"GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity",9,49,4.0969696969697e-8
"GO:0003688","DNA replication origin binding",7,23,5.35294117647059e-8
"GO:0042393","histone binding",16,238,1.20342857142857e-7
"GO:0043168","anion binding",63,2837,1.34333333333333e-7
"GO:0019899","enzyme binding",53,2275,6.46486486486487e-7
"GO:0016787","hydrolase activity",56,2523,0.00000123157894736842
"GO:0004518","nuclease activity",14,219,0.00000173333333333333
"GO:0003824","catalytic activity",97,5716,0.0000026
