pName,countDE,countAll,pv_fdr,pAcc_fdr,pComb_fdr,pORA_fdr
"MicroRNAs in cancer",12,310,0.00000975710769456944,0.0606363484924205,0.00000739914000171516,8.29606815467638e-7
"Cell cycle",35,124,0.0000508842104974516,0.293328335832084,0.0000385871929605674,1e-24
"p53 signaling pathway",11,73,0.0000555604739466924,0.347280905002044,0.000049244211049065,2.80329307850938e-12
"Cellular senescence",17,156,0.0000555604739466924,0.347280905002044,0.000049244211049065,2.34705336223942e-16
"Viral carcinogenesis",10,196,0.0000555604739466924,0.353813093453273,0.000049244211049065,8.10455614391651e-7
"Chronic myeloid leukemia",6,76,0.0000555604739466924,0.293328335832084,0.000049244211049065,0.0000188217643188603
"Homologous recombination",13,41,0.0000555604739466924,0.447666791604198,0.0000537155150253549,8.09554572113638e-19
"RNA transport",9,185,0.0000555604739466924,0.470164917541229,0.0000537155150253549,0.00000445873461428488
"Colorectal cancer",6,86,0.0000555604739466924,0.293328335832084,0.0000537155150253549,0.0000353698689108726
"Pathways in cancer",13,530,0.0000555604739466924,0.293328335832084,0.0000537155150253549,0.0000316092708973806
"DNA replication",22,36,0.0000555604739466924,,,1e-24
"Nucleotide excision repair",13,46,0.0000555604739466924,,,3.65525081321639e-18
"Mismatch repair",14,23,0.0000555604739466924,,,1e-24
"Pyrimidine metabolism",7,57,0.0000555604739466924,,,2.0562106907164e-7
"Base excision repair",8,33,0.0000555604739466924,,,8.01812551290154e-11
"Non-homologous end-joining",4,13,0.0000555604739466924,,,0.00000351013757053023
"Oocyte meiosis",11,128,0.0000555604739466924,0.678260869565217,0.0000615795252909174,1.08268412784425e-9
"Breast cancer",6,147,0.0000555604739466924,0.0606363484924205,0.0000615795252909174,0.00062006146125937
"Small cell lung cancer",8,92,0.0000555604739466924,0.72321478149814,0.0000615795252909174,2.94018717081041e-7
"Progesterone-mediated oocyte maturation",8,99,0.0000597938488316189,0.812760286523405,0.0000623475444588026,4.89014263244959e-7
"Bladder cancer",5,41,0.0000597938488316189,0.403427318598765,0.0000623475444588026,0.0000152853121150623
"Fanconi anemia pathway",10,54,0.0000597938488316189,0.823706896551724,0.0000623475444588026,3.6182441958453e-12
"Platinum drug resistance",8,72,0.0000629603547691919,0.890688801940493,0.0000645960894764307,4.82818683983299e-8
"Human T-cell leukemia virus 1 infection",18,217,0.0000714502646632066,0.972708090399245,0.0000722441564927978,2.92516580061569e-15
"Melanoma",4,72,0.000158895566900549,0.0606363484924205,0.000158547111709977,0.00215811794923287
"Gastric cancer",6,149,0.000198856840109823,0.191004497751124,0.000196039701541601,0.000643679985971951
"Pancreatic cancer",5,76,0.000274193067327477,0.29766934714461,0.00026733824064429,0.000259427026766112
"Endocrine resistance",6,96,0.000572717174461996,0.916583374979177,0.00055275884868529,0.0000639667382863968
"Basal cell carcinoma",2,63,0.00107061315482198,0.0151590871231051,0.0010117196069837,0.0815446582049103
"Endometrial cancer",4,58,0.00108398529319682,0.29766934714461,0.0010117196069837,0.00100371718740284
"Hepatitis B",6,162,0.00108398529319682,0.29766934714461,0.0010117196069837,0.000945424467119364
"Glioma",4,75,0.00108398529319682,0.272863568215892,0.0010117196069837,0.00234482723850744
"Purine metabolism",6,129,0.00139447192990538,,,0.000313530986964598
"Cushing syndrome",6,155,0.00176828493064137,0.390025326319891,0.00166462684850033,0.000770297693380392
"PI3K-Akt signaling pathway",7,352,0.00176828493064137,0.171802987395191,0.00166462684850033,0.00743232977719738
"FoxO signaling pathway",5,130,0.00176828493064137,0.29766934714461,0.00166462684850033,0.00234482723850744
"Measles",5,139,0.00335724560822393,0.302290031454861,0.00312118093418491,0.00283888416215766
"Thyroid cancer",3,37,0.00335766138668822,0.29766934714461,0.00312118093418491,0.00306661267046099
"Non-small cell lung cancer",4,72,0.00351590844382193,0.353813093453273,0.00324946850706355,0.00215811794923287
"Prostate cancer",4,97,0.00368000860379609,0.294519406963185,0.0033826341711661,0.00503335214801022
"Ferroptosis",2,41,0.00378313723703163,0.0844577711144428,0.0034595306449424,0.0406750392324774
"ECM-receptor interaction",1,88,0.00495361480873718,0.0151590871231051,0.00444847645653043,0.461715581962319
"Longevity regulating pathway",1,89,0.00495361480873718,0.0151590871231051,0.00444847645653043,0.461715581962319
"Epstein-Barr virus infection",6,199,0.00495361480873718,0.403427318598765,0.00444847645653043,0.00234482723850744
"Transcriptional misregulation in cancer",5,189,0.00495361480873718,0.293328335832084,0.00444847645653043,0.00879945564373159
"Hepatocellular carcinoma",5,167,0.00521566106177024,0.29766934714461,0.0046651190608056,0.00551722761826434
"Drug metabolism - other enzymes",4,79,0.00943128346704644,,,0.00273125964108668
"mRNA surveillance pathway",3,97,0.0112213850116561,0.272863568215892,0.0102114603606071,0.0315843383218219
"Spliceosome",5,150,0.0129344908546052,,,0.00378701513914211
"Biosynthesis of cofactors",5,155,0.0143988019539647,,,0.00427082093134908
"ErbB signaling pathway",3,85,0.0159107776773716,0.29766934714461,0.0150085201627402,0.0233856691793721
"Hepatitis C",5,157,0.0174582611513669,0.74703981342662,0.0163913674143389,0.00441127885852818
"Ribosome biogenesis in eukaryotes",4,106,0.0216905631021645,,,0.0066461139816771
"Human papillomavirus infection",6,331,0.0293669575855233,0.364676152489793,0.0278374285446106,0.0196541246844645
"Influenza A",4,169,0.0293669575855233,0.347063310450038,0.0278374285446106,0.0272798104070962
"HIF-1 signaling pathway",3,109,0.0309007242477324,0.29766934714461,0.0291611279197119,0.040807566607283
"RNA degradation",3,79,0.0358058713616663,0.405686045865956,0.0336458432523484,0.0196541246844645
"One carbon pool by folate",2,20,0.0360584288008314,,,0.0124579346514941
"Metabolic pathways",16,1476,0.038903799989338,,,0.0136051383757028
"Hippo signaling pathway",2,157,0.0435828940635742,0.171802987395191,0.0421919506360134,0.285071489317144
"Apoptosis",4,136,0.0438836297217334,0.704577288820379,0.0422913244071774,0.0145233173481496
"Human cytomegalovirus infection",5,223,0.0448092931200813,0.674908922350419,0.0429955836366494,0.0161995045491021
"MAPK signaling pathway",4,294,0.0495174437926375,0.293328335832084,0.0473139175438651,0.126735939131955
"Human immunodeficiency virus 1 infection",4,211,0.069028911827203,0.380872063968016,0.0654336560028695,0.0517416584353048
"Parkinson disease",3,236,0.069028911827203,0.293328335832084,0.0654336560028695,0.208992491800031
"Systemic lupus erythematosus",3,123,0.0763407753985393,0.390025326319891,0.0720916190320168,0.0539706008099257
"Amyotrophic lateral sclerosis",6,351,0.0827524534444409,0.812760286523405,0.0778613747917834,0.0247808084985825
"Kaposi sarcoma-associated herpesvirus infection",4,193,0.0863843884467111,0.592582496630473,0.0809919084406437,0.0406750392324774
"AGE-RAGE signaling pathway in diabetic complications",2,100,0.116166445412071,0.317077572324949,0.108543022431904,0.164632823222427
"Proteoglycans in cancer",3,205,0.139776292001385,0.347280905002044,0.130171780708893,0.161932791377686
"JAK-STAT signaling pathway",2,162,0.15845472901369,0.29766934714461,0.147094253470898,0.289131168807082
"Ubiquitin mediated proteolysis",3,140,0.159369476847557,,,0.0736512551322654
"Necroptosis",2,158,0.172365377803366,0.29766934714461,0.163756560872565,0.285071489317144
"Lysine degradation",2,63,0.172365377803366,,,0.0815446582049103
"Central carbon metabolism in cancer",2,70,0.178673950677426,0.598670813846808,0.16936801574631,0.0969670058371983
"Antifolate resistance",1,31,0.186250547268017,0.347280905002044,0.175971145478907,0.227824000203608
"Thyroid hormone signaling pathway",2,121,0.192922403262503,0.354009269874867,0.181694526836069,0.21326942763283
"Biosynthesis of amino acids",2,75,0.208668395450648,,,0.107910100477316
"Wnt signaling pathway",2,160,0.219382497394805,0.347280905002044,0.208616504467097,0.287119391526701
"Huntington disease",2,293,0.233093356992382,0.29766934714461,0.220953077982362,0.526054071428813
"Thiamine metabolism",1,15,0.239324431416229,,,0.133219631131684
"Protein processing in endoplasmic reticulum",1,170,0.239324431416229,0.293328335832084,0.228953706054859,0.621375193134314
"IL-17 signaling pathway",1,94,0.247232314972454,0.29766934714461,0.235775969064008,0.471943801046604
"Alcoholism",2,177,0.249988668772845,0.351690821256039,0.237675794042242,0.318099165124865
"Gap junction",2,88,0.266922946202107,0.728259158092187,0.253020709420747,0.136347447496203
"Steroid biosynthesis",1,20,0.28047208689441,,,0.165722492166567
"Renal cell carcinoma",1,69,0.299335720380701,0.353813093453273,0.286212668871257,0.383863556502188
"Herpes simplex virus 1 infection",4,496,0.301146774837739,0.364676152489793,0.287093258678645,0.34745620484365
"Carbon metabolism",2,118,0.324120017635589,,,0.208992491800031
"Prion disease",2,260,0.324120017635589,0.347280905002044,0.310652530791703,0.471943801046604
"Non-alcoholic fatty liver disease",1,146,0.324120017635589,0.317077572324949,0.310652530791703,0.578824733872577
"Acute myeloid leukemia",1,67,0.335800023685201,0.389349185056595,0.326228563805577,0.382566171011555
"Autophagy - animal",1,137,0.335800023685201,0.347063310450038,0.326228563805577,0.572697767523677
"Pentose phosphate pathway",1,30,0.335800023685201,,,0.223840869850242
"Glyoxylate and dicarboxylate metabolism",1,30,0.335800023685201,,,0.223840869850242
"T cell receptor signaling pathway",1,103,0.355563265274688,0.353813093453273,0.345133409493297,0.491443427116658
"Sphingolipid signaling pathway",1,119,0.37337018201108,0.353813093453273,0.363227392371991,0.526054071428813
"Primary immunodeficiency",1,37,0.37337018201108,,,0.261235222819977
"Phagosome",2,149,0.381968420332192,,,0.270420288415273
"Glycine, serine and threonine metabolism",1,40,0.384472764317754,,,0.273587343221873
"Parathyroid hormone synthesis, secretion and action",1,106,0.395160320437316,0.380872063968016,0.393064773283482,0.497293996429532
"Cysteine and methionine metabolism",1,50,0.432203582310606,,,0.311180246280763
"Spinocerebellar ataxia",1,143,0.44364828643232,0.380872063968016,0.44426446460792,0.576024230750113
"Glutathione metabolism",1,56,0.449951608618894,,,0.335825628369516
"Salmonella infection",3,249,0.449951608618894,0.934399079530003,0.453511352357967,0.223840869850242
"Tight junction",2,169,0.458354875895336,0.736239988114051,0.459156525369638,0.30420561977072
"Apoptosis - multiple species",1,32,0.458354875895336,0.934399079530003,0.459156525369638,0.231673447956728
"Oxytocin signaling pathway",1,154,0.471238567113346,0.391862402132267,0.47066388593394,0.593833410782886
"Hematopoietic cell lineage",1,96,0.571675354484904,,,0.471943801046604
"TGF-beta signaling pathway",1,94,0.571675354484904,0.674908922350419,0.574545210682117,0.471943801046604
"Mitophagy - animal",1,68,0.592721194447421,0.82319599693824,0.593956030269186,0.383234088820197
"Signaling pathways regulating pluripotency of stem cells",1,143,0.662996906343134,,,0.576024230750113
"Neurotrophin signaling pathway",1,119,0.702516038727462,0.766531208080171,0.708232590807303,0.526054071428813
"Endocytosis",1,252,0.776165992512599,,,0.738963472098861
"Fluid shear stress and atherosclerosis",1,138,0.836178627677992,0.916583374979177,0.847927261497111,0.572697767523677
"Pathogenic Escherichia coli infection",1,196,0.873851777023696,0.862383623003313,0.883095075314541,0.670244620935108
"Alzheimer disease",2,356,0.875879026516535,0.947181581622982,0.883095075314541,0.593833410782886
"Regulation of actin cytoskeleton",1,218,0.938242770353981,0.949401703642561,0.940762125941042,0.704552582927174
"Pathways of neurodegeneration - multiple diseases",2,462,0.938242770353981,0.949401703642561,0.940762125941042,0.716419435172467
"Shigellosis",1,244,0.958733580481087,0.999000499750125,0.958733580481087,0.733668786713331
