goId,goName,countDE,countAll,pv_fdr
"GO:0034097","response to cytokine",87,1209,1e-24
"GO:0010033","response to organic substance",127,3337,1e-24
"GO:0071345","cellular response to cytokine stimulus",79,1120,1e-24
"GO:0071310","cellular response to organic substance",114,2741,1e-24
"GO:0070887","cellular response to chemical stimulus",122,3349,1e-24
"GO:0019221","cytokine-mediated signaling pathway",65,795,1e-24
"GO:0042221","response to chemical",138,4852,1e-24
"GO:0009893","positive regulation of metabolic process",123,3862,1e-24
"GO:0010604","positive regulation of macromolecule metabolic process",118,3563,1e-24
"GO:0051173","positive regulation of nitrogen compound metabolic process",112,3187,1e-24
"GO:0006950","response to stress",126,4149,1e-24
"GO:0031325","positive regulation of cellular metabolic process",113,3370,1e-24
"GO:0006954","inflammatory response",59,793,1e-24
"GO:0048522","positive regulation of cellular process",143,5688,1e-24
"GO:0009605","response to external stimulus",105,2971,1e-24
"GO:0048518","positive regulation of biological process",149,6304,1e-24
"GO:0042981","regulation of apoptotic process",77,1582,1e-24
"GO:0010941","regulation of cell death",80,1736,1e-24
"GO:0043067","regulation of programmed cell death",77,1606,1e-24
"GO:0042127","regulation of cell population proliferation",80,1752,1e-24
"GO:0002376","immune system process",106,3253,1e-24
"GO:0008219","cell death",88,2267,1e-24
"GO:0080090","regulation of primary metabolic process",143,6135,1e-24
"GO:0006915","apoptotic process",82,1984,1e-24
"GO:0010628","positive regulation of gene expression",87,2314,1e-24
"GO:0051240","positive regulation of multicellular organismal process",78,1842,1e-24
"GO:0032496","response to lipopolysaccharide",38,334,1e-24
"GO:0071222","cellular response to lipopolysaccharide",32,208,1e-24
"GO:0031323","regulation of cellular metabolic process",143,6348,1e-24
"GO:0008283","cell population proliferation",81,2039,1e-24
"GO:0051171","regulation of nitrogen compound metabolic process",138,5942,1e-24
"GO:0019222","regulation of metabolic process",155,7503,1e-24
"GO:0045944","positive regulation of transcription by RNA polymerase II",63,1197,1e-24
"GO:1901700","response to oxygen-containing compound",74,1705,1e-24
"GO:0012501","programmed cell death",82,2125,1e-24
"GO:0002237","response to molecule of bacterial origin",38,354,1e-24
"GO:0071219","cellular response to molecule of bacterial origin",32,220,1e-24
"GO:0007166","cell surface receptor signaling pathway",100,3182,1e-24
"GO:0051239","regulation of multicellular organismal process",103,3382,1e-24
"GO:0006952","defense response",75,1795,1.28560975609756e-24
"GO:0043066","negative regulation of apoptotic process",55,909,1.28560975609756e-24
"GO:0035556","intracellular signal transduction",93,2813,2.51e-24
"GO:0043069","negative regulation of programmed cell death",55,929,3.67744186046512e-24
"GO:0048519","negative regulation of biological process",137,6040,5.271e-24
"GO:0048583","regulation of response to stimulus",116,4394,7.26226666666667e-24
"GO:0060548","negative regulation of cell death",57,1023,7.56273913043478e-24
"GO:0033993","response to lipid",54,907,8.18687234042553e-24
"GO:0060255","regulation of macromolecule metabolic process",147,6964,8.4555625e-24
"GO:0048523","negative regulation of cellular process",125,5095,9.789e-24
"GO:0071216","cellular response to biotic stimulus",32,244,1.15962e-23
