goId,goName,countDE,countAll,pv_fdr
"GO:0000790","nuclear chromatin",40,1324,3.264e-7
"GO:0000785","chromatin",41,1507,0.000001496
"GO:0033256","I-kappaB/NF-kappaB complex",4,4,0.000001496
"GO:0000228","nuclear chromosome",40,1553,0.00000714
"GO:0005737","cytoplasm",154,11523,0.000017
"GO:0009986","cell surface",28,907,0.000017
"GO:0005654","nucleoplasm",72,3959,0.0000180685714285714
"GO:0098552","side of membrane",22,616,0.0000255
"GO:0009897","external side of plasma membrane",17,410,0.000068
"GO:0005694","chromosome",43,2020,0.00015504
"GO:0035976","transcription factor AP-1 complex",3,4,0.0001632
"GO:0033257","Bcl3/NF-kappaB2 complex",2,2,0.00320571428571429
"GO:0070743","interleukin-23 complex",2,2,0.00320571428571429
"GO:0005667","transcription regulator complex",14,412,0.00320571428571429
"GO:0005615","extracellular space",58,3549,0.004284
"GO:0045121","membrane raft",12,331,0.004284
"GO:0098857","membrane microdomain",12,332,0.004284
"GO:0031974","membrane-enclosed lumen",92,6493,0.004284
"GO:0043233","organelle lumen",92,6493,0.004284
"GO:0070013","intracellular organelle lumen",92,6493,0.004284
"GO:0098589","membrane region",12,345,0.00519272727272727
"GO:0005622","intracellular",175,14938,0.00519272727272727
"GO:0005896","interleukin-6 receptor complex",2,3,0.00567652173913044
"GO:0098805","whole membrane",33,1718,0.00714
"GO:0031981","nuclear lumen",77,5378,0.0127296
"GO:0043231","intracellular membrane-bounded organelle",140,11361,0.0139661538461538
"GO:0005576","extracellular region",67,4579,0.0178311111111111
"GO:0005829","cytosol",74,5194,0.0179228571428571
"GO:0042581","specific granule",7,159,0.0196965517241379
"GO:0005634","nucleus",104,7958,0.020672
"GO:0043227","membrane-bounded organelle",155,13154,0.037378064516129
"GO:0043229","intracellular organelle",154,13146,0.056865
"GO:0005788","endoplasmic reticulum lumen",9,307,0.0615709090909091
"GO:0005719","nuclear euchromatin",3,34,0.06288
"GO:0070820","tertiary granule",6,163,0.0846308571428571
"GO:0000791","euchromatin",3,42,0.103592195121951
