goId,goName,countDE,countAll,pv_fdr
"GO:0005125","cytokine activity",28,233,2.2372e-18
"GO:0005126","cytokine receptor binding",28,269,5.593e-17
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",31,513,1.8095e-12
"GO:0001216","DNA-binding transcription activator activity",31,516,1.8095e-12
"GO:0048018","receptor ligand activity",30,485,1.974e-12
"GO:0030546","signaling receptor activator activity",30,490,2.08366666666667e-12
"GO:0000987","cis-regulatory region sequence-specific DNA binding",45,1132,2.444e-12
"GO:0005102","signaling receptor binding",55,1651,2.4675e-12
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",44,1106,3.72866666666667e-12
"GO:0030545","receptor regulator activity",30,532,1.1186e-11
"GO:0005515","protein binding",188,13634,2.632e-11
"GO:0000976","transcription regulatory region sequence-specific DNA binding",48,1471,2.22707692307692e-10
"GO:0001067","regulatory region nucleic acid binding",48,1472,2.22707692307692e-10
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",46,1376,2.773e-10
"GO:1990837","sequence-specific double-stranded DNA binding",48,1574,2.06173333333333e-9
"GO:0008009","chemokine activity",10,47,3.04325e-9
"GO:0003690","double-stranded DNA binding",49,1662,3.56094117647059e-9
"GO:0042379","chemokine receptor binding",11,68,6.58e-9
"GO:0019900","kinase binding",31,751,6.58e-9
"GO:0098772","molecular function regulator",51,1840,1.0199e-8
"GO:0043565","sequence-specific DNA binding",48,1692,1.67490909090909e-8
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",44,1462,1.67490909090909e-8
"GO:0003700","DNA-binding transcription factor activity",45,1527,1.91678260869565e-8
"GO:0042802","identical protein binding",51,1928,4.38666666666667e-8
"GO:0035259","glucocorticoid receptor binding",6,15,1.974e-7
"GO:0008134","transcription factor binding",26,642,2.45484615384615e-7
"GO:0019901","protein kinase binding",26,665,4.87407407407407e-7
"GO:0019899","enzyme binding",54,2275,4.935e-7
"GO:0045236","CXCR chemokine receptor binding",6,18,6.12620689655172e-7
"GO:0008083","growth factor activity",13,162,6.14133333333333e-7
"GO:0140110","transcription regulator activity",49,1985,7.42903225806452e-7
"GO:0033613","activating transcription factor binding",9,80,0.000004729375
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",15,267,0.00000538363636363636
"GO:0140297","DNA-binding transcription factor binding",17,347,0.00000580588235294118
"GO:0003677","DNA binding",54,2471,0.000006204
"GO:0001102","RNA polymerase II activating transcription factor binding",7,47,0.0000137083333333333
"GO:0005488","binding",196,16274,0.0000174281081081081
"GO:0004896","cytokine receptor activity",9,97,0.0000207789473684211
"GO:0051019","mitogen-activated protein kinase binding",6,33,0.0000236205128205128
"GO:0008330","protein tyrosine/threonine phosphatase activity",4,10,0.00004606
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific",15,333,0.000069009756097561
"GO:0001217","DNA-binding transcription repressor activity",15,334,0.0000705
"GO:0044877","protein-containing complex binding",32,1257,0.000105586046511628
"GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity",4,13,0.000139077272727273
"GO:0033549","MAP kinase phosphatase activity",4,14,0.000190088888888889
"GO:0140375","immune receptor activity",9,132,0.000214565217391304
"GO:0001221","transcription cofactor binding",6,51,0.000266
"GO:0070851","growth factor receptor binding",9,141,0.000356416666666667
"GO:0044389","ubiquitin-like protein ligase binding",13,316,0.000658
"GO:0046983","protein dimerization activity",26,1016,0.00067116
"GO:0001664","G protein-coupled receptor binding",12,291,0.00119988235294118
"GO:0003682","chromatin binding",18,596,0.00134037037037037
"GO:0070412","R-SMAD binding",4,23,0.00134037037037037
"GO:0031625","ubiquitin protein ligase binding",12,297,0.00134037037037037
"GO:0045519","interleukin-23 receptor binding",2,2,0.00143563636363636
"GO:0048020","CCR chemokine receptor binding",5,45,0.00150070175438596
"GO:0042803","protein homodimerization activity",19,662,0.00150070175438596
"GO:0002020","protease binding",8,137,0.00158827586206897
"GO:0001046","core promoter sequence-specific DNA binding",5,47,0.00178440677966102
"GO:0046332","SMAD binding",6,79,0.00252233333333333
"GO:0035258","steroid hormone receptor binding",6,81,0.00291245901639344
"GO:0005080","protein kinase C binding",5,55,0.00360838709677419
"GO:0016922","nuclear receptor binding",6,101,0.00908666666666667
"GO:0005539","glycosaminoglycan binding",9,234,0.011490447761194
"GO:0003945","N-acetyllactosamine synthase activity",2,5,0.011490447761194
"GO:0031726","CCR1 chemokine receptor binding",2,5,0.011490447761194
"GO:0048248","CXCR3 chemokine receptor binding",2,5,0.011490447761194
"GO:0008138","protein tyrosine/serine/threonine phosphatase activity",4,44,0.01316
"GO:0070530","K63-linked polyubiquitin modification-dependent protein binding",3,22,0.0164023188405797
"GO:0043130","ubiquitin binding",5,80,0.0174230985915493
"GO:0032813","tumor necrosis factor receptor superfamily binding",4,48,0.0174230985915493
"GO:0070888","E-box binding",4,50,0.0198289189189189
"GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding",3,24,0.0198289189189189
"GO:0019957","C-C chemokine binding",3,24,0.0198289189189189
"GO:0019904","protein domain specific binding",17,714,0.0203460526315789
"GO:0031593","polyubiquitin modification-dependent protein binding",4,51,0.0203460526315789
"GO:0005138","interleukin-6 receptor binding",2,7,0.0204992307692308
"GO:0031730","CCR5 chemokine receptor binding",2,7,0.0204992307692308
"GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process",3,25,0.0209060759493671
"GO:0019207","kinase regulator activity",8,214,0.021056
"GO:0030234","enzyme regulator activity",22,1059,0.0246953086419753
"GO:0035035","histone acetyltransferase binding",3,28,0.0280051219512195
"GO:0061134","peptidase regulator activity",8,226,0.0283019277108434
"GO:0001223","transcription coactivator binding",3,29,0.0302366666666667
"GO:0019955","cytokine binding",6,136,0.0303454117647059
"GO:0005127","ciliary neurotrophic factor receptor binding",2,9,0.0313697674418605
"GO:0019887","protein kinase regulator activity",7,183,0.0313873563218391
"GO:1904680","peptide transmembrane transporter activity",3,30,0.0317784090909091
"GO:0032182","ubiquitin-like protein binding",5,97,0.0319388764044944
"GO:0005164","tumor necrosis factor receptor binding",3,31,0.0341428888888889
"GO:0071889","14-3-3 protein binding",3,32,0.0370215384615385
"GO:0035257","nuclear hormone receptor binding",6,144,0.0370482608695652
"GO:0004725","protein tyrosine phosphatase activity",5,103,0.03906
"GO:0019956","chemokine binding",3,33,0.03906
"GO:0051400","BH domain binding",2,11,0.0428046315789474
"GO:0031490","chromatin DNA binding",5,106,0.0430441666666667
"GO:0042805","actinin binding",3,36,0.0483663917525773
"GO:0070410","co-SMAD binding",2,12,0.0493167676767677
"GO:0046982","protein heterodimerization activity",9,310,0.0493167676767677
"GO:0042056","chemoattractant activity",3,37,0.050666
