goId,goName,countDE,countAll,pv_fdr
"GO:0006629","lipid metabolic process",57,1433,1e-24
"GO:0006631","fatty acid metabolic process",40,394,1e-24
"GO:0044255","cellular lipid metabolic process",49,1094,1e-24
"GO:0032787","monocarboxylic acid metabolic process",43,670,1e-24
"GO:0016042","lipid catabolic process",33,342,1e-24
"GO:0044242","cellular lipid catabolic process",30,236,1e-24
"GO:0019752","carboxylic acid metabolic process",43,1069,1e-24
"GO:0044281","small molecule metabolic process",51,2000,1e-24
"GO:0010876","lipid localization",33,433,1e-24
"GO:0006869","lipid transport",32,386,1e-24
"GO:0043436","oxoacid metabolic process",43,1158,1e-24
"GO:0006082","organic acid metabolic process",43,1177,1e-24
"GO:0006641","triglyceride metabolic process",22,108,1e-24
"GO:0019216","regulation of lipid metabolic process",30,428,1e-24
"GO:0006638","neutral lipid metabolic process",22,136,1e-24
"GO:0006639","acylglycerol metabolic process",22,136,1e-24
"GO:0015908","fatty acid transport",20,101,1e-24
"GO:0008610","lipid biosynthetic process",32,730,1e-24
"GO:0009062","fatty acid catabolic process",19,114,1e-24
"GO:0015718","monocarboxylic acid transport",21,174,1e-24
"GO:0015909","long-chain fatty acid transport",17,75,1e-24
"GO:0015711","organic anion transport",28,521,1.30963636363636e-24
"GO:0019395","fatty acid oxidation",18,106,3.54930434782609e-24
"GO:0034440","lipid oxidation",18,111,8.1634e-24
"GO:0072329","monocarboxylic acid catabolic process",19,138,8.1634e-24
"GO:0006635","fatty acid beta-oxidation",16,74,3.50915384615385e-23
"GO:0006820","anion transport",28,667,8.89259259259259e-22
"GO:0030258","lipid modification",21,271,3.51575e-21
"GO:0046486","glycerolipid metabolic process",24,432,4.22244827586207e-21
"GO:0044282","small molecule catabolic process",23,455,3.3614e-19
"GO:0072330","monocarboxylic acid biosynthetic process",19,244,4.64709677419355e-19
"GO:0046942","carboxylic acid transport",21,351,7.0529375e-19
"GO:0015849","organic acid transport",21,354,8.00333333333333e-19
"GO:0001676","long-chain fatty acid metabolic process",15,112,2.11852941176471e-18
"GO:0055114","oxidation-reduction process",29,1004,2.9498e-18
"GO:0046461","neutral lipid catabolic process",12,48,4.54243243243243e-18
"GO:0046464","acylglycerol catabolic process",12,48,4.54243243243243e-18
"GO:0016054","organic acid catabolic process",19,283,6.15641025641026e-18
"GO:0046395","carboxylic acid catabolic process",19,283,6.15641025641026e-18
"GO:0019217","regulation of fatty acid metabolic process",14,100,1.860775e-17
"GO:1905952","regulation of lipid localization",16,166,1.99107317073171e-17
"GO:0019433","triglyceride catabolic process",11,38,2.45816666666667e-17
"GO:0044539","long-chain fatty acid import into cell",9,17,5.45681818181818e-17
"GO:0140354","lipid import into cell",9,17,5.45681818181818e-17
"GO:0045834","positive regulation of lipid metabolic process",15,152,1.81408888888889e-16
"GO:0044283","small molecule biosynthetic process",24,721,4.0190652173913e-16
"GO:0046394","carboxylic acid biosynthetic process",19,365,6.13021276595745e-16
"GO:0016053","organic acid biosynthetic process",19,366,6.50270833333333e-16
"GO:0071702","organic substance transport",40,2827,8.33e-16
"GO:0046503","glycerolipid catabolic process",12,74,1.00842e-15
"GO:1901575","organic substance catabolic process",36,2224,1.60066666666667e-15
"GO:0009056","catabolic process",38,2690,1.06198076923077e-14
"GO:0055088","lipid homeostasis",14,160,1.26845283018868e-14
"GO:0033036","macromolecule localization",40,3196,6.22481481481481e-14
"GO:0044248","cellular catabolic process",35,2342,6.54818181818182e-14
"GO:1901615","organic hydroxy compound metabolic process",20,561,9.4325e-14
"GO:0010565","regulation of cellular ketone metabolic process",14,188,1.13731578947368e-13
"GO:0006811","ion transport",30,1690,2.23541379310345e-13
"GO:0045923","positive regulation of fatty acid metabolic process",9,38,2.64516949152542e-13
"GO:0046890","regulation of lipid biosynthetic process",14,205,3.64151666666667e-13
"GO:0006633","fatty acid biosynthetic process",13,171,8.65934426229508e-13
"GO:0032368","regulation of lipid transport",12,130,8.90693548387097e-13
"GO:0044238","primary metabolic process",64,10984,1.98177777777778e-12
"GO:0062012","regulation of small molecule metabolic process",17,453,6.37765625e-12
"GO:1901617","organic hydroxy compound biosynthetic process",14,257,7.75707692307692e-12
"GO:0042180","cellular ketone metabolic process",14,259,8.36712121212121e-12
"GO:0000038","very long-chain fatty acid metabolic process",8,34,8.60059701492537e-12
"GO:0008202","steroid metabolic process",15,331,1.34173529411765e-11
"GO:1905954","positive regulation of lipid localization",10,93,2.88815942028985e-11
"GO:0019432","triglyceride biosynthetic process",8,41,4.116e-11
"GO:0032371","regulation of sterol transport",9,68,6.08704225352113e-11
"GO:1901570","fatty acid derivative biosynthetic process",10,102,7.00291666666667e-11
