goId,goName,countDE,countAll,pv_fdr
"GO:0005777","peroxisome",11,140,1.378e-10
"GO:0042579","microbody",11,140,1.378e-10
"GO:0005741","mitochondrial outer membrane",11,192,2.703e-9
"GO:0032994","protein-lipid complex",7,39,2.703e-9
"GO:0031966","mitochondrial membrane",17,713,5.45142857142857e-9
"GO:0031968","organelle outer membrane",11,218,5.45142857142857e-9
"GO:0019867","outer membrane",11,220,5.45142857142857e-9
"GO:0005740","mitochondrial envelope",17,756,9.01e-9
"GO:0042627","chylomicron",5,13,1.13066666666667e-8
"GO:0005739","mitochondrion",23,1609,2.12e-8
"GO:0034358","plasma lipoprotein particle",6,36,3.71e-8
"GO:1990777","lipoprotein particle",6,36,3.71e-8
"GO:0034361","very-low-density lipoprotein particle",5,20,8.48e-8
"GO:0034385","triglyceride-rich plasma lipoprotein particle",5,20,8.48e-8
"GO:0005782","peroxisomal matrix",6,52,2.7825e-7
"GO:0031907","microbody lumen",6,52,2.7825e-7
"GO:0034364","high-density lipoprotein particle",5,27,3.61647058823529e-7
"GO:0005778","peroxisomal membrane",6,60,5.69052631578947e-7
"GO:0031903","microbody membrane",6,60,5.69052631578947e-7
"GO:0031090","organelle membrane",30,3550,0.00000318
"GO:0031967","organelle envelope",17,1205,0.00000327636363636364
"GO:0031975","envelope",17,1205,0.00000327636363636364
"GO:0034366","spherical high-density lipoprotein particle",3,8,0.0000184347826086957
"GO:0005789","endoplasmic reticulum membrane",15,1100,0.0000256166666666667
"GO:0005783","endoplasmic reticulum",17,1430,0.0000301692307692308
"GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",15,1122,0.0000301692307692308
"GO:0043227","membrane-bounded organelle",60,13154,0.0000314074074074074
"GO:0005811","lipid droplet",5,93,0.000121142857142857
"GO:0098805","whole membrane",17,1718,0.000292413793103448
"GO:0005737","cytoplasm",54,11523,0.000367466666666667
"GO:0043231","intracellular membrane-bounded organelle",53,11361,0.000670193548387097
"GO:0034363","intermediate-density lipoprotein particle",2,5,0.00072875
"GO:0043226","organelle",60,14263,0.00128484848484848
"GO:0090575","RNA polymerase II transcription regulator complex",5,160,0.00130941176470588
"GO:0034362","low-density lipoprotein particle",2,14,0.00605714285714286
"GO:0012505","endomembrane system",27,4564,0.00653666666666667
