goId,goName,countDE,countAll,pv_fdr
"GO:0004467","long-chain fatty acid-CoA ligase activity",10,13,1.7808e-20
"GO:0047676","arachidonate-CoA ligase activity",9,11,3.95733333333333e-19
"GO:0005324","long-chain fatty acid transporter activity",10,17,3.95733333333333e-19
"GO:0005504","fatty acid binding",12,40,7.42e-19
"GO:0015645","fatty acid ligase activity",10,22,8.162e-18
"GO:0008289","lipid binding",26,786,3.02983333333333e-17
"GO:0016405","CoA-ligase activity",10,26,4.127375e-17
"GO:0036094","small molecule binding",40,2534,4.127375e-17
"GO:0033293","monocarboxylic acid binding",13,80,4.94666666666667e-17
"GO:0016878","acid-thiol ligase activity",10,30,1.7808e-16
"GO:0016877","ligase activity, forming carbon-sulfur bonds",10,40,4.38454545454545e-15
"GO:0005319","lipid transporter activity",13,134,4.01916666666667e-14
"GO:0031406","carboxylic acid binding",15,224,5.13692307692308e-14
"GO:0043177","organic acid binding",15,235,9.805e-14
"GO:0043168","anion binding",37,2837,6.43066666666667e-13
"GO:0036041","long-chain fatty acid binding",7,15,7.88375e-13
"GO:0031957","very long-chain fatty acid-CoA ligase activity",6,9,3.05529411764706e-12
"GO:0102391","decanoate-CoA ligase activity",6,10,7.21388888888889e-12
"GO:0031956","medium-chain fatty acid-CoA ligase activity",6,11,1.484e-11
"GO:0003996","acyl-CoA ligase activity",6,16,2.4115e-10
"GO:0016874","ligase activity",10,146,1.76666666666667e-9
"GO:0004095","carnitine O-palmitoyltransferase activity",4,4,2.52954545454545e-9
"GO:0004879","nuclear receptor activity",7,52,9.89333333333333e-9
"GO:0098531","ligand-activated transcription factor activity",7,52,9.89333333333333e-9
"GO:0016416","O-palmitoyltransferase activity",4,5,1.113e-8
"GO:0016406","carnitine O-acyltransferase activity",4,6,3.13923076923077e-8
"GO:0043167","ion binding",46,6253,3.57259259259259e-8
"GO:0003997","acyl-CoA oxidase activity",4,7,6.89e-8
"GO:0015245","fatty acid transmembrane transporter activity",4,8,1.27931034482759e-7
"GO:0015485","cholesterol binding",6,49,2.597e-7
"GO:0000166","nucleotide binding",25,2130,3.3621875e-7
"GO:1901265","nucleoside phosphate binding",25,2131,3.3621875e-7
"GO:0016634","oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor",4,10,3.38264705882353e-7
"GO:0003707","steroid hormone receptor activity",5,26,3.38264705882353e-7
"GO:0004768","stearoyl-CoA 9-desaturase activity",3,3,4.53444444444444e-7
"GO:0070653","high-density lipoprotein particle receptor binding",3,3,4.53444444444444e-7
"GO:0032934","sterol binding",6,59,6.51756756756757e-7
"GO:0071813","lipoprotein particle binding",5,31,7.61025641025641e-7
