pName,countDE,countAll,pv_fdr,pAcc_fdr,pComb_fdr,pORA_fdr
"Insulin resistance",13,108,0.0000168879831469513,0.193236714975845,0.0000112586554313009,1.02780067188885e-19
"Adipocytokine signaling pathway",16,69,0.0000212537154757996,0.243961352657005,0.0000141691436505331,1e-24
"Glucagon signaling pathway",6,107,0.0000282270117464809,0.247491638795987,0.0000188180078309873,1.76413183446432e-7
"Thermogenesis",12,218,0.0000282270117464809,0.24901185770751,0.0000188180078309873,2.71376640977155e-14
"Thyroid cancer",4,37,0.0000282270117464809,0.24901185770751,0.0000188180078309873,0.00000259155400033421
"PPAR signaling pathway",65,74,0.0000390588324497742,0.361204013377926,0.0000260392216331828,1e-24
"Ferroptosis",5,41,0.0000449751074417202,0.472958642629905,0.0000438915323637974,5.35858640631427e-8
"Biosynthesis of unsaturated fatty acids",6,27,0.0000449751074417202,,,4.28870195128064e-11
"Metabolic pathways",25,1476,0.0000449751074417202,,,1.09610015056738e-17
"Fatty acid metabolism",18,57,0.0000449751074417202,,,1e-24
"Fatty acid biosynthesis",5,18,0.0000449751074417202,,,7.28786844027617e-10
"Fatty acid degradation",14,42,0.0000449751074417202,,,1e-24
"Peroxisome",11,83,0.0000449751074417202,,,2.94268830186327e-17
"Fat digestion and absorption",6,43,0.0000449751074417202,,,7.41028730215391e-10
"Primary bile acid biosynthesis",6,17,0.0000449751074417202,,,1.98248798382116e-12
"AMPK signaling pathway",11,120,0.0000562814737772299,0.839396628216504,0.000070872966978734,1.70954441946756e-15
"Cholesterol metabolism",9,50,0.0000562814737772299,0.842898550724638,0.000070872966978734,1.70954441946756e-15
"Non-small cell lung cancer",4,72,0.000156285645002699,0.456335934596804,0.000187542774003238,0.0000364410920754209
"Regulation of lipolysis in adipocytes",3,55,0.000304178303632862,0.243961352657005,0.000350265925395417,0.000375971887893218
"alpha-Linolenic acid metabolism",3,25,0.000311182158706564,,,0.0000499352359447954
"Th17 cell differentiation",3,105,0.000345693919176528,0.193236714975845,0.000403309572372616,0.00205848860654152
"beta-Alanine metabolism",3,30,0.000475038897333679,,,0.0000832254727249031
"Transcriptional misregulation in cancer",4,189,0.000559851327153916,0.243961352657005,0.000660337462796927,0.000941283674882407
"Propanoate metabolism",3,34,0.000619179986276012,,,0.000116250547816704
"Pyruvate metabolism",3,39,0.000871317003147884,,,0.000168433148855514
"Insulin signaling pathway",4,137,0.000950035224103145,0.429813664596273,0.00117453692978024,0.000316702947139191
"Small cell lung cancer",3,92,0.000950035224103145,0.243961352657005,0.00117453692978024,0.00149093753585562
"Carbon metabolism",4,118,0.000950035224103145,,,0.000200472351747927
"Valine, leucine and isoleucine degradation",3,48,0.00133095502834071,,,0.000277428626908202
"Thyroid hormone signaling pathway",4,121,0.0015357749134398,0.924191750278707,0.00191971864179976,0.000211867279617871
"Parathyroid hormone synthesis, secretion and action",3,106,0.00162341454068611,0.24901185770751,0.00192404686303539,0.00205848860654152
"Pathways in cancer",5,530,0.00162341454068611,0.243961352657005,0.00192404686303539,0.00481107795428737
"ECM-receptor interaction",1,88,0.00196006608163204,0.0289855072463768,0.00226955019978447,0.180219627479945
"Glycerolipid metabolism",3,61,0.0021750595980654,,,0.000489770115618888
"Non-alcoholic fatty liver disease",4,146,0.00243156087262355,0.896277351520318,0.00283682101806081,0.000375971887893218
"Gastric cancer",3,149,0.00259099573812946,0.243961352657005,0.00296113798643367,0.00481107795428737
"Bile secretion",3,90,0.00292803350755126,0.413469735720375,0.00328294665998171,0.00144329790383162
"PI3K-Akt signaling pathway",4,352,0.00602961657574261,0.24901185770751,0.00664131680806432,0.00666237799425274
"Proximal tubule bicarbonate reclamation",2,23,0.00718413841635727,,,0.00190209859614585
"Butanoate metabolism",2,28,0.0099457476223023,,,0.00259062801914448
"Citrate cycle (TCA cycle)",2,30,0.010961064698327,,,0.00289427255312108
"FoxO signaling pathway",3,130,0.0223677627505495,0.983008495752124,0.0256483679539634,0.00341422582653706
"cAMP signaling pathway",3,216,0.0223677627505495,0.413469735720375,0.0256483679539634,0.0120194941670964
"Hepatitis C",3,157,0.0257096622915302,0.839371980676328,0.0290057728417263,0.00541476040020575
"Apelin signaling pathway",2,137,0.0281734815416336,0.24901185770751,0.0304403133898111,0.0424636756509222
"Focal adhesion",2,201,0.0281734815416336,0.243961352657005,0.0304403133898111,0.0788703579643683
"Endometrial cancer",2,58,0.0281734815416336,0.648033126293996,0.0304403133898111,0.0091745914378618
