Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0042493~response to drug	20	4.926108374384237	7.861278937508752E-5	ENSG00000105894, ENSG00000101096, ENSG00000176890, ENSG00000115415, ENSG00000134057, ENSG00000115457, ENSG00000164171, ENSG00000265972, ENSG00000137563, ENSG00000170345, ENSG00000134333, ENSG00000171303, ENSG00000114200, ENSG00000164761, ENSG00000157193, ENSG00000132170, ENSG00000180914, ENSG00000166508, ENSG00000164104, ENSG00000125740	358	254	12969	2.852461179782695	0.14125130803769315	0.15227297301954454	15.219436023016945
GOTERM_CC_DIRECT	GO:0005615~extracellular space	47	11.576354679802956	8.948608504173811E-5	ENSG00000105894, ENSG00000136859, ENSG00000104368, ENSG00000187908, ENSG00000111674, ENSG00000197632, ENSG00000115457, ENSG00000177706, ENSG00000115414, ENSG00000137563, ENSG00000131981, ENSG00000205426, ENSG00000113070, ENSG00000125845, ENSG00000166396, ENSG00000169067, ENSG00000095539, ENSG00000124212, ENSG00000131015, ENSG00000073008, ENSG00000154175, ENSG00000099139, ENSG00000164619, ENSG00000138623, ENSG00000168140, ENSG00000138685, ENSG00000171951, ENSG00000118785, ENSG00000117586, ENSG00000143369, ENSG00000164761, ENSG00000137573, ENSG00000125538, ENSG00000137033, ENSG00000167772, ENSG00000166825, ENSG00000163898, ENSG00000102854, ENSG00000166923, ENSG00000163536, ENSG00000049130, ENSG00000189403, ENSG00000100234, ENSG00000182752, ENSG00000163751, ENSG00000164104, ENSG00000125730	383	932	13819	1.8195323793408713	0.02909992894650837	0.02800457179755218	2.741053542608895
GOTERM_CC_DIRECT	GO:0005578~proteinaceous extracellular matrix	17	4.1871921182266005	2.4556403275986674E-4	ENSG00000099953, ENSG00000105825, ENSG00000060718, ENSG00000138316, ENSG00000132000, ENSG00000132561, ENSG00000115414, ENSG00000154734, ENSG00000143369, ENSG00000164761, ENSG00000125966, ENSG00000167772, ENSG00000185585, ENSG00000144152, ENSG00000187689, ENSG00000100234, ENSG00000178031	383	210	13819	2.9208379957727217	0.07784880430832142	0.02800457179755218	2.741053542608895
GOTERM_CC_DIRECT	GO:0009986~cell surface	26	6.403940886699508	2.5458701634138345E-4	ENSG00000105894, ENSG00000151012, ENSG00000104368, ENSG00000110881, ENSG00000132470, ENSG00000164171, ENSG00000116106, ENSG00000135424, ENSG00000099282, ENSG00000113070, ENSG00000125845, ENSG00000069493, ENSG00000169504, ENSG00000131015, ENSG00000073008, ENSG00000168140, ENSG00000115884, ENSG00000117586, ENSG00000137573, ENSG00000126803, ENSG00000143847, ENSG00000102854, ENSG00000166923, ENSG00000187688, ENSG00000189403, ENSG00000082482	383	418	13819	2.2442689919672194	0.08059118842695223	0.02800457179755218	2.741053542608895
REACTOME_PATHWAY	R-HSA-2500257:R-HSA-2500257	12	2.955665024630542	2.978289274258115E-4	ENSG00000117399, ENSG00000100162, ENSG00000153044, ENSG00000166851, ENSG00000143228, ENSG00000123416, ENSG00000134057, ENSG00000142945, ENSG00000164109, ENSG00000089685, ENSG00000157456, ENSG00000178999	216	106	7207	3.7772536687631026	0.115492065090535	0.12300334702686014	12.270551809943434
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	8	1.9704433497536946	4.6071860993030693E-4	ENSG00000132170, ENSG00000115415, ENSG00000134057, ENSG00000115457, ENSG00000082482, ENSG00000265972, ENSG00000171522, ENSG00000125740	358	51	12969	5.682550115018074	0.5904177683647345	0.44620597371750226	44.59756144125372
KEGG_PATHWAY	hsa04110:Cell cycle	12	2.955665024630542	6.683048033241011E-4	ENSG00000117399, ENSG00000166851, ENSG00000105810, ENSG00000123080, ENSG00000073111, ENSG00000134057, ENSG00000166508, ENSG00000101224, ENSG00000164109, ENSG00000157456, ENSG00000164611, ENSG00000118971	155	120	5293	3.4148387096774195	0.12573712122763425	0.13432926546814433	13.432926546814434
GOTERM_BP_DIRECT	GO:0007062~sister chromatid cohesion	10	2.4630541871921183	7.50346681753414E-4	ENSG00000117399, ENSG00000100162, ENSG00000153044, ENSG00000166851, ENSG00000143228, ENSG00000142945, ENSG00000164109, ENSG00000089685, ENSG00000100918, ENSG00000178999	358	89	12969	4.0703659531730585	0.7663584277556467	0.4701640758418419	46.99213478728993
REACTOME_PATHWAY	R-HSA-156711:R-HSA-156711	5	1.2315270935960592	8.114749792590458E-4	ENSG00000166851, ENSG00000111206, ENSG00000134057, ENSG00000101057, ENSG00000157456	216	15	7207	11.121913580246913	0.2842779703606232	0.16756958321699295	16.71638457273634
GOTERM_BP_DIRECT	GO:0051301~cell division	20	4.926108374384237	9.709118757704531E-4	ENSG00000105810, ENSG00000152240, ENSG00000237649, ENSG00000134222, ENSG00000134057, ENSG00000111665, ENSG00000157456, ENSG00000118971, ENSG00000168303, ENSG00000117399, ENSG00000117650, ENSG00000143228, ENSG00000123416, ENSG00000142945, ENSG00000101224, ENSG00000121152, ENSG00000164109, ENSG00000089685, ENSG00000185621, ENSG00000164611	358	310	12969	2.337177869886466	0.8476492530205192	0.4701640758418419	46.99213478728993
